date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,25.36,28.89,25.29,28.06,682000,6.31632665255896,7.19553142714623,6.29889199697225,6.98880622518945,682000
2011-03-31,28.07,31.2399,25.4,30.44,1284400,6.99129689027327,7.78369658643015,6.32628931289423,7.76838439642406,1284400
2011-04-29,30.5,31.272,28.15,30.5,795200,7.78369658643015,7.9807134311752,7.18396914452487,7.78369658643015,795200
2011-05-31,30.79,30.83,26.04,28.88,1672400,7.85770550479293,7.86791363146365,6.64549046264397,7.37026745626566,1672400
2011-06-30,28.85,32.63,26.85,31.39,1802600,7.36261136126262,8.35741915897496,6.85220502772621,8.23413017577602,1802600
2011-07-29,31.41,31.88,27.0,28.08,1205700,8.23937651548662,8.36266549868556,7.08255860930082,7.36586095367285,1205700
2011-08-31,28.58,28.68,22.5,25.8,1778600,7.49701944643768,7.52325114499064,5.90213217441735,6.76777822666522,1778600
2011-09-30,25.84,26.64,23.72,24.05,1224100,6.77827090608641,6.98812449451014,6.22215889676353,6.53720583080619,1224100
2011-10-31,24.0,26.12,21.05,23.08,1169500,6.52361496629308,7.09986762164897,5.72175396001956,6.27354305925185,1169500
2011-11-30,22.13,23.11,19.0,19.94,1264600,6.01531663350275,6.28169757795971,5.16452851498202,5.4200367678285,1264600
2011-12-30,19.89,24.0,19.57,21.33,1457600,5.40644590331539,6.52361496629308,5.31946437043148,6.02866944147184,1457600
2012-01-31,21.77,23.77,20.24,22.4,1164800,6.1530301800676,6.71830626459379,5.72059397540506,6.33109214669335,1164800
2012-02-29,22.58,24.37,22.44,23.1,1012200,6.38196699430071,6.88788908995165,6.34239766838387,6.52893877627752,1012200
2012-03-30,23.25,25.19,22.1,22.2,3501600,6.57133448261698,7.11965228460739,6.44132098317596,6.51578791130579,3501600
2012-04-30,22.11,23.93,22.03,23.51,1844500,6.4893725549086,7.02354976205169,6.4658922381111,6.90027809886482,1844500
2012-05-31,23.57,23.75,22.05,22.58,1141900,6.91788833646294,6.97071904925732,6.47176231731048,6.6273194160939,1141900
2012-06-29,22.38,23.1,20.85,21.71,2513700,6.56861862410016,6.77994147527764,6.119557565348,6.63069369015804,2513700
2012-07-31,21.72,22.94,21.59,22.36,1165200,6.63374790189925,7.00636173432637,6.59404314926357,6.82921745333643,1165200
2012-08-31,22.61,23.07,22.0,22.9,1199500,6.90557274686658,7.04606648696205,6.71926583065302,6.99414488736155,1199500
2012-09-28,22.95,25.49,22.67,23.86,7833100,7.00941594606758,7.78518572833388,6.92389801731381,7.55526646505104,7833100
2012-10-31,23.9,24.21,21.34,22.25,3178700,7.56793246080134,7.66609392786612,6.75730873278245,7.04546013610166,3178700
2012-11-30,22.3,22.5498,17.84,21.64,3665800,7.06129263078953,7.14039177425012,5.64903410463163,6.85230370090966,3665800
2012-12-31,21.75,22.57,20.14,20.77,3197100,6.88713518922297,7.14678810210402,6.64029600225,6.84801131910291,3197100
2013-01-31,21.24,23.48,21.24,23.37,2343800,7.00297353961222,7.74151688842255,7.00297353961222,7.70524913468632,2343800
2013-02-28,23.43,26.97,23.29,25.8,4469600,7.72503154581517,8.89219380241721,7.67887258651453,8.50643678540467,4469600
2013-03-29,25.73,26.7,24.83,25.81,9972100,8.48335730575435,8.80509351763838,8.36466283898126,8.80509351763838,9972100
2013-04-30,25.85,27.59,24.92,27.09,6514900,8.81873953626316,9.41234134644102,8.50146960323706,9.24176611363129,6514900
2013-05-31,26.4,29.65,26.06,27.26,4947900,9.00637229235386,10.1151113056171,8.89038113404324,9.2997616927866,4947900
2013-06-28,27.36,28.83,25.4,26.74,4248200,9.33387673934855,9.83536792380916,8.69933687329634,9.43440676651012,4248200
2013-07-31,27.01,27.28,23.22,25.28,3691900,9.52966816617196,9.62492956583381,8.19248037091866,8.91928956833866,3691900
2013-08-30,25.45,25.6,22.5,23.22,2936600,8.97926896812575,9.03219196793788,7.9384499718204,8.19248037091866,2936600
2013-09-30,23.36,26.98,23.02,23.78,3918900,8.24187517074332,9.51908356620953,8.12191637116914,8.68667783785124,3918900
2013-10-31,23.7,25.67,22.79,24.67,3289500,8.6574543632075,9.37708242630956,8.32503733913498,9.01178899326283,3289500
2013-11-29,24.75,26.9,24.3,26.71,2198400,9.04101246790657,9.82639334895704,8.87663042303554,9.75698759667816,2198400
2013-12-31,26.75,27.58,25.611,26.39,3671800,9.77159933400003,10.1218866788597,9.35553011375981,9.95960437938504,3671800
2014-01-31,26.39,26.98,25.3,26.25,2796500,9.95960437938504,10.1822707902921,9.54823762025167,9.90676828188167,2796500
2014-02-28,26.25,26.67,24.77,26.52,3194400,9.90676828188167,10.0652765743918,9.34821525113177,10.0086664699239,3194400
2014-03-31,26.4,28.5,25.58,26.48,9782400,9.96337838634957,10.7559198489001,9.92941232366883,10.3331577871845,9782400
2014-04-30,26.48,26.63,25.12,26.45,4913400,10.3331577871845,10.391691535979,9.80245179811462,10.3214510374256,4913400
2014-05-30,26.49,27.7,25.81,27.65,4192400,10.3370600371041,10.8092322773796,10.0717070425692,10.7897210277814,4192400
2014-06-30,27.65,28.21,26.75,27.33,5425500,10.7897210277814,11.0643167594881,10.6531422805943,11.0079278134988,5425500
2014-07-31,27.25,27.54,26.08,26.08,4303500,10.9757055586477,11.0925112324828,10.5044550814507,10.5044550814507,4303500
2014-08-29,26.08,28.45,26.0,28.42,3300900,10.5044550814507,11.4590393814138,10.4722328265996,11.4469560358447,3300900
2014-09-30,28.47,28.66,25.41,25.41,11361719,11.4670949451266,11.5436228003979,10.5763978758874,10.5763978758874,11361719
2014-10-31,25.3,27.5,24.95,27.38,8649079,10.5306126036974,11.4463180474972,10.3849321921838,11.3963704778354,8649079
2014-11-28,27.44,28.19,27.11,27.85,3696203,11.4213442626663,11.7335165730526,11.2839884460963,11.5919984590108,3696203
2014-12-31,27.79,28.17,26.42,26.61,5621227,11.5670246741799,11.7251919781089,10.9967899205409,11.4326993963619,5621227
2015-01-30,26.75,27.18,25.55,26.53,3721879,11.492848885858,11.6775937464531,10.9772818330345,11.398328259507,3721879
2015-02-27,26.63,27.13,24.2211,24.99,9103831,11.4412921805757,11.6561117859188,10.4063342859535,10.7366838750502,9103831
2015-03-31,24.99,25.58,24.01,24.06,6813501,10.7366838750502,10.9901710093551,10.4531219959972,10.7116527210363,6813501
2015-04-30,24.05,24.28,21.0,21.68,6450264,10.7072006625487,10.8095980077623,9.34932282384712,9.65206280100027,6450264
2015-05-29,21.68,21.84,20.53,20.69,5404863,9.65206280100027,9.72329573680101,9.14007607493245,9.21130901073319,5404863
2015-06-30,20.66,21.25,19.25,19.56,7641101,9.19795283527055,9.46062428603578,8.94894673069626,9.09305963908669,7641101
2015-07-31,19.68,20.36,18.38,19.1,8161659,9.14884528104428,9.46496391880394,8.54450082650376,8.87921467824928,8161659
2015-08-31,19.13,19.25,13.79,16.65,5191334,8.89316108873867,8.94894673069626,6.41070002162605,7.74025782161521,5191334
2015-09-30,16.31,16.5394,13.71,14.05,7444447,7.58219850273538,7.6888420549443,6.65110147491105,6.81604491046683,7444447
2015-10-30,14.03,15.53,13.41,13.85,5863474,6.80634235543413,7.53403398288611,6.50556314942065,6.7190193601399,5863474
2015-11-30,13.87,14.32,13.11,13.92,3889127,6.72872191517259,6.94702940340818,6.36002482393026,6.75297830275432,3889127
2015-12-31,13.94,14.83,12.07,13.23,9392164,6.76268085778702,7.19444455674185,5.85549196223022,6.71061625444194,9392164
2016-01-29,12.98,13.53,9.42,11.1,6273987,6.5838094469128,6.8627844234769,4.77808050769789,5.63022225429369,6273987
2016-02-29,10.99,12.3099,10.5702,12.11,5730140,5.57442725898087,6.2439164800117,5.36149326777794,6.1425217567114,5730140
2016-03-31,12.25,13.82,12.04,12.53,6585243,6.21353356892772,7.0098803202107,6.10701585060325,6.66229257914029,6585243
2016-04-29,12.47,13.2,12.06,12.94,4208525,6.63039014061289,7.01853647602968,6.41239014400894,6.88029257574425,4208525
2016-05-31,12.95,13.33,11.99,13.3,5545490,6.88560964883215,7.0876584261724,6.37517063239363,7.07170720690869,5545490
2016-06-30,13.23,14.035,12.67,13.01,6321164,7.03448769529339,7.46251207886944,6.94409745279906,7.25554532071372,6321164
2016-07-29,13.0,14.01,12.605,13.93,4227795,7.24996842192762,7.81323519932354,7.02968091987674,7.76862000903475,4227795
2016-08-31,13.95,15.16,13.902,14.88,4653987,7.77977380660695,8.45457855972482,7.75300469243367,8.29842539371408,4653987
2016-09-30,14.9,15.71,14.52,14.79,5202521,8.30957919128627,8.76130799296022,8.13111843013113,8.59631877495651,5202521
2016-10-31,14.73,15.1,14.08,14.28,4033267,8.56144527079847,8.77649854643971,8.18364897575306,8.29989398961318,4033267
2016-11-30,14.43,16.8,14.17,16.24,5764796,8.38707775000828,9.7645811642508,8.23595923199011,9.43909512544244,5764796
2016-12-30,16.3,17.13,14.71,14.82,9688960,9.47396862960048,9.95638543712002,8.71837603950965,8.97751209490021,9688960
2017-01-31,14.9,15.59,14.7352,14.97,5120434,9.02597369865136,9.44395503100501,8.92614279492399,9.06837760193361,5120434
2017-02-28,15.15,15.51,14.44,14.74,7016491,9.17741621037369,9.39549342725386,8.74731947708225,8.92905049114906,7016491
2017-03-31,14.96,15.0,13.46,14.13,11794537,9.06231990146472,9.08655070334029,8.15366483113069,8.93760190930215,11794537
2017-04-28,14.12,15.17,13.8999,14.56,6584553,8.93127664255812,9.59542965068036,8.79205752152221,9.20958837929506,6584553
2017-05-31,14.61,14.76,13.95,14.36,6738018,9.24121471301517,9.33609371417549,8.82374710790976,9.08308304441464,6738018
2017-06-30,14.37,15.03,13.5932,13.67,11161919,9.08940831115866,9.50687591626406,8.9404898218202,8.99100255011934,11161919
2017-07-31,13.67,13.95,12.63,12.9,7829556,8.99100255011934,9.17516353870993,8.30697602106856,8.48455983149521,7829556
2017-08-31,13.0,13.24,12.62,12.92,6372617,8.5503316131347,8.7081838890695,8.30039884290461,8.49771418782311,6372617
2017-09-29,12.96,13.41,12.43,12.73,8601043,8.52402290047891,8.83712549175616,8.39247933719991,8.73420865761304,8601043
2017-10-31,12.74,12.87,11.28,11.47,10452035,8.74106977988925,8.83026436947995,7.73934592756285,7.86970725081081,10452035
2017-11-30,11.52,11.99,10.931,11.81,7835560,7.90401286219185,8.22648560917363,7.49989276012318,8.10298540820189,7835560
2017-12-29,11.67,12.67,11.45,11.78,9611509,8.00692969633497,8.69304192395579,7.85598500625839,8.45658732106647,9611509
2018-01-31,11.8,11.99,10.39,10.5,10316573,8.47094485471853,8.60734142441315,7.45873873224793,7.53770516733429,10316573
2018-02-28,10.5,11.475,9.9,10.82,13197706,7.53770516733429,8.23763493287247,7.10697915777233,7.76742570576733,13197706
2018-03-30,10.8,11.92,10.71,11.04,12160803,7.75306817211527,8.55709005663092,7.68845927068097,8.32307273805383,12160803
2018-04-30,11.04,11.53,10.8148,11.44,9720204,8.32307273805383,8.69248448095658,8.15329411662179,8.62463334450506,9720204
2018-05-31,11.43,11.54,10.885,11.44,12713629,8.61709432934378,8.70002349611786,8.20621800305398,8.62463334450506,12713629
2018-06-29,11.5,11.79,10.21,10.31,18225442,8.66986743547274,8.88849887514988,7.91596591934468,8.05245320486289,18225442
2018-07-31,10.26,10.55,9.88,10.52,12101137,8.01340154043582,8.23990119411285,7.71660889079004,8.2164701954566,12101137
