date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,27.52,30.0,24.5,25.84,6623200,27.52,30.0,24.5,25.84,6623200
2011-03-31,25.65,27.07,24.0,26.75,7501000,25.65,27.07,24.0,26.75,7501000
2011-04-29,27.03,27.46,23.94,25.31,5852600,27.03,27.46,23.94,25.31,5852600
2011-05-31,25.38,26.61,24.35,25.81,4443200,25.38,26.61,24.35,25.81,4443200
2011-06-30,25.77,25.93,18.1,20.97,11443800,25.77,25.93,18.1,20.97,11443800
2011-07-29,21.0,22.86,19.98,20.05,6193100,21.0,22.86,19.98,20.05,6193100
2011-08-31,20.37,20.43,13.01,16.53,12810400,20.37,20.43,13.01,16.53,12810400
2011-09-30,16.51,16.84,11.39,11.58,14192900,16.51,16.84,11.39,11.58,14192900
2011-10-31,11.46,16.34,10.45,14.79,8688800,11.46,16.34,10.45,14.79,8688800
2011-11-30,14.85,16.22,13.18,15.16,5612600,14.85,16.22,13.18,15.16,5612600
2011-12-30,15.06,16.53,13.64,15.34,6671400,15.06,16.53,13.64,15.34,6671400
2012-01-31,15.83,17.79,15.75,17.07,4417700,15.83,17.79,15.75,17.07,4417700
2012-02-29,17.17,18.97,17.0,17.61,5347900,17.17,18.97,17.0,17.61,5347900
2012-03-30,17.81,20.25,17.38,17.83,5877000,17.81,20.25,17.38,17.83,5877000
2012-04-30,17.72,18.49,16.66,18.25,4385500,17.72,18.49,16.66,18.25,4385500
2012-05-31,18.17,18.5,15.5,15.77,4774800,18.17,18.5,15.5,15.77,4774800
2012-06-29,15.35,18.11,14.49,17.89,4029100,15.35,18.11,14.49,17.89,4029100
2012-07-31,17.95,18.94,16.96,17.4,2726900,17.95,18.94,16.96,17.4,2726900
2012-08-31,18.56,20.56,17.77,19.52,3456800,18.56,20.56,17.77,19.52,3456800
2012-09-28,19.45,22.0,19.11,19.16,3867100,19.45,22.0,19.11,19.16,3867100
2012-10-31,19.3,20.3,18.02,18.47,3058300,19.3,20.3,18.02,18.47,3058300
2012-11-30,18.55,20.73,17.32,20.62,4541500,18.55,20.73,17.32,20.62,4541500
2012-12-31,20.71,22.39,20.0,22.19,4304400,20.71,22.39,20.0,22.19,4304400
2013-01-31,22.96,23.97,22.2,23.52,4570600,22.96,23.97,22.2,23.52,4570600
2013-02-28,23.59,24.33,21.51,24.03,4969900,23.59,24.33,21.51,24.03,4969900
2013-03-29,23.96,26.095,22.44,23.15,7082900,23.96,26.095,22.44,23.15,7082900
2013-04-30,21.89,22.74,19.72,21.06,7191700,21.89,22.74,19.72,21.06,7191700
2013-05-31,21.05,24.03,20.0,22.83,5170900,21.05,24.03,20.0,22.83,5170900
2013-06-28,22.84,23.83,21.24,22.51,3242400,22.84,23.83,21.24,22.51,3242400
2013-07-31,22.64,25.0,22.52,22.82,3603200,22.64,25.0,22.52,22.82,3603200
2013-08-30,23.24,23.75,21.21,21.4,2960400,23.24,23.75,21.21,21.4,2960400
2013-09-30,21.76,24.46,21.54,23.72,3796400,21.76,24.46,21.54,23.72,3796400
2013-10-31,23.75,24.09,20.49,20.5,5515500,23.75,24.09,20.49,20.5,5515500
2013-11-29,20.49,22.0,20.18,21.77,3819300,20.49,22.0,20.18,21.77,3819300
2013-12-31,21.75,22.11,19.67,21.89,7485800,21.75,22.11,19.67,21.89,7485800
2014-01-31,21.76,24.01,20.46,20.52,5178400,21.76,24.01,20.46,20.52,5178400
2014-02-28,20.5,23.62,19.14,23.15,5848600,20.5,23.62,19.14,23.15,5848600
2014-03-31,22.82,25.39,22.55,25.31,5072600,22.82,25.39,22.55,25.31,5072600
2014-04-30,25.32,25.64,23.27,25.49,4699100,25.32,25.64,23.27,25.49,4699100
2014-05-30,25.37,25.61,22.89,23.97,3740800,25.37,25.61,22.89,23.97,3740800
2014-06-30,24.23,24.44,21.94,23.27,7093700,24.23,24.44,21.94,23.27,7093700
2014-07-31,23.46,23.87,21.69,22.91,6358700,23.46,23.87,21.69,22.91,6358700
2014-08-29,23.0,25.52,22.73,24.66,5683200,23.0,25.52,22.73,24.66,5683200
2014-09-30,24.68,24.9,22.16,22.25,6263806,24.68,24.9,22.16,22.25,6263806
2014-10-31,22.27,22.61,16.54,18.32,8793726,22.27,22.61,16.54,18.32,8793726
2014-11-28,18.29,20.0,17.94,19.05,7205520,18.29,20.0,17.94,19.05,7205520
2014-12-31,18.92,19.0,16.69,18.61,9280953,18.92,19.0,16.69,18.61,9280953
2015-01-30,18.66,18.75,15.31,15.32,6946891,18.66,18.75,15.31,15.32,6946891
2015-02-27,15.41,19.47,15.35,18.09,4446132,15.41,19.47,15.35,18.09,4446132
2015-03-31,18.04,18.81,17.23,18.05,6300226,18.04,18.81,17.23,18.05,6300226
2015-04-30,18.02,19.43,17.72,18.42,5038199,18.02,19.43,17.72,18.42,5038199
2015-05-29,18.43,19.1204,17.596,17.82,3268134,18.43,19.1204,17.596,17.82,3268134
2015-06-30,17.84,19.665,17.11,18.94,7953015,17.84,19.665,17.11,18.94,7953015
2015-07-31,19.02,19.92,16.52,19.77,4348063,19.02,19.92,16.52,19.77,4348063
2015-08-31,19.69,19.9,17.17,18.4,3939560,19.69,19.9,17.17,18.4,3939560
2015-09-30,17.98,19.09,15.97,16.48,4163438,17.98,19.09,15.97,16.48,4163438
2015-10-30,16.57,19.87,16.16,19.29,3798582,16.57,19.87,16.16,19.29,3798582
2015-11-30,19.4,22.32,18.706,22.04,3766369,19.4,22.32,18.706,22.04,3766369
2015-12-31,22.21,22.41,18.41,19.31,4226177,22.21,22.41,18.41,19.31,4226177
2016-01-29,18.97,20.57,16.0,18.03,5562834,18.97,20.57,16.0,18.03,5562834
2016-02-29,17.77,18.78,16.42,18.11,3846164,17.77,18.78,16.42,18.11,3846164
2016-03-31,19.02,21.5,18.18,21.09,4273616,19.02,21.5,18.18,21.09,4273616
2016-04-29,20.87,21.95,20.06,21.23,2691212,20.87,21.95,20.06,21.23,2691212
