date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,12.95,14.75,12.76,14.33,13211900,12.95,14.75,12.76,14.33,13211900
2011-03-31,14.41,14.48,11.86,12.95,17774300,14.41,14.48,11.86,12.95,17774300
2011-04-29,13.07,14.75,12.945,14.42,9271100,13.07,14.75,12.945,14.42,9271100
2011-05-31,14.43,18.77,13.68,18.32,30369100,14.43,18.77,13.68,18.32,30369100
2011-06-30,18.13,18.64,16.44,18.6,18951600,18.13,18.64,16.44,18.6,18951600
2011-07-29,18.55,20.0,17.04,17.24,16689200,18.55,20.0,17.04,17.24,16689200
2011-08-31,17.32,17.67,13.48,17.34,27447400,17.32,17.67,13.48,17.34,27447400
2011-09-30,17.7,17.7,14.89,15.25,13485300,17.7,17.7,14.89,15.25,13485300
2011-10-31,14.83,18.1,13.69,17.49,18924100,14.83,18.1,13.69,17.49,18924100
2011-11-30,17.03,17.52,13.88,15.29,18162300,17.03,17.52,13.88,15.29,18162300
2011-12-30,15.31,17.92,14.825,17.36,15486400,15.31,17.92,14.825,17.36,15486400
2012-01-31,17.71,19.87,16.67,18.81,21354300,17.71,19.87,16.67,18.81,21354300
2012-02-29,18.99,19.57,16.91,17.66,16180600,18.99,19.57,16.91,17.66,16180600
2012-03-30,17.76,18.7,16.06,18.55,33935700,17.76,18.7,16.06,18.55,33935700
2012-04-30,18.38,18.84,17.065,17.3,18570900,18.38,18.84,17.065,17.3,18570900
2012-05-31,17.4,18.58,15.59,15.62,29182700,17.4,18.58,15.59,15.62,29182700
2012-06-29,15.38,17.0,14.82,16.97,30114200,15.38,17.0,14.82,16.97,30114200
2012-07-31,17.14,19.99,16.97,18.59,30331000,17.14,19.99,16.97,18.59,30331000
2012-08-31,18.58,18.97,17.45,18.35,16684556,18.58,18.97,17.45,18.35,16684556
2012-09-28,18.3,21.12,18.2,20.75,17969730,18.3,21.12,18.2,20.75,17969730
2012-10-31,20.81,20.98,18.0,18.52,15864200,20.81,20.98,18.0,18.52,15864200
2012-11-30,18.84,20.69,18.6,19.31,19136200,18.84,20.69,18.6,19.31,19136200
2012-12-31,19.57,19.99,18.21,18.52,13511400,19.57,19.99,18.21,18.52,13511400
2013-01-31,19.0,23.36,18.6433,23.055,25099700,19.0,23.36,18.6433,23.055,25099700
2013-02-28,21.42,22.07,19.77,21.715,27879600,21.42,22.07,19.77,21.715,27879600
2013-03-29,21.44,24.02,21.31,23.7,18600200,21.44,24.02,21.31,23.7,18600200
2013-04-30,23.61,32.325,22.17,30.61,38610000,23.61,32.325,22.17,30.61,38610000
2013-05-31,30.42,34.3,28.59,31.25,30314000,30.42,34.3,28.59,31.25,30314000
2013-06-28,31.25,31.62,26.47,28.68,40460100,31.25,31.62,26.47,28.68,40460100
2013-07-31,28.96,34.735,27.72,33.58,28230800,28.96,34.735,27.72,33.58,28230800
2013-08-30,33.75,35.58,31.01,31.75,17410700,33.75,35.58,31.01,31.75,17410700
2013-09-30,32.01,35.72,32.01,33.62,12945500,32.01,35.72,32.01,33.62,12945500
2013-10-31,32.92,36.72,29.36,35.195,23197000,32.92,36.72,29.36,35.195,23197000
2013-11-29,35.26,41.0,34.82,40.381,16205900,35.26,41.0,34.82,40.381,16205900
2013-12-31,40.32,41.47,38.26,40.66,18764600,40.32,41.47,38.26,40.66,18764600
2014-01-31,40.44,50.97,39.68,48.68,24003400,40.44,50.97,39.68,48.68,24003400
2014-02-28,48.53,54.25,47.16,48.67,17251400,48.53,54.25,47.16,48.67,17251400
2014-03-31,47.89,48.59,41.53,44.09,28555300,47.89,48.59,41.53,44.09,28555300
2014-04-30,44.14,48.59,40.3,46.26,38964400,44.14,48.59,40.3,46.26,38964400
2014-05-30,45.9,47.95,43.0,45.81,16062300,45.9,47.95,43.0,45.81,16062300
2014-06-30,45.18,51.81,44.92,50.33,16106400,45.18,51.81,44.92,50.33,16106400
2014-07-31,50.57,52.5,42.3,42.76,15388400,50.57,52.5,42.3,42.76,15388400
2014-08-29,42.53,46.08,41.02,44.73,14918200,42.53,46.08,41.02,44.73,14918200
2014-09-30,45.12,46.86,41.33,42.87,18346718,45.12,46.86,41.33,42.87,18346718
2014-10-31,42.59,52.5,38.49,50.55,23517778,42.59,52.5,38.49,50.55,23517778
2014-11-28,50.05,56.59,49.52,55.02,14709926,50.05,56.59,49.52,55.02,14709926
2014-12-31,54.64,59.69,52.29,58.56,15570724,54.64,59.69,52.29,58.56,15570724
2015-01-30,58.57,73.69,57.31,72.25,33841192,58.57,73.69,57.31,72.25,33841192
2015-02-27,72.91,74.96,65.94,70.25,31152098,72.91,74.96,65.94,70.25,31152098
2015-03-31,70.86,75.17,60.91,60.97,31854709,70.86,75.17,60.91,60.97,31854709
2015-04-30,61.22,65.37,54.54,55.37,25586952,61.22,65.37,54.54,55.37,25586952
2015-05-29,55.79,63.04,54.94,61.1,19981400,55.79,63.04,54.94,61.1,19981400
2015-06-30,57.4,68.23,57.0901,64.34,27028508,57.4,68.23,57.0901,64.34,27028508
2015-07-31,64.9,70.9,61.56,70.02,17181035,64.9,70.9,61.56,70.02,17181035
2015-08-31,69.61,72.85,53.01,59.56,17256830,69.61,72.85,53.01,59.56,17256830
2015-09-30,61.43,73.33,54.39,58.67,27026643,61.43,73.33,54.39,58.67,27026643
2015-10-30,58.08,73.31,54.36,71.92,23880690,58.08,73.31,54.36,71.92,23880690
2015-11-30,71.8,75.99,69.75,73.36,15538925,71.8,75.99,69.75,73.36,15538925
2015-12-31,73.46,80.71,69.81,79.38,16775265,73.46,80.71,69.81,79.38,16775265
2016-01-29,77.33,78.875,29.67,32.01,45704953,77.33,78.875,29.67,32.01,45704953
2016-02-29,32.0,36.6,27.78,32.27,37273733,32.0,36.6,27.78,32.27,37273733
2016-03-31,32.3,35.45,27.14,34.19,36825144,32.3,35.45,27.14,34.19,36825144
2016-04-29,34.14,43.48,33.31,39.75,30896172,34.14,43.48,33.31,39.75,30896172
2016-05-31,39.79,47.895,36.71,46.41,23254179,39.79,47.895,36.71,46.41,23254179
2016-06-30,45.61,47.01,39.65,43.22,20792625,45.61,47.01,39.65,43.22,20792625
2016-07-29,43.32,52.27,43.26,49.9,17824601,43.32,52.27,43.26,49.9,17824601
2016-08-31,49.92,50.78,43.62,43.77,15643744,49.92,50.78,43.62,43.77,15643744
2016-09-30,43.98,51.39,43.69,47.03,18263834,43.98,51.39,43.69,47.03,18263834
2016-10-31,47.12,59.4,41.93,50.41,35086995,47.12,59.4,41.93,50.41,35086995
2016-11-30,50.31,60.74,50.0,56.83,23294199,50.31,60.74,50.0,56.83,23294199
2016-12-30,56.62,58.34,54.2,55.58,16042371,56.62,58.34,54.2,55.58,16042371
2017-01-31,55.4,60.69,51.08,54.11,16574539,55.4,60.69,51.08,54.11,16574539
2017-02-28,54.45,58.81,51.51,56.5,17218184,54.45,58.81,51.51,56.5,17218184
2017-03-31,57.06,62.5,54.3,58.5,20813446,57.06,62.5,54.3,58.5,20813446
2017-04-28,58.31,59.9,53.64,58.25,14730026,58.31,59.9,53.64,58.25,14730026
2017-05-31,58.74,60.79,56.54,57.76,17351918,58.74,60.79,56.54,57.76,17351918
2017-06-30,57.49,63.4,55.62,57.97,19798922,57.49,63.4,55.62,57.97,19798922
2017-07-31,58.11,61.31,54.32,54.41,17408359,58.11,61.31,54.32,54.41,17408359
