date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,84.36,96.94,83.29,96.28,13742800,42.18,48.47,41.645,48.14,27485600
2011-03-31,96.93,100.36,92.81,98.68,17825700,48.465,50.18,46.405,49.34,35651400
2011-04-29,99.38,105.0,92.94,96.87,21526400,49.69,52.5,46.47,48.435,43052800
2011-05-31,96.97,101.96,44.36,47.42,18820800,48.485,50.98,44.36,47.42,28959200
2011-06-30,48.7,48.99,43.78,47.03,25627400,48.7,48.99,43.78,47.03,25627400
2011-07-29,46.91,59.07,46.73,56.8,30948300,46.91,59.07,46.73,56.8,30948300
2011-08-31,57.81,59.41,46.56,57.945,37104100,57.81,59.41,46.56,57.945,37104100
2011-09-30,57.66,68.5,55.24,64.06,35653500,57.66,68.5,55.24,64.06,35653500
2011-10-31,63.33,70.42,59.42,67.51,30956000,63.33,70.42,59.42,67.51,30956000
2011-11-30,66.04,68.71,62.02,68.66,25059600,66.04,68.71,62.02,68.66,25059600
2011-12-30,68.51,72.25,62.5,71.5,23702600,68.51,72.25,62.5,71.5,23702600
2012-01-31,72.53,77.58,69.82,76.76,24511300,72.53,77.58,69.82,76.76,24511300
2012-02-29,76.95,87.63,75.0425,83.73,26215000,76.95,87.63,75.0425,83.73,26215000
2012-03-30,84.13,95.01,82.63,92.86,30826400,84.13,95.01,82.63,92.86,30826400
2012-04-30,93.0,93.97,87.01,90.32,20972900,93.0,93.97,87.01,90.32,20972900
2012-05-31,90.7,94.36,81.278,90.57,66877400,90.7,94.36,81.278,90.57,66877400
2012-06-29,88.59,99.7,86.64,99.3,33847700,88.59,99.7,86.64,99.3,33847700
2012-07-31,100.0,109.96,94.8,104.85,33738000,100.0,109.96,94.8,104.85,33738000
2012-08-31,105.56,109.14,100.56,107.21,23796600,105.56,109.14,100.56,107.21,23796600
2012-09-28,106.76,116.43,105.7,114.4,17738700,106.76,116.43,105.7,114.4,17738700
2012-10-31,114.52,119.539,90.24,90.38,31106800,114.52,119.539,90.24,90.38,31106800
2012-11-30,90.43,97.16,86.2,96.02,30453500,90.43,97.16,86.2,96.02,30453500
2012-12-31,96.24,97.8,90.08,93.74,23005500,96.24,97.8,90.08,93.74,23005500
2013-01-31,96.15,103.2,91.3,93.99,32911800,96.15,103.2,91.3,93.99,32911800
2013-02-28,94.75,98.59,81.82,86.74,47738100,94.75,98.59,81.82,86.74,47738100
2013-03-29,86.74,94.48,86.09,92.14,30285200,86.74,94.48,86.09,92.14,30285200
