date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,6.91,7.48,6.54,6.59,2126629,34.55,37.4,32.7,32.95,425319
2011-03-31,6.58,6.64,4.37,5.21,6709012,32.9,33.2,21.85,26.05,1341794
2011-04-29,5.25,5.64,4.33,4.76,4308603,26.25,28.2,21.65,23.8,861713
2011-05-31,4.75,4.8,3.31,3.71,5934582,23.75,24.0,16.55,18.55,1186910
2011-06-30,3.7,3.8,2.99,3.2,4834941,18.5,19.0,14.95,16.0,966980
2011-07-29,3.2,3.32,2.88,3.19,3211685,16.0,16.6,14.4,15.95,642327
2011-08-31,3.19,3.27,2.1,2.7,6367069,15.95,16.35,10.5,13.5,1273405
2011-09-30,2.72,2.88,2.3,2.49,3208888,13.6,14.4,11.5,12.45,641770
2011-10-31,2.45,2.97,2.2,2.72,1629575,12.25,14.85,11.0,13.6,325909
2011-11-30,2.67,3.45,2.299,3.33,2478714,13.35,17.25,11.495,16.65,495733
2011-12-30,3.27,3.91,3.17,3.63,3375311,16.35,19.55,15.85,18.15,675051
2012-01-31,3.7,4.01,3.389,3.49,2029402,18.5,20.05,16.945,17.45,405871
2012-02-29,3.5,3.52,2.71,2.98,2359058,17.5,17.6,13.55,14.9,471802
2012-03-30,3.1,3.55,2.58,3.08,2592543,15.5,17.75,12.9,15.4,518502
2012-04-30,3.08,3.24,2.8,2.85,1337874,15.4,16.2,14.0,14.25,267567
2012-05-31,2.85,2.95,2.12,2.27,877397,14.25,14.75,10.6,11.35,175471
2012-06-29,2.22,2.9,2.16,2.38,1035546,11.1,14.5,10.8,11.9,207101
2012-07-31,2.35,2.48,1.6196,1.77,585777,11.75,12.4,8.098,8.85,117148
2012-08-31,1.78,2.47,1.41,1.47,1372975,8.9,12.35,7.05,7.35,274591
2012-09-28,1.47,1.99,1.33,1.89,2020514,7.35,9.95,6.65,9.45,404095
2012-10-31,1.86,2.59,1.81,2.27,1549647,9.3,12.95,9.05,11.35,309921
2012-11-30,2.255,2.31,1.475,2.16,1050558,11.275,11.55,7.375,10.8,210106
2012-12-31,2.2699,2.2699,1.825,1.92,763465,11.3495,11.3495,9.125,9.6,152684
2013-01-31,2.0108,2.47,1.998,2.34,892358,10.054,12.35,9.99,11.7,178465
2013-02-28,2.3,2.42,2.0,2.12,302396,11.5,12.1,10.0,10.6,60472
2013-03-29,2.13,2.39,1.7,1.79,938156,10.65,11.95,8.5,8.95,187624
2013-04-30,1.81,1.96,1.498,1.65,756110,9.05,9.8,7.49,8.25,151214
2013-05-31,1.65,2.06,1.58,1.86,1513333,8.25,10.3,7.9,9.3,302658
2013-06-28,1.8599,1.89,1.5301,1.84,1316935,9.2995,9.45,7.6505,9.2,263379
2013-07-31,1.84,1.89,1.7,1.79,1009875,9.2,9.45,8.5,8.95,201966
2013-08-30,1.82,1.85,1.68,1.78,1001060,9.1,9.25,8.4,8.9,200203
2013-09-30,1.78,1.85,1.72,1.76,603338,8.9,9.25,8.6,8.8,120660
2013-10-31,1.78,3.2,1.66,1.69,10900979,8.9,16.0,8.3,8.45,2180187
2013-11-29,1.7199,1.89,1.58,1.66,4079847,8.5995,9.45,7.9,8.3,815961
2013-12-31,1.68,2.23,1.55,2.03,10188127,8.4,11.15,7.75,10.15,2037618
2014-01-31,2.01,2.93,1.92,2.06,20870251,10.05,14.65,9.6,10.3,4174042
2014-02-28,2.07,2.66,1.9,2.56,10815876,10.35,13.3,9.5,12.8,2163168
2014-03-31,2.56,3.24,1.96,2.38,28004101,12.8,16.2,9.8,11.9,5600813
2014-04-30,2.36,2.46,1.96,2.16,5840297,11.8,12.3,9.8,10.8,1168049
2014-05-30,2.15,2.2,2.0,2.09,4133255,10.75,11.0,10.0,10.45,826644
2014-06-30,2.08,2.56,2.01,2.28,4616966,10.4,12.8,10.05,11.4,923385
2014-07-31,2.28,2.41,2.0,2.09,3733432,11.4,12.05,10.0,10.45,746679
2014-08-29,2.08,2.2,1.9,1.93,3116341,10.4,11.0,9.5,9.65,623259
2014-09-30,1.95,2.023,1.65,1.74,5461083,9.75,10.115,8.25,8.7,1092208
2014-10-31,1.7303,2.44,1.67,2.33,8897479,8.6515,12.2,8.35,11.65,1779488
2014-11-28,2.31,3.14,2.11,3.12,14229192,11.55,15.7,10.55,15.6,2845830
2014-12-31,3.15,3.2,2.25,2.56,9109975,15.75,16.0,11.25,12.8,1821985
2015-01-30,2.55,2.64,2.12,2.17,3376749,12.75,13.2,10.6,10.85,675340
2015-02-27,2.15,2.34,1.97,2.14,1138416,10.75,11.7,9.85,10.7,227677
2015-03-31,2.151,2.25,1.83,1.98,2006046,10.755,11.25,9.15,9.9,401199
2015-04-30,1.98,5.23,1.91,4.71,64684109,9.9,26.15,9.55,23.55,12936812
2015-05-29,4.69,6.6,3.91,6.34,25403013,23.45,33.0,19.55,31.7,5080595
2015-06-30,6.6,7.7,3.5099,4.86,75442831,33.0,38.5,17.5495,24.3,15088559
2015-07-31,4.83,4.92,3.385,4.73,34574594,24.15,24.6,16.925,23.65,6914907
2015-08-31,4.72,5.15,4.24,4.57,10272104,23.6,25.75,21.2,22.85,2054414
2015-09-30,4.43,5.42,4.39,5.37,17973324,22.15,27.1,21.95,26.85,3594659
