date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,4.93,5.2635,4.875,5.2635,103418,2.98663922720367,3.18867658669097,2.95331972264054,3.18867658669097,103418
2011-03-31,5.2635,5.57,4.99,5.3629,184608,3.18867658669097,3.37435709848366,3.02298777763617,3.28892778373193,184608
2011-04-29,5.35,5.84,5.181,5.61,196015,3.2810165475705,3.5815208668807,3.17737322111454,3.44046781904122,196015
2011-05-31,5.63,6.02,5.48,5.9555,251296,3.45273330146204,3.69191020866812,3.36074218330586,3.65235402786096,251296
2011-06-30,5.9688,6.0,5.5805,5.85,205542,3.66051057367081,3.67964472624729,3.4223762324705,3.62835124936963,205542
2011-07-29,5.98,6.34,5.88,5.97,127106,3.7089812771334,3.93226443094076,3.64695817885358,3.70277896730542,127106
2011-08-31,5.87,5.94,5.01,5.94,243318,3.64075586902559,3.68417203782147,3.10735722381912,3.68417203782147,243318
2011-09-30,5.8735,5.9478,5.3195,5.503,94223,3.64292667746539,3.6890098394873,3.29931871299517,3.45618347727075,94223
2011-10-31,5.5125,5.64,5.24,5.64,79414,3.46214999426767,3.5422269329106,3.29100516461907,3.5422269329106,79414
2011-11-30,5.48,5.9695,5.449,5.877,194778,3.44173822559399,3.74917086454075,3.42226853855139,3.69107583062333,194778
2011-12-30,5.95,6.41,5.81,6.2785,223113,3.73692380333653,4.0496749349256,3.6489961844345,3.98712311101308,223113
2012-01-31,6.2785,6.357,5.8582,6.0,105705,3.98712311101308,4.03697405697382,3.72021416085639,3.81026338553452,105705
2012-02-29,6.0,6.235,5.99,6.224,156164,3.81026338553452,3.95949870146796,3.80391294655863,3.95251321859448,156164
2012-03-30,6.3,6.502,5.69,5.779,260322,4.00077655481125,4.12905542212424,3.65656325585012,3.71375730326148,260322
2012-04-30,5.8,6.4435,5.61,6.41,97309,3.72725252793158,4.14078476960812,3.60515287615451,4.11925667311059,97309
2012-05-31,6.39,6.45,5.96,6.02,262151,4.10640407818669,4.14496186295839,3.83007328732279,3.8686310720945,262151
2012-06-29,6.02,6.49,5.8575,6.466,257063,3.8686310720945,4.20376095223188,3.7642037383378,4.20148671723183,257063
2012-07-31,6.42,6.8085,6.383,6.54,71649,4.17159677151691,4.42403685652225,4.14755485865926,4.24957054294713,71649
2012-08-31,6.63,6.92,6.55,6.76,190999,4.3080508715198,4.4964874858095,4.25606835723298,4.39252245723587,190999
2012-09-28,6.74,6.888,6.634,6.746,112708,4.37952682866417,4.47569448009478,4.31064999723414,4.43385684017528,112708
2012-10-31,6.75,7.102,6.75,6.9665,197802,4.4364858688383,4.66784039118364,4.4364858688383,4.578782045224,197802
2012-11-30,6.952,6.952,6.02,6.75,132976,4.56925181632057,4.56925181632057,3.95668813783801,4.4364858688383,132976
2012-12-31,6.71,6.911,6.58,6.854,130153,4.41019558220815,4.58987258608237,4.32475215066015,4.55597200651825,130153
2013-01-31,7.03,7.57,7.029,7.32,190180,4.67296224187676,5.03190955490855,4.67229752463041,4.86573024331976,190180
2013-02-28,7.325,7.53,7.2,7.4415,78806,4.86905382955153,5.00532086505434,4.78596417375714,4.94649338875191,78806
2013-03-29,7.42,7.64,7.2,7.2935,351982,4.93220196795527,5.07843976215341,4.79261134622069,4.89981370084169,351982
2013-04-30,7.27,7.86,6.93,7.852,102973,4.88402627066828,5.28039153885182,4.65561238730828,5.27501709453746,102973
2013-05-31,7.849,8.2075,7.34,7.34,137023,5.27300167791958,5.51384396375652,4.93105265841887,4.93105265841887,137023
2013-06-28,7.4503,7.46,6.63,6.6775,66036,5.00515280940301,5.01166932313417,4.45407072552004,4.54086417305497,66036
2013-07-31,6.74,7.086,6.57,6.78,74165,4.58336570968034,4.81865421643842,4.46776153005933,4.61056669312058,74165
2013-08-30,6.741,6.84,6.13,6.3261,118111,4.58404573426635,4.65136816828094,4.16855071221669,4.30190353353247,118111
2013-09-30,6.5,6.5,5.96,6.2378,107118,4.42015980903891,4.42015980903891,4.05294653259567,4.29996499769208,107118
2013-10-31,6.13,6.65,5.82,6.4983,96678,4.22565414663062,4.58411094210336,4.01195874932956,4.4795380654241,96678
