date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,5.42,6.95,4.51,6.13,380500,4.16592266152692,5.34191189992843,3.46647808182406,4.7116431577786,380500
2011-03-31,6.19,7.34,5.76,7.34,107400,4.75776038281395,5.64167386265823,4.42725360339392,5.64167386265823,107400
2011-04-29,7.34,9.34,6.29,6.74,104600,5.64167386265823,7.17891469717,4.83462242453954,5.18050161230469,104600
2011-05-31,6.72,6.93,4.19,4.96,356300,5.16512920395957,5.32653949158331,3.22051954830218,3.81235726958921,356300
2011-06-30,5.02,5.09,3.59,4.21,822400,3.85847449462456,3.91227792383248,2.75934729794864,3.23589195664729,822400
2011-07-29,4.11,4.38,3.7716,4.18,120200,3.1590299149217,3.36655742758079,2.89892876572231,3.21283334412962,120200
2011-08-31,4.34,4.55,3.62,4.13,88000,3.33581261089056,3.4972228985143,2.78240591046632,3.17440232326682,88000
2011-09-30,4.08,4.36,3.77,3.8,74600,3.13597130240403,3.35118501923568,2.8976989730547,2.92075758557238,74600
2011-10-31,3.76,4.05,3.6,3.92,39000,2.89001276888214,3.11291268988635,2.7670335021212,3.01299203564309,39000
2011-11-30,3.91,4.09,3.66,3.84,24300,3.00530583147053,3.14365750657659,2.81315072715655,2.95150240226261,24300
2011-12-30,3.79,3.86,2.57,3.15,105600,2.91307138139982,2.96687481060773,1.97535447234763,2.42115431435605,105600
2012-01-31,3.16,3.56,3.02,3.35,48800,2.42884051852861,2.73628868543096,2.32123366011278,2.57487839780723,48800
2012-02-29,3.346,4.02,3.05,3.83,84500,2.5718039161382,3.08985407736867,2.34429227263046,2.94381619809006,84500
2012-03-30,3.8,4.52,3.51,4.3024,85900,2.92075758557238,3.47416428599662,2.69785766456817,3.30691248320174,85900
2012-04-30,4.3,5.1,3.99,5.1,99200,3.30506779420032,3.91996412800503,3.066795464851,3.91996412800503,99200
2012-05-31,5.11,6.12,5.11,6.01,166800,3.92765033217759,4.70395695360604,3.92765033217759,4.61940870770789,166800
2012-06-29,6.1,6.1,5.18,5.89,704600,4.68858454526092,4.68858454526092,3.9814537613855,4.52717425763719,704600
2012-07-31,5.89,6.1,5.01,5.02,128600,4.52717425763719,4.68858454526092,3.850788290452,3.85847449462456,128600
2012-08-31,4.99,6.0,4.34,4.35,133200,3.83541588210689,4.61172250353533,3.33581261089056,3.34349881506312,133200
2012-09-28,4.36,5.4999,4.36,4.88,171700,3.35118501923568,4.22733543286566,3.35118501923568,3.75086763620874,171700
2012-10-31,4.86,5.13,4.71,4.86,101300,3.73549522786362,3.94302274052271,3.62020216527524,3.73549522786362,101300
2012-11-30,4.85,5.07,3.53,4.89,129000,3.72780902369106,3.89690551548736,2.71323007291329,3.7585538403813,129000
2012-12-31,4.95,5.05,4.14,4.89,97200,3.80467106541665,3.93149343426387,3.18208852743938,3.82206816969191,97200
2013-01-31,5.0,5.2,4.61,5.04,86300,3.90804516328417,4.06436696981553,3.603217640548,3.93930952459044,86300
2013-02-28,5.0,5.58,3.6,5.22,411600,3.90804516328417,4.36137840222513,2.8137925175646,4.07999915046867,411600
2013-03-29,5.16,6.9,4.82,5.9,101800,4.03310260850926,5.39310232533215,3.76735553740594,4.61149329267532,101800
2013-04-30,5.59,6.79,5.055,6.53,78800,4.3691944925517,5.3071253317399,3.95103366008029,5.10390698324912,78800
2013-05-31,6.47,8.2,5.96,7.32,138200,5.05701044128971,6.40919406778603,4.65838983463473,5.72137811904802,138200
2013-06-28,7.15,9.14,7.0,8.38,373700,5.58850458349636,7.14390655848346,5.47126322859783,6.54988369366426,373700
2013-07-31,8.4,10.0,7.4,8.03,437700,6.5655158743174,7.81609032656833,5.78390684166057,6.27632053223437,437700
2013-08-30,7.961,8.43,7.0,7.47,122700,6.22238950898105,6.58896414529711,5.47126322859783,5.83861947394655,122700
2013-09-30,7.64,9.03,7.2,8.69,218900,5.97149300949821,7.05792956489121,5.6275850351292,6.79218249378788,218900
