date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,1.94,2.94,1.78,2.82,3871000,3.19306428462657,4.83897370969181,2.92971877661613,4.64146457868398,387100
2011-03-31,2.87,2.95,2.17,2.29,5839000,4.72376004993724,4.85543280394246,3.57162345239157,3.7691325833994,583900
2011-04-29,2.32,5.14,2.3,5.04,9383000,3.81850986615136,8.45997444483534,3.78559167765006,8.29538350232882,938300
2011-05-31,5.1,5.48,4.0709,4.46,8539000,8.39413806783273,9.01958364935752,6.70033267849809,7.34075603579098,853900
2011-06-30,4.44,4.51,3.0,3.87,5173000,7.30783784728967,7.42305150704424,4.93772827519572,6.36966947500249,517300
2011-07-29,3.86,4.03,3.3,3.64,2003000,6.35321038075183,6.63301498301292,5.4315011027153,5.99111030723748,200300
2011-08-31,3.74,3.8,2.25,2.91,3989000,6.155701249744,6.25445581524792,3.70329620639679,4.78959642693985,398900
2011-09-30,2.94,2.968,2.11,2.23,1512000,4.83897370969181,4.88505917359364,3.47286888688766,3.67037801789549,151200
2011-10-31,2.21,2.66,1.73,2.52,1236000,3.63745982939418,4.37811907067354,2.84742330536287,4.14769175116441,123600
2011-11-30,2.36,2.75,2.04,2.37,1264000,3.88434624315397,4.52625091892941,3.35765522713309,3.90080533740462,126400
2011-12-30,2.38,2.53,1.92,2.25,1007000,3.91726443165527,4.16415084541506,3.16014609612526,3.70329620639679,100700
2012-01-31,2.33,2.89,2.2,2.67,1090000,3.83496896040201,4.75667823843855,3.62100073514353,4.3945781649242,109000
2012-02-29,2.7,3.69,2.491,3.4,2127000,4.44395544767615,6.07340577849074,4.09996037783752,5.59609204522182,212700
2012-03-30,3.36,4.18,3.21,3.77,1649994,5.53025566821921,6.87990139677271,5.28336925445943,6.20507853249596,164999
2012-04-30,3.76,4.0,3.1,3.15,1071000,6.18861943824531,6.58363770026097,5.10231921770225,5.18461468895551,107100
2012-05-31,3.11,3.39,2.37,3.29,1726759,5.1187783119529,5.57963295097117,3.90080533740462,5.41504200846465,172675
2012-06-29,3.25,3.35,2.681,2.88,801000,5.34920563146204,5.51379657396856,4.41268316859991,4.7402191441879,80100
2012-07-31,2.85,3.05,2.49,2.93,818393,4.69084186143594,5.02002374644899,4.09831446841245,4.82251461544116,81839
2012-08-31,2.94,3.36,2.66,3.1,923000,4.83897370969181,5.53025566821921,4.37811907067354,5.10231921770225,92300
2012-09-28,3.1051,3.8484,2.87,3.77,1209000,5.11071335577008,6.33411783142108,4.72376004993724,6.20507853249596,120900
2012-10-31,3.85,3.96,3.44,3.45,883000,6.33675128650118,6.51780132325836,5.66192842222443,5.67838751647508,88300
2012-11-30,3.44,3.7,3.31,3.58,919000,5.66192842222443,9.54021324256655,5.44796019696595,9.23080092118601,91900
2012-12-31,3.54,3.7,1.6901,2.1,3039000,9.12766348072583,14.503844237021,8.79246679923025,11.3649525737851,303900
2013-01-31,2.18,2.26,1.81,2.17,2644000,11.7979031480245,12.230853722264,9.79550674216716,11.7437843262446,264400
2013-02-28,2.17,2.5,2.11,2.26,1221495,11.7437843262446,13.5297054449823,11.419071395565,12.230853722264,122149
2013-03-29,2.23,2.95,2.2033,2.73,1826000,12.0684972569242,15.9650524250791,11.9240000027718,14.7744383459206,182600
2013-04-30,2.7,2.8,2.06,2.41,1602146,14.6120818805808,15.1532700983801,11.1484772866654,13.0426360489629,160214
2013-05-31,2.45,29.28,2.28,26.37,15967900,13.2591113360826,15.8459910171632,12.3390913658238,14.2711333033673,15602500
2013-06-28,26.29,26.775,23.28,24.7,8805300,14.2278382459433,14.490314531576,12.5988617103675,13.3673489796425,8805300
2013-07-31,24.94,26.09,23.89,25.28,4731600,13.4972341519143,14.1196006023835,12.928986523225,13.6812381459661,4731600
2013-08-30,25.86,26.55,24.805,25.6,3241400,13.9951273122897,14.3685471825712,13.4241737425114,13.8544183756618,3241400
2013-09-30,25.83,26.55,24.73,25.19,3060700,13.9788916657557,14.3685471825712,13.4864103875583,13.7768756544315,3060700
2013-10-31,25.19,25.74,24.39,24.49,3275400,13.7768756544315,14.0776807997248,13.3393408976413,13.3940327422401,3275400
2013-11-29,24.82,26.0,24.31,25.84,5155563,13.574515829416,14.2198795956816,13.2955874219623,14.1323726443235,5155563
2013-12-31,26.0,28.2,25.75,27.13,8237000,14.2198795956816,15.4231001768546,14.0831499841847,15.0829269386511,8237000
2014-01-31,27.8,28.2,26.95,28.06,13105100,15.4554135235717,15.6777935742706,14.9828559158366,15.599960556526,13105100
2014-02-28,28.15,29.66,27.415,28.97,8132900,15.6499960679332,16.4894807593215,15.2413727247741,16.1058751718659,8132900
2014-03-31,28.92,29.68,28.4,28.75,7031700,16.0780776655286,16.5005997618564,15.78898359962,16.2510735271444,7031700
2014-04-30,28.75,28.8,27.84,28.43,13328100,16.2510735271444,16.2793362637134,15.7366917215896,16.0701920131032,13328100
2014-05-30,28.51,29.99,28.08,29.72,9339900,16.1154123916135,16.9519893940543,15.8723528571205,16.799370616582,9339900
2014-06-30,29.82,30.04,28.59,29.0,10848200,16.8558960897199,16.9802521306232,16.1775904120652,16.6639904499199,10848200
2014-07-31,29.09,29.24,28.14,28.47,5666900,16.7157062823507,16.801899336402,16.1698169400258,16.3594416589386,5666900
2014-08-29,28.5,29.14,27.93,29.05,5933300,16.3766802697489,16.7444373003678,16.0491466643539,16.692721467937,5933300
2014-09-30,29.1,29.25,27.08,27.1,15023833,16.7214524859541,16.8076455400055,15.8443635315605,15.856065424863,15023833
2014-10-31,27.19,28.3199,26.51,27.92,8877716,15.9087239447241,16.5698224068479,15.5108595724398,16.3358430502647,8877716
2014-11-28,27.92,28.73,27.57,28.56,4986649,16.3358430502647,16.8097697290152,16.1310599174713,16.7103036359442,4986649
2014-12-31,28.62,29.7,28.1,29.14,11387668,16.7454093158516,17.5549181588176,16.4411600899871,17.3524530240144,11387668
2015-01-30,29.25,29.44,28.37,29.2,5626377,17.4179564499801,17.5310987311936,16.8939290422542,17.3881821654502,5626377
2015-02-27,29.28,29.66,28.05,28.91,5365334,17.435821020698,17.6621055831251,16.703373621263,17.2154913151769,5365334
2015-03-31,29.0,29.2,27.73,28.37,9429546,17.2690850273307,17.3881821654502,16.6140507676733,17.2093632649462,9429546
2015-04-30,28.42,31.8,28.09,30.73,33879584,17.2396934786666,19.2900159261646,17.0395140681121,18.6409493525484,33879584
2015-05-29,30.65,31.35,29.92,30.22,9091692,18.5924210105957,19.0170440026811,18.1495998902781,18.3315811726004,9091692
2015-06-30,30.31,30.5,27.62,27.82,31619139,18.3861755572971,18.5014303694346,17.0646769120875,17.1882444494668,31619139
2015-07-31,27.91,29.425,27.8271,29.17,13350351,17.2438498412875,18.1798739369361,17.1926310970438,18.0223253267774,13350351
2015-08-31,29.2,29.88,22.34,27.69,12439901,18.0408604573843,18.4609900844741,13.8024939252728,17.1079255501703,12439901
2015-09-30,27.4,29.86,26.8,27.44,18242847,16.9287526209702,18.4486333307361,16.5580500088322,17.3387721768198,18242847
2015-10-30,27.46,29.0,27.1,27.52,12168307,17.35140976587,18.3245041227323,17.1239331629671,17.3893225330205,12168307
2015-11-30,27.64,29.039,26.655,28.9,8519778,17.4651480673214,18.3491474213802,16.8427468066011,18.2613161774815,8519778
2015-12-31,28.96,29.0599,26.24,26.76,11347636,18.299228944632,18.3623537019376,16.5805168338102,17.2962299826613,11347636
2016-01-29,26.64,27.0192,22.13,24.78,15059739,17.2186684132324,17.4637629726279,14.3036460955267,16.0164640870832,15059739
2016-02-29,24.79,26.12,22.489,24.74,11031764,16.0229275512023,16.8825682790401,14.5356844574017,15.9906102306069,11031764
2016-03-31,24.92,27.2,24.86,26.86,12353080,16.1069525847504,17.8430603339935,16.0681718000359,17.7636990574894,12353080
2016-04-29,26.57,27.64,26.02,27.48,9302715,17.571909305938,18.2795473547657,17.2081701219611,18.173732319427,9302715
2016-05-31,27.48,28.68,27.08,28.19,11299749,18.173732319427,18.9673450844675,17.9091947310802,18.6432865387426,11299749
2016-06-30,28.03,28.9,26.4601,27.67,11308305,18.5374715034039,19.1128407580582,17.5586824265206,18.718974225586,11308305
2016-07-29,27.72,29.15,26.82,29.01,12321849,18.7527996217291,19.7202059514215,18.1439424911535,19.6254948422208,12321849
2016-08-31,29.01,29.84,28.55,29.82,11548426,19.6254948422208,20.1869964181961,19.3143011977044,20.1734662597389,11548426
2016-09-30,29.86,30.46,28.55,29.45,14133189,20.2005265766534,20.7105817682397,19.3143011977044,20.3376669914859,14133189
2016-10-31,29.3,30.81,27.891,30.2,10601143,20.2340795534987,21.2768597625697,19.2610482193389,20.8556041814218,10601143
2016-11-30,30.25,30.58,29.0,30.08,13359490,20.8901333274176,21.1180256909894,20.0269046775243,20.7727342310321,13359490
2016-12-30,30.08,31.35,29.73,30.07,16707383,20.7727342310321,21.6497745393236,20.5310302090619,21.1964241747137,16707383
2017-01-31,30.19,31.405,30.13,30.49,11467120,21.2810124986567,22.1374692785795,21.2387183366852,21.4924833085142,11467120
2017-02-28,30.54,31.53,30.25,31.14,14070663,21.5277284434904,22.2255821160201,21.3233066606282,21.9506700632054,14070663
