date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,22.38,25.68,22.29,25.04,73870500,22.38,25.68,22.29,25.04,73870500
2011-03-31,25.17,27.97,24.3,26.7,86379100,25.17,27.97,24.3,26.7,86379100
2011-04-29,26.99,29.88,26.29,26.71,75485600,26.99,29.88,26.29,26.71,75485600
2011-05-31,26.94,27.96,25.58,26.43,68076300,26.94,27.96,25.58,26.43,68076300
2011-06-30,26.4,26.61,22.45,25.11,80570200,26.4,26.61,22.45,25.11,80570200
2011-07-29,25.06,26.29,20.51,21.8,89277800,25.06,26.29,20.51,21.8,89277800
2011-08-31,22.11,22.28,13.42,15.16,166005500,22.11,22.28,13.42,15.16,166005500
2011-09-30,15.24,15.51,12.3,13.46,145077100,15.24,15.51,12.3,13.46,145077100
2011-10-31,13.34,19.61,12.51,17.78,120828200,13.34,19.61,12.51,17.78,120828200
2011-11-30,17.28,17.98,14.32,16.81,105905300,17.28,17.98,14.32,16.81,105905300
2011-12-30,16.79,17.71,14.18,15.22,105491600,16.79,17.71,14.18,15.22,105491600
2012-01-31,15.68,19.7,15.56,19.3,86129800,15.68,19.7,15.56,19.3,86129800
2012-02-29,19.46,19.66,17.76,18.33,71545400,19.46,19.66,17.76,18.33,71545400
2012-03-30,18.43,21.16,17.69,19.96,83551000,18.43,21.16,17.69,19.96,83551000
2012-04-30,19.97,20.46,17.61,18.81,62137900,19.97,20.46,17.61,18.81,62137900
2012-05-31,18.79,19.66,15.73,16.45,69914000,18.79,19.66,15.73,16.45,69914000
2012-06-29,15.38,17.02,15.09,16.36,62300000,15.38,17.02,15.09,16.36,62300000
2012-07-31,16.49,16.58,14.97,15.58,57288400,16.49,16.58,14.97,15.58,57288400
2012-08-31,16.04,18.45,15.77,17.31,55749500,16.04,18.45,15.77,17.31,55749500
2012-09-28,17.31,20.89,16.73,18.41,85093200,17.31,20.89,16.73,18.41,85093200
2012-10-31,18.52,19.74,16.86,18.02,64903800,18.52,19.74,16.86,18.02,64903800
2012-11-30,17.94,19.05,17.16,18.93,59205600,17.94,19.05,17.16,18.93,59205600
2012-12-31,18.93,20.55,18.33,19.9,44701700,18.93,20.55,18.33,19.9,44701700
2013-01-31,20.34,22.29,19.78,21.58,55863200,20.34,22.29,19.78,21.58,55863200
2013-02-28,21.76,24.86,21.59,24.17,69131400,21.76,24.86,21.59,24.17,69131400
2013-03-29,23.87,25.45,23.85,25.25,50994000,23.87,25.45,23.85,25.25,50994000
2013-04-30,25.28,25.69,23.17,24.22,51180400,25.28,25.69,23.17,24.22,51180400
2013-05-31,24.1,25.37,22.97,23.18,55510700,24.1,25.37,22.97,23.18,55510700
2013-06-28,23.24,23.56,20.59,23.36,65351600,23.24,23.56,20.59,23.36,65351600
2013-07-31,23.55,24.5,22.91,23.17,50257100,23.55,24.5,22.91,23.17,50257100
2013-08-30,23.36,23.59,21.24,21.87,56344000,23.36,23.59,21.24,21.87,56344000
2013-09-30,22.19,24.5,21.71,23.13,43453900,22.19,24.5,21.71,23.13,43453900
2013-10-31,23.09,24.6,21.86,23.23,74600900,23.09,24.6,21.86,23.23,74600900
2013-11-29,23.15,24.48,22.0,24.24,70724600,23.15,24.48,22.0,24.24,70724600
2013-12-31,24.25,26.58,24.05,26.3,44714600,24.25,26.58,24.05,26.3,44714600
2014-01-31,26.27,27.43,25.47,26.54,49830600,26.27,27.43,25.47,26.54,49830600
2014-02-28,26.48,28.06,25.5,27.95,50921900,26.48,28.06,25.5,27.95,50921900
2014-03-31,27.79,28.44,26.16,27.43,43379500,27.79,28.44,26.16,27.43,43379500
2014-04-30,27.56,28.06,25.84,26.64,34246000,27.56,28.06,25.84,26.64,34246000
2014-05-30,29.0,29.87,28.15,29.84,50160800,29.0,29.87,28.15,29.84,50160800
2014-06-30,29.89,32.06,29.78,32.04,44450000,29.89,32.06,29.78,32.04,44450000
2014-07-31,32.04,33.77,30.6,30.84,45148100,32.04,33.77,30.6,30.84,45148100
2014-08-29,30.66,32.05,30.2,31.78,38605400,30.66,32.05,30.2,31.78,38605400
2014-09-30,31.84,32.05,29.51,29.74,38990500,31.84,32.05,29.51,29.74,38990500
2014-10-31,29.65,32.08,27.49,32.0,42238500,29.65,32.08,27.49,32.0,42238500
2014-11-28,32.0,33.99,31.65,33.74,24583900,32.0,33.99,31.65,33.74,24583900
2014-12-31,33.66,35.37,31.95,34.25,43076100,33.66,35.37,31.95,34.25,43076100
2015-01-30,34.51,34.87,32.29,32.34,42722700,34.51,34.87,32.29,32.34,42722700
2015-02-27,32.49,35.13,31.75,34.26,31876000,32.49,35.13,31.75,34.26,31876000
2015-03-31,34.26,38.99,33.97,38.71,39159700,34.26,38.99,33.97,38.71,39159700
2015-04-30,38.81,39.77,37.93,38.34,29439200,38.81,39.77,37.93,38.34,29439200
2015-05-29,38.64,39.0,36.52,38.24,33850900,38.64,39.0,36.52,38.24,33850900
2015-06-30,38.36,38.71,36.28,37.0,34660000,38.36,38.71,36.28,37.0,34660000
2015-07-31,37.37,38.76,36.81,37.97,32313300,37.37,38.76,36.81,37.97,32313300
2015-08-31,37.94,38.63,31.28,32.02,46926200,37.94,38.63,31.28,32.02,46926200
2015-09-30,31.31,34.04,30.85,32.0,55501500,31.31,34.04,30.85,32.0,55501500
2015-10-30,31.96,38.49,31.14,37.28,56519800,31.96,38.49,31.14,37.28,56519800
2015-11-30,37.35,37.72,34.4,37.47,39832400,37.35,37.72,34.4,37.47,39832400
2015-12-31,37.5,37.79,33.5,34.58,36819300,37.5,37.79,33.5,34.58,36819300
2016-01-29,33.84,34.46,26.99,27.97,61015700,33.84,34.46,26.99,27.97,61015700
2016-02-29,27.76,28.61,22.74,25.41,88665500,27.76,28.61,22.74,25.41,88665500
2016-03-31,25.7,29.69,25.2,28.82,72609000,25.7,29.69,25.2,28.82,72609000
