date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,45.23,51.61,45.0,49.84,51975900,45.23,51.61,45.0,49.84,51975900
2011-03-31,49.96,51.48,47.11,51.05,33940000,49.96,51.48,47.11,51.05,33940000
2011-04-29,51.39,55.6471,50.93,54.93,33339100,51.39,55.6471,50.93,54.93,33339100
2011-05-31,55.22,55.91,52.32,54.92,28668200,55.22,55.91,52.32,54.92,28668200
2011-06-30,54.93,56.923,51.68,56.85,34837900,54.93,56.923,51.68,56.85,34837900
2011-07-29,56.64,61.46,55.27,57.65,49209400,56.64,61.46,55.27,57.65,49209400
2011-08-31,58.12,58.86,47.79,54.44,64573200,58.12,58.86,47.79,54.44,64573200
2011-09-30,54.44,58.04,51.0,52.76,41368400,54.44,58.04,51.0,52.76,41368400
2011-10-31,52.35,61.6,50.85,57.63,41033700,52.35,61.6,50.85,57.63,41033700
2011-11-30,56.4,59.5,52.24,55.34,38393900,56.4,59.5,52.24,55.34,38393900
2011-12-30,55.2,56.7,50.74,52.54,35530800,55.2,56.7,50.74,52.54,35530800
2012-01-31,53.49,57.16,50.64,56.29,41528400,53.49,57.16,50.64,56.29,41528400
2012-02-29,57.0,59.5,56.46,58.16,25593500,57.0,59.5,56.46,58.16,25593500
2012-03-30,58.31,64.684,57.4,63.84,28361100,58.31,64.684,57.4,63.84,28361100
2012-04-30,63.81,65.0,56.58,58.125,43574900,63.81,65.0,56.58,58.125,43574900
2012-05-31,57.92,58.9,50.55,51.24,48408600,57.92,58.9,50.55,51.24,48408600
2012-06-29,51.09,54.15,46.94,49.59,48390700,51.09,54.15,46.94,49.59,48390700
2012-07-31,49.5,50.47,43.18,48.57,62675600,49.5,50.47,43.18,48.57,62675600
2012-08-31,48.19,51.88,45.45,46.09,49858800,48.19,51.88,45.45,46.09,49858800
2012-09-28,45.86,49.32,44.77,48.16,45551500,45.86,49.32,44.77,48.16,45551500
2012-10-31,47.68,48.37,40.6,44.52,81541100,47.68,48.37,40.6,44.52,81541100
2012-11-30,44.65,46.69,42.905,46.17,38432200,44.65,46.69,42.905,46.17,38432200
2012-12-31,46.28,48.75,44.44,47.64,30343600,46.28,48.75,44.44,47.64,30343600
2013-01-31,48.54,50.046,45.75,50.0,55456200,48.54,50.046,45.75,50.0,55456200
2013-02-28,50.0,53.0195,49.93,52.51,29946400,50.0,53.0195,49.93,52.51,29946400
2013-03-29,52.47,52.47,46.325,46.99,41655623,52.47,52.47,46.325,46.99,41655623
2013-04-30,46.89,48.47,44.406,46.62,58187400,46.89,48.47,44.406,46.62,58187400
2013-05-31,46.59,51.61,46.39,50.08,37378000,46.59,51.61,46.39,50.08,37378000
2013-06-28,49.77,51.16,48.0,49.68,27041400,49.77,51.16,48.0,49.68,27041400
2013-07-31,49.81,57.29,48.83,56.32,41378700,49.81,57.29,48.83,56.32,41378700
2013-08-30,56.92,59.49,55.38,56.07,22633600,56.92,59.49,55.38,56.07,22633600
2013-09-30,56.5,58.95,56.0,56.56,15853800,56.5,58.95,56.0,56.56,15853800
2013-10-31,56.67,62.32,55.08,58.02,28019100,56.67,62.32,55.08,58.02,28019100
2013-11-29,58.33,63.29,57.72,61.86,19306100,58.33,63.29,57.72,61.86,19306100
2013-12-31,61.65,64.95,59.63,64.499,18112000,61.65,64.95,59.63,64.499,18112000
2014-01-31,63.65,68.89,63.04,65.43,25843800,63.65,68.89,63.04,65.43,25843800
2014-02-28,64.72,68.34,62.311,67.42,23395500,64.72,68.34,62.311,67.42,23395500
2014-03-31,66.87,69.92,65.18,67.63,20061600,66.87,69.92,65.18,67.63,20061600
2014-04-30,67.31,68.5,60.5,64.06,20660500,67.31,68.5,60.5,64.06,20660500
2014-05-30,64.11,66.34,62.77,64.48,23740200,64.11,66.34,62.77,64.48,23740200
2014-06-30,64.7,68.13,63.93,67.03,14936600,64.7,68.13,63.93,67.03,14936600
2014-07-31,67.07,68.99,63.7,67.87,22821800,67.07,68.99,63.7,67.87,22821800
2014-08-29,67.55,71.14,65.275,71.02,16454400,67.55,71.14,65.275,71.02,16454400
2014-09-30,72.15,72.78,68.22,69.24,17570809,72.15,72.78,68.22,69.24,17570809
2014-10-31,69.23,74.88,65.27,74.25,27956381,69.23,74.88,65.27,74.25,27956381
2014-11-28,74.01,77.86,73.16,77.31,15852047,74.01,77.86,73.16,77.31,15852047
2014-12-31,76.73,80.82,75.32,78.57,20843821,76.73,80.82,75.32,78.57,20843821
2015-01-30,78.78,81.57,76.79,77.17,25791305,78.78,81.57,76.79,77.17,25791305
2015-02-27,77.15,84.58,75.35,83.49,27445612,77.15,84.58,75.35,83.49,27445612
2015-03-31,83.37,86.0,80.4235,81.97,20274653,83.37,86.0,80.4235,81.97,20274653
2015-04-30,81.82,88.1823,81.22,83.48,25959970,81.82,88.1823,81.22,83.48,25959970
2015-05-29,83.77,88.49,82.23,84.72,24741777,83.77,88.49,82.23,84.72,24741777
2015-06-30,85.44,85.44,78.12,79.55,25639925,85.44,85.44,78.12,79.55,25639925
2015-07-31,80.2,86.71,76.82,80.77,44902496,80.2,86.71,76.82,80.77,44902496
2015-08-31,80.81,82.99,65.09,78.01,29055902,80.81,82.99,65.09,78.01,29055902
2015-09-30,76.74,81.25,76.31,79.33,23273617,76.74,81.25,76.31,79.33,23273617
