date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,4.07,4.2,3.57,3.74,4918400,4.07,4.2,3.57,3.74,4918400
2011-03-31,3.75,4.33,3.43,4.25,4910400,3.75,4.33,3.43,4.25,4910400
2011-04-29,4.3,4.55,4.15,4.4,4046600,4.3,4.55,4.15,4.4,4046600
2011-05-31,4.43,4.96,3.96,4.94,4683100,4.43,4.96,3.96,4.94,4683100
2011-06-30,4.94,5.07,3.67,3.99,9131300,4.94,5.07,3.67,3.99,9131300
2011-07-29,4.0,4.015,3.51,3.58,3850400,4.0,4.015,3.51,3.58,3850400
2011-08-31,3.61,3.6301,2.54,2.83,4706300,3.61,3.6301,2.54,2.83,4706300
2011-09-30,2.83,3.21,2.51,3.1,3764700,2.83,3.21,2.51,3.1,3764700
2011-10-31,3.03,3.56,2.7,3.17,3639600,3.03,3.56,2.7,3.17,3639600
2011-11-30,3.06,3.529,2.93,3.16,3013900,3.06,3.529,2.93,3.16,3013900
2011-12-30,3.16,3.5793,3.05,3.42,3214100,3.16,3.5793,3.05,3.42,3214100
2012-01-31,3.51,3.58,2.72,3.43,6486000,3.51,3.58,2.72,3.43,6486000
2012-02-29,3.46,4.9,2.5,3.93,27974100,3.46,4.9,2.5,3.93,27974100
2012-03-30,3.96,4.17,3.73,3.93,9766000,3.96,4.17,3.73,3.93,9766000
2012-04-30,3.93,4.1,3.54,3.74,3524700,3.93,4.1,3.54,3.74,3524700
2012-05-31,3.73,4.21,3.49,4.09,8814200,3.73,4.21,3.49,4.09,8814200
2012-06-29,4.0,4.55,3.96,4.49,5845200,4.0,4.55,3.96,4.49,5845200
2012-07-31,4.24,4.51,3.61,3.62,6632100,4.24,4.51,3.61,3.62,6632100
2012-08-31,3.65,3.75,2.79,2.89,4213700,3.65,3.75,2.79,2.89,4213700
2012-09-28,2.89,3.03,2.48,2.79,9062700,2.89,3.03,2.48,2.79,9062700
2012-10-31,2.82,2.84,2.43,2.5,2019900,2.82,2.84,2.43,2.5,2019900
2012-11-30,2.48,2.48,1.27,1.44,14355800,2.48,2.48,1.27,1.44,14355800
2012-12-31,1.46,1.85,1.284,1.43,12139600,1.46,1.85,1.284,1.43,12139600
2013-01-31,1.52,2.2,1.43,2.17,13995000,1.52,2.2,1.43,2.17,13995000
2013-02-28,2.17,2.23,1.59,1.635,6825200,2.17,2.23,1.59,1.635,6825200
2013-03-29,1.6,2.08,1.56,2.0,4686700,1.6,2.08,1.56,2.0,4686700
2013-04-30,1.99,2.01,1.62,1.77,2914700,1.99,2.01,1.62,1.77,2914700
2013-05-31,1.77,1.94,1.6,1.82,2935200,1.77,1.94,1.6,1.82,2935200
2013-06-28,1.84,1.9,1.69,1.73,2637300,1.84,1.9,1.69,1.73,2637300
2013-07-31,1.76,2.19,1.72,2.11,4092100,1.76,2.19,1.72,2.11,4092100
2013-08-30,2.14,2.2,1.47,1.66,3887600,2.14,2.2,1.47,1.66,3887600
2013-09-30,1.69,1.77,1.56,1.59,2010200,1.69,1.77,1.56,1.59,2010200
2013-10-31,1.6,1.87,1.57,1.69,2574100,1.6,1.87,1.57,1.69,2574100
2013-11-29,1.68,2.16,1.6,2.15,3723700,1.68,2.16,1.6,2.15,3723700
2013-12-31,2.16,3.24,1.97,3.21,10051300,2.16,3.24,1.97,3.21,10051300
2014-01-31,3.22,3.978,2.7,3.44,10927000,3.22,3.978,2.7,3.44,10927000
2014-02-28,3.45,3.63,2.75,3.28,7625600,3.45,3.63,2.75,3.28,7625600
2014-03-31,3.26,4.4654,3.15,4.36,13852700,3.26,4.4654,3.15,4.36,13852700
2014-04-30,4.41,4.49,3.36,4.42,12642200,4.41,4.49,3.36,4.42,12642200
2014-05-30,4.36,4.36,1.69,2.26,19898600,4.36,4.36,1.69,2.26,19898600
2014-06-30,2.24,2.97,2.08,2.8,8100500,2.24,2.97,2.08,2.8,8100500
2014-07-31,2.83,2.94,2.27,2.39,4271900,2.83,2.94,2.27,2.39,4271900
2014-08-29,2.41,3.02,2.32,2.76,5369300,2.41,3.02,2.32,2.76,5369300
2014-09-30,2.76,2.9318,2.592,2.68,2831434,2.76,2.9318,2.592,2.68,2831434
2014-10-31,2.69,3.5,2.59,3.25,5584034,2.69,3.5,2.59,3.25,5584034
2014-11-28,3.29,3.3816,2.87,3.03,3043862,3.29,3.3816,2.87,3.03,3043862
2014-12-31,3.04,3.56,2.7799,3.0,3799154,3.04,3.56,2.7799,3.0,3799154
2015-01-30,3.01,3.18,2.6935,2.91,1874629,3.01,3.18,2.6935,2.91,1874629
2015-02-27,2.9,3.5,2.84,3.31,2282367,2.9,3.5,2.84,3.31,2282367
2015-03-31,3.31,6.34,3.31,5.6,10832320,3.31,6.34,3.31,5.6,10832320
2015-04-30,5.55,6.65,5.5,5.77,8372903,5.55,6.65,5.5,5.77,8372903
2015-05-29,5.83,6.17,5.401,6.12,6289004,5.83,6.17,5.401,6.12,6289004
2015-06-30,6.11,7.6662,5.7838,6.01,10961373,6.11,7.6662,5.7838,6.01,10961373
2015-07-31,6.05,6.15,4.6,5.04,6120882,6.05,6.15,4.6,5.04,6120882
2015-08-31,5.01,5.66,4.14,5.0,7415981,5.01,5.66,4.14,5.0,7415981
2015-09-30,4.9,5.2701,3.362,3.76,6889336,4.9,5.2701,3.362,3.76,6889336
2015-10-30,3.84,4.02,3.45,3.69,5188811,3.84,4.02,3.45,3.69,5188811
2015-11-30,3.7,5.41,3.61,5.28,5601674,3.7,5.41,3.61,5.28,5601674
2015-12-31,5.28,5.71,4.33,4.98,7352144,5.28,5.71,4.33,4.98,7352144
2016-01-29,4.85,4.915,3.22,3.65,5806648,4.85,4.915,3.22,3.65,5806648
2016-02-29,3.65,4.08,3.27,3.82,4405308,3.65,4.08,3.27,3.82,4405308
2016-03-31,3.85,4.78,3.8,4.68,4567102,3.85,4.78,3.8,4.68,4567102
2016-04-29,4.68,5.25,4.55,4.77,3765308,4.68,5.25,4.55,4.77,3765308
2016-05-31,4.75,6.0,4.6,5.95,6404314,4.75,6.0,4.6,5.95,6404314
2016-06-30,5.93,6.33,4.95,5.46,12028390,5.93,6.33,4.95,5.46,12028390
2016-07-29,5.43,6.15,5.4101,5.8,4762097,5.43,6.15,5.4101,5.8,4762097
2016-08-31,5.83,6.16,5.31,5.33,6348638,5.83,6.16,5.31,5.33,6348638
2016-09-30,5.33,6.72,5.24,6.5,6912429,5.33,6.72,5.24,6.5,6912429
2016-10-31,6.31,7.18,6.11,6.94,7264411,6.31,7.18,6.11,6.94,7264411
2016-11-30,6.97,10.0,6.8,8.39,22086913,6.97,10.0,6.8,8.39,22086913
2016-12-30,8.4,8.69,7.184,7.26,16582171,8.4,8.69,7.184,7.26,16582171
2017-01-31,7.29,8.4,6.7,7.11,11257583,7.29,8.4,6.7,7.11,11257583
2017-02-28,7.02,9.32,7.02,8.99,12222106,7.02,9.32,7.02,8.99,12222106
2017-03-31,9.07,11.58,8.9,10.96,25545165,9.07,11.58,8.9,10.96,25545165
2017-04-28,11.0,11.24,8.9,9.54,17164689,11.0,11.24,8.9,9.54,17164689
2017-05-31,9.56,12.49,8.99,11.31,25865115,9.56,12.49,8.99,11.31,25865115
2017-06-30,11.32,12.74,10.4,11.8,20852304,11.32,12.74,10.4,11.8,20852304
2017-07-31,11.83,13.25,11.53,12.47,13434165,11.83,13.25,11.53,12.47,13434165
2017-08-31,12.5,17.06,11.98,16.67,31681827,12.5,17.06,11.98,16.67,31681827
2017-09-29,17.0,19.6,15.98,19.3,29156169,17.0,19.6,15.98,19.3,29156169
2017-10-31,19.5,20.77,16.05,19.69,34313538,19.5,20.77,16.05,19.69,34313538
2017-11-30,19.75,19.93,16.25,17.94,27395952,19.75,19.93,16.25,17.94,27395952
2017-12-29,17.97,19.62,15.3,18.06,48305468,17.97,19.62,15.3,18.06,48305468
2018-01-31,18.07,25.96,17.85,23.015,40085335,18.07,25.96,17.85,23.015,40085335
2018-02-28,25.36,25.7,13.39,15.19,50025276,25.36,25.7,13.39,15.19,50025276
2018-03-30,15.31,18.85,14.3,16.45,33311000,15.31,18.85,14.3,16.45,33311000
2018-04-30,16.31,18.28,15.215,16.68,19618520,16.31,18.28,15.215,16.68,19618520
2018-05-31,16.69,20.0,15.02,18.5,26936986,16.69,20.0,15.02,18.5,26936986
2018-06-29,18.68,19.815,15.12,15.72,26090830,18.68,19.815,15.12,15.72,26090830
2018-07-31,15.62,15.78,12.5,13.13,24931085,15.62,15.78,12.5,13.13,24931085
2018-08-31,13.06,15.11,11.55,15.02,35165437,13.06,15.11,11.55,15.02,35165437
2018-09-28,14.91,15.08,13.26,14.02,22195290,14.91,15.08,13.26,14.02,22195290
2018-10-31,14.21,14.78,11.21,11.75,25995644,14.21,14.78,11.21,11.75,25995644
