date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,1.22,1.34,1.11,1.25,288960,1.22,1.34,1.11,1.25,288960
2011-03-31,1.21,1.48,1.0,1.145,699242,1.21,1.48,1.0,1.145,699242
2011-04-29,1.19,1.19,1.0,1.08,261900,1.19,1.19,1.0,1.08,261900
2011-05-31,1.1,1.28,1.01,1.09,419100,1.1,1.28,1.01,1.09,419100
2011-06-30,1.1,1.2,0.94,1.18,399218,1.1,1.2,0.94,1.18,399218
2011-07-29,1.2,1.36,0.9701,1.05,414150,1.2,1.36,0.9701,1.05,414150
2011-08-31,1.06,1.13,0.86,1.04,334927,1.06,1.13,0.86,1.04,334927
2011-09-30,0.96,1.09,0.9472,0.988,165700,0.96,1.09,0.9472,0.988,165700
2011-10-31,0.988,1.04,0.86,0.9725,161400,0.988,1.04,0.86,0.9725,161400
2011-11-30,0.97,1.04,0.86,0.93,152300,0.97,1.04,0.86,0.93,152300
2011-12-30,0.94,1.03,0.87,0.89,248800,0.94,1.03,0.87,0.89,248800
2012-01-31,0.9695,1.1,0.9,1.0,151010,0.9695,1.1,0.9,1.0,151010
2012-02-29,1.0,1.2699,0.9101,1.22,201600,1.0,1.2699,0.9101,1.22,201600
2012-03-30,1.19,1.69,1.1701,1.25,545900,1.19,1.69,1.1701,1.25,545900
2012-04-30,1.2,2.24,1.1701,1.75,568115,1.2,2.24,1.1701,1.75,568115
2012-05-31,1.75,2.25,1.64,2.2,452700,1.75,2.25,1.64,2.2,452700
2012-06-29,2.06,2.18,1.75,1.92,347100,2.06,2.18,1.75,1.92,347100
2012-07-31,1.94,2.04,1.85,1.985,151861,1.94,2.04,1.85,1.985,151861
2012-08-31,2.0,2.94,1.9901,2.65,655596,2.0,2.94,1.9901,2.65,655596
2012-09-28,2.65,3.36,2.58,3.0,527000,2.65,3.36,2.58,3.0,527000
2012-10-31,3.06,4.87,2.92,4.31,1105700,3.06,4.87,2.92,4.31,1105700
2012-11-30,4.37,4.8,3.47,4.7,1173300,4.37,4.8,3.47,4.7,1173300
2012-12-31,4.7,6.19,4.7,5.36,2563700,4.7,6.19,4.7,5.36,2563700
2013-01-31,5.41,7.23,5.37,6.88,2866100,5.41,7.23,5.37,6.88,2866100
2013-02-28,6.98,9.3,6.71,8.25,8201900,6.98,9.3,6.71,8.25,8201900
2013-03-29,8.13,11.94,7.94,11.71,7763700,8.13,11.94,7.94,11.71,7763700
2013-04-30,12.08,12.79,8.351,9.22,8040500,12.08,12.79,8.351,9.22,8040500
2013-05-31,9.22,9.479,7.221,7.77,3485700,9.22,9.479,7.221,7.77,3485700
2013-06-28,7.8,7.94,6.82,7.34,4007300,7.8,7.94,6.82,7.34,4007300
2013-07-31,7.47,7.62,5.91,6.5,2795000,7.47,7.62,5.91,6.5,2795000
2013-08-30,6.59,7.43,5.64,5.84,3017100,6.59,7.43,5.64,5.84,3017100
2013-09-30,5.84,6.2,5.61,5.93,1426900,5.84,6.2,5.61,5.93,1426900
2013-10-31,5.93,8.01,5.86,6.72,2758200,5.93,8.01,5.86,6.72,2758200
2013-11-29,6.73,7.42,6.22,7.37,1864100,6.73,7.42,6.22,7.37,1864100
2013-12-31,7.39,9.45,7.11,9.39,2887615,7.39,9.45,7.11,9.39,2887615
2014-01-31,9.41,9.64,7.55,8.51,2537200,9.41,9.64,7.55,8.51,2537200
2014-02-28,8.5,8.5,7.35,7.79,2441800,8.5,8.5,7.35,7.79,2441800
2014-03-31,7.69,8.1199,6.63,6.84,1772900,7.69,8.1199,6.63,6.84,1772900
2014-04-30,6.82,7.99,6.33,6.98,3904700,6.82,7.99,6.33,6.98,3904700
2014-05-30,6.93,7.55,6.75,7.34,1960600,6.93,7.55,6.75,7.34,1960600
2014-06-30,7.33,7.95,7.19,7.62,2674500,7.33,7.95,7.19,7.62,2674500
2014-07-31,7.67,8.22,6.47,7.26,4940600,7.67,8.22,6.47,7.26,4940600
2014-08-29,7.25,7.44,6.94,7.15,2466900,7.25,7.44,6.94,7.15,2466900
2014-09-30,7.15,7.28,6.41,6.41,1868937,7.15,7.28,6.41,6.41,1868937
2014-10-31,6.43,7.26,6.36,7.06,2680681,6.43,7.26,6.36,7.06,2680681
2014-11-28,7.05,7.55,6.852,7.32,2267701,7.05,7.55,6.852,7.32,2267701
2014-12-31,7.29,8.0,7.0,7.36,2361960,7.29,8.0,7.0,7.36,2361960
2015-01-30,7.43,7.6,5.29,5.6,2999327,7.43,7.6,5.29,5.6,2999327
