date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,0.35,0.4,0.27,0.4,24437,151.199999999999,172.799999999999,116.64,172.799999999999,52
2011-03-31,0.3,0.4,0.27,0.39,7505,129.6,172.799999999999,116.64,168.479999999999,15
2011-04-29,0.39,0.39,0.28,0.34,64877,168.479999999999,168.479999999999,120.96,146.879999999999,148
2011-05-31,0.34,0.5,0.12,0.21,207661,146.879999999999,215.999999999999,51.8399999999998,90.7199999999997,475
2011-06-30,0.21,0.24,0.13,0.16,69000,90.7199999999997,103.68,56.1599999999998,69.1199999999998,157
2011-07-29,0.16,0.74,0.075,0.73,1157247,69.1199999999998,319.679999999999,32.3999999999999,315.359999999999,2672
2011-08-31,0.73,0.875,0.53,0.86,2183474,315.359999999999,377.999999999999,228.959999999999,371.519999999999,5042
2011-09-30,0.86,0.95,0.55,0.7,232512,371.519999999999,410.399999999999,237.599999999999,302.399999999999,530
2011-10-31,0.6,0.75,0.51,0.65,437952,259.199999999999,323.999999999999,220.319999999999,280.799999999999,1009
2011-11-30,0.65,0.65,0.51,0.57,303260,280.799999999999,280.799999999999,220.319999999999,246.239999999999,698
2011-12-30,0.55,0.625,0.35,0.55,436150,237.599999999999,269.999999999999,151.199999999999,237.599999999999,1002
2012-01-31,0.55,0.7,0.425,0.65,136200,237.599999999999,302.399999999999,183.599999999999,280.799999999999,311
2012-02-29,0.65,0.93,0.65,0.77,1348864,280.799999999999,401.759999999999,280.799999999999,332.639999999999,3113
2012-03-30,0.8,0.8,0.63,0.73,122420,345.599999999999,345.599999999999,272.159999999999,315.359999999999,274
2012-04-30,0.73,0.9,0.31,0.85,3217146,315.359999999999,388.799999999999,133.92,367.199999999999,7439
2012-05-31,0.87,4.0,0.79,3.9,2031408,375.839999999999,479.519999999998,228.24,280.8,5781
2012-06-29,4.0,4.24,3.25,3.9,1252255,288.0,305.28,234.0,280.8,17382
2012-07-31,3.87,4.0,2.11,2.5881,1898664,278.64,288.0,151.92,186.3432,26359
2012-08-31,2.55,2.86,2.09,2.1817,495964,183.6,205.92,150.48,157.0824,6878
2012-09-28,2.2301,3.61,2.2004,3.55,725297,160.5672,259.92,158.4288,255.6,10066
2012-10-31,3.54,4.65,3.311,4.0,1476524,254.88,334.799999999999,238.392,288.0,20495
2012-11-30,4.1,5.0,3.8,4.8573,772980,295.2,359.999999999999,273.6,349.725599999999,10726
2012-12-31,4.98,7.75,4.2,6.93,2373230,358.559999999999,557.999999999999,302.4,498.959999999999,32952
2013-01-31,7.11,8.96,6.33,6.9,3301160,511.919999999999,645.119999999999,455.759999999999,496.799999999999,45841
2013-02-28,7.23,7.4,5.09,6.15,1168744,520.559999999999,532.799999999999,366.479999999999,442.799999999999,16223
