date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,51.07,56.78,50.56,52.67,47241600,51.07,56.78,50.56,52.67,47241600
2011-03-31,52.95,53.1,42.76,46.16,98694500,52.95,53.1,42.76,46.16,98694500
2011-04-29,46.5,46.81,38.53,40.74,87902900,46.5,46.81,38.53,40.74,87902900
2011-05-31,40.88,44.83,38.95,43.89,66635300,40.88,44.83,38.95,43.89,66635300
2011-06-30,43.75,44.12,32.4,33.59,76036400,43.75,44.12,32.4,33.59,76036400
2011-07-29,33.48,34.75,30.17,32.85,75210300,33.48,34.75,30.17,32.85,75210300
2011-08-31,33.63,37.3,26.6,32.43,129579300,33.63,37.3,26.6,32.43,129579300
2011-09-30,32.4,34.4193,25.98,25.98,71733000,32.4,34.4193,25.98,25.98,71733000
2011-10-31,25.89,29.99,23.03,26.64,77424100,25.89,29.99,23.03,26.64,77424100
2011-11-30,25.82,31.3389,23.45,24.88,69160200,25.82,31.3389,23.45,24.88,69160200
2011-12-30,24.78,26.02,20.25,22.04,61547400,24.78,26.02,20.25,22.04,61547400
2012-01-31,22.5101,27.48,21.38,25.43,76489500,22.5101,27.48,21.38,25.43,76489500
2012-02-29,25.74,31.5,25.53,30.29,64623400,25.74,31.5,25.53,30.29,64623400
2012-03-30,30.3,32.75,27.04,31.63,59184100,30.3,32.75,27.04,31.63,59184100
2012-04-30,31.6,32.7,28.405,30.9,68791200,31.6,32.7,28.405,30.9,68791200
2012-05-31,31.07,33.45,24.35,25.07,79569800,31.07,33.45,24.35,25.07,79569800
2012-06-29,24.37,26.2,22.56,25.67,52012500,24.37,26.2,22.56,25.67,52012500
2012-07-31,24.83,25.48,22.25,23.95,35757700,24.83,25.48,22.25,23.95,35757700
2012-08-31,24.14,28.98,23.754,28.2,33941900,24.14,28.98,23.754,28.2,33941900
2012-09-28,28.11,29.47,24.7584,25.505,26704500,28.11,29.47,24.7584,25.505,26704500
2012-10-31,25.56,30.77,24.5,30.3,38380200,25.56,30.77,24.5,30.3,38380200
2012-11-30,29.85,33.6,29.38,32.31,30954700,29.85,33.6,29.38,32.31,30954700
2012-12-31,32.49,35.09,31.41,33.98,27989800,32.49,35.09,31.41,33.98,27989800
2013-01-31,34.7,43.79,31.22,43.15,54157800,34.7,43.79,31.22,43.15,54157800
2013-02-28,43.33,46.88,42.92,45.23,36488700,43.33,46.88,42.92,45.23,36488700
2013-03-29,45.35,55.66,44.47,54.71,51901600,45.35,55.66,44.47,54.71,51901600
2013-04-30,54.58,58.0,48.4,56.57,62753200,54.58,58.0,48.4,56.57,62753200
2013-05-31,55.89,64.32,54.2,62.35,44899700,55.89,64.32,54.2,62.35,44899700
2013-06-28,62.49,66.78,57.03,63.83,40988500,62.49,66.78,57.03,63.83,40988500
2013-07-31,64.89,70.64,64.15,69.9,31769200,64.89,70.64,64.15,69.9,31769200
2013-08-30,70.55,76.0,53.8,55.49,74011700,70.55,76.0,53.8,55.49,74011700
2013-09-30,56.25,61.689,53.94,60.19,33040800,56.25,61.689,53.94,60.19,33040800
2013-10-31,62.815,75.9798,59.02,60.74,84765500,62.815,75.9798,59.02,60.74,84765500
2013-11-29,60.75,60.939,52.85,55.8,41743200,60.75,60.939,52.85,55.8,41743200
2013-12-31,55.88,62.9,55.36,62.52,32900900,55.88,62.9,55.36,62.52,32900900
2014-01-31,62.0,67.98,59.36,60.42,56825600,62.0,67.98,59.36,60.42,56825600
2014-02-28,60.49,63.789,55.76,61.43,32001300,60.49,63.789,55.76,61.43,32001300
2014-03-31,60.39,62.4,54.45,56.56,40004300,60.39,62.4,54.45,56.56,40004300
2014-04-30,57.01,58.98,45.1,47.17,65858900,57.01,58.98,45.1,47.17,65858900
2014-05-30,47.03,49.09,44.52,48.12,40822100,47.03,49.09,44.52,48.12,40822100
2014-06-30,48.14,51.26,46.77,49.95,31205100,48.14,51.26,46.77,49.95,31205100
2014-07-31,50.38,53.3299,46.49,47.23,32596400,50.38,53.3299,46.49,47.23,32596400
2014-08-29,47.39,50.6,43.66,45.56,42632300,47.39,50.6,43.66,45.56,42632300
2014-09-30,45.03,45.5045,40.6,40.95,33546242,45.03,45.5045,40.6,40.95,33546242
2014-10-31,40.88,40.88,27.25,31.48,95851243,40.88,40.88,27.25,31.48,95851243
2014-11-28,31.3,37.26,31.11,36.34,48419019,31.3,37.26,31.11,36.34,48419019
2014-12-31,36.08,36.23,29.54,32.22,49748796,36.08,36.23,29.54,32.22,49748796
2015-01-30,32.44,38.08,29.21,35.36,51782894,32.44,38.08,29.21,35.36,51782894
2015-02-27,35.4,39.79,34.35,39.26,27530313,35.4,39.79,34.35,39.26,27530313
2015-03-31,39.46,39.81,34.0899,35.49,32589491,39.46,39.81,34.0899,35.49,32589491
2015-04-30,35.23,36.14,31.43,31.68,49819144,35.23,36.14,31.43,31.68,49819144
2015-05-29,31.68,31.8441,29.05,30.28,45697972,31.68,31.8441,29.05,30.28,45697972
2015-06-30,30.4,31.278,25.86,26.03,41873817,30.4,31.278,25.86,26.03,41873817
2015-07-31,26.27,26.4,23.63,24.65,38391504,26.27,26.4,23.63,24.65,38391504
2015-08-31,24.62,27.9,23.36,27.22,45419158,24.62,27.9,23.36,27.22,45419158
2015-09-30,26.63,27.4,23.43,24.23,26546276,26.63,27.4,23.43,24.23,26546276
2015-10-30,24.18,26.49,23.11,25.19,34492698,24.18,26.49,23.11,25.19,34492698
2015-11-30,24.91,27.75,22.1,27.64,28475032,24.91,27.75,22.1,27.64,28475032
2015-12-31,27.81,28.6799,24.96,26.67,21378843,27.81,28.6799,24.96,26.67,21378843
2016-01-29,26.25,28.65,23.5,28.03,31249937,26.25,28.65,23.5,28.03,31249937
2016-02-29,27.87,32.41,27.33,31.74,28936743,27.87,32.41,27.33,31.74,28936743
2016-03-31,32.17,32.92,27.86,29.1,24251092,32.17,32.92,27.86,29.1,24251092
2016-04-29,29.0,29.83,23.75,24.51,44640927,29.0,29.83,23.75,24.51,44640927
2016-05-31,24.4,24.495,22.18,24.08,22158640,24.4,24.495,22.18,24.08,22158640
2016-06-30,23.92,26.04,22.72,24.44,20801468,23.92,26.04,22.72,24.44,20801468
2016-07-29,24.32,29.1,23.5,28.6,19678457,24.32,29.1,23.5,28.6,19678457
2016-08-31,28.53,29.14,23.0,24.01,31446025,28.53,29.14,23.0,24.01,31446025
2016-09-30,23.98,25.9,23.55,25.72,17494353,23.98,25.9,23.55,25.72,17494353
2016-10-31,25.6,25.97,21.5,22.3,35729375,25.6,25.97,21.5,22.3,35729375
2016-11-30,22.17,25.87,20.75,25.32,23182427,22.17,25.87,20.75,25.32,23182427
2016-12-30,25.36,28.22,24.88,26.39,20482030,25.36,28.22,24.88,26.39,20482030
2017-01-31,26.63,31.64,26.29,27.58,32095876,26.63,31.64,26.29,27.58,32095876
2017-02-28,27.78,28.3,25.4,27.14,21357590,27.78,28.3,25.4,27.14,21357590
2017-03-31,27.45,27.94,25.82,26.73,13623919,27.45,27.94,25.82,26.73,13623919
2017-04-28,26.84,27.07,20.82,21.88,17068626,26.84,27.07,20.82,21.88,17068626
2017-05-31,21.82,24.68,21.58,23.85,23910100,21.82,24.68,21.58,23.85,23910100
2017-06-30,23.87,25.64,23.74,24.65,22737089,23.87,25.64,23.74,24.65,22737089
2017-07-31,24.79,26.72,24.31,25.91,14985970,24.79,26.72,24.31,25.91,14985970
2017-08-31,26.05,26.17,20.5,24.33,33832357,26.05,26.17,20.5,24.33,33832357
2017-09-29,24.33,28.28,23.83,28.19,21665810,24.33,28.28,23.83,28.19,21665810
2017-10-31,28.25,37.43,27.83,35.7,71921416,28.25,37.43,27.83,35.7,71921416
2017-11-30,35.36,37.5,33.59,35.54,28056215,35.36,37.5,33.59,35.54,28056215
2017-12-29,35.42,40.24,34.25,37.14,24862586,35.42,40.24,34.25,37.14,24862586
2018-01-31,37.0,39.0,33.77,34.51,28647864,37.0,39.0,33.77,34.51,28647864
2018-02-28,34.44,38.69,30.78,37.83,27781885,34.44,38.69,30.78,37.83,27781885
2018-03-30,37.83,45.43,35.87,40.31,34232641,37.83,45.43,35.87,40.31,34232641
2018-04-30,40.17,42.84,36.8,37.32,29708729,40.17,42.84,36.8,37.32,29708729
2018-05-31,37.25,48.0,36.58,46.62,25233856,37.25,48.0,36.58,46.62,25233856
2018-06-29,47.04,50.675,41.56,41.57,26223951,47.04,50.675,41.56,41.57,26223951
2018-07-31,41.54,48.52,40.75,47.15,21463644,41.54,48.52,40.75,47.15,21463644
2018-08-31,46.92,51.78,44.34,48.11,34033288,46.92,51.78,44.34,48.11,34033288
2018-09-28,47.78,48.0,37.33,37.87,34372826,47.78,48.0,37.33,37.87,34372826
2018-10-31,38.0,40.15,33.72,38.82,48599142,38.0,40.15,33.72,38.82,48599142
2018-11-30,38.68,46.48,38.4,44.14,28905289,38.68,46.48,38.4,44.14,28905289
2018-12-31,44.79,47.5,38.665,42.775,25229513,44.79,47.5,38.665,42.775,25229513
2019-01-31,41.98,52.76,39.63,50.43,30085288,41.98,52.76,39.63,50.43,30085288
2019-02-28,50.75,54.81,50.11,54.41,20401150,50.75,54.81,50.11,54.41,20401150
2019-03-29,54.96,59.84,51.6,57.22,30138971,54.96,59.84,51.6,57.22,30138971
2019-04-30,57.91,69.21,57.36,66.09,28620205,57.91,69.21,57.36,66.09,28620205
2019-05-31,66.6,68.825,54.475,55.14,37740111,66.6,68.825,54.475,55.14,37740111
2019-06-28,54.01,60.93,53.36,56.18,40066007,54.01,60.93,53.36,56.18,40066007
2019-07-31,59.89,63.34,57.7,62.18,22433131,59.89,63.34,57.7,62.18,22433131
2019-08-30,62.35,64.95,42.88,42.93,48398861,62.35,64.95,42.88,42.93,48398861
2019-09-30,42.7,52.79,41.31,49.0,32669821,42.7,52.79,41.31,49.0,32669821
2019-10-31,50.75,52.09,40.46,47.73,38281279,50.75,52.09,40.46,47.73,38281279
2019-11-29,46.36,51.35,43.77,44.21,24200247,46.36,51.35,43.77,44.21,24200247
2019-12-31,44.21,48.66,41.74,46.15,21867564,44.21,48.66,41.74,46.15,21867564
2020-01-31,46.9,54.38,44.59,46.49,33491818,46.9,54.38,44.59,46.49,33491818
2020-02-28,46.65,51.95,41.67,44.73,25183968,46.65,51.95,41.67,44.73,25183968
2020-03-31,45.2,48.035,27.77,35.46,40171599,45.2,48.035,27.77,35.46,40171599
2020-04-30,34.7,46.35,31.08,43.13,41307946,34.7,46.35,31.08,43.13,41307946
2020-05-29,41.56,56.1,38.65,52.69,31288008,41.56,56.1,38.65,52.69,31288008
2020-06-30,52.35,64.16,51.6825,59.19,31680351,52.35,64.16,51.6825,59.19,31680351
2020-07-31,59.46,70.22,57.42,68.92,22777682,59.46,70.22,57.42,68.92,22777682
2020-08-31,69.22,74.72,59.65,63.1,25951783,69.22,74.72,59.65,63.1,25951783
2020-09-30,63.7,66.84,56.39,63.74,23259926,63.7,66.84,56.39,63.74,23259926
2020-10-30,64.515,77.19,60.56,63.6,23110018,64.515,77.19,60.56,63.6,23110018
2020-11-30,63.6,93.96,62.17,90.39,29378038,63.6,93.96,62.17,90.39,29378038
2020-12-31,91.75,109.1699,88.07,105.9,39045728,91.75,109.1699,88.07,105.9,39045728
2021-01-29,108.0,126.5581,97.02,101.08,41597540,108.0,126.5581,97.02,101.08,41597540
2021-02-26,103.6,129.9,102.5,113.46,35492370,103.6,129.9,102.5,113.46,35492370
2021-03-31,117.29,120.5,94.09,108.13,39565458,117.29,120.5,94.09,108.13,39565458
2021-04-30,110.5,119.14,107.9,110.7,11056161,110.5,119.14,107.9,110.7,11056161
