date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,0.352,0.3571,0.2527,0.28,78468000,105.6,107.13,75.8099999999998,83.9999999999998,261560
2011-03-31,0.286,0.5548,0.2099,0.372,488301000,85.7999999999998,166.44,62.9699999999999,111.6,1627670
2011-04-29,0.382,0.416,0.3351,0.336,154197000,114.6,124.8,100.53,100.8,513990
2011-05-31,0.36,2.4,0.265,2.2,129621500,108.0,120.0,73.5,110.0,1167280
2011-06-30,2.15,2.31,1.55,1.575,67785000,107.5,115.5,77.5,78.75,1355700
2011-07-29,1.69,1.69,1.26,1.35,31851500,84.5,84.5,63.0,67.5,637030
2011-08-31,1.39,1.54,1.0,1.18,47181500,69.5,77.0,50.0,59.0,943630
2011-09-30,1.26,1.28,0.95,1.06,33209500,63.0,64.0,47.5,53.0,664190
2011-10-31,1.06,1.3,0.9529,1.28,27244500,53.0,65.0,47.645,64.0,544890
2011-11-30,1.15,1.24,0.97,1.12,21834600,57.5,62.0,48.5,56.0,436691
2011-12-30,1.1,1.48,1.01,1.16,36990500,55.0,74.0,50.5,58.0,739810
2012-01-31,1.21,1.5,1.0,1.1,56752000,60.5,75.0,50.0,55.0,1135040
2012-02-29,1.11,1.65,1.04,1.285,70385000,55.5,82.5,52.0,64.25,1407700
2012-03-30,1.3,1.48,1.23,1.315,30986000,65.0,74.0,61.5,65.75,619720
2012-04-30,1.28,1.32,1.1,1.105,24795500,64.0,66.0,55.0,55.25,495910
2012-05-31,1.1,1.35,0.82,0.8997,48707500,55.0,67.5,41.0,44.985,974150
2012-06-29,0.8908,0.9098,0.5554,0.58,74137000,44.54,45.49,27.77,29.0,1482740
2012-07-31,0.59,0.6879,0.4955,0.516,29278000,29.5,34.395,24.775,25.8,585560
2012-08-31,0.52,0.5329,0.387,0.435,56693000,26.0,26.645,19.35,21.75,1133860
2012-09-28,2.0,3.939,1.77,2.42,60942800,20.0,39.39,17.7,24.2,6094280
2012-10-31,2.47,2.75,1.37,1.5,80698500,24.7,27.5,13.7,15.0,8069850
2012-11-30,1.55,1.55,1.14,1.38,34835600,15.5,15.5,11.4,13.8,3483560
2012-12-31,1.44,1.45,1.25,1.3,24184800,14.4,14.5,12.5,13.0,2418480
2013-01-31,1.31,1.71,1.28,1.44,56564300,13.1,17.1,12.8,14.4,5656430
2013-02-28,1.47,1.479,1.25,1.345,16907500,14.7,14.79,12.5,13.45,1690750
2013-03-29,1.27,1.38,1.02,1.15,30493200,12.7,13.8,10.2,11.5,3049320
2013-04-30,1.15,1.19,1.05,1.14,15195200,11.5,11.9,10.5,11.4,1519520
2013-05-31,1.14,1.43,1.12,1.23,18637756,11.4,14.3,11.2,12.3,1863775
2013-06-28,1.24,1.33,1.02,1.05,33883300,12.4,13.3,10.2,10.5,3388330
2013-07-31,1.05,1.15,0.97,1.13,21452600,10.5,11.5,9.7,11.3,2145260
2013-08-30,1.12,1.2,1.01,1.1,17027213,11.2,12.0,10.1,11.0,1702721
2013-09-30,1.1,1.8,1.09,1.621,63104610,11.0,18.0,10.9,16.21,6310461
2013-10-31,1.63,2.035,1.49,1.76,69483500,16.3,20.35,14.9,17.6,6948350
2013-11-29,1.75,2.17,1.6,1.94,77967100,17.5,21.7,16.0,19.4,7796710
2013-12-31,2.04,2.05,1.69,1.91,37172600,20.4,20.5,16.9,19.1,3717260
2014-01-31,2.01,4.25,1.99,3.19,194874400,20.1,42.5,19.9,31.9,19487440
2014-02-28,3.27,4.02,2.81,3.85,85689900,32.7,40.2,28.1,38.5,8568990
2014-03-31,3.7,4.22,3.01,3.4,123608400,37.0,42.2,30.1,34.0,12360840
2014-04-30,3.42,3.595,2.87,2.95,61136600,34.2,35.95,28.7,29.5,6113660
2014-05-30,2.93,3.18,2.525,2.94,49143500,29.3,31.8,25.25,29.4,4914350
2014-06-30,2.9,3.225,2.78,2.81,36528500,29.0,32.25,27.8,28.1,3652850
2014-07-31,2.985,3.095,2.5,2.59,30367600,29.85,30.95,25.0,25.9,3036760
2014-08-29,2.56,2.66,2.35,2.56,18393200,25.6,26.6,23.5,25.6,1839320
2014-09-30,2.55,2.93,2.41,2.42,30149627,25.5,29.3,24.1,24.2,3014961
2014-10-31,2.43,2.56,2.1,2.44,22738818,24.3,25.6,21.0,24.4,2273870
2014-11-28,2.41,2.43,2.0,2.19,37156348,24.1,24.3,20.0,21.9,3715627
2014-12-31,2.22,2.51,2.12,2.36,30512427,22.2,25.1,21.2,23.6,3051231
