date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,12.5,16.22,12.27,13.73,11764600,12.5,16.22,12.27,13.73,11764600
2011-03-31,13.75,15.5,12.9,15.11,7180800,13.75,15.5,12.9,15.11,7180800
2011-04-29,15.33,18.75,14.88,18.33,10054800,15.33,18.75,14.88,18.33,10054800
2011-05-31,17.73,18.5,13.1101,14.77,16407200,17.73,18.5,13.1101,14.77,16407200
2011-06-30,14.6,14.77,11.36,13.52,20314800,14.6,14.77,11.36,13.52,20314800
2011-07-29,13.62,14.82,12.11,13.79,14540000,13.62,14.82,12.11,13.79,14540000
2011-08-31,13.97,13.97,8.51,10.09,17754100,13.97,13.97,8.51,10.09,17754100
2011-09-30,10.06,10.67,7.62,7.82,13563500,10.06,10.67,7.62,7.82,13563500
2011-10-31,7.7,11.01,7.48,10.18,11866900,7.7,11.01,7.48,10.18,11866900
2011-11-30,9.56,9.96,7.02,7.77,16789500,9.56,9.96,7.02,7.77,16789500
2011-12-30,7.71,8.68,7.63,8.29,10714500,7.71,8.68,7.63,8.29,10714500
2012-01-31,8.61,10.262,8.33,9.47,8081800,8.61,10.262,8.33,9.47,8081800
2012-02-29,9.59,10.1,8.15,8.88,12663500,9.59,10.1,8.15,8.88,12663500
2012-03-30,8.96,10.05,8.82,9.33,7530000,8.96,10.05,8.82,9.33,7530000
2012-04-30,9.3,10.99,9.02,10.78,9093700,9.3,10.99,9.02,10.78,9093700
2012-05-31,10.73,10.85,9.51,9.83,11738700,10.73,10.85,9.51,9.83,11738700
2012-06-29,9.63,10.39,8.87,9.39,9699500,9.63,10.39,8.87,9.39,9699500
2012-07-31,9.47,9.77,6.95,7.54,13300100,9.47,9.77,6.95,7.54,13300100
2012-08-31,7.54,8.41,7.46,7.98,19060300,7.54,8.41,7.46,7.98,19060300
2012-09-28,7.9,8.84,7.6,8.42,8976500,7.9,8.84,7.6,8.42,8976500
2012-10-31,8.46,9.49,8.13,8.83,7610400,8.46,9.49,8.13,8.83,7610400
2012-11-30,8.84,9.02,7.89,8.6,9570700,8.84,9.02,7.89,8.6,9570700
2012-12-31,8.65,9.23,8.28,9.18,7970800,8.65,9.23,8.28,9.18,7970800
2013-01-31,9.38,10.23,9.07,9.41,6051600,9.38,10.23,9.07,9.41,6051600
2013-02-28,9.46,10.0,9.26,9.64,4402500,9.46,10.0,9.26,9.64,4402500
2013-03-29,9.51,10.43,9.22,10.13,6324800,9.51,10.43,9.22,10.13,6324800
2013-04-30,10.11,10.12,8.42,8.44,5956000,10.11,10.12,8.42,8.44,5956000
2013-05-31,8.39,9.77,8.25,9.02,7361600,8.39,9.77,8.25,9.02,7361600
2013-06-28,9.05,9.4,8.6,9.21,5435900,9.05,9.4,8.6,9.21,5435900
2013-07-31,9.28,9.86,8.43,8.67,5267200,9.28,9.86,8.43,8.67,5267200
2013-08-30,8.74,8.88,8.31,8.33,3645200,8.74,8.88,8.31,8.33,3645200
2013-09-30,8.47,8.78,8.15,8.51,6098100,8.47,8.78,8.15,8.51,6098100
2013-10-31,8.5,8.82,7.17,7.38,11597000,8.5,8.82,7.17,7.38,11597000
2013-11-29,7.36,7.7299,7.02,7.28,12637400,7.36,7.7299,7.02,7.28,12637400
2013-12-31,7.27,7.46,6.83,7.25,8628000,7.27,7.46,6.83,7.25,8628000
2014-01-31,7.26,7.64,6.92,7.0,10804700,7.26,7.64,6.92,7.0,10804700
2014-02-28,7.01,7.57,6.5,7.36,10678900,7.01,7.57,6.5,7.36,10678900
2014-03-31,7.26,7.59,6.92,7.46,6115500,7.26,7.59,6.92,7.46,6115500
2014-04-30,7.46,7.65,6.86,7.65,6791600,7.46,7.65,6.86,7.65,6791600
2014-05-30,7.5,7.5,6.835,7.06,5636100,7.5,7.5,6.835,7.06,5636100
2014-06-30,7.06,7.62,6.73,7.61,4953600,7.06,7.62,6.73,7.61,4953600
2014-07-31,7.6,9.3,7.4,9.16,8644800,7.6,9.3,7.4,9.16,8644800
2014-08-29,9.06,9.1,8.15,8.49,10775900,9.06,9.1,8.15,8.49,10775900
2014-09-30,8.48,8.8,8.171,8.38,11748301,8.48,8.8,8.171,8.38,11748301
2014-10-31,8.34,11.34,8.02,9.97,14355268,8.34,11.34,8.02,9.97,14355268
2014-11-28,9.96,11.49,9.64,10.87,12411182,9.96,11.49,9.64,10.87,12411182
2014-12-31,10.78,11.29,9.6742,10.01,8551044,10.78,11.29,9.6742,10.01,8551044
2015-01-30,10.02,10.2,7.84,8.27,10738206,10.02,10.2,7.84,8.27,10738206
2015-02-27,8.3,8.85,8.0,8.76,10957688,8.3,8.85,8.0,8.76,10957688
2015-03-31,8.74,9.37,8.62,8.92,6492936,8.74,9.37,8.62,8.92,6492936
2015-04-30,8.94,9.12,7.5,7.6,9839493,8.94,9.12,7.5,7.6,9839493
2015-05-29,7.59,8.74,7.53,8.47,10042759,7.59,8.74,7.53,8.47,10042759
2015-06-30,8.53,9.36,8.28,8.89,7262686,8.53,9.36,8.28,8.89,7262686
2015-07-31,8.95,9.12,7.87,7.97,5710523,8.95,9.12,7.87,7.97,5710523
2015-08-31,7.98,8.51,7.42,7.8,5349776,7.98,8.51,7.42,7.8,5349776
2015-09-30,7.68,7.75,7.09,7.31,5230373,7.68,7.75,7.09,7.31,5230373
2015-10-30,7.31,9.3,7.14,9.05,6499908,7.31,9.3,7.14,9.05,6499908
2015-11-30,9.04,10.18,8.59,9.32,6859876,9.04,10.18,8.59,9.32,6859876
2015-12-31,9.38,10.48,8.81,9.17,10885781,9.38,10.48,8.81,9.17,10885781
2016-01-29,8.99,9.64,8.38,9.31,10440420,8.99,9.64,8.38,9.31,10440420
2016-02-29,9.26,9.43,7.05,7.78,8414163,9.26,9.43,7.05,7.78,8414163
2016-03-31,7.81,8.27,7.53,8.07,5583813,7.81,8.27,7.53,8.07,5583813
2016-04-29,8.02,8.31,7.0,7.11,4228897,8.02,8.31,7.0,7.11,4228897
2016-05-31,7.11,7.24,6.05,7.05,7654018,7.11,7.24,6.05,7.05,7654018
2016-06-30,7.0,7.25,5.99,6.23,8369578,7.0,7.25,5.99,6.23,8369578
2016-07-29,6.2,7.74,6.0,7.29,5750650,6.2,7.74,6.0,7.29,5750650
2016-08-31,7.31,7.79,6.975,7.74,4884065,7.31,7.79,6.975,7.74,4884065
2016-09-30,7.7,8.1,7.43,7.89,6384544,7.7,8.1,7.43,7.89,6384544
2016-10-31,7.82,8.43,5.275,5.7,6047478,7.82,8.43,5.275,5.7,6047478
2016-11-30,5.55,6.675,4.95,6.1,5375588,5.55,6.675,4.95,6.1,5375588
2016-12-30,6.15,6.8,5.95,6.25,5649383,6.15,6.8,5.95,6.25,5649383
2017-01-31,6.35,6.5,5.3,5.7,3502989,6.35,6.5,5.3,5.7,3502989
2017-02-28,5.75,5.9,4.6,4.95,3880827,5.75,5.9,4.6,4.95,3880827
2017-03-31,5.1,5.2,3.9,3.95,8406794,5.1,5.2,3.9,3.95,8406794
2017-04-28,3.95,4.7,3.6,3.85,7597577,3.95,4.7,3.6,3.85,7597577
2017-05-31,3.9,3.9,2.65,2.85,12021151,3.9,3.9,2.65,2.85,12021151
2017-06-30,2.9,3.05,2.5,2.85,8038045,2.9,3.05,2.5,2.85,8038045
2017-07-31,2.85,2.88,2.15,2.2,4668619,2.85,2.88,2.15,2.2,4668619
2017-08-31,2.2,2.45,1.75,1.95,6196353,2.2,2.45,1.75,1.95,6196353
2017-09-29,2.0,2.7,1.83,2.6,5530795,2.0,2.7,1.83,2.6,5530795
2017-10-31,2.6,2.65,2.1,2.2,4356698,2.6,2.65,2.1,2.2,4356698
2017-11-30,2.15,2.35,1.7,1.85,4505216,2.15,2.35,1.7,1.85,4505216
2017-12-29,1.85,2.4,1.6,1.9,10092134,1.85,2.4,1.6,1.9,10092134
2018-01-31,1.9,2.1,1.7,1.8,5372856,1.9,2.1,1.7,1.8,5372856
2018-02-28,1.85,2.05,1.5,1.65,6784861,1.85,2.05,1.5,1.65,6784861
2018-03-30,1.7,1.85,1.6,1.6,7011931,1.7,1.85,1.6,1.6,7011931
2018-04-30,1.65,1.95,1.375,1.4,9423640,1.65,1.95,1.375,1.4,9423640
2018-05-31,1.4,2.5,1.25,2.3,24222473,1.4,2.5,1.25,2.3,24222473
2018-06-29,2.3,3.25,2.175,2.35,20233630,2.3,3.25,2.175,2.35,20233630
2018-07-31,2.35,2.45,2.05,2.1,5207412,2.35,2.45,2.05,2.1,5207412
2018-08-31,2.1,2.4,1.95,2.15,6577251,2.1,2.4,1.95,2.15,6577251
2018-09-28,2.15,2.2,1.85,2.1,3375675,2.15,2.2,1.85,2.1,3375675
2018-10-31,2.08,2.13,1.52,1.67,3110990,2.08,2.13,1.52,1.67,3110990
2018-11-30,1.88,1.99,1.66,1.77,1653228,1.88,1.99,1.66,1.77,1653228
2018-12-31,1.74,1.84,1.34,1.52,2081324,1.74,1.84,1.34,1.52,2081324
2019-01-31,1.5,2.14,1.5,1.96,1946364,1.5,2.14,1.5,1.96,1946364
