date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,32.54,35.91,31.96,34.67,1260700,15.5689083596668,17.1812999138179,15.2914047687446,16.588016374605,2521400
2011-03-31,34.72,42.19,32.4001,42.09,1708200,16.6119390979604,20.1859939672508,15.5019725797185,20.1381485205401,3416400
2011-04-29,42.43,43.04,37.23,39.0,1065900,20.3008230393565,20.5926802642919,17.8128598103993,18.659724217179,2131800
2011-05-31,39.0,39.0,33.33,37.86,1120300,18.659724217179,18.659724217179,15.9468873886814,18.1142861246768,2240600
2011-06-30,37.66,39.76,34.09,39.58,1482100,18.0185952312554,19.0233496121804,16.3105127836829,18.9372278081011,2964200
2011-07-29,39.69,43.0,35.0308,35.73,756000,18.9898577994829,20.5735420856076,16.7606427463373,17.0951781097386,1512000
2011-08-31,36.11,36.3975,27.21,32.35,1227100,17.2769908072393,17.4145464665326,13.0187460499856,15.4780020109164,2454200
2011-09-30,31.5,34.78,26.57,33.05,1387200,15.0713157138753,16.6406463659868,12.7125351910371,15.8129201378914,2774400
2011-10-31,32.65,39.4,30.46,38.11,1273600,15.6215383510485,18.8511060040218,14.5737230680839,18.2338997414536,2547200
2011-11-30,36.32,38.86,34.87,38.68,1079300,17.3774662453318,18.592740591784,16.6837072680264,18.5066187877047,2158600
2011-12-30,38.37,40.55,36.7,36.93,815900,18.3582979029015,19.4013286411951,17.5592789428325,17.6693234702672,1631800
2012-01-31,37.99,44.0,36.09,43.49,633300,18.1764852054007,21.0519965527147,17.2674217178972,20.8079847744901,1266600
2012-02-29,43.67,48.05,42.841,45.41,763600,20.8941065785694,22.9897371444987,20.4974678253375,21.7266173513358,1527200
2012-03-30,45.83,51.34,42.65,50.6,1054800,21.9275682275208,24.5638523412812,20.4060830221201,24.2097960356219,2109600
2012-04-30,50.59,51.31,45.48,47.78,751200,24.2050114909509,24.549498707268,21.7601091640333,22.8605544383798,1502400
2012-05-31,47.71,52.12,45.9,48.14,1530200,22.8270626256823,24.9370468256248,21.9610600402183,23.0327980465383,3060400
2012-06-29,47.41,47.41,21.97,25.09,3315800,22.6835262855501,24.0892255099109,20.9897974719908,24.0088451594369,4154700
2012-07-31,25.0,29.19,24.11,28.72,3165000,23.9227233553577,27.9321717897156,23.0710744039069,27.4824245906349,3165000
2012-08-31,28.98,30.49,26.58,29.48,2037400,27.7312209135306,29.1761534041942,25.4346394714163,28.2096753806377,2037400
