date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,7.54,8.25,7.46,7.89,1187100,7.54,8.25,7.46,7.89,1187100
2011-03-31,7.8,8.22,7.14,7.7,2651200,7.8,8.22,7.14,7.7,2651200
2011-04-29,7.76,8.22,7.53,8.08,1175800,7.76,8.22,7.53,8.08,1175800
2011-05-31,8.1,8.37,7.52,8.26,2537700,8.1,8.37,7.52,8.26,2537700
2011-06-30,8.23,9.24,7.83,8.7,2733600,8.23,9.24,7.83,8.7,2733600
2011-07-29,8.7,8.81,7.5,7.59,1881900,8.7,8.81,7.5,7.59,1881900
2011-08-31,7.67,7.72,5.86,6.47,4253100,7.67,7.72,5.86,6.47,4253100
2011-09-30,6.49,6.91,5.9,5.9,3094300,6.49,6.91,5.9,5.9,3094300
2011-10-31,5.89,6.75,5.62,6.18,2488100,5.89,6.75,5.62,6.18,2488100
2011-11-30,5.98,6.44,5.44,5.88,1721100,5.98,6.44,5.44,5.88,1721100
2011-12-30,5.86,6.28,5.12,5.21,2282500,5.86,6.28,5.12,5.21,2282500
2012-01-31,5.31,5.99,4.85,5.72,1972000,5.31,5.99,4.85,5.72,1972000
2012-02-29,5.9,6.7397,5.85,6.39,3110700,5.9,6.7397,5.85,6.39,3110700
2012-03-30,6.42,6.79,5.95,6.66,2690300,6.42,6.79,5.95,6.66,2690300
2012-04-30,6.63,6.951,6.2,6.54,1870500,6.63,6.951,6.2,6.54,1870500
2012-05-31,6.53,6.63,5.77,6.27,2021000,6.53,6.63,5.77,6.27,2021000
2012-06-29,6.17,6.44,5.85,6.34,1401300,6.17,6.44,5.85,6.34,1401300
2012-07-31,6.29,6.4,5.71,5.78,1282700,6.29,6.4,5.71,5.78,1282700
2012-08-31,5.81,6.08,5.36,5.73,1172700,5.81,6.08,5.36,5.73,1172700
2012-09-28,5.75,6.32,5.59,5.94,794200,5.75,6.32,5.59,5.94,794200
2012-10-31,5.95,6.15,5.0517,5.5,639100,5.95,6.15,5.0517,5.5,639100
2012-11-30,5.62,6.0,5.21,5.92,626400,5.62,6.0,5.21,5.92,626400
2012-12-31,5.95,5.97,5.25,5.76,871300,5.95,5.97,5.25,5.76,871300
2013-01-31,5.85,6.87,5.63,6.56,1329700,5.85,6.87,5.63,6.56,1329700
2013-02-28,6.57,7.9099,6.422,7.24,969600,6.57,7.9099,6.422,7.24,969600
2013-03-29,7.14,8.33,7.02,8.07,899400,7.14,8.33,7.02,8.07,899400
2013-04-30,8.02,8.21,6.95,8.07,850000,8.02,8.21,6.95,8.07,850000
2013-05-31,8.01,8.76,7.62,7.94,1182400,8.01,8.76,7.62,7.94,1182400
2013-06-28,7.77,8.5,7.691,8.31,1394300,7.77,8.5,7.691,8.31,1394300
2013-07-31,8.25,8.75,7.4201,7.45,1382900,8.25,8.75,7.4201,7.45,1382900
2013-08-30,7.46,7.88,6.3,6.35,911300,7.46,7.88,6.3,6.35,911300
2013-09-30,6.43,7.17,6.3,7.05,769700,6.43,7.17,6.3,7.05,769700
2013-10-31,7.07,7.65,6.78,7.45,1031300,7.07,7.65,6.78,7.45,1031300
2013-11-29,7.26,8.8671,7.26,8.84,1520100,7.26,8.8671,7.26,8.84,1520100
2013-12-31,8.88,10.14,8.466,9.71,2314000,8.88,10.14,8.466,9.71,2314000
2014-01-31,9.5,10.32,8.75,8.96,3989800,9.5,10.32,8.75,8.96,3989800
2014-02-28,8.85,8.95,8.3101,8.46,1755700,8.85,8.95,8.3101,8.46,1755700
2014-03-31,8.35,9.9,8.35,8.64,2196800,8.35,9.9,8.35,8.64,2196800
2014-04-30,8.68,9.21,7.96,7.96,1659300,8.68,9.21,7.96,7.96,1659300
2014-05-30,7.93,8.8,7.9,8.39,1530600,7.93,8.8,7.9,8.39,1530600
2014-06-30,8.35,8.7592,8.27,8.49,1331300,8.35,8.7592,8.27,8.49,1331300
2014-07-31,8.41,9.1,8.3,8.87,1550100,8.41,9.1,8.3,8.87,1550100
2014-08-29,8.91,9.48,8.7,8.98,1204100,8.91,9.48,8.7,8.98,1204100
2014-09-30,9.0,9.36,8.5,8.87,2228110,9.0,9.36,8.5,8.87,2228110
2014-10-31,8.83,9.9436,8.83,9.69,2060034,8.83,9.9436,8.83,9.69,2060034
2014-11-28,9.99,11.48,9.7,10.82,2234954,9.99,11.48,9.7,10.82,2234954
2014-12-31,10.76,11.4,10.51,10.87,2077722,10.76,11.4,10.51,10.87,2077722
2015-01-30,10.96,11.35,9.77,10.99,1889508,10.96,11.35,9.77,10.99,1889508
2015-02-27,10.57,11.66,10.57,11.29,1736216,10.57,11.66,10.57,11.29,1736216
