date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,4.12,4.4,4.0,4.11,37785200,2307.2,2464.0,2240.0,2301.6,67464
2011-03-31,4.14,4.17,3.62,3.72,29501600,2318.4,2335.2,2027.2,2083.2,52669
2011-04-29,3.72,3.85,3.33,3.43,16684800,2083.2,2156.0,1864.8,1920.8,29786
2011-05-31,3.45,3.47,2.51,2.88,26872506,1932.0,1943.2,1405.6,1612.8,47978
2011-06-30,2.9,2.9,2.215,2.48,17332000,1624.0,1624.0,1240.4,1388.8,30939
2011-07-29,2.48,2.75,2.27,2.36,23006800,1388.8,1540.0,1271.2,1321.6,41076
2011-08-31,2.39,2.4,1.62,1.94,21345200,1338.4,1344.0,907.199999999999,1086.4,38105
2011-09-30,1.9,2.4,1.57,1.57,16546400,1064.0,1344.0,879.199999999999,879.199999999999,29539
2011-10-31,1.56,1.7,1.26,1.55,13038800,873.599999999999,951.999999999999,705.599999999999,867.999999999999,23274
2011-11-30,1.5,1.5,1.04,1.11,12483200,839.999999999999,839.999999999999,582.4,621.599999999999,22282
2011-12-30,1.1,1.27,0.8751,0.9421,11434400,615.999999999999,711.199999999999,490.056,527.576,20410
2012-01-31,0.95,1.56,0.95,1.42,13860800,531.999999999999,873.599999999999,531.999999999999,795.199999999999,24745
2012-02-29,1.44,2.45,1.29,1.6,31022800,806.399999999999,1372.0,722.399999999999,895.999999999999,55391
2012-03-30,1.59,2.07,1.36,1.94,22447600,890.399999999999,1159.2,761.599999999999,1086.4,40074
2012-04-30,1.94,2.02,1.6,1.64,11426400,1086.4,1131.2,895.999999999999,918.399999999999,20397
2012-05-31,1.63,3.96,0.95,3.01,14278400,912.799999999999,918.399999999999,413.0,421.4,42443
2012-06-29,2.56,4.47,2.51,3.16,9543300,358.4,625.799999999999,351.4,442.4,68157
2012-07-31,3.19,3.48,2.72,2.9,2715800,446.6,487.2,380.8,406.0,19390
2012-08-31,2.93,3.19,2.61,2.86,2386400,410.2,446.6,365.4,400.4,17036
2012-09-28,2.84,4.0,2.76,3.61,2622700,397.6,559.999999999999,386.4,505.4,18725
2012-10-31,3.63,3.67,2.89,2.96,1454600,508.2,513.799999999999,404.6,414.4,10382
2012-11-30,2.88,2.99,2.23,2.23,1830700,403.2,418.6,312.2,312.2,13070
2012-12-31,2.2,2.23,1.32,1.5,5220400,308.0,312.2,184.8,210.0,37279
2013-01-31,1.63,2.68,1.58,2.06,10715700,228.2,375.2,221.2,288.4,76532
2013-02-28,2.06,2.12,1.75,1.94,4642400,288.4,296.8,245.0,271.6,33153
2013-03-29,1.9006,4.15,1.88,3.52,14762100,266.084,581.0,263.2,492.8,105434
2013-04-30,3.46,3.8499,2.78,3.52,7349300,484.4,538.985999999999,389.2,492.8,52485
2013-05-31,3.58,5.96,3.2,4.37,28780900,501.2,834.399999999999,448.0,611.799999999999,205568
2013-06-28,4.35,4.5599,3.1,3.65,10323800,608.999999999999,638.385999999999,434.0,510.999999999999,73735
2013-07-31,3.69,4.39,3.11,3.84,7710800,516.599999999999,614.599999999999,435.4,537.599999999999,55068
2013-08-30,3.85,4.45,3.3,3.57,12998200,539.0,622.999999999999,462.0,499.799999999999,92833
2013-09-30,3.65,8.75,3.57,7.18,37026900,510.999999999999,1225.0,499.799999999999,1005.2,264466
2013-10-31,7.23,8.349,5.1801,5.559,23337700,1012.2,1168.86,725.213999999999,778.259999999999,166688
2013-11-29,5.63,6.42,2.71,4.02,33774300,788.199999999999,898.799999999999,379.4,562.799999999999,241237
2013-12-31,4.21,4.93,2.78,4.59,25096900,589.399999999999,690.199999999999,389.2,642.599999999999,179253
2014-01-31,4.46,4.75,3.44,3.84,16775800,624.399999999999,664.999999999999,481.6,537.599999999999,119820
2014-02-28,3.86,4.95,3.541,4.74,11799200,540.4,692.999999999999,495.739999999999,663.599999999999,84273
2014-03-31,4.52,5.48,3.65,3.99,19284600,632.799999999999,767.199999999999,510.999999999999,558.599999999999,137740
2014-04-30,4.08,4.67,2.82,2.92,16996700,571.199999999999,653.799999999999,394.8,408.8,121398
2014-05-30,2.95,3.58,2.82,3.33,5442700,413.0,501.2,394.8,466.2,38867
2014-06-30,3.32,3.72,2.91,3.09,6504600,464.8,520.799999999999,407.4,432.6,46453
2014-07-31,3.1,3.1537,1.66,1.73,14626600,434.0,441.518,232.4,242.2,104465
2014-08-29,1.73,1.75,1.02,1.14,20718000,242.2,245.0,142.8,159.6,147977
2014-09-30,1.1,1.18,0.7,0.9175,6396973,154.0,165.2,97.9999999999999,128.45,45682
2014-10-31,0.85,17.432,0.6,16.19,3095087,119.0,2440.48,83.9999999999999,2266.6,22096
2014-11-28,16.09,17.49,13.081,14.09,983940,2252.6,2448.6,1831.34,1972.6,7019
2014-12-31,14.06,15.1,12.76,14.67,1955554,1968.4,2114.0,1786.4,2053.8,13959
2015-01-30,14.66,14.66,9.75,10.25,3081934,2052.4,2052.4,1365.0,1435.0,22004
2015-02-27,10.27,11.85,9.36,11.0,1276195,1437.8,1659.0,1310.4,1540.0,9109
2015-03-31,10.95,11.2499,7.35,7.39,3694303,1533.0,1574.986,1029.0,1034.6,26379
2015-04-30,7.44,9.24,7.44,8.38,4528064,1041.6,1293.6,1041.6,1173.2,32332
2015-05-29,8.3872,11.58,8.21,9.05,3468077,1174.208,1621.2,1149.4,1267.0,24763
2015-06-30,9.13,9.3325,6.43,6.97,5795230,1278.2,1306.55,900.199999999999,975.799999999999,41385
2015-07-31,7.01,9.19,6.93,8.64,1540435,981.399999999999,1286.6,970.199999999999,1209.6,10991
2015-08-31,8.49,9.15,5.53,7.14,867441,1188.6,1281.0,774.199999999999,999.599999999999,6187
2015-09-30,6.98,7.83,5.79,5.93,909925,977.199999999999,1096.2,810.599999999999,830.199999999999,6487
2015-10-30,5.89,6.48,5.58,6.1,684154,824.599999999999,907.199999999999,781.199999999999,853.999999999999,4874
2015-11-30,6.11,6.3,2.53,3.03,749268,855.399999999999,881.999999999999,354.2,424.2,5342
2015-12-31,3.04,3.7358,2.8,3.52,799004,425.6,523.011999999999,392.0,492.8,5697
2016-01-29,3.49,3.49,1.26,1.32,780639,488.6,488.6,176.4,184.8,5565
2016-02-29,1.28,1.33,0.407,0.6961,1261706,179.2,186.2,56.9799999999999,97.4539999999999,9002
