date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,3.2633,3.5253,3.192,3.3966,291300,3.2633,3.5253,3.192,3.3966,291300
2011-03-31,3.3929,3.58,2.9202,3.5595,723375,3.3929,3.58,2.9202,3.5595,723375
2011-04-29,3.6078,3.7671,3.1698,3.3033,926788,3.6078,3.7671,3.1698,3.3033,926788
2011-05-31,3.2217,3.2999,2.715,2.9516,608900,3.2217,3.2999,2.715,2.9516,608900
2011-06-30,2.9399,2.9399,2.3076,2.7568,419900,2.9399,2.9399,2.3076,2.7568,419900
2011-07-29,2.7568,3.0295,2.6888,2.7855,410680,2.7568,3.0295,2.6888,2.7855,410680
2011-08-31,2.7855,2.902,2.3628,2.85,360750,2.7855,2.902,2.3628,2.85,360750
2011-09-30,2.8245,2.907,2.0785,2.091,464052,2.8245,2.907,2.0785,2.091,464052
2011-10-31,2.0815,2.3674,1.5923,2.2595,440500,2.0815,2.3674,1.5923,2.2595,440500
2011-11-30,2.1837,2.4539,2.0011,2.1185,205400,2.1837,2.4539,2.0011,2.1185,205400
2011-12-30,2.0833,2.218,1.7525,2.109,283000,2.0833,2.218,1.7525,2.109,283000
2012-01-31,2.1182,2.54,2.1166,2.54,236800,2.1182,2.54,2.1166,2.54,236800
2012-02-29,2.6,2.88,2.49,2.56,719126,2.6,2.88,2.49,2.56,719126
2012-03-30,2.6,2.634,2.24,2.3599,543332,2.6,2.634,2.24,2.3599,543332
2012-04-30,2.33,2.39,2.07,2.269,746476,2.33,2.39,2.07,2.269,746476
2012-05-31,2.27,2.4,1.89,1.979,718348,2.27,2.4,1.89,1.979,718348
2012-06-29,1.98,2.23,1.8,1.9585,842705,1.98,2.23,1.8,1.9585,842705
2012-07-31,1.96,2.14,1.61,1.7678,615440,1.96,2.14,1.61,1.7678,615440
2012-08-31,1.76,2.3,1.61,2.21,1021906,1.76,2.3,1.61,2.21,1021906
2012-09-28,2.25,2.49,2.12,2.23,1799580,2.25,2.49,2.12,2.23,1799580
2012-10-31,2.3,2.61,2.19,2.31,3260391,2.3,2.61,2.19,2.31,3260391
2012-11-30,2.31,2.38,1.91,2.08,2288374,2.31,2.38,1.91,2.08,2288374
2012-12-31,2.12,2.16,1.95,2.06,1752835,2.12,2.16,1.95,2.06,1752835
2013-01-31,2.11,2.2,1.99,2.001,1872575,2.11,2.2,1.99,2.001,1872575
2013-02-28,1.99,2.13,1.87,1.89,1624369,1.99,2.13,1.87,1.89,1624369
2013-03-29,1.8901,2.08,1.86,2.06,1321653,1.8901,2.08,1.86,2.06,1321653
2013-04-30,2.08,2.08,1.28,1.43,3211348,2.08,2.08,1.28,1.43,3211348
2013-05-31,1.42,1.8,1.35,1.63,3584783,1.42,1.8,1.35,1.63,3584783
2013-06-28,1.6,1.68,1.01,1.21,2227925,1.6,1.68,1.01,1.21,2227925
2013-07-31,1.25,1.5,1.14,1.44,1162938,1.25,1.5,1.14,1.44,1162938
2013-08-30,1.42,1.49,1.23,1.39,1526853,1.42,1.49,1.23,1.39,1526853
2013-09-30,1.37,1.4,1.18,1.24,932614,1.37,1.4,1.18,1.24,932614
2013-10-31,1.19,1.3,1.07,1.15,1331847,1.19,1.3,1.07,1.15,1331847
2013-11-29,1.15,1.2,0.7801,0.84,1629128,1.15,1.2,0.7801,0.84,1629128
2013-12-31,0.81,1.1,0.7913,1.02,1436767,0.81,1.1,0.7913,1.02,1436767
2014-01-31,0.99,1.18,0.9631,1.01,1974457,0.99,1.18,0.9631,1.01,1974457
2014-02-28,1.01,1.2299,1.0,1.13,1632496,1.01,1.2299,1.0,1.13,1632496
2014-03-31,1.14,1.16,0.98,1.04,1159262,1.14,1.16,0.98,1.04,1159262
2014-04-30,1.06,1.08,0.92,0.9686,1059318,1.06,1.08,0.92,0.9686,1059318
2014-05-30,0.9603,0.9899,0.65,0.71,1304583,0.9603,0.9899,0.65,0.71,1304583
2014-06-30,0.71,0.9445,0.6848,0.8093,1060922,0.71,0.9445,0.6848,0.8093,1060922
2014-07-31,0.8101,0.822,0.73,0.7891,986088,0.8101,0.822,0.73,0.7891,986088
2014-08-29,0.78,0.8001,0.74,0.77,797279,0.78,0.8001,0.74,0.77,797279
2014-09-30,0.7501,0.7528,0.63,0.7099,1268447,0.7501,0.7528,0.63,0.7099,1268447
2014-10-31,0.73,0.7999,0.6499,0.71,1076019,0.73,0.7999,0.6499,0.71,1076019
2014-11-28,0.69,0.8899,0.64,0.7825,1211054,0.69,0.8899,0.64,0.7825,1211054
2014-12-31,0.75,0.8399,0.69,0.756,1152267,0.75,0.8399,0.69,0.756,1152267
2015-01-30,0.75,0.81,0.71,0.7484,885526,0.75,0.81,0.71,0.7484,885526
2015-02-27,0.765,0.7854,0.7,0.7118,756889,0.765,0.7854,0.7,0.7118,756889
2015-03-31,0.7001,0.7799,0.67,0.7299,968350,0.7001,0.7799,0.67,0.7299,968350
2015-04-30,0.69,0.7499,0.42,0.6494,2338322,0.69,0.7499,0.42,0.6494,2338322
2015-05-29,0.65,0.65,0.55,0.58,1031182,0.65,0.65,0.55,0.58,1031182
2015-06-30,0.6,0.6,0.46,0.51,960963,0.6,0.6,0.46,0.51,960963
2015-07-31,0.5171,0.52,0.401,0.48,942457,0.5171,0.52,0.401,0.48,942457
2015-08-31,0.44,0.56,0.41,0.5224,901294,0.44,0.56,0.41,0.5224,901294
2015-09-30,0.51,0.53,0.433,0.46,459157,0.51,0.53,0.433,0.46,459157
2015-10-30,0.44,0.566,0.4118,0.535,782738,0.44,0.566,0.4118,0.535,782738
2015-11-30,0.535,0.565,0.434,0.5001,631617,0.535,0.565,0.434,0.5001,631617
2015-12-31,0.5,0.5,0.3529,0.43,1996587,0.5,0.5,0.3529,0.43,1996587
2016-01-29,0.42,0.4612,0.35,0.39,532979,0.42,0.4612,0.35,0.39,532979
2016-02-29,0.41,0.5076,0.39,0.488,790657,0.41,0.5076,0.39,0.488,790657
2016-03-31,0.495,0.65,0.42,0.64,551436,0.495,0.65,0.42,0.64,551436
2016-04-29,0.615,0.8955,0.5697,0.8638,874751,0.615,0.8955,0.5697,0.8638,874751
2016-05-31,0.86,1.03,0.76,0.8599,1311227,0.86,1.03,0.76,0.8599,1311227
2016-06-30,0.834,0.9599,0.803,0.8401,945047,0.834,0.9599,0.803,0.8401,945047
