date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,8.14,8.2,7.24,7.98,509236,3.54349243772666,3.56961154660425,3.15170580456277,3.47384148071974,509236
2011-03-31,7.98,8.05,6.76,7.24,481080,3.47384148071974,3.50431377441027,2.94275293354204,3.1745773996612,481080
2011-04-29,7.21,7.87,6.81,7.87,433569,3.16142307341951,3.45081825073669,2.98603205686364,3.45081825073669,433569
2011-05-31,7.87,7.95,6.801,6.96,450978,3.45081825073669,3.48589645404786,2.98208575899113,3.05180368807209,450978
2011-06-30,7.0,7.21,6.7,7.15,754561,3.06934278972768,3.18419989671504,2.95896522995711,3.15770170062587,754561
2011-07-29,7.09,7.45,7.09,7.16,223348,3.1312035045367,3.29019268107171,3.1312035045367,3.16211806664073,223348
2011-08-31,7.23,7.27,6.4,6.75,294628,3.19303262874476,3.21069809280421,2.82647424951127,2.98104706003142,294628
2011-09-30,6.75,6.95,6.04,6.35,527332,2.98104706003142,3.09200988460835,2.68715679180352,2.82507377946231,527332
2011-10-31,6.3,7.0,6.159,7.0,155062,2.80282910403347,3.11425456003719,2.74009911932415,3.11425456003719,155062
2011-11-30,6.85,7.6,6.54,7.33,537577,3.04752053375068,3.38119066518323,2.90960354609189,3.26106941786751,537577
2011-12-30,7.33,7.75,6.88,7.45,817568,3.26106941786751,3.44792469146975,3.06086733900798,3.31445663889672,817568
2012-01-31,7.53,7.72,5.2,5.26,585473,3.35004811958286,3.74007142876847,3.11672619064039,3.15268841591701,585473
2012-02-29,5.2101,5.53,5.2,5.39,384195,3.12277983189529,3.3145184296618,3.11672619064039,3.23060657068302,384195
2012-03-30,5.39,5.75,5.2,5.59,494371,3.23060657068302,3.47811454409544,3.11672619064039,3.3813322263467,494371
2012-04-30,5.5,5.85,5.34,5.69,199484,3.32689217261303,3.5386034926884,3.23010985486429,3.44182117493966,199484
2012-05-31,5.75,7.25,5.3,5.52,1507344,3.47811454409544,4.50180233388847,3.2059142754271,4.36730208841201,1507344
2012-06-29,5.52,5.52,5.0,5.5,581142,4.36730208841201,4.36730208841201,3.95588957283697,4.35147853012066,581142
2012-07-31,5.49,6.0,5.3,5.8,253233,4.34356675097499,4.74706748740436,4.19324294720719,4.58883190449088,253233
2012-08-31,5.75,6.8,5.36,6.41,741744,4.54927300876251,5.38000981905828,4.24071362208123,5.07145043237699,741744
2012-09-28,6.4,6.5,5.99,6.16,322760,5.06353865323132,5.18366646418318,4.77694801853188,4.91252083374898,322760
2012-10-31,6.14,6.88,5.95,6.88,429908,4.89657109078226,5.48671158055081,4.74504853259845,5.48671158055081,429908
2012-11-30,6.92,7.2,6.36,6.64,725151,5.51861106648424,5.74190746801829,5.07201826341616,5.33617357440198,725151
2012-12-31,6.55,6.58,5.54,5.96,863316,5.26384592053207,5.28795513848871,4.56291938653907,4.9088446829915,863316
2013-01-31,5.96,6.58,5.87,6.28,404439,4.9088446829915,5.41949631108793,4.83471783375169,5.17240681362191,404439
2013-02-28,6.29,7.35,6.29,6.7,713267,5.18064313020411,6.05369268791736,5.18064313020411,5.51833211007433,713267
2013-03-29,6.67,7.07,6.15,6.34,530747,5.49362316032773,5.82307582361575,5.12758151461924,5.28599460206277,530747
2013-04-30,6.26,6.44,5.72,5.74,426222,5.21929435471812,5.36936991124357,4.7690676851418,4.78574274697796,426222
2013-05-31,5.69,6.86,5.38,6.53,1519078,4.74405509238756,5.71954620980293,4.48559163392708,5.44440768950629,1519078
2013-06-28,6.5,6.9,6.2,6.63,612962,5.41939509675205,5.75289633347525,5.23240528119999,5.59529790554128,612962
2013-07-31,6.64,7.34,6.57,7.09,395518,5.60373726889806,6.19449270387225,5.54466172540064,5.98350861995289,395518
2013-08-30,7.17,8.6999,7.1,8.4,1212318,6.05102352680709,7.34466890413232,5.99194798330967,7.17386265054785,1212318
2013-09-30,8.45,10.4199,8.0006,9.61,1270730,7.21656421394397,8.89892040862423,6.83276256213966,8.20724048473391,1270730
2013-10-31,9.7,11.34,9.505,10.43,3266429,8.28410329884692,9.6847145782396,8.11756720160206,8.90754612443025,3266429
2013-11-29,10.33,10.73,9.67,9.99,1054931,8.82214299763801,9.16375550480696,8.25848236080925,8.61624536027257,1054931
2013-12-31,9.94,10.2,9.2,9.74,981579,8.57312100912006,8.79736763511314,7.93488061206283,8.40062360451,981579
2014-01-31,9.76,11.25,9.53,9.76,808422,8.417873344971,9.70297900931596,8.21950132966943,8.417873344971,808422
2014-02-28,9.83,9.86,8.39,8.47,784389,8.47824743658452,8.50412204727603,7.23626612339208,7.3052650852361,784389
2014-03-31,8.46,9.92,8.33,9.01,595515,7.2966402150056,8.55587126865905,7.18451690200906,7.85706575296215,595515
2014-04-30,9.09,9.349,8.38,8.669,240530,7.92682882291076,8.15268676186939,7.30768157711686,7.55970066730621,240530
2014-05-30,8.63,8.87,7.67,8.14,534644,7.52569117070626,7.73498038055209,6.77090544377766,7.18581099248372,534644
2014-06-30,8.22,8.58,7.85,8.56,597420,7.25643321354007,7.57423320829365,6.92980544115445,7.55657765302957,597420
2014-07-31,8.57,10.17,8.56,9.88,894837,7.56540543066161,8.97784985178863,7.55657765302957,8.72184430045936,894837
2014-08-29,9.8,10.6,9.37,9.44,635915,8.65122207940301,9.35744428996652,8.36252464827155,8.42499815151371,635915
2014-09-30,9.43,10.04,8.9201,9.16,394411,8.41607336533626,8.96048532216076,7.96099851814803,8.17510413854508,394411
2014-10-31,9.23,11.39,8.9,10.9,1536884,8.23757764178724,10.1653314561166,7.94305969793136,9.72801693342155,1536884
2014-11-28,11.0,11.02,9.69,9.76,835896,9.81726479519606,9.83511436755096,8.65829206219228,8.80631209280963,835896
2014-12-31,9.8,10.7499,9.28,9.37,748724,8.84240353581295,9.69948507853425,8.37321477676982,8.45442052352728,748724
2015-01-30,9.45,9.51,8.75,8.95,487628,8.52660340953392,8.5807405740389,7.89500315697585,8.07546037199244,487628
2015-02-27,8.85,9.08,8.25,8.68,762898,7.98523176448415,8.19275756175323,7.44386011943437,7.83184313172004,762898
2015-03-31,8.709,8.94,7.91,8.82,1057482,7.85800942789745,8.16726798013213,7.13708285390617,8.05764022200955,1057482
2015-04-30,8.805,10.25,8.76,9.285,793673,8.04393675224423,9.36403767297029,8.00282634294826,8.48244778473455,793673
2015-05-29,9.26,9.64,8.41,8.89,868473,8.45960866845901,8.80676323584718,7.76529953368268,8.22742480328806,868473
2015-06-30,8.88,9.07,8.43,8.96,354713,8.21817010722137,8.39400933248849,7.80170878422028,8.29220767575489,354713
2015-07-31,8.9,9.35,8.26,8.43,358608,8.23667949935475,8.65314082235583,7.64437895108654,7.80170878422028,358608
2015-08-31,8.43,8.85,5.58,5.98,786014,7.80170878422028,8.19040601902129,5.25428758689176,5.63093902681231,786014
2015-09-30,5.88,6.48,5.28,6.0,964437,5.53677616683217,6.10175332671301,4.97179900695134,5.64977159880834,964437
2015-10-30,6.08,6.49,5.72,5.73,1874058,5.72510188679245,6.11116961271102,5.38611559086395,5.39553187686197,1874058
2015-11-30,5.73,6.0,5.24,5.64,1367456,5.39553187686197,5.64977159880834,4.9435501489573,5.419168676408,1367456
2015-12-31,5.61,5.86,5.46,5.5,825242,5.39034331110796,5.63055468860831,5.24621648460774,5.2846503050078,825242
2016-01-29,5.5,5.71,4.96,5.31,431379,5.2846503050078,5.4864278621081,4.76579372960703,5.10208965810753,431379
2016-02-29,5.27,5.68,4.95,5.5,397195,5.06365583770747,5.45760249680806,4.75618527450702,5.2846503050078,397195
2016-03-31,5.55,6.0,5.13,5.74,769884,5.33269258050787,5.87593984962406,4.92913746630728,5.62131578947368,769884
2016-04-29,5.79,5.8785,5.69,5.75,303642,5.67028195488722,5.75695206766917,5.57234962406015,5.63110902255639,303642
2016-05-31,5.7,5.83,4.79,5.27,504145,5.58214285714286,5.70945488721804,4.69095864661654,5.16103383458647,504145
2016-06-30,5.25,5.26,5.0,5.17,455013,5.25,5.26,5.0,5.17,455013
2016-07-29,5.23,5.69,5.025,5.19,411648,5.23,5.69,5.025,5.19,411648
2016-08-31,5.15,5.5,3.865,4.1,1914078,5.15,5.5,3.865,4.1,1914078
2016-09-30,4.15,4.5,4.11,4.35,1104422,4.15,4.5,4.11,4.35,1104422
2016-10-31,4.39,4.49,4.2,4.25,398013,4.39,4.49,4.2,4.25,398013
2016-11-30,4.25,4.35,3.1,3.95,653163,4.25,4.35,3.1,3.95,653163
2016-12-30,3.9,4.35,3.8,4.1,661535,3.9,4.35,3.8,4.1,661535
2017-01-31,4.15,4.4,4.05,4.35,420282,4.15,4.4,4.05,4.35,420282
2017-02-28,4.35,4.85,4.25,4.65,603412,4.35,4.85,4.25,4.65,603412
2017-03-31,4.75,5.07,4.55,4.85,388833,4.75,5.07,4.55,4.85,388833
2017-04-28,4.9,5.25,4.45,5.0,543150,4.9,5.25,4.45,5.0,543150
2017-05-31,4.95,5.7,4.9,5.35,579800,4.95,5.7,4.9,5.35,579800
2017-06-30,5.35,5.4,5.0,5.15,296277,5.35,5.4,5.0,5.15,296277
2017-07-31,5.05,5.35,4.85,4.9,429373,5.05,5.35,4.85,4.9,429373
2017-08-31,4.9,5.15,4.58,4.75,518956,4.9,5.15,4.58,4.75,518956
2017-09-29,4.75,4.9,4.5,4.85,440586,4.75,4.9,4.5,4.85,440586
2017-10-31,4.9,4.9,4.55,4.65,368826,4.9,4.9,4.55,4.65,368826
2017-11-30,4.6,4.7,4.0,4.55,723662,4.6,4.7,4.0,4.55,723662
2017-12-29,4.5,4.75,4.4,4.7,384412,4.5,4.75,4.4,4.7,384412
2018-01-31,4.7,5.85,4.7,5.4,475652,4.7,5.85,4.7,5.4,475652
2018-02-28,5.4,5.65,5.25,5.45,204322,5.4,5.65,5.25,5.45,204322
2018-03-30,5.4,5.6,4.8,4.8144,223614,5.4,5.6,4.8,4.8144,223614
2018-04-30,4.95,4.95,3.6,3.7998,344915,4.95,4.95,3.6,3.7998,344915
2018-05-31,3.7,3.8,3.155,3.3,269185,3.7,3.8,3.155,3.3,269185
2018-06-29,3.3,3.4,2.8,2.85,331800,3.3,3.4,2.8,2.85,331800
2018-07-31,2.9,2.995,2.5,2.6,218981,2.9,2.995,2.5,2.6,218981
2018-08-31,2.6,2.7,2.05,2.275,365897,2.6,2.7,2.05,2.275,365897
2018-09-28,2.267,2.49,2.15,2.35,160923,2.267,2.49,2.15,2.35,160923
2018-10-31,2.3115,2.3787,1.61,1.87,306110,2.3115,2.3787,1.61,1.87,306110
2018-11-30,1.64,1.96,1.41,1.55,391175,1.64,1.96,1.41,1.55,391175
2018-12-31,1.55,1.65,1.11,1.185,887746,1.55,1.65,1.11,1.185,887746
2019-01-31,1.18,1.38,1.16,1.33,866386,1.18,1.38,1.16,1.33,866386
2019-02-28,1.35,1.45,1.2964,1.38,831187,1.35,1.45,1.2964,1.38,831187
2019-03-29,1.38,1.38,1.11,1.2,579432,1.38,1.38,1.11,1.2,579432
2019-04-30,1.22,1.27,1.0688,1.08,924340,1.22,1.27,1.0688,1.08,924340
2019-05-31,1.09,1.15,0.83,0.88,553463,1.09,1.15,0.83,0.88,553463
2019-06-28,0.86,0.96,0.79,0.79,271959,0.86,0.96,0.79,0.79,271959
2019-07-31,0.78,0.8999,0.78,0.8075,285236,0.78,0.8999,0.78,0.8075,285236
2019-08-30,0.89,1.05,0.701,0.8,762538,0.89,1.05,0.701,0.8,762538
2019-09-30,0.85,0.9872,0.81,0.9195,462115,0.85,0.9872,0.81,0.9195,462115
2019-10-31,0.87,1.305,0.87,1.25,667858,0.87,1.305,0.87,1.25,667858
2019-11-29,1.25,1.25,0.91,0.9339,646194,1.25,1.25,0.91,0.9339,646194
2019-12-31,0.95,1.01,0.81,0.8939,1089427,0.95,1.01,0.81,0.8939,1089427
2020-01-31,0.8851,0.98,0.86,0.8701,288164,0.8851,0.98,0.86,0.8701,288164
2020-02-28,0.8801,1.1,0.841,0.85,477355,0.8801,1.1,0.841,0.85,477355
2020-03-31,0.86,0.94,0.561,0.78,589450,0.86,0.94,0.561,0.78,589450
2020-04-30,0.7101,0.8899,0.71,0.8599,385705,0.7101,0.8899,0.71,0.8599,385705
2020-05-29,0.859899,1.12,0.8,1.01,473080,0.859899,1.12,0.8,1.01,473080
2020-06-30,1.0,1.6,0.9102,1.08,2795949,1.0,1.6,0.9102,1.08,2795949
2020-07-31,1.06,1.44,1.06,1.35,1043332,1.06,1.44,1.06,1.35,1043332
2020-08-31,1.34,1.41,1.03,1.06,1270549,1.34,1.41,1.03,1.06,1270549
2020-09-30,1.06,1.25,0.96,1.16,484751,1.06,1.25,0.96,1.16,484751
2020-10-30,1.1512,1.32,1.0,1.13,1808509,1.1512,1.32,1.0,1.13,1808509
2020-11-30,1.2,1.9,1.13,1.65,2161435,1.2,1.9,1.13,1.65,2161435
2020-12-31,1.7,2.78,1.6,1.97,7076786,1.7,2.78,1.6,1.97,7076786
2021-01-29,1.9135,2.5,1.9135,2.1,2123509,1.9135,2.5,1.9135,2.1,2123509
2021-02-26,2.08,3.5499,2.05,2.81,4186966,2.08,3.5499,2.05,2.81,4186966
2021-03-31,2.83,5.63,2.45,2.73,30747604,2.83,5.63,2.45,2.73,30747604
2021-04-30,2.67,3.09,2.36,2.47,1812884,2.67,3.09,2.36,2.47,1812884
