date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,1.85,2.03,1.55,1.75,32582600,266.4,292.32,223.2,252.0,226259
2011-03-31,1.76,2.23,1.63,2.14,77534800,253.44,321.12,234.72,308.16,538424
2011-04-29,2.15,2.18,1.64,1.71,34946000,309.6,313.92,236.16,246.24,242672
2011-05-31,1.71,1.9665,1.35,1.9,50418192,246.24,283.176,194.4,273.6,350115
2011-06-30,1.9,1.92,1.26,1.31,52704284,273.6,276.48,181.44,188.64,365990
2011-07-29,1.32,1.49,1.25,1.33,35964200,190.08,214.56,180.0,191.52,249741
2011-08-31,1.42,1.42,0.9789,1.18,39965900,204.48,204.48,140.9616,169.92,277527
2011-09-30,1.17,1.39,0.83,0.8399,50062900,168.48,200.16,119.52,120.9456,347648
2011-10-31,0.89,1.11,0.8,1.07,28859700,128.16,159.84,115.2,154.08,200403
2011-11-30,1.01,1.06,0.83,0.93,21509000,145.44,152.64,119.52,133.92,149358
2011-12-30,0.9238,1.12,0.86,0.872,22141500,133.0272,161.28,123.84,125.568,153753
2012-01-31,0.872,1.03,0.872,0.98,16761100,125.568,148.32,125.568,141.12,116387
2012-02-29,0.9857,1.79,0.97,1.49,55743700,141.9408,257.76,139.68,214.56,387100
2012-03-30,1.49,1.95,1.35,1.565,73643800,214.56,280.8,194.4,225.36,511406
2012-04-30,1.54,1.56,1.22,1.24,31347584,221.76,224.64,175.68,178.56,217680
2012-05-31,1.23,1.39,0.921,1.35,37346372,177.12,200.16,132.624,194.4,259339
2012-06-29,1.34,1.36,0.95,1.005,44633800,192.96,195.84,136.8,144.72,309947
2012-07-31,1.03,1.145,1.0,1.04,18113600,148.32,164.88,144.0,149.76,125777
2012-08-31,1.05,1.1,0.9116,0.99,22664800,151.2,158.4,131.2704,142.56,157384
2012-09-28,0.98,1.02,0.85,0.88,19577700,141.12,146.88,122.4,126.72,135947
2012-10-31,0.8878,1.01,0.8519,0.9305,13348900,127.8432,145.44,122.6736,133.992,92689
2012-11-30,0.9288,1.18,0.831,0.86,25552300,133.7472,169.92,119.664,123.84,177435
2012-12-31,0.871,1.06,0.84,0.917,22098452,125.424,152.64,120.96,132.048,153451
2013-01-31,0.943,1.3,0.935,1.09,34990000,135.792,187.2,134.64,156.96,242976
2013-02-28,1.09,1.15,0.96,1.06,14350900,156.96,165.6,138.24,152.64,99648
2013-03-29,1.07,1.11,0.93,0.9438,17621800,154.08,159.84,133.92,135.9072,122365
2013-04-30,0.941,1.1,0.84,1.05,26177100,135.504,158.4,120.96,151.2,181773
2013-05-31,1.06,1.64,1.0,1.275,72460900,152.64,236.16,144.0,183.6,503188
2013-06-28,1.28,1.63,1.1,1.28,89473200,184.32,234.72,158.4,184.32,621332
2013-07-31,1.27,1.41,1.2,1.215,31222931,182.88,203.04,172.8,174.96,216815
2013-08-30,1.24,1.28,1.12,1.24,26723600,178.56,184.32,161.28,178.56,185567
2013-09-30,1.26,1.41,1.21,1.29,44822100,181.44,203.04,174.24,185.76,311253
2013-10-31,1.29,1.57,1.18,1.34,48870400,185.76,226.08,169.92,192.96,339367
2013-11-29,1.34,1.57,1.31,1.37,42896400,192.96,226.08,188.64,197.28,297882
2013-12-31,1.36,1.89,1.28,1.41,121856375,195.84,272.16,184.32,203.04,846211
2014-01-31,1.48,1.95,1.3,1.43,160724200,213.12,280.8,187.2,205.92,1116131
2014-02-28,1.48,2.08,1.37,1.95,110472800,213.12,299.52,197.28,280.8,767163
2014-03-31,1.93,4.74,1.86,2.48,1154483900,277.92,682.560000000001,267.84,357.12,8017238
