date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,4.03,5.1695,4.0112,5.1066,2092400,4.03,5.1695,4.0112,5.1066,2092400
2011-03-31,5.16,6.18,4.4,5.4905,5470600,5.16,6.18,4.4,5.4905,5470600
2011-04-29,5.4576,7.1167,5.22,5.4897,6229100,5.4576,7.1167,5.22,5.4897,6229100
2011-05-31,5.2055,5.533,4.56,5.37,3672000,5.2055,5.533,4.56,5.37,3672000
2011-06-30,5.34,5.4,4.49,5.24,2239100,5.34,5.4,4.49,5.24,2239100
2011-07-29,5.17,6.53,5.15,5.8099,2235300,5.17,6.53,5.15,5.8099,2235300
2011-08-31,5.7,6.35,4.88,6.15,2504900,5.7,6.35,4.88,6.15,2504900
2011-09-30,6.0815,7.25,4.9401,5.03,4364300,6.0815,7.25,4.9401,5.03,4364300
2011-10-31,5.0,6.62,4.1695,6.3868,3690900,5.0,6.62,4.1695,6.3868,3690900
2011-11-30,6.05,6.92,5.78,6.73,3217500,6.05,6.92,5.78,6.73,3217500
2011-12-30,6.75,6.9,5.0,5.49,3798600,6.75,6.9,5.0,5.49,3798600
2012-01-31,5.67,6.91,5.436,6.71,3088800,5.67,6.91,5.436,6.71,3088800
2012-02-29,6.76,7.67,6.1,7.0,4082600,6.76,7.67,6.1,7.0,4082600
2012-03-30,7.11,7.19,4.28,4.52,7606200,7.11,7.19,4.28,4.52,7606200
2012-04-30,4.52,4.69,3.55,4.18,6082600,4.52,4.69,3.55,4.18,6082600
2012-05-31,4.2,4.3,3.1,3.88,4620100,4.2,4.3,3.1,3.88,4620100
2012-06-29,3.94,4.59,3.26,3.45,4527300,3.94,4.59,3.26,3.45,4527300
2012-07-31,3.46,4.02,3.19,3.74,3670000,3.46,4.02,3.19,3.74,3670000
2012-08-31,3.74,4.92,3.4,4.7,4660200,3.74,4.92,3.4,4.7,4660200
2012-09-28,4.88,6.0,4.775,5.32,6500000,4.88,6.0,4.775,5.32,6500000
2012-10-31,5.4,5.57,4.59,5.51,4217300,5.4,5.57,4.59,5.51,4217300
2012-11-30,5.57,5.75,4.48,4.63,4859500,5.57,5.75,4.48,4.63,4859500
2012-12-31,4.63,4.76,3.856,4.17,3746400,4.63,4.76,3.856,4.17,3746400
2013-01-31,4.36,4.71,3.91,4.16,3499000,4.36,4.71,3.91,4.16,3499000
2013-02-28,4.25,4.8,3.82,3.82,8187700,4.25,4.8,3.82,3.82,8187700
2013-03-29,3.88,4.48,3.76,4.3,6221300,3.88,4.48,3.76,4.3,6221300
