date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,1.21,1.24,1.08,1.18,2631000,7.25999999999999,7.43999999999999,6.47999999999999,7.07999999999999,438500
2011-03-31,1.18,1.2,0.87,1.04,3658800,7.07999999999999,7.19999999999999,5.21999999999999,6.23999999999999,609800
2011-04-29,1.04,1.57,0.98,1.35,7252200,6.23999999999999,9.41999999999998,5.87999999999999,8.09999999999999,1208700
2011-05-31,1.32,1.47,1.2,1.35,3047400,7.91999999999998,8.81999999999998,7.19999999999999,8.09999999999999,507900
2011-06-30,1.35,1.38,1.0,1.22,2197200,8.09999999999999,8.27999999999998,5.99999999999999,7.31999999999999,366200
2011-07-29,1.22,1.3,0.91,1.03,2831400,7.31999999999999,7.79999999999998,5.45999999999999,6.17999999999999,471900
2011-08-31,1.03,1.05,0.76,0.87,2838600,6.17999999999999,6.29999999999999,4.55999999999999,5.21999999999999,473100
2011-09-30,0.86,1.09,0.805,0.86,1636800,5.15999999999999,6.53999999999999,4.82999999999999,5.15999999999999,272800
2011-10-31,0.92,0.995,0.86,0.89,1962600,5.51999999999999,5.96999999999999,5.15999999999999,5.33999999999999,327100
2011-11-30,0.89,0.97,0.73,0.8,1581600,5.33999999999999,5.81999999999999,4.37999999999999,4.79999999999999,263600
2011-12-30,0.8,1.13,0.64,0.96,3404825,4.79999999999999,6.77999999999999,3.83999999999999,5.75999999999999,567470
2012-01-31,0.96,0.99,0.75,0.81,1467315,5.75999999999999,5.93999999999999,4.49999999999999,4.85999999999999,244552
2012-02-29,0.82,0.9,0.7,0.86,2399400,4.91999999999999,5.39999999999999,4.19999999999999,5.15999999999999,399900
2012-03-30,0.85,6.0,0.652,4.04,4703600,5.09999999999999,6.0,3.75,4.04,1872100
2012-04-30,4.04,4.4,2.53,3.11,1065700,4.04,4.4,2.53,3.11,1065700
2012-05-31,3.11,3.15,1.96,2.34,1027100,3.11,3.15,1.96,2.34,1027100
2012-06-29,2.25,2.33,1.89,2.05,574300,2.25,2.33,1.89,2.05,574300
2012-07-31,2.0,3.25,1.61,2.34,5596800,2.0,3.25,1.61,2.34,5596800
2012-08-31,2.46,2.51,2.01,2.16,1245200,2.46,2.51,2.01,2.16,1245200
2012-09-28,2.21,2.3,1.65,2.23,1333800,2.21,2.3,1.65,2.23,1333800
2012-10-31,2.2,2.2,1.86,1.9,517500,2.2,2.2,1.86,1.9,517500
2012-11-30,1.88,2.2224,1.6,2.0,764700,1.88,2.2224,1.6,2.0,764700
2012-12-31,1.95,2.24,1.79,2.05,1045900,1.95,2.24,1.79,2.05,1045900
2013-01-31,2.05,2.75,1.96,2.57,1068300,2.05,2.75,1.96,2.57,1068300
2013-02-28,2.5,3.98,2.5,3.4,1320700,2.5,3.98,2.5,3.4,1320700
2013-03-29,3.4,4.55,3.051,3.59,2056700,3.4,4.55,3.051,3.59,2056700
2013-04-30,3.49,5.22,3.19,4.68,2156600,3.49,5.22,3.19,4.68,2156600
2013-05-31,4.67,5.1499,4.05,4.245,1321500,4.67,5.1499,4.05,4.245,1321500
2013-06-28,4.23,4.42,3.9,4.25,772200,4.23,4.42,3.9,4.25,772200
2013-07-31,4.25,5.969,3.955,5.95,1262100,4.25,5.969,3.955,5.95,1262100
2013-08-30,6.01,7.95,5.28,7.39,5059900,6.01,7.95,5.28,7.39,5059900
2013-09-30,7.5,13.2099,7.16,9.97,7044200,7.5,13.2099,7.16,9.97,7044200
2013-10-31,10.0,12.75,9.85,10.45,6119100,10.0,12.75,9.85,10.45,6119100
2013-11-29,10.62,10.62,5.35,8.2,5205000,10.62,10.62,5.35,8.2,5205000
2013-12-31,8.2,9.6,7.56,8.08,2789787,8.2,9.6,7.56,8.08,2789787
2014-01-31,8.01,17.88,7.9,13.71,25733200,8.01,17.88,7.9,13.71,25733200
2014-02-28,13.84,19.1099,11.75,16.86,11768400,13.84,19.1099,11.75,16.86,11768400
2014-03-31,16.53,18.62,12.53,15.31,12701900,16.53,18.62,12.53,15.31,12701900
2014-04-30,14.56,15.22,10.05,11.54,9258000,14.56,15.22,10.05,11.54,9258000
2014-05-30,11.51,13.3399,9.8,12.93,4755100,11.51,13.3399,9.8,12.93,4755100
2014-06-30,12.81,16.02,12.15,13.81,7209200,12.81,16.02,12.15,13.81,7209200
2014-07-31,14.03,16.55,5.15,6.14,23441600,14.03,16.55,5.15,6.14,23441600
2014-08-29,5.98,6.588,4.28,6.26,15605300,5.98,6.588,4.28,6.26,15605300
2014-09-30,6.28,6.6,5.0,5.03,6124313,6.28,6.6,5.0,5.03,6124313
2014-10-31,5.0,5.8,4.55,5.42,2645144,5.0,5.8,4.55,5.42,2645144
2014-11-28,5.44,5.88,3.95,3.97,3370341,5.44,5.88,3.95,3.97,3370341
2014-12-31,3.98,3.988,3.0,3.47,4265341,3.98,3.988,3.0,3.47,4265341
2015-01-30,3.43,4.5,3.0801,3.22,11025004,3.43,4.5,3.0801,3.22,11025004
2015-02-27,3.23,4.4,3.12,3.4,3284737,3.23,4.4,3.12,3.4,3284737
2015-03-31,3.41,4.08,3.35,3.35,2370191,3.41,4.08,3.35,3.35,2370191
2015-04-30,3.34,3.48,2.9,2.99,2010631,3.34,3.48,2.9,2.99,2010631
2015-05-29,2.97,3.16,2.51,2.51,1798803,2.97,3.16,2.51,2.51,1798803
2015-06-30,2.56,4.11,2.5,2.73,7498826,2.56,4.11,2.5,2.73,7498826
2015-07-31,2.76,2.99,2.5,2.57,1470171,2.76,2.99,2.5,2.57,1470171
2015-08-31,2.62,3.33,1.68,2.21,4219167,2.62,3.33,1.68,2.21,4219167
2015-09-30,2.12,2.63,2.0,2.34,1937835,2.12,2.63,2.0,2.34,1937835
2015-10-30,2.34,3.2499,2.2,2.73,2252385,2.34,3.2499,2.2,2.73,2252385
2015-11-30,2.77,3.0,2.0,2.0,3518825,2.77,3.0,2.0,2.0,3518825
2015-12-31,2.01,2.04,1.521,1.64,3197598,2.01,2.04,1.521,1.64,3197598
2016-01-29,1.6,1.82,1.2203,1.41,1762978,1.6,1.82,1.2203,1.41,1762978
2016-02-29,1.42,1.47,1.08,1.28,1793289,1.42,1.47,1.08,1.28,1793289
2016-03-31,1.29,1.65,1.2,1.43,2505059,1.29,1.65,1.2,1.43,2505059
2016-04-29,1.44,1.75,1.4075,1.42,3849396,1.44,1.75,1.4075,1.42,3849396
2016-05-31,1.44,1.7,1.25,1.48,2542588,1.44,1.7,1.25,1.48,2542588
2016-06-30,1.515,1.6297,1.295,1.47,1868387,1.515,1.6297,1.295,1.47,1868387
2016-07-29,1.54,1.66,1.45,1.64,1153911,1.54,1.66,1.45,1.64,1153911
2016-08-31,1.64,2.42,1.56,1.7201,4802656,1.64,2.42,1.56,1.7201,4802656
2016-09-30,1.73,3.05,1.1,1.13,32948868,1.73,3.05,1.1,1.13,32948868
2016-10-31,1.12,1.18,0.6899,0.72,6048397,1.12,1.18,0.6899,0.72,6048397
2016-11-30,0.72,1.1,0.49,0.82,7571895,0.72,1.1,0.49,0.82,7571895
2016-12-30,0.82,1.17,0.82,0.9798,6438748,0.82,1.17,0.82,0.9798,6438748
2017-01-31,0.97,1.18,0.935,0.99,6342785,0.97,1.18,0.935,0.99,6342785
2017-02-28,1.0,2.21,0.97,1.9,13788038,1.0,2.21,0.97,1.9,13788038
2017-03-31,1.89,2.45,1.6,2.3,14947858,1.89,2.45,1.6,2.3,14947858
2017-04-28,2.3,3.68,2.1,3.06,14180839,2.3,3.68,2.1,3.06,14180839
2017-05-31,3.05,3.2,2.04,2.27,5127749,3.05,3.2,2.04,2.27,5127749
2017-06-30,2.27,2.75,2.2,2.46,3052699,2.27,2.75,2.2,2.46,3052699
2017-07-31,2.5,2.52,1.94,2.0,2645082,2.5,2.52,1.94,2.0,2645082
2017-08-31,2.1,2.25,1.51,1.72,3538668,2.1,2.25,1.51,1.72,3538668
2017-09-29,1.72,2.35,1.63,2.14,3745744,1.72,2.35,1.63,2.14,3745744
2017-10-31,2.24,2.9,2.16,2.45,5807964,2.24,2.9,2.16,2.45,5807964
2017-11-30,2.45,3.14,2.2,2.36,6766474,2.45,3.14,2.2,2.36,6766474
2017-12-29,2.4,3.84,1.28,3.34,30977826,2.4,3.84,1.28,3.34,30977826
2018-01-31,3.42,6.74,3.16,4.61,22986845,3.42,6.74,3.16,4.61,22986845
2018-02-28,4.57,4.6879,3.71,4.11,8205751,4.57,4.6879,3.71,4.11,8205751
2018-03-30,4.13,5.82,3.7,4.74,9220682,4.13,5.82,3.7,4.74,9220682
2018-04-30,4.69,5.0,3.14,3.33,11113016,4.69,5.0,3.14,3.33,11113016
2018-05-31,3.35,5.12,3.1,5.08,11723890,3.35,5.12,3.1,5.08,11723890
2018-06-29,5.1,9.49,4.75,6.36,34292143,5.1,9.49,4.75,6.36,34292143
2018-07-31,6.27,7.5,4.77,5.05,10625010,6.27,7.5,4.77,5.05,10625010
2018-08-31,5.16,6.53,3.531,6.47,16553592,5.16,6.53,3.531,6.47,16553592
2018-09-28,6.66,6.98,5.19,6.01,16185793,6.66,6.98,5.19,6.01,16185793
2018-10-31,6.05,6.16,3.85,4.31,8768204,6.05,6.16,3.85,4.31,8768204
2018-11-30,4.3,6.1582,4.273,4.94,5583116,4.3,6.1582,4.273,4.94,5583116
2018-12-31,5.0,5.3,3.17,3.43,5453226,5.0,5.3,3.17,3.43,5453226
