date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,2.74,3.79,2.53,3.35,125500,2.74,3.79,2.53,3.35,125500
2011-03-31,3.4,3.7,2.63,3.38,122600,3.4,3.7,2.63,3.38,122600
2011-04-29,3.3001,3.65,2.99,3.18,137200,3.3001,3.65,2.99,3.18,137200
2011-05-31,3.1,3.2,1.74,3.02,132200,3.1,3.2,1.74,3.02,132200
2011-06-30,3.0,3.07,2.51,2.99,132100,3.0,3.07,2.51,2.99,132100
2011-07-29,3.0,3.05,2.6,2.849,102800,3.0,3.05,2.6,2.849,102800
2011-08-31,2.8,3.72,2.53,3.17,271500,2.8,3.72,2.53,3.17,271500
2011-09-30,3.01,3.48,2.68,2.95,52500,3.01,3.48,2.68,2.95,52500
2011-10-31,2.92,2.99,2.5,2.7999,148400,2.92,2.99,2.5,2.7999,148400
2011-11-30,2.61,2.8,2.48,2.6,89700,2.61,2.8,2.48,2.6,89700
2011-12-30,2.6,3.65,2.46,2.6499,248400,2.6,3.65,2.46,2.6499,248400
2012-01-31,2.7216,2.75,2.46,2.52,192400,2.7216,2.75,2.46,2.52,192400
2012-02-29,2.52,2.79,2.48,2.56,119400,2.52,2.79,2.48,2.56,119400
2012-03-30,2.57,2.8962,2.55,2.88,193500,2.57,2.8962,2.55,2.88,193500
2012-04-30,2.87,3.0,2.78,3.0,78900,2.87,3.0,2.78,3.0,78900
2012-05-31,2.9,3.15,2.8,3.15,127500,2.9,3.15,2.8,3.15,127500
2012-06-29,3.11,3.22,2.82,3.22,109000,3.11,3.22,2.82,3.22,109000
2012-07-31,3.17,3.35,3.1,3.3,101200,3.17,3.35,3.1,3.3,101200
2012-08-31,3.32,4.01,3.26,3.9892,35900,3.32,4.01,3.26,3.9892,35900
2012-09-28,3.9892,4.37,3.75,4.05,79900,3.9892,4.37,3.75,4.05,79900
2012-10-31,3.86,4.0899,3.79,3.99,73800,3.86,4.0899,3.79,3.99,73800
2012-11-30,3.97,4.87,3.82,4.52,228900,3.97,4.87,3.82,4.52,228900
2012-12-31,4.61,4.61,4.18,4.3,115500,4.61,4.61,4.18,4.3,115500
2013-01-31,4.35,4.95,4.35,4.95,583400,4.35,4.95,4.35,4.95,583400
2013-02-28,5.02,5.2,4.5801,4.91,174200,5.02,5.2,4.5801,4.91,174200
2013-03-29,4.96,5.0,4.13,4.5,274300,4.96,5.0,4.13,4.5,274300
2013-04-30,4.415,4.8,4.2501,4.49,106200,4.415,4.8,4.2501,4.49,106200
2013-05-31,4.46,4.61,3.97,4.48,299800,4.46,4.61,3.97,4.48,299800
2013-06-28,4.05,5.0,4.03,4.65,68600,4.05,5.0,4.03,4.65,68600
2013-07-31,4.67,5.09,4.64,4.93,100000,4.67,5.09,4.64,4.93,100000
2013-08-30,4.9601,5.1999,4.7,5.1499,148000,4.9601,5.1999,4.7,5.1499,148000
2013-09-30,5.07,5.979,4.71,5.36,859900,5.07,5.979,4.71,5.36,859900
2013-10-31,5.51,6.37,5.51,5.8099,601500,5.51,6.37,5.51,5.8099,601500
2013-11-29,5.91,6.53,5.43,6.16,249700,5.91,6.53,5.43,6.16,249700
2013-12-31,6.222,6.8101,5.95,6.03,403200,6.222,6.8101,5.95,6.03,403200
