date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,13.68,14.435,12.3,13.23,180117200,13.68,14.435,12.3,13.23,180117200
2011-03-31,13.29,13.58,12.02,13.46,109510900,13.29,13.58,12.02,13.46,109510900
2011-04-29,13.6,13.64,11.78,12.19,85364700,13.6,13.64,11.78,12.19,85364700
2011-05-31,12.31,12.55,10.84,11.11,127429800,12.31,12.55,10.84,11.11,127429800
2011-06-30,11.04,11.12,9.75,10.28,143595200,11.04,11.12,9.75,10.28,143595200
2011-07-29,10.3,10.71,7.56,8.32,209114000,10.3,10.71,7.56,8.32,209114000
2011-08-31,8.44,8.47,5.26,6.93,274840900,8.44,8.47,5.26,6.93,274840900
2011-09-30,6.94,6.97,4.8,5.74,197950900,6.94,6.97,4.8,5.74,197950900
2011-10-31,5.7,6.99,4.84,6.38,232539100,5.7,6.99,4.84,6.38,232539100
2011-11-30,6.01,7.38,5.32,6.59,242387000,6.01,7.38,5.32,6.59,242387000
2011-12-30,6.48,7.05,5.69,6.55,170949200,6.48,7.05,5.69,6.55,170949200
2012-01-31,6.74,8.45,6.57,7.71,169219700,6.74,8.45,6.57,7.71,169219700
2012-02-29,7.87,9.68,7.77,9.09,205982900,7.87,9.68,7.77,9.09,205982900
2012-03-30,9.09,9.49,8.11,8.32,195625900,9.09,9.49,8.11,8.32,195625900
2012-04-30,8.32,8.46,5.7,6.01,318065500,8.32,8.46,5.7,6.01,318065500
2012-05-31,6.03,6.5,4.82,5.24,232298400,6.03,6.5,4.82,5.24,232298400
2012-06-29,5.07,5.79,4.8,5.66,163177200,5.07,5.79,4.8,5.66,163177200
2012-07-31,5.74,5.97,4.62,5.04,132305900,5.74,5.97,4.62,5.04,132305900
2012-08-31,5.34,5.57,4.06,5.29,229835800,5.34,5.57,4.06,5.29,229835800
2012-09-28,5.27,6.15,5.07,5.23,169691300,5.27,6.15,5.07,5.23,169691300
2012-10-31,5.25,6.04,5.07,5.96,171412500,5.25,6.04,5.07,5.96,171412500
2012-11-30,6.02,6.3001,5.1,5.95,232116300,6.02,6.3001,5.1,5.95,232116300
2012-12-31,5.98,7.53,5.85,7.51,213713800,5.98,7.53,5.85,7.51,213713800
2013-01-31,7.77,9.48,7.66,9.17,246344900,7.77,9.48,7.66,9.17,246344900
2013-02-28,9.22,9.33,8.08,8.54,164255900,9.22,9.33,8.08,8.54,164255900
2013-03-29,8.46,10.74,8.3,10.0,233192600,8.46,10.74,8.3,10.0,233192600
2013-04-30,10.06,10.17,8.98,10.03,160175300,10.06,10.17,8.98,10.03,160175300
2013-05-31,10.51,11.13,10.1,10.81,213861100,10.51,11.13,10.1,10.81,213861100
2013-06-28,10.86,11.48,10.26,11.41,192850500,10.86,11.48,10.26,11.41,192850500
2013-07-31,11.5,13.79,11.48,12.99,157761300,11.5,13.79,11.48,12.99,157761300
2013-08-30,13.17,13.31,11.55,11.8,115270200,13.17,13.31,11.55,11.8,115270200
2013-09-30,12.02,13.13,11.83,12.8,125716200,12.02,13.13,11.83,12.8,125716200
2013-10-31,12.8,14.75,12.48,14.53,264608300,12.8,14.75,12.48,14.53,264608300
2013-11-29,14.52,15.485,13.68,15.11,110222700,14.52,15.485,13.68,15.11,110222700
2013-12-31,15.11,15.78,14.65,15.53,110613700,15.11,15.78,14.65,15.53,110613700
2014-01-31,15.47,16.75,14.44,14.75,117986800,15.47,16.75,14.44,14.75,117986800
2014-02-28,14.71,15.75,14.24,15.54,107853300,14.71,15.75,14.24,15.54,107853300
2014-03-31,15.32,18.26,15.17,17.73,154495500,15.32,18.26,15.17,17.73,154495500
2014-04-30,17.81,18.58,15.655,17.85,163393900,17.81,18.58,15.655,17.85,163393900
2014-05-30,17.88,18.74,16.93,16.99,156947200,17.88,18.74,16.93,16.99,156947200
2014-06-30,17.09,18.08,16.91,17.4,98658300,17.09,18.08,16.91,17.4,98658300
2014-07-31,17.46,17.85,12.89,13.1,157884800,17.46,17.85,12.89,13.1,157884800
2014-08-29,13.14,14.26,12.64,14.19,120428300,13.14,14.26,12.64,14.19,120428300
