date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,11.79,16.18,11.79,15.68,3484700,4.02488903247928,5.52355424474256,4.02488903247928,5.35286344607932,3484700
2011-03-31,15.84,20.3,15.4,19.53,6147300,5.40748450165155,6.93004642572769,5.2572765988279,6.66718259578629,6147300
2011-04-29,19.77,20.4,18.13,19.9,4033000,6.74911417914465,6.96418458546033,6.18924835952921,6.79349378679709,4033000
2011-05-31,19.97,20.02,12.85,14.51,3292400,6.81739049860994,6.83445957847627,4.38675352564536,4.95344697720733,3292400
2011-06-30,14.44,14.52,12.35,13.99,3890900,4.92955026539447,4.95686079318059,4.21606272698211,4.77592854659755,3890900
2011-07-29,14.06,14.91,11.22,12.0,2597700,4.79982525841041,5.08999961613792,3.83030152200318,4.09657916791784,2597700
2011-08-31,12.3,12.77,7.52,10.23,4849600,4.19899364711579,4.35944299785924,2.56718961189518,3.49233374064996,4849600
2011-09-30,10.25,10.34,7.03,8.25,3459000,3.49916137259649,3.52988571635588,2.3999126292052,2.81639817794352,3459000
2011-10-31,8.09,12.58,6.8,10.97,3592100,2.76177712237128,4.29458049436721,2.32139486182011,3.74495612267156,3592100
2011-11-30,10.21,13.95,10.1308,12.71,2858600,3.48550610870343,4.76227328270449,3.45846868619517,4.33896010201965,2858600
2011-12-30,12.64,14.85,12.0,13.42,2538100,4.3150633902068,5.06951672029833,4.09657916791784,4.58134103612146,2538100
2012-01-31,13.97,17.62,13.51,16.99,2930400,4.76910091465102,6.0151437448927,4.61206537988084,5.80007333857701,2930400
2012-02-29,17.27,19.64,17.02,17.29,2968600,5.89566018582843,6.7047345714922,5.81031478649681,5.90248781777496,2968600
2012-03-30,18.25,21.0,18.02,18.92,9441800,6.23021415120839,7.16901354385623,6.1516963838233,6.45893982141713,9441800
2012-04-30,18.88,20.1,16.93,19.3,5423900,6.44528455752407,6.86177010626239,5.77959044273742,6.5886648284012,5423900
2012-05-31,19.35,19.7999,14.42,15.87,6526400,6.60573390826752,6.75932148890471,4.92272263344794,5.41772594957135,6526400
2012-06-29,15.3,16.22,13.63,15.03,4192500,5.22313843909525,5.53720950863562,4.65303117156002,5.1309654078171,4192500
2012-07-31,15.11,16.29,12.59,14.12,3319800,5.15827593560322,5.56110622044847,4.29799431034047,4.82030815425,3319800
2012-08-31,14.29,19.45,13.88,17.7,6957800,4.8783430257955,8.53216762036719,4.73837657089164,8.43212545396423,6957800
2012-09-28,17.94,19.85,11.97,12.12,7289200,8.54645935842476,9.99050729687628,8.47981221994964,8.8512389209167,7289200
2012-10-31,12.22,16.2,11.52,15.22,6961900,8.92426894501667,11.8308639041956,8.41305877631686,11.1151696680159,6961900
2012-11-30,14.62,16.2,13.91,15.55,4709200,10.676989523416,11.8308639041956,10.1584763523062,11.3561687475458,4709200
2012-12-31,15.72,16.21,14.31,15.07,3332500,11.4803197885157,11.8381669066056,10.4505964487061,11.0056246318659,3332500
2013-01-31,15.44,19.82,14.79,19.28,4920300,11.2758357210358,14.4745507766146,10.801140564386,14.0801886464748,4920300
2013-02-28,19.27,21.18,18.17,19.46,4298400,14.0728856440648,15.4677591043742,13.2695553789651,14.2116426898547,4298400
2013-03-29,19.31,21.0,19.0,20.4,4381800,14.1020976537047,15.3363050609943,13.8757045789948,14.8981249163944,4381800
2013-04-30,20.35,20.47,17.02,20.36,5930200,14.8616099043445,14.9492459332644,12.4297101018154,14.8689129067545,5930200
2013-05-31,20.21,22.77,18.5,22.38,4186400,14.7593678706045,16.6289364875638,13.510554458495,16.3441193935739,4186400
2013-06-28,22.52,22.97,20.53,21.07,4003500,16.4463614273139,16.7749965357637,14.9930639477244,15.3874260778643,4003500
