date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,49.75,52.4,47.32,51.19,2041500,24.875,26.2,23.66,25.595,4083000
2011-03-31,51.15,51.449,42.58,49.75,4103100,25.575,25.7245,21.29,24.875,8206200
2011-04-29,50.06,59.92,44.3,57.85,3992800,25.03,29.96,22.15,28.925,7985600
2011-05-31,57.78,58.98,52.0,56.86,2843400,28.89,29.49,26.0,28.43,5686800
2011-06-30,56.72,56.88,24.35,25.6,4730200,28.36,28.44,23.505,25.6,8395900
2011-07-29,25.7,28.39,24.21,25.03,5167000,25.7,28.39,24.21,25.03,5167000
2011-08-31,25.59,25.75,17.0,19.755,12671100,25.59,25.75,17.0,19.755,12671100
2011-09-30,19.83,20.28,16.95,17.5,7474400,19.83,20.28,16.95,17.5,7474400
2011-10-31,17.19,21.2,15.8,19.01,9580400,17.19,21.2,15.8,19.01,9580400
2011-11-30,18.02,20.47,16.61,19.57,6197300,18.02,20.47,16.61,19.57,6197300
2011-12-30,19.46,19.75,16.76,18.36,6618700,19.46,19.75,16.76,18.36,6618700
2012-01-31,18.95,23.54,17.97,23.01,6983200,18.95,23.54,17.97,23.01,6983200
2012-02-29,23.28,24.4,22.96,23.39,6333600,23.28,24.4,22.96,23.39,6333600
2012-03-30,23.57,24.63,22.0,23.65,4352900,23.57,24.63,22.0,23.65,4352900
2012-04-30,23.5,24.24,20.2,20.41,5179800,23.5,24.24,20.2,20.41,5179800
2012-05-31,20.34,21.25,18.46,18.9,5111800,20.34,21.25,18.46,18.9,5111800
2012-06-29,18.5,19.98,16.0,16.67,7613103,18.5,19.98,16.0,16.67,7613103
2012-07-31,16.73,17.47,15.39,17.44,4603400,16.73,17.47,15.39,17.44,4603400
2012-08-31,17.54,19.32,15.852,18.6,5636200,17.54,19.32,15.852,18.6,5636200
2012-09-28,18.55,19.7,18.4,19.02,4132300,18.55,19.7,18.4,19.02,4132300
2012-10-31,19.15,20.0,16.3,16.5008,5498200,19.15,20.0,16.3,16.5008,5498200
2012-11-30,16.56,17.2199,15.32,17.11,6120600,16.56,17.2199,15.32,17.11,6120600
2012-12-31,17.21,18.29,16.75,18.23,3847500,17.21,18.29,16.75,18.23,3847500
2013-01-31,18.5,19.69,16.94,17.02,5521300,18.5,19.69,16.94,17.02,5521300
2013-02-28,17.09,18.03,16.86,17.33,5451000,17.09,18.03,16.86,17.33,5451000
2013-03-29,17.17,17.74,16.32,17.04,6280300,17.17,17.74,16.32,17.04,6280300
2013-04-30,16.98,17.62,14.3799,15.47,8210200,16.98,17.62,14.3799,15.47,8210200
2013-05-31,15.38,16.96,14.79,16.6,3967600,15.38,16.96,14.79,16.6,3967600
