date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,8.28,9.73,8.18,9.01,9196000,8.28,9.73,8.18,9.01,9196000
2011-03-31,9.0,9.33,8.31,9.07,11757000,9.0,9.33,8.31,9.07,11757000
2011-04-29,9.15,13.6,8.87,13.36,17911100,9.15,13.6,8.87,13.36,17911100
2011-05-31,13.45,14.1014,11.8,12.16,19756600,13.45,14.1014,11.8,12.16,19756600
2011-06-30,12.15,12.31,10.6,12.19,13730700,12.15,12.31,10.6,12.19,13730700
2011-07-29,12.19,16.2,11.94,13.53,16426800,12.19,16.2,11.94,13.53,16426800
2011-08-31,13.68,13.88,9.17,10.86,19542000,13.68,13.88,9.17,10.86,19542000
2011-09-30,10.91,12.06,9.9,10.96,16937500,10.91,12.06,9.9,10.96,16937500
2011-10-31,10.83,14.63,9.76,13.58,17940600,10.83,14.63,9.76,13.58,17940600
2011-11-30,13.01,13.77,10.68,12.15,10790800,13.01,13.77,10.68,12.15,10790800
2011-12-30,12.06,12.65,11.035,11.58,9265300,12.06,12.65,11.035,11.58,9265300
2012-01-31,11.88,14.389,11.1,14.12,9432100,11.88,14.389,11.1,14.12,9432100
2012-02-29,14.26,14.8,13.16,13.77,8745100,14.26,14.8,13.16,13.77,8745100
2012-03-30,13.8,15.87,12.7,14.39,13026900,13.8,15.87,12.7,14.39,13026900
2012-04-30,14.34,14.69,12.06,12.75,10171000,14.34,14.69,12.06,12.75,10171000
2012-05-31,12.75,14.68,12.4,14.01,9333200,12.75,14.68,12.4,14.01,9333200
2012-06-29,13.64,17.15,13.63,16.74,16247200,13.64,17.15,13.63,16.74,16247200
2012-07-31,16.81,18.1,15.05,16.14,19680000,16.81,18.1,15.05,16.14,19680000
2012-08-31,16.17,16.25,12.51,14.39,18376300,16.17,16.25,12.51,14.39,18376300
2012-09-28,14.43,16.59,13.75,14.59,14400400,14.43,16.59,13.75,14.59,14400400
2012-10-31,14.68,15.77,10.86,11.0799,12324000,14.68,15.77,10.86,11.0799,12324000
2012-11-30,11.19,12.69,10.85,12.69,13051700,11.19,12.69,10.85,12.69,13051700
2012-12-31,12.49,13.53,11.8025,12.75,15887600,12.49,13.53,11.8025,12.75,15887600
2013-01-31,13.03,15.87,12.92,14.32,17988000,13.03,15.87,12.92,14.32,17988000
2013-02-28,14.43,15.65,13.67,15.17,17452000,14.43,15.65,13.67,15.17,17452000
2013-03-29,15.22,16.54,14.98,16.07,10345100,15.22,16.54,14.98,16.07,10345100
2013-04-30,16.02,18.08,13.91,16.02,19271000,16.02,18.08,13.91,16.02,19271000
2013-05-31,15.91,18.83,14.91,18.37,14851400,15.91,18.83,14.91,18.37,14851400
2013-06-28,18.4,18.65,15.18,16.59,13946400,18.4,18.65,15.18,16.59,13946400
2013-07-31,16.8,19.98,16.8,19.05,14350300,16.8,19.98,16.8,19.05,14350300
2013-08-30,19.25,20.2499,15.07,16.0,20355600,19.25,20.2499,15.07,16.0,20355600
2013-09-30,16.38,18.34,16.07,17.02,13556400,16.38,18.34,16.07,17.02,13556400
2013-10-31,17.07,18.19,15.16,16.45,16470800,17.07,18.19,15.16,16.45,16470800
2013-11-29,16.4,16.63,12.55,14.53,23456600,16.4,16.63,12.55,14.53,23456600
2013-12-31,14.69,15.66,13.73,14.67,14882400,14.69,15.66,13.73,14.67,14882400
2014-01-31,14.67,17.03,14.43,14.99,18342300,14.67,17.03,14.43,14.99,18342300
2014-02-28,14.92,17.8,14.2,16.4,14797100,14.92,17.8,14.2,16.4,14797100
2014-03-31,16.19,17.49,14.25,14.93,15487000,16.19,17.49,14.25,14.93,15487000
2014-04-30,15.0,15.59,11.7775,12.94,25681400,15.0,15.59,11.7775,12.94,25681400
2014-05-30,12.82,13.0153,10.69,11.82,17796800,12.82,13.0153,10.69,11.82,17796800
2014-06-30,11.71,13.78,10.9,11.85,17760300,11.71,13.78,10.9,11.85,17760300
2014-07-31,11.9,12.17,10.31,10.78,20235600,11.9,12.17,10.31,10.78,20235600
2014-08-29,10.35,12.28,10.279,11.82,14378200,10.35,12.28,10.279,11.82,14378200
2014-09-30,12.02,12.74,10.59,10.59,17287959,12.02,12.74,10.59,10.59,17287959
2014-10-31,10.63,10.94,7.7,9.26,39771621,10.63,10.94,7.7,9.26,39771621
2014-11-28,9.25,10.68,9.03,10.29,20165794,9.25,10.68,9.03,10.29,20165794
2014-12-31,10.09,11.0,5.3432,6.1,49748393,10.09,11.0,5.3432,6.1,49748393
2015-01-30,6.18,8.45,5.85,7.63,38864375,6.18,8.45,5.85,7.63,38864375
2015-02-27,7.55,7.889,6.66,7.6,25113597,7.55,7.889,6.66,7.6,25113597
2015-03-31,7.58,9.55,7.4,8.95,36439915,7.58,9.55,7.4,8.95,36439915
2015-04-30,8.9,10.38,8.06,8.27,35264643,8.9,10.38,8.06,8.27,35264643
2015-05-29,8.3,9.24,7.91,8.98,23562330,8.3,9.24,7.91,8.98,23562330
2015-06-30,11.48,15.88,11.45,14.38,71964651,11.48,15.88,11.45,14.38,71964651
2015-07-31,14.46,19.43,13.8,18.02,26475069,14.46,19.43,13.8,18.02,26475069
2015-08-31,17.18,17.54,12.0,13.46,27146588,17.18,17.54,12.0,13.46,27146588
2015-09-30,13.1,16.59,9.33,9.6,35333367,13.1,16.59,9.33,9.6,35333367
2015-10-30,9.58,12.11,9.25,11.7,25274518,9.58,12.11,9.25,11.7,25274518
2015-11-30,11.65,14.22,10.8401,13.57,21493997,11.65,14.22,10.8401,13.57,21493997
2015-12-31,13.65,14.1,12.28,13.57,17514716,13.65,14.1,12.28,13.57,17514716
2016-01-29,13.27,13.39,7.8,8.49,21451053,13.27,13.39,7.8,8.49,21451053
2016-02-29,8.24,8.37,6.77,7.28,20866868,8.24,8.37,6.77,7.28,20866868
2016-03-31,7.34,9.7083,6.7899,8.52,22069367,7.34,9.7083,6.7899,8.52,22069367
2016-04-29,8.46,9.78,6.59,6.85,22233302,8.46,9.78,6.59,6.85,22233302
2016-05-31,6.74,6.84,5.35,5.64,38506204,6.74,6.84,5.35,5.64,38506204
2016-06-30,5.64,6.21,2.96,3.08,77095573,5.64,6.21,2.96,3.08,77095573
2016-07-29,3.14,3.28,2.68,2.78,29660412,3.14,3.28,2.68,2.78,29660412
2016-08-31,2.78,3.25,2.53,2.81,26094368,2.78,3.25,2.53,2.81,26094368
2016-09-30,2.8,2.96,2.6,2.68,27484531,2.8,2.96,2.6,2.68,27484531
2016-10-31,2.66,2.7,1.81,1.82,26438735,2.66,2.7,1.81,1.82,26438735
2016-11-30,1.81,2.25,1.51,1.78,30155460,1.81,2.25,1.51,1.78,30155460
2016-12-30,1.78,2.139,1.53,2.04,49221861,1.78,2.139,1.53,2.04,49221861
2017-01-31,2.07,2.7,1.84,2.34,47093818,2.07,2.7,1.84,2.34,47093818
2017-02-28,2.34,3.78,2.28,3.4,30660220,2.34,3.78,2.28,3.4,30660220
2017-03-31,3.41,4.06,3.2,3.87,47935169,3.41,4.06,3.2,3.87,47935169
2017-04-28,3.9,4.63,2.84,4.34,44867720,3.9,4.63,2.84,4.34,44867720
2017-05-31,4.38,5.53,3.73,4.61,52330522,4.38,5.53,3.73,4.61,52330522
2017-06-30,4.58,7.3974,4.26,7.11,66576320,4.58,7.3974,4.26,7.11,66576320
2017-07-31,7.0,8.04,5.46,5.94,66493161,7.0,8.04,5.46,5.94,66493161
2017-08-31,6.02,8.84,5.17,8.36,76344985,6.02,8.84,5.17,8.36,76344985
2017-09-29,8.06,8.24,6.17,7.65,74252365,8.06,8.24,6.17,7.65,74252365
2017-10-31,7.66,8.28,5.065,5.8,85294566,7.66,8.28,5.065,5.8,85294566
2017-11-30,5.82,6.37,4.8,6.35,62622528,5.82,6.37,4.8,6.35,62622528
2017-12-29,6.35,6.95,5.74,6.41,54132179,6.35,6.95,5.74,6.41,54132179
2018-01-31,6.47,9.54,6.42,9.18,61157154,6.47,9.54,6.42,9.18,61157154
2018-02-28,9.36,12.05,7.7501,11.11,70834891,9.36,12.05,7.7501,11.11,70834891
2018-03-30,11.1,13.41,10.05,10.52,76281497,11.1,13.41,10.05,10.52,76281497
2018-04-30,10.2,11.97,9.68,10.99,51023091,10.2,11.97,9.68,10.99,51023091
2018-05-31,11.0,11.7,9.75,11.46,46580267,11.0,11.7,9.75,11.46,46580267
2018-06-29,11.59,12.31,9.465,9.73,78016339,11.59,12.31,9.465,9.73,78016339
2018-07-31,9.68,11.43,8.92,9.3,48296188,9.68,11.43,8.92,9.3,48296188
2018-08-31,9.26,10.31,8.381,10.19,33603003,9.26,10.31,8.381,10.19,33603003
2018-09-28,10.24,10.37,8.7,9.47,28135284,10.24,10.37,8.7,9.47,28135284
2018-10-31,9.5,9.84,5.27,5.43,63022140,9.5,9.84,5.27,5.43,63022140
2018-11-30,5.45,6.475,5.155,5.51,51312938,5.45,6.475,5.155,5.51,51312938
2018-12-31,5.73,6.0127,3.8,4.8,46116303,5.73,6.0127,3.8,4.8,46116303
2019-01-31,4.65,5.7,4.37,5.25,62462395,4.65,5.7,4.37,5.25,62462395
2019-02-28,5.29,6.125,4.52,4.72,56080222,5.29,6.125,4.52,4.72,56080222
2019-03-29,2.38,2.93,2.27,2.71,112191549,2.38,2.93,2.27,2.71,112191549
2019-04-30,2.74,2.88,2.3,2.39,44643719,2.74,2.88,2.3,2.39,44643719
2019-05-31,2.4,3.47,1.76,1.8,104407480,2.4,3.47,1.76,1.8,104407480
2019-06-28,1.82,2.345,1.8,2.17,79195701,1.82,2.345,1.8,2.17,79195701
2019-07-31,2.21,2.52,2.15,2.25,51864303,2.21,2.52,2.15,2.25,51864303
2019-08-30,2.25,2.94,2.11,2.72,40238146,2.25,2.94,2.11,2.72,40238146
2019-09-30,2.7,3.42,2.3502,2.42,40241993,2.7,3.42,2.3502,2.42,40241993
2019-10-31,2.39,2.83,2.225,2.38,27781005,2.39,2.83,2.225,2.38,27781005
2019-11-29,2.59,4.1,2.46,3.61,38383099,2.59,4.1,2.46,3.61,38383099
2019-12-31,3.67,5.97,3.46,5.105,83793100,3.67,5.97,3.46,5.105,83793100
2020-01-31,5.17,5.42,4.27,4.725,61828175,5.17,5.42,4.27,4.725,61828175
2020-02-28,4.79,7.07,4.07,4.45,85802343,4.79,7.07,4.07,4.45,85802343
2020-03-31,4.41,4.82,1.95,3.41,70679613,4.41,4.82,1.95,3.41,70679613
2020-04-30,3.1,4.53,3.06,4.08,55397359,3.1,4.53,3.06,4.08,55397359
2020-05-29,4.0,5.39,3.56,4.68,50402628,4.0,5.39,3.56,4.68,50402628
2020-06-30,4.76,5.18,4.19,4.6,50517640,4.76,5.18,4.19,4.6,50517640
2020-07-31,4.58,4.98,3.93,4.11,51289952,4.58,4.98,3.93,4.11,51289952
2020-08-31,4.19,4.2,3.48,3.7,39766179,4.19,4.2,3.48,3.7,39766179
2020-09-30,3.68,4.29,3.38,3.6,48439749,3.68,4.29,3.38,3.6,48439749
2020-10-30,3.57,5.9956,3.57,5.64,81265517,3.57,5.9956,3.57,5.64,81265517
2020-11-30,5.62,6.51,5.18,5.45,45952649,5.62,6.51,5.18,5.45,45952649
2020-12-31,5.53,7.87,5.44,6.45,59649749,5.53,7.87,5.44,6.45,59649749
2021-01-29,6.52,8.1,6.265,7.13,44560354,6.52,8.1,6.265,7.13,44560354
2021-02-26,7.3,10.88,7.09,8.75,65535940,7.3,10.88,7.09,8.75,65535940
2021-03-31,8.93,9.62,7.765,8.1,47157553,8.93,9.62,7.765,8.1,47157553
2021-04-30,8.2,8.75,7.02,7.52,17127060,8.2,8.75,7.02,7.52,17127060
