date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,17.96,19.23,16.78,17.86,3876000,14.2546142310612,15.2625964177787,13.3180638528511,14.1752455549417,3876000
2011-03-31,17.92,18.32,15.86,18.3,4070900,14.2228667606134,14.5403414650914,12.5878720325518,14.5244677298675,4070900
2011-04-29,18.37,18.56,15.06,15.65,4298000,14.5800258031511,14.7308262877781,11.9529226235958,12.4211978127009,4298000
2011-05-31,15.7,15.7,12.56,13.49,6616700,12.4608821507606,12.4608821507606,9.96870572060848,10.7068344085198,6616700
2011-06-30,13.47,13.6,12.14,13.08,4455400,10.6909606732959,10.7941399522512,9.63535728090661,10.3814228364299,4455400
2011-07-29,13.1,15.04,12.926,13.78,5444100,10.3972965716537,11.9370488883719,10.2591950752058,10.9370035692663,5444100
2011-08-31,14.01,14.11,8.12,10.38,19876100,11.1195515243411,11.1989202004606,6.44473650090293,8.23846858120351,19876100
2011-09-30,10.37,10.55,8.405,9.81,7936700,8.23053171359155,8.37339533060665,6.67093722784349,7.78606712732239,7936700
2011-10-31,9.74,14.11,9.42,12.76,6480400,7.73050905403874,11.1989202004606,7.47652929045636,10.1274430728475,6480400
2011-11-30,12.12,13.99,10.23,12.25,6832800,9.61948354568271,11.1036777891172,8.11941556702426,9.72266282463805,6832800
2011-12-30,12.2,12.54,10.7,12.33,4527700,9.6829784865783,9.95283198538458,8.49244834478589,9.78615776553364,4527700
2012-01-31,12.69,13.1,12.01,12.43,2239500,10.0718849995638,10.3972965716537,9.53217800195126,9.86552644165314,2239500
2012-02-29,12.55,14.56,12.21,14.08,3936700,9.96076885299653,11.5560792429984,9.69091535419025,11.1751095976248,3936700
2012-03-30,14.22,15.02,13.7,14.9,3232966,11.2862257441921,11.921175153148,10.8735086283707,11.8259327418046,3232966
2012-04-30,14.87,15.4,13.9,14.47,2021800,11.8021221389688,12.2227761224021,11.0322459806097,11.4846474344908,2021800
2012-05-31,14.46,14.815,12.65,13.33,4024800,11.4767105668789,11.7584693671031,10.040137529116,10.5798445267286,4024800
2012-06-29,12.94,13.55,12.14,13.46,2485400,10.2703066898626,10.7544556141915,9.63535728090661,10.6830238056839,2485400
2012-07-31,13.52,14.43,11.57,11.57,3193600,10.7306450113556,11.452899964043,9.18295582702549,9.18295582702549,3193600
2012-08-31,11.59,12.99,10.34,11.72,3967100,9.19882956224939,10.3099910279223,8.20672111075571,9.30200884120473,3967100
2012-09-28,11.7,12.82,11.16,11.79,2767500,9.28613510598083,10.1750642785192,8.85754425493556,9.35756691448837,2767500
2012-10-31,11.74,12.11,10.66,11.149,2551900,9.31788257642863,9.61154667807076,8.46070087433809,8.84881370056242,2551900
2012-11-30,11.19,13.02,11.15,12.86,3209700,8.88135485777141,10.3338016307582,8.84960738732361,10.206811748967,3209700
2012-12-31,13.02,14.92,12.2,14.34,5151100,10.3338016307582,12.7713046306415,9.6829784865783,12.2748330029087,5151100
2013-01-31,14.68,14.85,13.36,13.76,3446779,12.5658680950279,12.7113856410875,11.4359671491535,11.778361375176,3446779
2013-02-28,13.85,16.47,13.43,14.54,3706300,11.8554000760311,14.0980822564789,11.4958861387074,12.44603011592,3706300
2013-03-29,14.41,16.65,14.37,16.37,3371800,12.3347519924627,14.252159658189,12.3005125698604,14.0124836999732,3371800
2013-04-30,16.31,16.43,14.281,15.12,2290700,13.9611245660699,14.0638428338766,12.2243298545704,12.9425017436527,2290700
2013-05-31,14.0,15.11,12.23,14.89,5693900,11.9837979107896,12.9339418880022,10.4687034606397,12.7456250636898,5693900
2013-06-28,14.92,15.52,14.04,14.6,2798300,12.7713046306415,13.2848959696753,12.0180373333918,12.4973892498234,2798300
2013-07-31,14.69,16.88,14.69,16.68,2201000,12.5744279506785,14.449036338152,12.5744279506785,14.2778392251407,2201000
2013-08-30,16.75,17.23,16.19,16.27,2706900,14.3377582146947,14.7486312859217,13.8584062982631,13.9268851434676,2706900
2013-09-30,16.5,17.99,16.24,17.69,1790100,14.1237618234306,15.3991803153646,13.9012055765159,15.1423846458477,1790100
2013-10-31,17.64,20.0,16.83,19.69,3152800,15.0995853675949,17.119711301128,14.4062370598992,16.8543557759605,3152800
2013-11-29,19.65,20.53,19.21,20.18,2592700,16.8201163533582,17.5733836506079,16.4434827047334,17.2737887028381,2592700
2013-12-31,20.2,21.37,18.41,20.46,2438300,17.2909084141392,18.3910229081407,15.7586942526883,17.6078768694693,2438300
2014-01-31,20.31,20.83,17.91,18.13,1913100,17.4787868630949,17.9262988851928,15.4133467611044,15.6026787704535,1913100
2014-02-28,18.04,22.0794,17.3,21.91,3869100,15.5252247666288,19.0015325782874,14.8883807351818,18.8557469310886,3869100
2014-03-31,21.63,22.59,20.0101,21.32,2831600,18.6147789191897,19.4409549599859,17.2206929103503,18.4330160427444,2831600
2014-04-30,21.32,23.2,19.97,23.12,3549000,18.4330160427444,20.0584414724048,17.2658222501691,19.9892744328448,3549000
2014-05-30,23.08,23.8,20.761,22.03,4783300,19.9546909130648,20.5771942691049,17.9497113538188,19.0468735188396,4783300
2014-06-30,22.04,23.56,21.04,21.65,2729900,19.0555193987846,20.3696931504249,18.2735048559607,18.8032975347694,2729900
2014-07-31,21.77,22.76,19.5,19.89,2459700,18.9075190453547,19.7673465076837,16.9359954701156,17.2747153795179,2459700
2014-08-29,19.92,20.12,17.2,20.07,4524161,17.3007707571643,17.4744732748065,14.9384165172302,17.4310476453959,4524161
2014-09-30,20.17,20.52,18.89,19.57,3113712,17.517898904217,17.8218783100909,16.4918301545183,17.0855011182596,3113712
2014-10-31,19.5,23.71,18.65,23.15,5948633,17.0243879308156,20.6999096328019,16.282299226139,20.2110041332503,5948633
2014-11-28,23.15,24.14,22.52,23.34,3760214,20.2110041332503,21.0753192128148,19.6609854462547,20.3768827848839,3760214
2014-12-31,23.2,24.72,22.5,24.13,4136363,20.254656409996,21.68383645863,19.7365016310346,21.1663015269717,4136363
2015-01-30,24.25,24.38,22.34,23.4,2447494,21.2715628690039,21.3855959895388,19.5961531749917,20.525961696276,2447494
2015-02-27,23.41,24.99,22.44,23.6,2968850,20.5347334747786,21.9206744782024,19.6838709600185,20.7013972663296,2968850
2015-03-31,23.64,24.11,21.342,22.31,2939223,20.7364843803403,21.1487579699664,18.8126618351046,19.6659397217311,2939223
2015-04-30,22.22,23.916,21.59,22.74,2157631,19.5866060339249,21.0816053063613,19.0312702192817,20.0449784523606,2157631
2015-05-29,22.79,23.08,21.31,22.01,2225459,20.089052723364,20.3446834951839,18.7844543016624,19.4014940957105,2225459
2015-06-30,22.21,23.42,20.32,22.87,3277364,19.5777911797242,20.7429939543851,17.9973371969729,20.2558613038764,3277364
2015-07-31,23.0,25.05,21.83,23.37,3494122,20.3710017485421,22.186677991347,19.3347377465511,20.6987091679752,3494122
2015-08-31,23.16,29.33,22.69,26.79,7039303,20.5127130650537,25.9774557080322,20.0964360728009,23.7277885584106,7039303
2015-09-30,26.4,27.27,24.66,26.28,4442384,23.3823672244136,24.2516891055615,21.9305703462833,23.3712647485939,4442384
2015-10-30,26.24,28.5,25.3,28.11,3128720,23.3356920473023,25.3455496702788,22.4997335669492,24.9987158326855,3128720
2015-11-30,28.08,28.84,22.9,26.94,4288240,24.9720363067168,25.6479176312576,20.3653714894521,23.9582143199056,4288240
2015-12-31,26.99,27.43,23.77,25.28,3079858,24.0026801965202,24.393979910728,21.2395009147184,22.5887498159058,3079858
2016-01-29,24.85,25.0,21.4,22.3,2820252,22.2045266188789,22.338557966679,19.1218056194772,19.9259937062777,2820252
2016-02-29,22.15,22.41,14.865,15.94,6017290,19.7919623584776,20.0242833613311,13.2825065669873,14.2430645595545,6017290
2016-03-31,16.12,19.72,15.88,19.58,4300257,14.4039021769146,17.7374120361481,14.1894520204345,17.6114872042485,4300257
2016-04-29,19.39,20.4,18.66,19.01,3490108,17.440589218099,18.3490469339463,16.7839811660509,17.0987932458,3490108
2016-05-31,19.04,19.29,16.5,18.7,3321664,17.1257771383499,17.3506429095992,14.8411409024566,16.8199596894508,3321664
2016-06-30,18.6,20.0,15.78,16.89,3674501,16.7300133809511,17.9892616999474,14.2808274965199,15.2853723964652,3674501
2016-07-29,16.83,19.66,16.83,17.86,3439757,15.2310726721439,17.7922096693018,15.2310726721439,16.1632179396607,3439757
