date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,38.77,41.52,36.2,38.73,1277600,33.7354524746717,36.1283463179873,31.4991844101913,33.7006467460417,1277600
2011-03-31,38.9,40.29,35.0,40.17,1752300,33.8485710927194,35.0580701626134,30.4550125512899,34.9536529767233,1752300
2011-04-29,40.32,46.02,39.5,45.18,1095600,35.084174459086,40.2792492347521,34.37065702217,39.5440347767514,1095600
2011-05-31,45.48,45.54,39.2,43.56,2499600,39.8066113688945,39.8591266873231,34.3100080400322,38.1261211791786,2499600
2011-06-30,43.35,43.6197,38.57,43.01,1533700,37.9423175646785,38.1783739210151,33.7585971965317,37.6447307602496,1533700
2011-07-29,43.15,44.98,39.17,40.54,1143200,37.7672665032497,39.5819809220782,34.4692350537529,35.6748222894853,1143200
2011-08-31,41.21,41.49,27.95,33.34,2535600,36.2644160471063,36.5108134383509,24.5957395903087,29.3388893717672,2535600
2011-09-30,33.3,33.5908,25.31,25.92,1948300,29.3036897444465,29.5595910350677,22.2725641871454,22.8093585037854,1948300
2011-10-31,25.65,38.66,24.11,34.79,1841100,22.571761019371,34.2899975985244,21.2165753675257,30.8574499858423,1841100
2011-11-30,33.05,38.97,32.15,38.91,1220100,29.3141340049465,34.564956192822,28.5158671182763,34.5117384003773,1220100
2011-12-30,38.43,40.87,35.5,38.89,1179700,34.0859960608198,36.2501862869036,31.4871938631044,34.493999136229,1179700
2012-01-31,40.0,44.92,38.72,44.3,873600,35.4785282964557,40.0649186463975,34.3432153909691,39.511930009693,873600
2012-02-29,44.74,48.15,41.1943,41.21,1007700,39.904373558322,42.9458110601968,36.7419028983814,36.7559059977302,1007700
2012-03-30,41.43,42.27,35.82,39.45,1588500,36.9521277720447,37.7013381830638,31.9484725270249,35.1861318032142,1588500
2012-04-30,39.22,43.63,37.86,43.4,1250200,34.98099085734,39.151567839895,33.7679835252139,38.9451763523136,1250200
2012-05-31,43.35,46.03,38.9,41.79,1788600,38.900308637622,41.3052181450921,34.9070820300691,37.5004359392439,1788600
2012-06-29,40.12,46.59,38.02,46.21,1357400,36.0018542685443,41.8077365496381,34.1174102514969,41.4667419179819,1357400
2012-07-31,46.14,48.68,40.21,44.27,1275000,41.4039271174136,43.6832070237472,36.2755081680368,39.9382428898033,1275000
2012-08-31,44.31,47.81,42.23,47.05,1077200,39.9743289461754,43.1318588787327,38.097854014827,42.4462238076631,1077200
