date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,12.19,13.08,11.69,12.01,312700,10.8193932565403,11.6093243474608,10.3756117447872,10.6596319123092,312700
2011-03-31,12.0,15.17,11.14,15.0,593462,10.6507562820741,13.4643310665887,9.88745208185883,13.3134453525927,593462
2011-04-29,15.15,16.4,14.51,15.92,891300,13.4465798061186,14.5560335855013,12.8785394710747,14.1521645690587,891300
2011-05-31,16.0,16.09,11.15,11.47,1224900,14.2232809739284,14.3032869294067,9.91184892870634,10.1963145481849,1224900
2011-06-30,11.47,11.84,10.21,11.74,1065000,10.1963145481849,10.525227920707,9.07623117148805,10.4363324146199,1065000
2011-07-29,11.75,12.13,10.501,11.0,641000,10.4452219652287,10.7830248883595,9.35613281487001,9.80072954609752,641000
2011-08-31,11.25,11.64,9.46,10.6,758300,10.0234733994179,10.3709538105977,8.42862740964387,9.44433938078488,758300
2011-09-30,10.75,11.36,9.08,9.64,514000,9.57798569277712,10.1214806948789,8.09005675259686,8.58900298403456,514000
2011-10-31,9.59,13.22,8.46,12.23,558400,8.54445421337048,11.7786949635827,7.53765199636228,10.8966293044339,558400
2011-11-30,11.45,13.16,10.84,11.92,447800,10.2016684820742,11.7252364387858,9.65817347997247,10.6431979960557,447800
2011-12-30,11.81,12.49,11.05,12.14,545800,10.544980564884,11.1521428666724,9.86638740406169,10.839632858399,545800
2012-01-31,12.36,12.5,11.23,11.87,474000,11.0360677207423,11.1610717240517,10.027106836888,10.5985537091595,474000
2012-02-29,11.94,12.95,11.48,11.68,366800,10.6610557108142,11.585922280412,10.270763535068,10.4496966976998,366800
2012-03-30,11.57,11.87,10.3,11.24,591500,10.3512834582523,10.6196832022001,9.21505787554008,10.0560437399098,591500
2012-04-30,11.2,12.0,10.11,11.65,346600,10.0202571073834,10.7359897579108,9.04507137103982,10.4447718972397,346600
2012-05-31,11.64,12.66,10.95,11.22,676100,10.4358064278,11.3502843106484,9.81718903646131,10.059256711333,676100
2012-06-29,10.93,12.77,10.66,12.47,751300,9.79925809758193,11.448904474485,9.55719042271028,11.1799403912943,751300
2012-07-31,12.45,13.31,12.45,12.88,478500,11.1620094524149,11.9330398242283,11.1620094524149,11.5698516387824,478500
2012-08-31,12.81,13.2,10.811,10.96,524791,11.5069720103108,11.8573013689385,9.71130947724197,9.8451532578459,524791
2012-09-28,11.17,12.35,10.95,11.91,396100,10.0337921432608,11.0937630232114,9.83617045377852,10.6985196442468,396100
2012-10-31,12.02,12.58,11.01,11.1,229200,10.7973304889879,11.3003675167611,9.89006727818279,9.99336952495763,229200
2012-11-30,10.97,11.32,9.0,10.0,493700,9.87633006205272,10.1914363083352,8.10273204726295,9.00303560806994,493700
2012-12-31,10.1,10.67,9.72,10.61,359200,9.09306596415064,9.60623899381062,8.75095061104398,9.55222078016221,359200
2013-01-31,10.84,11.289,10.29,10.64,279200,9.75929059914781,10.1635268979502,9.26412364070397,9.60177986317989,279200
2013-02-28,10.61,11.36,10.28,10.87,164400,9.57470717559573,10.2515243651996,9.27690761217004,9.8093371346584,164400
2013-03-29,10.77,13.0,10.6401,11.41,517500,9.71909484271122,11.7314979531333,9.60187010547183,10.2966455111732,517500
2013-04-30,11.43,13.75,11.11,13.5,528000,10.3146939695626,12.4367850288025,10.0259186353316,12.2106616646425,528000
2013-05-31,13.49,13.69,12.05,13.46,856600,12.2016167300761,12.3825154214041,10.8991461525142,12.1744819263769,856600
2013-06-28,13.54,13.6,12.06,13.58,605700,12.2468414029081,12.3011110103065,10.9081910870806,12.2830211411737,605700
2013-07-31,13.69,15.31,13.67,14.98,550300,12.3825154214041,13.8477948211612,12.3644255522713,13.5776341208974,550300
2013-08-30,15.041,15.041,13.5,13.83,405200,13.6329235522308,13.6329235522308,12.2361856229716,12.5352923826442,405200
2013-09-30,13.94,16.35,13.61,15.29,389500,12.6349946358685,14.8193803655989,12.3358878761958,13.8586131981656,389500
2013-10-31,15.21,16.35,14.25,15.66,443700,13.786102468548,14.8193803655989,12.9159737131367,14.2223179251284,443700
2013-11-29,15.63,16.0,13.8701,14.62,606400,14.1950721053484,14.5311038826344,12.5967414976579,13.2777961727571,606400
2013-12-31,14.64,16.2,13.801,15.73,610000,13.2959600526104,14.7127426811673,12.5339852927648,14.2858915046149,610000
2014-01-31,15.65,16.8,14.82,15.42,543200,14.2132359852017,15.2576590767661,13.4594349712901,14.0381239184167,543200
2014-02-28,15.43,17.08,14.03,16.74,434900,14.0472277601278,15.5493616424486,12.7726899205828,15.2398310242734,434900
2014-03-31,16.66,18.84,16.52,17.86,952900,15.1670002905851,17.1516377835909,15.0395465066306,16.2594612959094,952900
2014-04-30,17.94,19.95,17.55,19.1,1406900,16.3322920295977,18.1621642135158,15.9772422028673,17.4221232982619,1406900
2014-05-30,18.75,18.75,14.47,15.71,2019700,17.1028697299691,17.1028697299691,13.1988546662748,14.3299244510835,2019700
2014-06-30,15.78,16.8599,14.97,15.72,1201621,14.393775164742,15.378809245883,13.6549311924074,14.3390459816061,1201621
2014-07-31,15.82,17.13,15.79,17.0,821307,14.4302612868326,15.6596085959313,14.4028966952647,15.5407674332068,821307
2014-08-29,17.01,18.06,16.322,17.2,808200,15.5499090611087,16.5097799908068,14.9209650614589,15.7235999912445,808200
2014-09-30,17.32,17.38,15.03,15.31,514561,15.8332995260672,15.8881492934785,13.7398667365352,13.995832317788,514561
2014-10-31,15.35,17.46,14.99,17.11,683207,14.0323988293956,15.9970378774389,13.7033002249277,15.6763641513734,683207
2014-11-28,17.23,18.15,14.91,14.94,1206780,15.7863094288815,16.6292232231108,13.6607007303902,13.6881870497673,1206780
2014-12-31,14.99,17.605,14.74,17.2,925928,13.7339975820623,16.1298884210946,13.504944920587,15.7588231095045,925928
2015-01-30,17.27,17.27,15.22,15.78,463109,15.8229578547176,15.8229578547176,13.9493070838492,14.4933792974237,463109
2015-02-27,15.9,16.4,15.59,16.01,438532,14.6035951095714,15.0628276601869,14.3188709281898,14.7046262707068,438532
2015-03-31,16.0,16.2599,12.48,15.28,1013993,14.6954416196945,14.9341506995044,11.4624444633617,14.0341467468082,1013993
2015-04-30,15.19,16.45,14.5,14.55,1289558,13.9514848876975,15.1087509152484,13.3452979208851,13.3961875033029,1289558
2015-05-29,14.6,15.12,14.055,14.53,740608,13.4422225119053,13.9209866013704,12.940440918139,13.3777734998619,740608
2015-06-30,14.71,15.35,14.17,14.77,946553,13.5434995308306,14.1327476409415,13.0463214379245,13.5987415411535,946553
2015-07-31,14.88,15.43,14.49,14.54,549279,13.7000185600788,14.2064036547054,13.3753057578142,13.4214593318578,549279
2015-08-31,14.55,15.3099,14.14,14.52,534461,13.4306900466665,14.13213206498,13.0522307395095,13.4029979022403,534461
2015-09-30,14.35,14.64,12.87,13.98,672588,13.2460757504924,13.5137664799448,11.8799299588039,12.9045393025702,672588
2015-10-30,13.93,15.61,13.49,15.37,553275,12.8583857285267,14.448680270695,12.4522342769437,14.2265352825485,553275
2015-11-30,15.27,15.81,12.66,13.91,798968,14.1339748708208,14.6338010941504,11.7181481247277,12.875153271324,798968
2015-12-31,13.95,14.3,12.5501,13.26,682149,12.9121774360151,13.2361388770621,11.6164242322389,12.2735105950939,682149
2016-01-29,13.17,13.48,11.29,11.98,576554,12.190206224539,12.4771435008949,10.4500704840581,11.1290169263734,576554
2016-02-29,11.83,12.6,11.5,11.96,412883,10.9896719732051,11.7049760661357,10.6831130762349,11.1104375992843,412883
2016-03-31,12.0,15.45,11.72,15.07,962474,11.1475962534625,14.352530176333,10.8874856742151,13.99952296164,962474
2016-04-29,14.88,17.34,12.7,17.27,1084388,13.8230193542935,16.1482650065171,11.7978727015812,16.0830759320963,1084388
2016-05-31,17.1,17.8,13.0511,14.58,1235812,15.924759608503,16.5766503527108,12.1541304167564,13.5779529293552,1235812
2016-06-30,14.52,17.4,14.34,14.59,1036043,13.5220765798517,16.2041413560206,13.3544475313411,13.5872656542725,1036043
2016-07-29,14.56,16.03,13.38,13.39,619309,13.5593274795207,14.9282980423569,12.497798423577,12.5071390800968,619309
2016-08-31,13.35,15.75,12.7,13.42,459038,12.4697764540174,14.7115340187846,11.8626337802263,12.5351610496564,459038
2016-09-30,13.46,13.83,12.03,13.46,400124,12.5725236757359,12.9181279669708,11.2368097933954,12.5725236757359,400124
