date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,90.23,91.28,86.66,90.13,20509800,90.23,91.28,86.66,90.13,20509800
2011-03-31,90.11,92.5,86.19,92.13,16412100,90.11,92.5,86.19,92.13,16412100
2011-04-29,92.63,98.52,92.09,96.47,16275000,92.63,98.52,92.09,96.47,16275000
2011-05-31,96.75,100.94,95.12,100.83,18172900,96.75,100.94,95.12,100.83,18172900
2011-06-30,100.32,100.37,93.81,96.79,14955000,100.32,100.37,93.81,96.79,14955000
2011-07-29,96.69,99.76,89.5,90.76,17185300,96.69,99.76,89.5,90.76,17185300
2011-08-31,91.18,91.18,76.91,83.53,25614100,91.18,91.18,76.91,83.53,25614100
2011-09-30,83.64,87.39,77.87,79.05,20566700,83.64,87.39,77.87,79.05,20566700
2011-10-31,78.17,87.13,74.57,83.85,24898500,78.17,87.13,74.57,83.85,24898500
2011-11-30,82.0,86.085,79.01,85.72,19042300,82.0,86.085,79.01,85.72,19042300
2011-12-30,85.53,88.15,80.52,85.97,12382200,85.53,88.15,80.52,85.97,12382200
2012-01-31,87.21,92.37,85.58,91.39,14130100,87.21,92.37,85.58,91.39,14130100
2012-02-29,92.19,93.3,86.9,89.89,18276200,92.19,93.3,86.9,89.89,18276200
2012-03-30,89.92,92.14,87.91,91.54,18441600,89.92,92.14,87.91,91.54,18441600
2012-04-30,91.65,94.33,86.41,87.89,17931700,91.65,94.33,86.41,87.89,17931700
2012-05-31,87.62,89.31,83.23,83.28,15183800,87.62,89.31,83.23,83.28,15183800
2012-06-29,82.46,94.15,81.56,92.61,18007400,82.46,94.15,81.56,92.61,18007400
2012-07-31,93.6,95.3,83.5,84.09,21664500,93.6,95.3,83.5,84.09,21664500
2012-08-31,87.26,89.49,85.47,87.95,18015565,87.26,89.49,85.47,87.95,18015565
2012-09-28,87.68,92.61,86.8801,92.47,10838200,87.68,92.61,86.8801,92.47,10838200
2012-10-31,92.76,94.3,84.36,84.73,16134600,92.76,94.3,84.36,84.73,16134600
2012-11-30,85.01,87.32,82.15,84.59,15827100,85.01,87.32,82.15,84.59,15827100
2012-12-31,84.59,88.94,82.98,86.62,12563600,84.59,88.94,82.98,86.62,12563600
2013-01-31,87.44,90.71,85.8,89.5,22716000,87.44,90.71,85.8,89.5,22716000
2013-02-28,90.04,91.84,87.73,88.6,15819800,90.04,91.84,87.73,88.6,15819800
2013-03-29,88.33,90.89,87.65,90.2,14477200,88.33,90.89,87.65,90.2,14477200
2013-04-30,89.79,95.92,89.685,93.36,20655400,89.79,95.92,89.685,93.36,20655400
2013-05-31,93.18,101.69,91.25,99.49,18950600,93.18,101.69,91.25,99.49,18950600
2013-06-28,99.8,101.49,97.74,100.1,13101800,99.8,101.49,97.74,100.1,13101800
2013-07-31,100.33,101.03,95.36,96.74,18716700,100.33,101.03,95.36,96.74,18716700
2013-08-30,97.26,99.16,95.5,95.72,11053200,97.26,99.16,95.5,95.72,11053200
2013-09-30,96.14,101.92,95.63,99.14,11114900,96.14,101.92,95.63,99.14,11114900
2013-10-31,99.23,104.37,98.35,100.9,16463700,99.23,104.37,98.35,100.9,16463700
2013-11-29,100.92,108.0,100.15,101.85,13722400,100.92,108.0,100.15,101.85,13722400
2013-12-31,101.58,101.61,87.01,91.37,28748500,101.58,101.61,87.01,91.37,28748500
2014-01-31,91.37,93.49,88.59,89.83,21423300,91.37,93.49,88.59,89.83,21423300
2014-02-28,90.0,94.7,87.25,93.54,22066200,90.0,94.7,87.25,93.54,22066200
2014-03-31,93.08,102.0,92.5,98.21,25151000,93.08,102.0,92.5,98.21,25151000
2014-04-30,100.16,102.97,95.12,98.7,24831300,100.16,102.97,95.12,98.7,24831300
2014-05-30,98.64,102.91,97.31,102.58,15795000,98.64,102.91,97.31,102.58,15795000
2014-06-30,102.72,105.38,99.367,102.4,17944700,102.72,105.38,99.367,102.4,17944700
2014-07-31,103.15,107.42,101.64,103.69,15819000,103.15,107.42,101.64,103.69,15819000
2014-08-29,103.71,107.67,101.84,107.23,9370396,103.71,107.67,101.84,107.23,9370396
2014-09-30,107.25,108.77,101.55,101.75,9971081,107.25,108.77,101.55,101.75,9971081
2014-10-31,101.88,109.47,95.61,109.29,16727583,101.88,109.47,95.61,109.29,16727583
2014-11-28,104.79,105.135,98.54,104.64,35944173,104.79,105.135,98.54,104.64,35944173
2014-12-31,104.64,109.84,99.89,107.9,29098598,104.64,109.84,99.89,107.9,29098598
2015-01-30,109.69,119.21,108.7275,114.78,31609831,109.69,119.21,108.7275,114.78,31609831
2015-02-27,113.32,124.57,112.75,123.03,29393861,113.32,124.57,112.75,123.03,29393861
