date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,29.11,32.68,29.03,31.72,61647000,23.7621056777053,26.6762491771697,23.6968027421431,25.8926139504229,61647000
2011-03-31,31.93,32.09,28.0,30.04,76354900,26.0640341562738,26.1946400273983,22.8560274467794,24.5212523036162,76354900
2011-04-29,30.34,32.39,28.0,31.23,53679800,24.7661383119745,26.4833872269241,22.8939438824907,25.5349238375066,53679800
2011-05-31,31.52,31.84,28.29,29.35,59934100,25.772039684861,26.0336847578037,23.1310597298451,23.9977590339679,59934100
2011-06-30,29.15,29.2,25.97,28.49,87458900,23.8342308633787,23.875112906026,21.2341329510101,23.2945879004343,87458900
2011-07-29,28.34,29.67,26.07,26.5,63890200,23.1719417724924,24.3006756348231,21.352160896523,21.7043446013755,63890200
2011-08-31,26.93,27.03,18.41,20.75,175547600,22.056528306228,22.138431493403,15.0783767589179,16.9949113388129,175547600
2011-09-30,20.66,20.87,15.0,15.63,153073000,16.9211984703554,17.0931951634229,12.2854780762503,12.8014681554528,153073000
2011-10-31,15.45,21.875,13.75,19.05,182455400,12.6540424185378,17.972840561076,11.2616882365628,15.6517765800456,182455400
2011-11-30,17.83,20.94,17.54,20.18,138785500,14.6494055864679,17.2046300045225,14.411137071601,16.5802021724577,138785500
2011-12-30,20.05,21.04,17.78,19.42,97000600,16.4733921485519,17.2867915613732,14.6083248080425,15.9557743403929,97000600
2012-01-31,20.0,23.08,19.38,21.54,104446400,16.4323113701266,19.0385119963848,15.9229097176527,17.7681780070246,104446400
2012-02-29,21.76,26.05,21.66,24.84,98074500,17.949654291219,21.488441833008,17.8671650711306,20.4903222699393,98074500
2012-03-30,24.9,27.54,23.7,26.36,102562700,20.5398158019923,22.717531212324,19.5499451609324,21.7441584152818,102562700
2012-04-30,26.36,26.83,22.97,24.77,68528600,21.7441584152818,22.1318577496969,19.0069163399819,20.4963568890445,68528600
2012-05-31,24.68,25.3815,20.34,20.67,91610500,20.4218848615913,21.0023529422399,16.8306782044071,17.1037423050686,91610500
2012-06-29,20.06,21.99,19.04,21.87,78120700,16.5989874523307,18.1959987077145,15.7549711411953,18.0967026711103,78120700
2012-07-31,21.73,21.89,19.17,20.05,61783200,17.9808572950721,18.1132520105443,15.9236397458218,16.654615383606,61783200
2012-08-31,20.31,24.5665,19.68,23.22,76478000,16.8705854584058,20.40626477912,16.347273354083,19.2877889878968,76478000
2012-09-28,23.24,26.1,23.07,24.19,65235300,19.3044020705737,21.6800728933723,19.1631908678199,20.0935234977271,65235300
2012-10-31,24.33,25.951,23.52,24.79,73500000,20.2098150764655,21.6270108162852,19.5369852280505,20.659458137864,73500000
2012-11-30,24.81,26.1,22.51,24.7,74785000,20.676125711997,21.7511842435761,18.7593546867011,20.5844540542655,74785000
2012-12-31,24.84,26.525,24.77,25.9,49627600,20.7011270731966,22.1053701939025,20.642790563731,21.584508502246,49627600
2013-01-31,26.72,29.595,26.69,28.98,56524600,22.2678790416994,24.7719780494355,22.2428776804998,24.2572030367508,56524600
2013-02-28,29.26,30.82,27.82,29.54,60818800,24.491572148217,25.7973429121,23.286245289248,24.7259412596832,60818800
2013-03-29,29.26,33.66,28.91,32.61,65407800,24.491572148217,28.1745153284,24.1986107588842,27.2956311604018,65407800
2013-04-30,32.6,34.3333,30.04,34.01,66874200,27.2872608349923,28.8498020275835,25.2422008053,28.5781374629912,66874200
2013-05-31,33.59,36.63,31.01,35.66,73760600,28.2252172120516,30.779687599805,26.0572785277082,29.9646098773968,73760600
2013-06-28,35.78,36.75,33.57,36.47,59818900,30.0654442348081,30.8805219572163,28.2084114858163,30.6452417899232,59818900
2013-07-31,36.73,42.37,36.72,41.67,58879600,30.863716230981,35.7133847967256,30.8553133678634,35.1233595581675,58879600
2013-08-30,44.56,44.84,41.78,42.04,49548200,37.5593209002146,37.7953309956378,35.2160778099409,35.4352300414053,49548200
2013-09-30,42.72,45.46,41.131,41.99,46052500,36.0083974160046,38.3179247783607,34.6690401244777,35.3930853815083,46052500
2013-10-31,41.97,45.96,40.841,45.41,41740800,35.3762275175495,38.8508248552805,34.5236409467909,38.3858998406938,41740800
2013-11-29,45.46,51.61,45.13,51.33,43017700,38.4281657511108,43.6268727323983,38.1492107423587,43.3901836340632,43017700
2013-12-31,51.49,52.27,49.47,51.62,39608900,43.5254345473976,44.1847827499023,41.8178917665519,43.6353259144817,39608900
2014-01-31,51.33,52.55,46.51,48.03,42960300,43.3901836340632,44.5582585205953,39.4368145345935,40.7256547429913,42960300
2014-02-28,47.85,51.16,45.7096,50.13,43530400,40.5730289288389,43.3796480668631,38.7581384143293,42.5062892414356,43530400
2014-03-31,49.16,53.26,48.94,50.67,40352400,41.6838056873923,45.1602825653074,41.4972630256505,42.9641666838927,40352400
2014-04-30,51.1499,52.09,45.61,48.51,42874600,43.3710840628468,44.168214773317,38.8020628429647,41.269196854028,42874600
2014-05-30,49.0,51.32,46.4,47.96,51190300,41.6860574283111,43.6597646371617,39.4741441770129,40.8012921277918,51190300
2014-06-30,48.43,53.09,48.23,51.44,35331300,41.2011379847573,45.1655671197762,41.0309908115805,43.7618529410678,35331300
2014-07-31,51.74,53.86,50.69,52.39,26467516,44.017073700833,45.9621646515231,43.2570019715133,44.7077201279854,26467516
2014-08-29,52.08,55.16,50.08,55.04,30354261,44.4431774053346,47.0715373594135,42.7364501624262,46.969133724839,30354261
2014-09-30,55.28,56.52,52.65,53.58,35666379,47.173940993988,48.2321118845912,44.9295946695635,45.7232228375159,35666379
2014-10-31,53.49,54.81,45.25,54.76,54956946,45.646420111585,46.917948452019,38.7344858137906,46.8751479152082,54956946
2014-11-28,53.84,58.48,53.65,56.63,31507901,46.0876180378891,50.0595078539331,45.924975998008,48.4758879919328,31507901
2014-12-31,56.09,59.17,53.95,57.67,39648572,48.013642194376,50.6501552619224,46.1817792188729,49.3661391575978,39648572
