date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,14.27,17.49,13.77,16.07,3708500,14.27,17.49,13.77,16.07,3708500
2011-03-31,16.1,17.87,14.56,17.86,1630700,16.1,17.87,14.56,17.86,1630700
2011-04-29,17.81,20.0,17.61,19.44,2856500,17.81,20.0,17.61,19.44,2856500
2011-05-31,19.48,21.76,18.28,20.96,4118300,19.48,21.76,18.28,20.96,4118300
2011-06-30,20.87,23.8391,20.06,23.61,4250800,20.87,23.8391,20.06,23.61,4250800
2011-07-29,23.51,26.45,21.81,24.18,3476500,23.51,26.45,21.81,24.18,3476500
2011-08-31,24.57,28.58,19.89,24.0,6597600,24.57,28.58,19.89,24.0,6597600
2011-09-30,24.0,36.12,24.0,32.07,12296200,24.0,36.12,24.0,32.07,12296200
2011-10-31,31.67,33.5,27.65,32.56,6054400,31.67,33.5,27.65,32.56,6054400
2011-11-30,31.14,34.81,26.39,34.06,6132300,31.14,34.81,26.39,34.06,6132300
2011-12-30,34.11,39.76,29.3,36.9,7307600,34.11,39.76,29.3,36.9,7307600
2012-01-31,37.62,40.26,33.5001,34.51,5804200,37.62,40.26,33.5001,34.51,5804200
2012-02-29,34.22,44.8,31.0,43.25,12223100,34.22,44.8,31.0,43.25,12223100
2012-03-30,43.36,48.34,40.21,44.8,8110500,43.36,48.34,40.21,44.8,8110500
2012-04-30,44.84,56.41,42.68,53.33,9056000,44.84,56.41,42.68,53.33,9056000
2012-05-31,53.61,66.57,52.1,63.89,13913000,53.61,66.57,52.1,63.89,13913000
2012-06-29,61.89,65.86,46.65,51.18,18140900,61.89,65.86,46.65,51.18,18140900
2012-07-31,49.02,49.18,37.68,45.72,29349000,49.02,49.18,37.68,45.72,29349000
2012-08-31,45.67,52.63,39.18,52.39,15911100,45.67,52.63,39.18,52.39,15911100
2012-09-28,52.28,57.42,48.46,50.209,11333100,52.28,57.42,48.46,50.209,11333100
2012-10-31,50.43,50.7354,37.94,41.23,14806100,50.43,50.7354,37.94,41.23,14806100
2012-11-30,41.04,44.0,35.56,41.06,13637900,41.04,44.0,35.56,41.06,13637900
2012-12-31,41.29,41.29,37.66,40.86,9420400,41.29,41.29,37.66,40.86,9420400
2013-01-31,42.1,44.4,29.3,31.87,18279400,42.1,44.4,29.3,31.87,18279400
2013-02-28,32.73,34.89,32.5,34.05,13591300,32.73,34.89,32.5,34.05,13591300
2013-03-29,33.81,35.28,28.6201,29.81,10395000,33.81,35.28,28.6201,29.81,10395000
2013-04-30,29.68,35.91,28.72,32.9,10650400,29.68,35.91,28.72,32.9,10650400
2013-05-31,32.27,40.902,32.23,40.01,8337800,32.27,40.902,32.23,40.01,8337800
2013-06-28,40.57,40.8,30.26,34.67,10203900,40.57,40.8,30.26,34.67,10203900
2013-07-31,34.69,35.71,27.64,28.5,9907100,34.69,35.71,27.64,28.5,9907100
2013-08-30,28.78,32.67,27.2601,29.64,7032600,28.78,32.67,27.2601,29.64,7032600
2013-09-30,29.94,38.31,29.63,33.5,8451800,29.94,38.31,29.63,33.5,8451800
2013-10-31,33.57,33.83,24.77,26.11,13109800,33.57,33.83,24.77,26.11,13109800
2013-11-29,26.08,28.25,20.51,23.17,13435200,26.08,28.25,20.51,23.17,13435200
2013-12-31,23.14,24.5,20.3701,22.66,14404400,23.14,24.5,20.3701,22.66,14404400
2014-01-31,22.6,24.24,20.87,23.77,10096100,22.6,24.24,20.87,23.77,10096100
2014-02-28,23.74,26.56,20.24,25.62,12514500,23.74,26.56,20.24,25.62,12514500
2014-03-31,25.45,27.33,24.51,26.05,8126800,25.45,27.33,24.51,26.05,8126800
2014-04-30,26.29,27.14,16.65,17.25,37637400,26.29,27.14,16.65,17.25,37637400
2014-05-30,17.22,18.0,12.05,15.38,27822200,17.22,18.0,12.05,15.38,27822200
2014-06-30,15.39,16.2,14.66,15.76,9205300,15.39,16.2,14.66,15.76,9205300
2014-07-31,15.76,15.995,12.4101,13.49,9165000,15.76,15.995,12.4101,13.49,9165000
2014-08-29,13.53,15.37,12.61,15.24,9896600,13.53,15.37,12.61,15.24,9896600
2014-09-30,15.28,15.322,13.75,13.75,6199719,15.28,15.322,13.75,13.75,6199719
2014-10-31,13.74,13.8,11.27,12.78,7788100,13.74,13.8,11.27,12.78,7788100
2014-11-28,12.83,12.92,10.19,10.51,7452485,12.83,12.92,10.19,10.51,7452485
2014-12-31,10.44,10.51,7.41,8.17,11566449,10.44,10.51,7.41,8.17,11566449
2015-01-30,8.26,8.37,7.32,7.74,5814706,8.26,8.37,7.32,7.74,5814706
2015-02-27,7.74,10.5,7.55,9.88,6729345,7.74,10.5,7.55,9.88,6729345
2015-03-31,9.86,10.23,9.28,9.88,5110652,9.86,10.23,9.28,9.88,5110652
2015-04-30,9.9,9.99,8.965,9.36,5142869,9.9,9.99,8.965,9.36,5142869
2015-05-29,9.41,11.0,8.6,9.92,5211309,9.41,11.0,8.6,9.92,5211309
2015-06-30,9.97,10.61,9.495,9.63,4379525,9.97,10.61,9.495,9.63,4379525
2015-07-31,9.66,9.89,8.59,8.98,5144607,9.66,9.89,8.59,8.98,5144607
2015-08-31,8.97,9.74,7.01,7.5,8077819,8.97,9.74,7.01,7.5,8077819
2015-09-30,7.4,7.74,6.65,7.39,8172156,7.4,7.74,6.65,7.39,8172156
2015-10-30,7.41,8.53,7.1,8.19,5029980,7.41,8.53,7.1,8.19,5029980
2015-11-30,8.17,9.186,6.28,6.82,6831962,8.17,9.186,6.28,6.82,6831962
2015-12-31,6.98,7.16,6.2005,6.5,8475826,6.98,7.16,6.2005,6.5,8475826
2016-01-29,6.34,6.58,5.57,6.51,5043444,6.34,6.58,5.57,6.51,5043444
2016-02-29,6.44,6.49,4.42,4.67,8001208,6.44,6.49,4.42,4.67,8001208
2016-03-31,4.67,5.705,4.595,5.18,5070501,4.67,5.705,4.595,5.18,5070501
2016-04-29,5.13,5.8,5.1,5.58,2242695,5.13,5.8,5.1,5.58,2242695
2016-05-31,5.63,7.165,5.53,6.7,2897932,5.63,7.165,5.53,6.7,2897932
2016-06-30,6.75,7.84,6.7,7.84,2960533,6.75,7.84,6.7,7.84,2960533
2016-07-29,7.87,8.34,7.06,8.08,2919329,7.87,8.34,7.06,8.08,2919329
2016-08-31,8.09,10.25,7.92,10.0,3439361,8.09,10.25,7.92,10.0,3439361
2016-09-30,9.97,11.25,9.49,11.24,2763604,9.97,11.25,9.49,11.24,2763604
2016-10-31,11.2,11.49,8.3,8.85,2186745,11.2,11.49,8.3,8.85,2186745
2016-11-30,8.85,10.3,8.05,9.2,2471570,8.85,10.3,8.05,9.2,2471570
2016-12-30,9.15,10.5,8.55,9.75,2942474,9.15,10.5,8.55,9.75,2942474
2017-01-31,9.75,10.45,9.15,9.75,1844135,9.75,10.45,9.15,9.75,1844135
2017-02-28,9.85,9.95,8.05,8.15,2392513,9.85,9.95,8.05,8.15,2392513
2017-03-31,8.35,8.5,7.5,8.0,2196265,8.35,8.5,7.5,8.0,2196265
2017-04-28,8.0,8.05,7.05,7.8,1722524,8.0,8.05,7.05,7.8,1722524
2017-05-31,7.9,8.05,6.15,6.2,3675549,7.9,8.05,6.15,6.2,3675549
2017-06-30,6.25,6.8,6.05,6.35,2766392,6.25,6.8,6.05,6.35,2766392
2017-07-31,6.4,7.1,6.2,6.8,1762231,6.4,7.1,6.2,6.8,1762231
2017-08-31,6.9,7.0,5.63,5.7,3055962,6.9,7.0,5.63,5.7,3055962
2017-09-29,5.75,6.15,5.5,5.9,2663729,5.75,6.15,5.5,5.9,2663729
2017-10-31,5.9,6.3,5.55,5.7,2663025,5.9,6.3,5.55,5.7,2663025
2017-11-30,5.7,5.9368,5.2,5.75,1383106,5.7,5.9368,5.2,5.75,1383106
2017-12-29,5.75,5.9,4.335,4.85,3593189,5.75,5.9,4.335,4.85,3593189
2018-01-31,4.8,5.45,4.65,4.8,2485918,4.8,5.45,4.65,4.8,2485918
2018-02-28,4.9,7.65,4.9,6.85,4047979,4.9,7.65,4.9,6.85,4047979
2018-03-30,6.8,7.45,6.35,6.5,2635360,6.8,7.45,6.35,6.5,2635360
2018-04-30,6.45,6.7,5.85,6.45,1578379,6.45,6.7,5.85,6.45,1578379
2018-05-31,6.4,6.475,5.25,5.65,1605068,6.4,6.475,5.25,5.65,1605068
2018-06-29,5.65,6.9,5.625,6.55,1486762,5.65,6.9,5.625,6.55,1486762
2018-07-31,6.5,7.25,6.25,7.05,922275,6.5,7.25,6.25,7.05,922275
2018-08-31,7.0,8.0,6.8111,7.2,1948017,7.0,8.0,6.8111,7.2,1948017
2018-09-28,7.15,7.25,5.9,6.35,1409710,7.15,7.25,5.9,6.35,1409710
2018-10-31,6.34,6.4,5.17,5.94,1517166,6.34,6.4,5.17,5.94,1517166
2018-11-30,5.98,6.66,5.9,6.48,1189630,5.98,6.66,5.9,6.48,1189630
2018-12-31,6.57,7.68,5.83,6.17,4335649,6.57,7.68,5.83,6.17,4335649
2019-01-31,6.14,9.16,6.05,8.37,3560237,6.14,9.16,6.05,8.37,3560237
2019-02-28,8.36,8.59,6.6138,6.9,2210183,8.36,8.59,6.6138,6.9,2210183
2019-03-29,6.96,7.99,6.5,7.71,1989949,6.96,7.99,6.5,7.71,1989949
2019-04-30,7.75,7.89,6.25,6.79,1851433,7.75,7.89,6.25,6.79,1851433
2019-05-31,6.82,6.9,5.53,5.62,3496272,6.82,6.9,5.53,5.62,3496272
