date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,42.56,43.28,39.03,41.14,3684900,25.1003481931533,25.5249781437893,23.018481907396,24.2628835682877,3684900
2011-03-31,40.4,40.5,37.29,39.13,6218000,23.8264583412451,23.8854347232779,22.3369996446654,23.4391739365985,6218000
2011-04-29,39.16,40.3,38.06,39.74,2326500,23.4571441696191,24.1400130244037,22.7982356255287,23.804568674685,2326500
2011-05-31,40.33,41.92,40.07,41.67,3224300,24.1579832574244,25.1104056075187,24.0022412379121,24.96065366568,3224300
2011-06-30,41.63,41.69,38.44,39.49,3551500,24.9366933549858,24.9726338210271,23.3791965604042,24.0178062479283,3551500
2011-07-29,39.42,40.43,36.75,37.14,2782400,23.97523226876,24.5895139681879,22.3513390633417,22.5885369472792,2782400
2011-08-31,37.51,39.97,33.81,39.51,5923000,22.8135708371687,24.3097421050821,20.5632319382744,24.0299702419764,5923000
2011-09-30,39.47,39.86,36.12,38.35,6237000,24.0056422538802,24.2428401378177,22.3026830871494,23.6880510827014,6237000
2011-10-31,38.37,45.95,37.01,43.3,5282300,23.7004046947393,28.3824236571089,22.8603590761611,26.7455700620852,5282300
2011-11-30,41.76,45.0,40.91,44.98,3955900,25.7943419351658,27.795627085308,25.2693134235544,27.7832734732701,3955900
2011-12-30,44.82,46.61,43.88,45.62,5143300,27.6844445769667,28.9174160431407,27.1161784232227,28.5605654879428,5143300
2012-01-31,46.76,46.76,43.18,43.7,3717200,29.2742665983385,29.2742665983385,27.0329946902536,27.358542565171,3717200
2012-02-29,43.85,45.03,42.65,42.88,2606500,27.4524506060125,28.1911938606327,26.7011862792801,26.8451786085705,2606500
2012-03-30,43.11,44.97,42.75,43.74,4131300,26.9891709378609,28.544031069234,26.7637916398412,27.7633070706759,4131300
2012-04-30,43.57,45.8,43.08,45.19,2989500,27.6554021277858,29.0708610845212,27.3443819982789,28.683672760033,2989500
2012-05-31,45.39,46.04,43.05,43.6,3369100,28.8106197516685,29.2231974744837,27.3253399495336,27.6744441765311,3369100
2012-06-29,43.19,44.45,41.0,41.67,4708000,27.4142028436784,28.2139688909818,26.3934846418083,26.8247928054671,4708000
2012-07-31,41.91,42.32,36.18,36.22,7390500,26.9792912521509,27.243226098569,23.2906408375762,23.3163905786902,7390500
2012-08-31,36.24,38.58,36.01,38.29,4493500,23.3292654492472,24.8356253044138,23.1812044378419,24.6489396813376,4493500
2012-09-28,38.3,39.87,38.07,38.65,3469900,24.6553771166161,26.0635231838933,24.5073161052108,25.2659937561444,3469900
2012-10-31,38.69,41.87,38.3,40.53,3790300,25.2921422619722,27.370948475285,25.0371943301509,26.4949735300526,3790300
2012-11-30,40.5,42.02,38.21,41.62,3361000,26.4753621506817,27.4690053721394,24.9783601920382,27.2075203138611,3361000
2012-12-31,41.74,43.21,39.27,39.69,4608100,27.2859658313446,28.2469234205175,26.0456686572578,26.3242319584049,4608100
2013-01-31,40.44,40.9,38.33,39.6,9505300,26.8216664247391,27.1267595640907,25.4222174594523,26.2645398224448,9505300
