date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,5.5,6.75,5.025,5.5,2515400,5.5,6.75,5.025,5.5,2515400
2011-03-31,5.55,5.94,3.31,4.05,4399400,5.55,5.94,3.31,4.05,4399400
2011-04-29,4.08,6.0,4.08,5.65,1722300,4.08,6.0,4.08,5.65,1722300
2011-05-31,5.56,7.45,5.3,7.1,7455300,5.56,7.45,5.3,7.1,7455300
2011-06-30,7.1,7.4,5.75,7.2,3125800,7.1,7.4,5.75,7.2,3125800
2011-07-29,7.3,10.09,7.29,9.47,6721900,7.3,10.09,7.29,9.47,6721900
2011-08-31,9.8,11.29,6.5,10.95,11225900,9.8,11.29,6.5,10.95,11225900
2011-09-30,12.18,13.109,9.13,9.25,12059500,12.18,13.109,9.13,9.25,12059500
2011-10-31,8.92,12.5,8.34,10.11,9328900,8.92,12.5,8.34,10.11,9328900
2011-11-30,9.86,10.35,6.54,7.33,13103200,9.86,10.35,6.54,7.33,13103200
2011-12-30,7.29,8.68,6.96,7.25,7998400,7.29,8.68,6.96,7.25,7998400
2012-01-31,7.48,9.3,6.96,8.76,8521400,7.48,9.3,6.96,8.76,8521400
2012-02-29,8.85,12.09,8.16,10.4,16499500,8.85,12.09,8.16,10.4,16499500
2012-03-30,10.4,12.9699,10.37,11.6,14147800,10.4,12.9699,10.37,11.6,14147800
2012-04-30,11.6,11.98,5.27,5.66,36756000,11.6,11.98,5.27,5.66,36756000
2012-05-31,5.66,5.88,1.9,2.12,27196400,5.66,5.88,1.9,2.12,27196400
2012-06-29,2.05,4.75,1.965,3.89,19459700,2.05,4.75,1.965,3.89,19459700
2012-07-31,3.93,4.38,2.72,3.95,11814000,3.93,4.38,2.72,3.95,11814000
2012-08-31,3.95,5.1,3.7,4.54,12798500,3.95,5.1,3.7,4.54,12798500
2012-09-28,4.54,4.9,3.19,3.23,8319900,4.54,4.9,3.19,3.23,8319900
2012-10-31,3.28,3.49,2.81,3.19,5493500,3.28,3.49,2.81,3.19,5493500
