date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,21.77,22.39,16.86,17.92,64954600,21.77,22.39,16.86,17.92,64954600
2011-03-31,18.03,20.28,15.75,16.97,50483800,18.03,20.28,15.75,16.97,50483800
2011-04-29,16.71,17.74,14.92,17.21,34915800,16.71,17.74,14.92,17.21,34915800
2011-05-31,17.38,18.361,15.05,16.51,26478100,17.38,18.361,15.05,16.51,26478100
2011-06-30,16.5,16.54,13.925,16.04,30715400,16.5,16.54,13.925,16.04,30715400
2011-07-29,16.04,17.33,13.42,13.5,31131500,16.04,17.33,13.42,13.5,31131500
2011-08-31,13.79,13.9187,6.86,8.45,64957600,13.79,13.9187,6.86,8.45,64957600
2011-09-30,8.5,8.57,6.36,7.06,50877300,8.5,8.57,6.36,7.06,50877300
2011-10-31,7.01,10.31,6.0,9.52,53232700,7.01,10.31,6.0,9.52,53232700
2011-11-30,8.71,9.2,4.795,5.95,65251400,8.71,9.2,4.795,5.95,65251400
2011-12-30,5.9,6.47,4.9899,5.32,40041500,5.9,6.47,4.9899,5.32,40041500
2012-01-31,5.49,7.25,5.49,6.28,36014700,5.49,7.25,5.49,6.28,36014700
2012-02-29,6.37,8.2,6.0,7.41,40145600,6.37,8.2,6.0,7.41,40145600
2012-03-30,7.44,8.74,6.57,8.07,31870100,7.44,8.74,6.57,8.07,31870100
2012-04-30,8.02,8.3,6.17,6.51,32538300,8.02,8.3,6.17,6.51,32538300
2012-05-31,6.51,7.31,5.03,5.41,30470000,6.51,7.31,5.03,5.41,30470000
2012-06-29,5.16,5.73,4.78,5.22,29912100,5.16,5.73,4.78,5.22,29912100
2012-07-31,5.25,5.6,3.98,4.68,29051000,5.25,5.6,3.98,4.68,29051000
2012-08-31,4.66,5.17,4.08,4.47,26895300,4.66,5.17,4.08,4.47,26895300
2012-09-28,4.47,5.25,4.19,4.24,22060700,4.47,5.25,4.19,4.24,22060700
2012-10-31,4.27,4.86,4.07,4.42,18681900,4.27,4.86,4.07,4.42,18681900
2012-11-30,4.45,4.74,3.83,4.28,26520400,4.45,4.74,3.83,4.28,26520400
2012-12-31,4.29,4.965,4.25,4.73,25851300,4.29,4.965,4.25,4.73,25851300
2013-01-31,4.87,5.55,4.43,4.56,35295400,4.87,5.55,4.43,4.56,35295400
2013-02-28,4.59,4.92,4.3,4.4,30691600,4.59,4.92,4.3,4.4,30691600
2013-03-29,4.34,5.17,4.105,4.73,18113200,4.34,5.17,4.105,4.73,18113200
2013-04-30,4.73,6.19,4.29,5.8,33112500,4.73,6.19,4.29,5.8,33112500
2013-05-31,5.81,7.5,5.52,7.24,43257700,5.81,7.5,5.52,7.24,43257700
2013-06-28,7.23,7.34,6.13,7.05,23720600,7.23,7.34,6.13,7.05,23720600
2013-07-31,7.15,8.5,6.66,8.13,27117200,7.15,8.5,6.66,8.13,27117200
2013-08-30,8.25,8.4575,7.33,7.45,25210200,8.25,8.4575,7.33,7.45,25210200
2013-09-30,7.58,8.47,7.5,7.86,18367200,7.58,8.47,7.5,7.86,18367200
2013-10-31,7.88,8.45,6.84,6.87,31873100,7.88,8.45,6.84,6.87,31873100
2013-11-29,6.87,8.125,6.09,7.97,37244300,6.87,8.125,6.09,7.97,37244300
2013-12-31,7.98,10.49,7.47,10.43,35822400,7.98,10.49,7.47,10.43,35822400
2014-01-31,10.42,11.26,9.25,10.98,38914900,10.42,11.26,9.25,10.98,38914900
2014-02-28,10.98,12.86,10.05,12.41,30000600,10.98,12.86,10.05,12.41,30000600
2014-03-31,12.11,12.95,11.22,12.25,21508200,12.11,12.95,11.22,12.25,21508200
2014-04-30,12.33,12.87,10.81,11.87,23449500,12.33,12.87,10.81,11.87,23449500
2014-05-30,13.0,14.28,12.78,13.81,37990200,13.0,14.28,12.78,13.81,37990200
2014-06-30,13.8,15.14,12.6,13.04,49177900,13.8,15.14,12.6,13.04,49177900
2014-07-31,13.09,13.27,12.25,12.57,26932300,13.09,13.27,12.25,12.57,26932300
2014-08-29,12.63,14.22,12.42,13.63,27038500,12.63,14.22,12.42,13.63,27038500
2014-09-30,13.66,14.19,10.85,10.85,36683400,13.66,14.19,10.85,10.85,36683400
2014-10-31,10.82,11.565,9.46,11.49,39425500,10.82,11.565,9.46,11.49,39425500
2014-11-28,11.55,14.5,11.295,14.08,34525200,11.55,14.5,11.295,14.08,34525200
2014-12-31,14.07,15.517,13.1,15.15,30308300,14.07,15.517,13.1,15.15,30308300
2015-01-30,15.3,15.65,12.57,12.8,35099200,15.3,15.65,12.57,12.8,35099200
2015-02-27,12.8,14.66,12.61,14.29,23137900,12.8,14.66,12.61,14.29,23137900
2015-03-31,14.32,14.5,11.69,12.61,26980500,14.32,14.5,11.69,12.61,26980500
2015-04-30,12.57,13.6498,12.075,13.12,21143000,12.57,13.6498,12.075,13.12,21143000
2015-05-29,13.21,14.52,12.77,14.31,26554400,13.21,14.52,12.77,14.31,26554400
2015-06-30,14.34,14.62,12.89,13.12,19956800,14.34,14.62,12.89,13.12,19956800
2015-07-31,13.37,14.42,12.32,14.08,34223600,13.37,14.42,12.32,14.08,34223600
2015-08-31,14.14,14.21,12.06,12.65,22465100,14.14,14.21,12.06,12.65,22465100
2015-09-30,12.48,13.27,10.37,10.63,19835900,12.48,13.27,10.37,10.63,19835900
2015-10-30,10.63,11.9999,10.08,10.87,30141300,10.63,11.9999,10.08,10.87,30141300
2015-11-30,10.87,11.64,9.155,10.74,30322700,10.87,11.64,9.155,10.74,30322700
2015-12-31,10.83,10.99,7.51,8.35,32760600,10.83,10.99,7.51,8.35,32760600
2016-01-29,8.09,8.37,6.03,6.83,31499160,8.09,8.37,6.03,6.83,31499160
2016-02-29,6.8,7.88,5.69,7.43,34220434,6.8,7.88,5.69,7.43,34220434
2016-03-31,7.59,8.34,7.06,8.06,23462534,7.59,8.34,7.06,8.06,23462534
2016-04-29,7.83,8.9,7.26,8.5,16474168,7.83,8.9,7.26,8.5,16474168
2016-05-31,8.5,8.94,7.27,8.84,19861537,8.5,8.94,7.27,8.84,19861537
2016-06-30,8.72,9.1299,6.3025,7.2,25122770,8.72,9.1299,6.3025,7.2,25122770
2016-07-29,7.31,8.68,6.64,8.38,15905359,7.31,8.68,6.64,8.38,15905359
2016-08-31,8.35,11.38,7.88,11.15,24116717,8.35,11.38,7.88,11.15,24116717
2016-09-30,11.12,11.39,10.35,11.13,11329269,11.12,11.39,10.35,11.13,11329269
2016-10-31,11.19,11.7,10.13,10.28,12455480,11.19,11.7,10.13,10.28,12455480
2016-11-30,10.39,13.13,9.84,12.62,24524815,10.39,13.13,9.84,12.62,24524815
2016-12-30,12.76,13.375,12.22,12.42,18637901,12.76,13.375,12.22,12.42,18637901
2017-01-31,12.7,15.45,12.51,14.43,19538034,12.7,15.45,12.51,14.43,19538034
2017-02-28,14.65,16.79,14.65,16.35,25108205,14.65,16.79,14.65,16.35,25108205
2017-03-31,16.74,17.19,15.9,17.13,17450312,16.74,17.19,15.9,17.13,17450312
2017-04-28,17.18,18.08,15.82,17.81,17549665,17.18,18.08,15.82,17.81,17549665
2017-05-31,17.89,18.29,14.97,15.57,24134260,17.89,18.29,14.97,15.57,24134260
2017-06-30,15.7,16.76,15.21,16.61,16512817,15.7,16.76,15.21,16.61,16512817
2017-07-31,16.69,18.4,16.48,17.28,14694358,16.69,18.4,16.48,17.28,14694358
2017-08-31,17.46,19.99,16.78,19.86,29400751,17.46,19.99,16.78,19.86,29400751
2017-09-29,19.89,26.91,19.7,26.01,49391928,19.89,26.91,19.7,26.01,49391928
2017-10-31,26.1,27.03,25.13,26.01,26458558,26.1,27.03,25.13,26.01,26458558
2017-11-30,26.2,27.96,23.16,24.98,33872631,26.2,27.96,23.16,24.98,33872631
2017-12-29,25.03,25.32,22.515,23.46,26126480,25.03,25.32,22.515,23.46,26126480
2018-01-31,23.52,27.74,22.98,27.28,21855278,23.52,27.74,22.98,27.28,21855278
2018-02-28,27.6,29.54,24.43,24.5,33796628,27.6,29.54,24.43,24.5,33796628
2018-03-30,24.41,24.6,20.51,20.56,28098289,24.41,24.6,20.51,20.56,28098289
2018-04-30,20.59,21.78,19.46,19.47,20211208,20.59,21.78,19.46,19.47,20211208
2018-05-31,19.66,22.5699,17.28,20.75,19298399,19.66,22.5699,17.28,20.75,19298399
2018-06-29,20.97,22.2,20.05,20.57,13348033,20.97,22.2,20.05,20.57,13348033
2018-07-31,20.35,22.75,18.93,20.6,19374405,20.35,22.75,18.93,20.6,19374405
2018-08-31,21.95,22.92,20.69,21.66,16563456,21.95,22.92,20.69,21.66,16563456
2018-09-28,21.63,21.685,19.05,19.36,14079428,21.63,21.685,19.05,19.36,14079428
2018-10-31,19.33,20.53,15.54,16.99,24143974,19.33,20.53,15.54,16.99,24143974
2018-11-30,17.1,18.49,15.01,16.5,21111969,17.1,18.49,15.01,16.5,21111969
2018-12-31,17.01,17.33,15.03,16.91,29919941,17.01,17.33,15.03,16.91,29919941
2019-01-31,16.53,21.94,16.33,20.68,22556653,16.53,21.94,16.33,20.68,22556653
2019-02-28,20.83,22.86,19.78,22.28,17981688,20.83,22.86,19.78,22.28,17981688
2019-03-29,22.46,22.76,19.76,20.35,17355454,22.46,22.76,19.76,20.35,17355454
2019-04-30,20.56,25.175,20.56,24.26,19140885,20.56,25.175,20.56,24.26,19140885
2019-05-31,25.6,25.78,19.82,20.16,18526860,25.6,25.78,19.82,20.16,18526860
2019-06-28,20.17,24.75,20.09,24.25,15922135,20.17,24.75,20.09,24.25,15922135
2019-07-31,24.61,25.0,22.31,24.73,14939728,24.61,25.0,22.31,24.73,14939728
2019-08-30,24.84,24.84,15.96,16.82,18350702,24.84,24.84,15.96,16.82,18350702
2019-09-30,16.52,20.4,16.31,18.5,17622466,16.52,20.4,16.31,18.5,17622466
2019-10-31,18.5,23.5,16.5,22.03,23368815,18.5,23.5,16.5,22.03,23368815
2019-11-29,22.26,25.9,21.55,25.25,21052920,22.26,25.9,21.55,25.25,21052920
2019-12-31,25.22,27.1799,22.78,26.19,29125591,25.22,27.1799,22.78,26.19,29125591
2020-01-31,26.33,27.17,21.49,21.91,53390120,26.33,27.17,21.49,21.91,53390120
2020-02-28,21.99,26.37,21.38,22.69,27568311,21.99,26.37,21.38,22.69,27568311
2020-03-31,22.84,23.09,10.91,13.25,35701682,22.84,23.09,10.91,13.25,35701682
2020-04-30,12.73,21.92,12.03,20.5,19172856,12.73,21.92,12.03,20.5,19172856
2020-05-29,19.49,22.335,15.72,20.38,16718587,19.49,22.335,15.72,20.38,16718587
2020-06-30,20.57,23.92,18.52,19.8,17351208,20.57,23.92,18.52,19.8,17351208
2020-07-31,19.93,24.742,18.16,22.75,14934004,19.93,24.742,18.16,22.75,14934004
2020-08-31,22.95,26.18,22.67,22.76,10673489,22.95,26.18,22.67,22.76,10673489
