date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,1.74,2.48,1.71,2.15,1195393,43.5,62.0,42.75,53.75,47805
2011-03-31,2.1,2.36,1.95,2.25,677829,52.5,59.0,48.75,56.25,27105
2011-04-29,2.28,2.36,2.15,2.27,532095,57.0,59.0,53.75,56.75,21275
2011-05-31,2.24,2.29,1.43,1.67,1186991,56.0,57.25,35.75,41.75,47470
2011-06-30,1.64,1.67,1.0,1.07,5681305,41.0,41.75,25.0,26.75,227240
2011-07-29,1.04,1.09,0.92,0.9301,1390618,26.0,27.25,23.0,23.2525,55614
2011-08-31,0.9205,0.95,0.67,0.91,1265807,23.0125,23.75,16.75,22.75,50623
2011-09-30,0.93,1.05,0.7901,0.8738,587088,23.25,26.25,19.7525,21.845,23475
2011-10-31,0.87,1.27,0.84,1.0292,845553,21.75,31.75,21.0,25.73,33816
2011-11-30,0.99,1.19,0.97,1.1,392843,24.75,29.75,24.25,27.5,15708
2011-12-30,1.08,1.38,1.044,1.34,3488446,27.0,34.5,26.1,33.5,139529
2012-01-31,1.35,1.72,1.25,1.39,2984318,33.75,43.0,31.25,34.75,119365
2012-02-29,1.44,1.6,1.21,1.41,1646594,36.0,40.0,30.25,35.25,65856
2012-03-30,1.41,1.46,1.19,1.37,2214341,35.25,36.5,29.75,34.25,88562
2012-04-30,1.37,1.37,1.23,1.29,646187,34.25,34.25,30.75,32.25,25840
2012-05-31,1.31,1.33,0.88,1.06,1323725,32.75,33.25,22.0,26.5,52939
2012-06-29,1.08,1.31,0.9001,1.26,2483065,27.0,32.75,22.5025,31.5,99311
2012-07-31,1.25,1.35,1.12,1.19,1427057,31.25,33.75,28.0,29.75,57071
2012-08-31,1.15,1.2635,1.12,1.18,1641557,28.75,31.5875,28.0,29.5,65654
2012-09-28,1.25,1.56,1.14,1.21,5032838,31.25,39.0,28.5,30.25,201306
2012-10-31,1.22,1.4,1.11,1.32,2116443,30.5,35.0,27.75,33.0,84648
2012-11-30,1.3,1.7599,1.21,1.5,5272041,32.5,43.9975,30.25,37.5,210873
2012-12-31,1.54,1.54,1.05,1.13,6417574,38.5,38.5,26.25,28.25,256693
2013-01-31,1.15,1.35,1.1,1.25,7936937,28.75,33.75,27.5,31.25,317469
2013-02-28,1.27,1.36,1.17,1.23,4329050,31.75,34.0,29.25,30.75,173152
2013-03-29,1.22,1.49,1.14,1.4,4748464,30.5,37.25,28.5,35.0,189930
2013-04-30,1.48,1.6,1.36,1.42,5320558,37.0,40.0,34.0,35.5,212812
2013-05-31,1.4,1.54,1.23,1.32,2690430,35.0,38.5,30.75,33.0,107606
2013-06-28,1.32,1.42,1.2,1.38,2448662,33.0,35.5,30.0,34.5,97937
2013-07-31,1.36,1.49,1.26,1.43,2870810,34.0,37.25,31.5,35.75,114824
2013-08-30,1.44,1.4899,1.3,1.44,1854752,36.0,37.2475,32.5,36.0,74180
2013-09-30,1.41,2.03,1.38,1.7199,9952003,35.25,50.75,34.5,42.9975,398071
2013-10-31,1.69,1.87,1.549,1.66,4912905,42.25,46.75,38.725,41.5,196505
2013-11-29,1.72,1.8,0.76,1.37,13441237,43.0,45.0,19.0,34.25,537639
2013-12-31,1.41,1.48,1.0773,1.23,2985693,35.25,37.0,26.9325,30.75,119419
2014-01-31,1.22,1.47,1.05,1.18,3385356,30.5,36.75,26.25,29.5,135403
2014-02-28,1.15,1.36,1.1,1.2762,2974204,28.75,34.0,27.5,31.905,118959
2014-03-31,1.31,1.38,1.03,1.17,2209010,32.75,34.5,25.75,29.25,88350
2014-04-30,1.18,1.18,0.99,1.03,2404942,29.5,29.5,24.75,25.75,96185
2014-05-30,1.021,1.0716,0.8296,0.8802,6200599,25.525,26.79,20.74,22.005,248015
2014-06-30,0.9,0.95,0.78,0.79,2844552,22.5,23.75,19.5,19.75,113774
2014-07-31,0.82,1.05,0.8021,1.02,4529391,20.5,26.25,20.0525,25.5,181168
2014-08-29,1.0,1.3,0.69,0.792,11282481,25.0,32.5,17.25,19.8,451289
2014-09-30,0.77,1.0,0.72,0.84,5768454,19.25,25.0,18.0,21.0,230730
2014-10-31,0.85,0.85,0.7,0.81,3051531,21.25,21.25,17.5,20.25,122048
2014-11-28,0.825,0.825,0.7,0.7099,1699156,20.625,20.625,17.5,17.7475,67958
2014-12-31,0.7,0.74,0.5251,0.63,3695434,17.5,18.5,13.1275,15.75,147809
2015-01-30,0.601,0.6704,0.53,0.635,2418398,15.025,16.76,13.25,15.875,96725
2015-02-27,0.63,0.635,0.42,0.54,1944516,15.75,15.875,10.5,13.5,77773
2015-03-31,0.53,0.75,0.49,0.69,9969021,13.25,18.75,12.25,17.25,398751
2015-04-30,0.71,0.9686,0.6037,0.63,9729649,17.75,24.215,15.0925,15.75,389177
2015-05-29,0.65,0.8,0.5112,0.775,8343736,16.25,20.0,12.78,19.375,333740
2015-06-30,0.78,1.05,0.62,0.62,12019297,19.5,26.25,15.5,15.5,480761
2015-07-31,0.62,0.6777,0.5515,0.5803,2843509,15.5,16.9425,13.7875,14.5075,113731
2015-08-31,0.5801,0.6,0.17,0.38,5603368,14.5025,15.0,4.25,9.5,224123
2015-09-30,0.3703,0.46,0.252,0.2901,4259834,9.2575,11.5,6.3,7.2525,170381
2015-10-30,0.28,0.3767,0.1452,0.179,10063190,7.0,9.4175,3.63,4.475,402515
2015-11-30,0.1839,0.2274,0.129,0.1599,6466313,4.5975,5.685,3.225,3.9975,258644
2015-12-31,0.1355,3.8499,0.065,2.02,8189557,3.3875,3.9725,1.625,2.02,1390296
2016-01-29,1.95,3.42,1.95,2.58,621827,1.95,3.42,1.95,2.58,621827
2016-02-29,2.68,2.96,1.77,2.3,386669,2.68,2.96,1.77,2.3,386669
2016-03-31,2.4,2.49,1.9,2.1,544258,2.4,2.49,1.9,2.1,544258
2016-04-29,2.06,3.42,1.9,3.163,540607,2.06,3.42,1.9,3.163,540607
2016-05-31,3.14,3.38,2.07,2.94,978247,3.14,3.38,2.07,2.94,978247
2016-06-30,3.01,3.01,2.12,2.5,625295,3.01,3.01,2.12,2.5,625295
2016-07-29,2.596,2.74,2.15,2.3376,1049236,2.596,2.74,2.15,2.3376,1049236
2016-08-31,2.3595,5.29,2.12,3.4,5724120,2.3595,5.29,2.12,3.4,5724120
2016-09-30,3.38,4.15,2.81,4.1,1129307,3.38,4.15,2.81,4.1,1129307
2016-10-31,4.13,4.83,3.75,4.0,1506911,4.13,4.83,3.75,4.0,1506911
2016-11-30,3.95,5.0851,3.9,4.025,655475,3.95,5.0851,3.9,4.025,655475
2016-12-30,4.0,4.151,3.25,3.3,415187,4.0,4.151,3.25,3.3,415187
2017-01-31,3.25,4.35,3.2,3.95,499774,3.25,4.35,3.2,3.95,499774
2017-02-28,3.8,4.35,3.7,3.95,345889,3.8,4.35,3.7,3.95,345889
2017-03-31,3.9,4.13,3.7,3.82,430513,3.9,4.13,3.7,3.82,430513
2017-04-28,3.7,3.9,3.2,3.35,179485,3.7,3.9,3.2,3.35,179485
2017-05-31,3.37,3.85,2.41,2.5,336863,3.37,3.85,2.41,2.5,336863
2017-06-30,2.44,4.05,2.25,3.85,521375,2.44,4.05,2.25,3.85,521375
2017-07-31,3.78,4.2,3.37,4.2,332623,3.78,4.2,3.37,4.2,332623
2017-08-31,4.2,5.0,3.9,4.4,464284,4.2,5.0,3.9,4.4,464284
2017-09-29,4.35,4.7,4.0,4.6,254586,4.35,4.7,4.0,4.6,254586
2017-10-31,4.5,4.8,4.15,4.45,187678,4.5,4.8,4.15,4.45,187678
2017-11-30,4.45,4.75,4.15,4.2,179158,4.45,4.75,4.15,4.2,179158
2017-12-29,4.2,4.212,2.75,3.85,334726,4.2,4.212,2.75,3.85,334726
2018-01-31,3.9,4.2,3.45,3.595,291208,3.9,4.2,3.45,3.595,291208
2018-02-28,3.65,3.81,3.4,3.495,167119,3.65,3.81,3.4,3.495,167119
2018-03-30,3.44,3.85,2.9,3.45,173430,3.44,3.85,2.9,3.45,173430
2018-04-30,3.5,3.5,3.066,3.195,66683,3.5,3.5,3.066,3.195,66683
2018-05-31,3.11,3.15,2.0,2.2,173701,3.11,3.15,2.0,2.2,173701
2018-06-29,2.25,3.745,2.05,2.5,440529,2.25,3.745,2.05,2.5,440529
2018-07-31,2.5,2.52,2.025,2.45,133147,2.5,2.52,2.025,2.45,133147
2018-08-31,2.55,2.55,1.7,1.75,204142,2.55,2.55,1.7,1.75,204142
2018-09-28,1.7,2.4,1.25,1.9,776298,1.7,2.4,1.25,1.9,776298
2018-10-31,1.85,1.85,1.2,1.39,314102,1.85,1.85,1.2,1.39,314102
2018-11-30,1.3535,1.36,0.9659,1.26,183724,1.3535,1.36,0.9659,1.26,183724
2018-12-31,1.28,1.6485,0.7257,0.7727,391187,1.28,1.6485,0.7257,0.7727,391187
2019-01-31,0.71,2.3,0.71,1.8839,958074,0.71,2.3,0.71,1.8839,958074
2019-02-28,1.85,1.85,1.3266,1.44,151819,1.85,1.85,1.3266,1.44,151819
2019-03-29,1.3498,1.75,1.06,1.2,329754,1.3498,1.75,1.06,1.2,329754
2019-04-30,1.2539,1.5,0.7313,0.98,820969,1.2539,1.5,0.7313,0.98,820969
2019-05-31,0.9944,1.22,0.229,0.43,32122428,0.9944,1.22,0.229,0.43,32122428
2019-06-28,0.399,4.04,0.3,1.69,130145838,0.399,4.04,0.3,1.69,130145838
2019-07-31,1.8,1.87,0.995,1.34,20758049,1.8,1.87,0.995,1.34,20758049
2019-08-30,1.35,1.38,0.5219,0.5363,7063409,1.35,1.38,0.5219,0.5363,7063409
2019-09-30,0.5516,0.818,0.421,0.6104,42326643,0.5516,0.818,0.421,0.6104,42326643
2019-10-31,0.605,0.67,0.51,0.5702,5353515,0.605,0.67,0.51,0.5702,5353515
2019-11-29,0.57,0.928,0.48,0.5899,21369475,0.57,0.928,0.48,0.5899,21369475
2019-12-31,0.7301,0.77,0.5534,0.64,8286391,0.7301,0.77,0.5534,0.64,8286391
2020-01-31,0.64,0.712,0.5711,0.6013,5482799,0.64,0.712,0.5711,0.6013,5482799
2020-02-28,0.5952,0.66,0.5,0.575,5145798,0.5952,0.66,0.5,0.575,5145798
2020-03-31,0.571,1.58,0.24,0.5997,104240750,0.571,1.58,0.24,0.5997,104240750
2020-04-30,0.56,1.85,0.5382,0.9202,126270759,0.56,1.85,0.5382,0.9202,126270759
2020-05-29,0.93,1.2,0.823,0.845,50554021,0.93,1.2,0.823,0.845,50554021
2020-06-30,0.84,1.33,0.81,1.15,107235163,0.84,1.33,0.81,1.15,107235163
2020-07-31,1.1,1.94,1.05,1.23,182147780,1.1,1.94,1.05,1.23,182147780
2020-08-31,1.27,1.48,0.8702,0.9063,108870538,1.27,1.48,0.8702,0.9063,108870538
2020-09-30,0.8952,0.9,0.67,0.73,17859397,0.8952,0.9,0.67,0.73,17859397
2020-10-30,0.7398,0.87,0.6,0.6076,34780385,0.7398,0.87,0.6,0.6076,34780385
2020-11-30,0.62,0.684,0.515,0.62,19622260,0.62,0.684,0.515,0.62,19622260
2020-12-31,0.6065,0.7988,0.601,0.697,44408325,0.6065,0.7988,0.601,0.697,44408325
2021-01-29,0.7,1.14,0.6801,0.89,95661797,0.7,1.14,0.6801,0.89,95661797
2021-02-26,0.89,1.79,0.8715,1.13,177126000,0.89,1.79,0.8715,1.13,177126000
2021-03-31,1.14,1.2,0.7851,0.91,58550627,1.14,1.2,0.7851,0.91,58550627
2021-04-30,0.9096,1.02,0.71,0.72,11952565,0.9096,1.02,0.71,0.72,11952565
