date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,4.85,5.925,4.83,5.72,19238000,48.5,59.25,48.3,57.2,1923800
2011-03-31,5.735,6.72,5.54,6.55,48678000,57.35,67.2,55.4,65.5,4867800
2011-04-29,6.63,6.63,6.16,6.3,33632000,66.3,66.3,61.6,63.0,3363200
2011-05-31,6.335,6.36,5.53,6.0,33217000,63.35,63.6,55.3,60.0,3321700
2011-06-30,5.95,6.26,5.67,6.04,25102000,59.5,62.6,56.7,60.4,2510200
2011-07-29,6.06,6.31,5.85,6.03,16343000,60.6,63.1,58.5,60.3,1634300
2011-08-31,6.1,6.26,5.28,5.79,48967000,61.0,62.6,52.8,57.9,4896700
2011-09-30,5.8,5.84,5.16,5.29,42133000,58.0,58.4,51.6,52.9,4213300
2011-10-31,5.3,6.05,5.0,5.99,25151000,53.0,60.5,50.0,59.9,2515100
2011-11-30,5.97,6.64,5.29,5.85,40493000,59.7,66.4,52.9,58.5,4049300
2011-12-30,5.76,7.05,5.75,6.65,50390000,57.6,70.5,57.5,66.5,5039000
2012-01-31,6.73,6.87,5.0,5.11,78179000,67.3,68.7,50.0,51.1,7817900
2012-02-29,5.17,5.49,4.67,5.1,65042000,51.7,54.9,46.7,51.0,6504200
2012-03-30,5.1,5.41,4.31,4.31,98598000,51.0,54.1,43.1,43.1,9859800
2012-04-30,4.39,4.41,3.75,3.8,62255000,43.9,44.1,37.5,38.0,6225500
2012-05-31,3.8,3.97,3.33,3.38,62770000,38.0,39.7,33.3,33.8,6277000
2012-06-29,3.3,3.43,2.84,3.38,53396000,33.0,34.3,28.4,33.8,5339600
2012-07-31,3.41,3.53,3.05,3.08,26191000,34.1,35.3,30.5,30.8,2619100
2012-08-31,3.1,3.38,2.6,2.69,55049000,31.0,33.8,26.0,26.9,5504900
2012-09-28,3.07,5.14,3.06,4.2,162708000,30.7,51.4,30.6,42.0,16270800
2012-10-31,4.29,4.45,3.48,3.5,59249000,42.9,44.5,34.8,35.0,5924900
2012-11-30,3.61,4.06,3.11,3.91,46959000,36.1,40.6,31.1,39.1,4695900
2012-12-31,3.95,4.39,3.7197,4.03,50014000,39.5,43.9,37.197,40.3,5001400
2013-01-31,4.24,4.24,3.71,3.84,40931000,42.4,42.4,37.1,38.4,4093100
