date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,4.16,4.34,4.0,4.34,18400,4.16,4.34,4.0,4.34,18400
2011-03-31,4.34,4.9799,3.8,4.08,49600,4.34,4.9799,3.8,4.08,49600
2011-04-29,3.56,4.124,3.5,3.92,13500,3.56,4.124,3.5,3.92,13500
2011-05-31,3.86,4.45,3.51,3.9,50200,3.86,4.45,3.51,3.9,50200
2011-06-30,3.95,4.0,3.52,3.9,20100,3.95,4.0,3.52,3.9,20100
2011-07-29,3.9,4.0,3.61,3.75,32500,3.9,4.0,3.61,3.75,32500
2011-08-31,3.8,3.8,3.25,3.64,42200,3.8,3.8,3.25,3.64,42200
2011-09-30,3.64,3.64,2.76,3.37,23100,3.64,3.64,2.76,3.37,23100
2011-10-31,3.37,3.37,2.79,3.3,11600,3.37,3.37,2.79,3.3,11600
2011-11-30,3.07,3.35,2.77,3.28,38600,3.07,3.35,2.77,3.28,38600
2011-12-30,3.28,3.35,2.43,3.14,60200,3.28,3.35,2.43,3.14,60200
2012-01-31,3.2,4.25,2.93,3.95,50600,3.2,4.25,2.93,3.95,50600
2012-02-29,3.92,4.2,3.7,4.08,19700,3.92,4.2,3.7,4.08,19700
2012-03-30,3.77,4.18,3.7,4.17,16400,3.77,4.18,3.7,4.17,16400
2012-04-30,4.3,4.33,3.84,4.2,21600,4.3,4.33,3.84,4.2,21600
2012-05-31,4.2,4.27,2.49,3.84,24100,4.2,4.27,2.49,3.84,24100
2012-06-29,3.83,3.85,3.21,3.6,8500,3.83,3.85,3.21,3.6,8500
2012-07-31,3.27,3.75,3.22,3.75,14200,3.27,3.75,3.22,3.75,14200
2012-08-31,3.75,3.87,2.9675,3.6,28600,3.75,3.87,2.9675,3.6,28600
2012-09-28,3.6,3.75,3.28,3.59,15900,3.6,3.75,3.28,3.59,15900
2012-10-31,3.48,3.52,2.92,3.29,14900,3.48,3.52,2.92,3.29,14900
2012-11-30,3.22,3.22,2.65,2.897,21600,3.22,3.22,2.65,2.897,21600
2012-12-31,2.9,3.2624,2.78,3.0,45500,2.9,3.2624,2.78,3.0,45500
2013-01-31,3.01,3.14,2.95,3.0498,12600,3.01,3.14,2.95,3.0498,12600
2013-02-28,3.0,3.37,3.0,3.35,18100,3.0,3.37,3.0,3.35,18100
2013-03-29,3.37,3.87,3.03,3.31,189900,3.37,3.87,3.03,3.31,189900
2013-04-30,3.48,3.85,3.2399,3.6,115200,3.48,3.85,3.2399,3.6,115200
2013-05-31,3.52,4.29,3.15,3.3,125100,3.52,4.29,3.15,3.3,125100
2013-06-28,3.31,3.46,3.3,3.32,20200,3.31,3.46,3.3,3.32,20200
2013-07-31,3.32,3.69,3.32,3.66,16400,3.32,3.69,3.32,3.66,16400
2013-08-30,3.66,4.31,3.346,4.1,84300,3.66,4.31,3.346,4.1,84300
2013-09-30,4.11,5.23,4.109,4.77,201800,4.11,5.23,4.109,4.77,201800
2013-10-31,4.8,4.9299,4.261,4.77,41600,4.8,4.9299,4.261,4.77,41600
2013-11-29,4.41,9.8,4.41,6.0,3308900,4.41,9.8,4.41,6.0,3308900
2013-12-31,6.06,7.2,5.45,5.49,942100,6.06,7.2,5.45,5.49,942100
2014-01-31,5.4601,5.96,5.12,5.2101,222800,5.4601,5.96,5.12,5.2101,222800
2014-02-28,5.25,5.44,4.97,5.0919,139500,5.25,5.44,4.97,5.0919,139500
2014-03-31,4.75,5.62,4.75,5.03,172200,4.75,5.62,4.75,5.03,172200
2014-04-30,5.0,5.35,4.95,5.03,55620,5.0,5.35,4.95,5.03,55620
2014-05-30,5.0,5.16,4.526,4.7,76959,5.0,5.16,4.526,4.7,76959
2014-06-30,4.67,4.94,3.93,4.66,45810,4.67,4.94,3.93,4.66,45810
2014-07-31,4.77,5.3,4.671,4.78,191002,4.77,5.3,4.671,4.78,191002
2014-08-29,4.7701,5.1,4.74,5.027,117800,4.7701,5.1,4.74,5.027,117800
2014-09-30,5.01,5.28,4.928,5.07,49777,5.01,5.28,4.928,5.07,49777
2014-10-31,5.185,5.61,5.0601,5.3,98084,5.185,5.61,5.0601,5.3,98084
2014-11-28,5.4,6.8,5.3001,6.26,113772,5.4,6.8,5.3001,6.26,113772
2014-12-31,6.36,6.36,5.57,5.683,36118,6.36,6.36,5.57,5.683,36118
2015-01-30,5.6093,6.0,5.4,5.67,70395,5.6093,6.0,5.4,5.67,70395
