date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,29.54,31.73,28.25,31.6,2728400,29.54,31.73,28.25,31.6,2728400
2011-03-31,31.57,33.16,30.811,32.46,2139500,31.57,33.16,30.811,32.46,2139500
2011-04-29,32.5,34.65,31.69,34.1,1471000,32.5,34.65,31.69,34.1,1471000
2011-05-31,34.24,40.9,33.35,40.83,3473600,34.24,40.9,33.35,40.83,3473600
2011-06-30,40.83,42.83,39.79,42.47,3267900,40.83,42.83,39.79,42.47,3267900
2011-07-29,42.31,44.57,40.71,42.23,2581700,42.31,44.57,40.71,42.23,2581700
2011-08-31,42.47,42.89,34.1,36.655,3984500,42.47,42.89,34.1,36.655,3984500
2011-09-30,36.76,37.53,33.11,34.51,2175100,36.76,37.53,33.11,34.51,2175100
2011-10-31,34.32,36.47,31.31,35.11,2713600,34.32,36.47,31.31,35.11,2713600
2011-11-30,34.03,35.24,30.82,34.27,1641200,34.03,35.24,30.82,34.27,1641200
2011-12-30,34.17,35.71,31.61,35.23,1753500,34.17,35.71,31.61,35.23,1753500
2012-01-31,35.87,40.53,34.02,40.15,1426500,35.87,40.53,34.02,40.15,1426500
2012-02-29,40.25,43.16,39.2,39.21,1851500,40.25,43.16,39.2,39.21,1851500
2012-03-30,39.19,40.7,37.53,37.58,1773200,39.19,40.7,37.53,37.58,1773200
2012-04-30,37.46,41.54,35.05,41.22,2613000,37.46,41.54,35.05,41.22,2613000
2012-05-31,41.15,41.81,37.5,37.9,2472400,41.15,41.81,37.5,37.9,2472400
2012-06-29,37.07,42.0,36.05,41.25,2485500,37.07,42.0,36.05,41.25,2485500
2012-07-31,41.44,42.66,39.61,41.01,1630500,41.44,42.66,39.61,41.01,1630500
2012-08-31,41.24,42.62,40.34,42.32,1854600,41.24,42.62,40.34,42.32,1854600
2012-09-28,41.9,45.15,41.13,44.75,1687600,41.9,45.15,41.13,44.75,1687600
2012-10-31,45.1,45.62,34.85,39.66,2069500,45.1,45.62,34.85,39.66,2069500
2012-11-30,39.8,40.17,35.23,37.25,1739100,39.8,40.17,35.23,37.25,1739100
2012-12-31,37.62,39.71,36.5,39.33,1882600,37.62,39.71,36.5,39.33,1882600
2013-01-31,40.03,40.99,35.98,38.15,2879900,40.03,40.99,35.98,38.15,2879900
2013-02-28,38.41,39.58,35.64,37.26,2334800,38.41,39.58,35.64,37.26,2334800
2013-03-29,36.87,39.11,35.59,35.87,1961900,36.87,39.11,35.59,35.87,1961900
2013-04-30,35.91,36.23,31.88,32.4,2846800,35.91,36.23,31.88,32.4,2846800
2013-05-31,32.36,32.465,25.3001,27.64,6860400,32.36,32.465,25.3001,27.64,6860400
2013-06-28,27.79,29.0,26.25,26.9,4380100,27.79,29.0,26.25,26.9,4380100
2013-07-31,27.05,29.595,21.83,22.71,3786100,27.05,29.595,21.83,22.71,3786100
2013-08-30,22.9,23.85,21.84,22.07,3101800,22.9,23.85,21.84,22.07,3101800
2013-09-30,22.34,23.95,20.75,20.77,2841800,22.34,23.95,20.75,20.77,2841800
2013-10-31,20.81,21.76,19.352,20.49,5134800,20.81,21.76,19.352,20.49,5134800
2013-11-29,20.45,22.3299,20.04,21.63,3150300,20.45,22.3299,20.04,21.63,3150300
2013-12-31,21.62,22.99,19.69,22.82,2475700,21.62,22.99,19.69,22.82,2475700
2014-01-31,22.69,23.76,20.23,20.55,3627900,22.69,23.76,20.23,20.55,3627900
2014-02-28,20.58,22.85,20.37,22.22,2087300,20.58,22.85,20.37,22.22,2087300
2014-03-31,22.13,31.09,21.99,30.15,6101600,22.13,31.09,21.99,30.15,6101600
2014-04-30,30.34,33.43,29.81,30.2,5282400,30.34,33.43,29.81,30.2,5282400
2014-05-30,30.09,33.93,28.59,31.69,3469100,30.09,33.93,28.59,31.69,3469100
2014-06-30,31.66,36.25,31.1001,36.25,3338500,31.66,36.25,31.1001,36.25,3338500
2014-07-31,36.29,36.9,32.59,33.06,2770800,36.29,36.9,32.59,33.06,2770800
2014-08-29,33.19,34.56,32.11,33.91,2545800,33.19,34.56,32.11,33.91,2545800
2014-09-30,33.93,34.0,29.75,30.96,2641637,33.93,34.0,29.75,30.96,2641637
2014-10-31,30.85,31.33,26.96,29.35,2467115,30.85,31.33,26.96,29.35,2467115
2014-11-28,29.46,29.58,27.85,27.92,2219463,29.46,29.58,27.85,27.92,2219463
