date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,3.3,3.7,3.08,3.27,5776700,39.6,44.4,36.96,39.24,481376
2011-03-31,3.25,3.25,2.32,3.08,10299742,39.0,39.0,27.84,36.96,858297
2011-04-29,3.1,3.99,2.86,3.98,7890800,37.2,47.88,34.32,47.76,657554
2011-05-31,3.99,4.28,3.2,4.17,9079600,47.88,51.36,38.4,50.04,756618
2011-06-30,4.19,4.43,2.88,3.13,42032900,50.28,53.16,34.56,37.56,3502726
2011-07-29,3.15,3.35,2.8,2.95,17431200,37.8,40.2,33.6,35.4,1452586
2011-08-31,3.0,3.05,2.23,2.8,17256000,36.0,36.6,26.76,33.6,1437985
2011-09-30,2.79,3.56,2.0,2.46,27067100,33.48,42.72,24.0,29.52,2255577
2011-10-31,2.42,3.06,2.2,2.85,11894600,29.04,36.72,26.4,34.2,991203
2011-11-30,2.75,3.02,2.39,2.55,9433400,33.0,36.24,28.68,30.6,786105
2011-12-30,2.54,2.76,2.11,2.74,9109251,30.48,33.12,25.32,32.88,759089
2012-01-31,2.79,3.61,2.66,3.43,9615200,33.48,43.32,31.92,41.16,801254
2012-02-29,3.46,3.94,3.05,3.05,9156800,41.52,47.28,36.6,36.6,763056
2012-03-30,3.1,3.29,2.85,3.11,9220600,37.2,39.48,34.2,37.32,768369
2012-04-30,3.09,3.29,2.71,3.04,8629200,37.08,39.48,32.52,36.48,719086
2012-05-31,3.04,3.39,2.59,3.23,11958700,36.48,40.68,31.08,38.76,996545
2012-06-29,3.17,3.74,2.92,3.725,15553400,38.04,44.88,35.04,44.7,1296104
2012-07-31,3.75,4.36,3.51,3.76,17949500,45.0,52.32,42.12,45.12,1495776
2012-08-31,3.78,4.05,3.55,3.63,11864000,45.36,48.6,42.6,43.56,988651
2012-09-28,3.63,3.84,2.511,3.15,18206800,43.56,46.08,30.132,37.8,1517221
2012-10-31,3.15,3.21,2.76,2.89,9259790,37.8,38.52,33.12,34.68,771635
2012-11-30,2.9,3.09,2.41,2.81,12371900,34.8,37.08,28.92,33.72,1030977
2012-12-31,2.83,2.99,2.57,2.97,9534500,33.96,35.88,30.84,35.64,794527
2013-01-31,3.0,3.27,2.7801,3.075,9233200,36.0,39.24,33.3612,36.9,769421
2013-02-28,3.1,3.61,3.03,3.5,10054800,37.2,43.32,36.36,42.0,837885
2013-03-29,3.44,3.59,3.14,3.26,10732900,41.28,43.08,37.68,39.12,894393
2013-04-30,3.3,3.37,2.59,2.95,11517700,39.6,40.44,31.08,35.4,959794
2013-05-31,2.93,3.39,2.73,3.28,11400800,35.16,40.68,32.76,39.36,950051
2013-06-28,3.32,3.59,2.88,2.96,9094962,39.84,43.08,34.56,35.52,757902
2013-07-31,2.97,3.7,2.91,3.55,13302824,35.64,44.4,34.92,42.6,1108554
2013-08-30,3.57,3.65,2.85,2.89,12406800,42.84,43.8,34.2,34.68,1033885
2013-09-30,2.9,3.161,2.73,3.0,13495300,34.8,37.932,32.76,36.0,1124597
2013-10-31,3.0,3.18,1.88,2.16,35671700,36.0,38.16,22.56,25.92,2972624
2013-11-29,2.32,2.49,1.84,2.05,29991500,27.84,29.88,22.08,24.6,2499277
2013-12-31,2.02,2.2,1.715,2.02,20235400,24.24,26.4,20.58,24.24,1686268
2014-01-31,2.04,2.15,1.8,1.94,15763500,24.48,25.8,21.6,23.28,1313609
2014-02-28,1.95,2.2399,1.72,2.19,12397800,23.4,26.8788,20.64,26.28,1033137
2014-03-31,2.26,2.7399,2.22,2.29,16739260,27.12,32.8788,26.64,27.48,1394924
2014-04-30,2.29,2.32,1.96,2.19,11868015,27.48,27.84,23.52,26.28,988988
2014-05-30,2.2,2.36,1.35,1.38,25453600,26.4,28.32,16.2,16.56,2121119
2014-06-30,1.39,1.77,1.18,1.68,26694400,16.68,21.24,14.16,20.16,2224517
2014-07-31,1.68,1.85,1.16,1.21,14851446,20.16,22.2,13.92,14.52,1237606
2014-08-29,1.2,1.4,1.05,1.14,10052800,14.4,16.8,12.6,13.68,837719
2014-09-30,1.16,1.22,0.85,0.91,9106400,13.92,14.64,10.2,10.92,758850
2014-10-31,0.9,1.34,0.85,1.18,9103593,10.8,16.08,10.2,14.16,758619
2014-11-28,1.18,1.39,1.09,1.18,6376587,14.16,16.68,13.08,14.16,531373
2014-12-31,1.17,1.17,0.86,0.93,7473439,14.04,14.04,10.32,11.16,622775
2015-01-30,0.95,1.07,0.83,0.99,5223755,11.4,12.84,9.96,11.88,435302
2015-02-27,0.99,0.99,0.56,0.6981,9416314,11.88,11.88,6.72,8.3772,784684
2015-03-31,0.72,0.78,0.51,0.7,12220491,8.64,9.36,6.12,8.4,1018361
2015-04-30,0.68,0.77,0.64,0.65,3520964,8.16,9.24,7.68,7.8,293401
2015-05-29,0.6897,0.6897,0.4,0.4423,6768908,8.2764,8.2764,4.8,5.3076,564064
2015-06-30,0.46,0.63,0.41,0.47,6413071,5.52,7.56,4.92,5.64,534410
2015-07-31,0.46,0.49,0.33,0.4033,3542556,5.52,5.88,3.96,4.8396,295201
2015-08-31,0.398,0.414,0.258,0.282,4486099,4.776,4.968,3.096,3.384,373828
2015-09-30,0.265,0.43,0.265,0.36,3332002,3.18,5.16,3.18,4.32,277655
2015-10-30,0.362,0.6497,0.32,0.42,5286428,4.344,7.7964,3.84,5.04,440526
2015-11-30,0.43,0.4399,0.2797,0.3,4012673,5.16,5.2788,3.3564,3.6,334379
2015-12-31,0.32,0.3506,0.2319,0.27,7346967,3.84,4.2072,2.7828,3.24,612235
2016-01-29,0.251,0.29,0.19,0.2675,5200563,3.012,3.48,2.28,3.21,433371
2016-02-29,0.25,3.81,0.15,2.55,4086605,3.0,3.81,1.8,2.55,963155
2016-03-31,2.6,7.288,2.44,6.79,1775571,2.6,7.288,2.44,6.79,1775571
2016-04-29,6.67,9.36,2.5,2.8,7143603,6.67,9.36,2.5,2.8,7143603
2016-05-31,2.83,2.89,2.141,2.67,823758,2.83,2.89,2.141,2.67,823758
2016-06-30,2.6233,2.6422,1.85,2.02,1175263,2.6233,2.6422,1.85,2.02,1175263
2016-07-29,2.059,3.35,2.0,2.95,1636928,2.059,3.35,2.0,2.95,1636928
2016-08-31,3.03,4.39,2.9,3.27,5271508,3.03,4.39,2.9,3.27,5271508
2016-09-30,3.31,4.15,3.23,3.585,1318442,3.31,4.15,3.23,3.585,1318442
2016-10-31,3.54,5.07,3.46,4.36,1334007,3.54,5.07,3.46,4.36,1334007
2016-11-30,4.4325,4.76,3.65,3.92,799187,4.4325,4.76,3.65,3.92,799187
2016-12-30,3.93,3.99,3.16,3.42,839665,3.93,3.99,3.16,3.42,839665
2017-01-31,3.52,5.79,3.41,5.4,1084870,3.52,5.79,3.41,5.4,1084870
2017-02-28,5.428,5.48,3.93,4.07,640783,5.428,5.48,3.93,4.07,640783
2017-03-31,4.1,4.2,3.25,3.94,766574,4.1,4.2,3.25,3.94,766574
2017-04-28,3.9,4.2,3.51,3.99,451919,3.9,4.2,3.51,3.99,451919
2017-05-31,3.95,4.56,3.0,3.19,534043,3.95,4.56,3.0,3.19,534043
2017-06-30,2.98,3.7,2.98,3.6,596632,2.98,3.7,2.98,3.6,596632
2017-07-31,3.6,4.79,3.39,4.68,502133,3.6,4.79,3.39,4.68,502133
2017-08-31,4.64,5.0,3.7,3.71,585940,4.64,5.0,3.7,3.71,585940
2017-09-29,3.72,5.0,3.63,4.36,490520,3.72,5.0,3.63,4.36,490520
2017-10-31,4.34,4.82,3.72,3.9,354779,4.34,4.82,3.72,3.9,354779
2017-11-30,3.92,4.1,3.171,3.95,530842,3.92,4.1,3.171,3.95,530842
2017-12-29,3.84,4.3,3.62,3.77,611227,3.84,4.3,3.62,3.77,611227
2018-01-31,3.815,4.209,3.595,3.65,660813,3.815,4.209,3.595,3.65,660813
2018-02-28,3.6404,4.51,3.44,4.25,469955,3.6404,4.51,3.44,4.25,469955
2018-03-30,4.23,13.75,3.51,8.27,5202234,4.23,13.75,3.51,8.27,5202234
