date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,5.6,5.7682,5.42,5.5,239600,5.6,5.7682,5.42,5.5,239600
2011-03-31,5.5,5.6,5.3,5.5,145900,5.5,5.6,5.3,5.5,145900
2011-04-29,5.45,5.6,5.24,5.35,154100,5.45,5.6,5.24,5.35,154100
2011-05-31,5.35,5.35,3.5,4.3499,352700,5.35,5.35,3.5,4.3499,352700
2011-06-30,4.31,4.75,3.85,4.75,182900,4.31,4.75,3.85,4.75,182900
2011-07-29,4.72,5.3,4.6,4.67,938300,4.72,5.3,4.6,4.67,938300
2011-08-31,4.68,4.91,4.0,4.5,211700,4.68,4.91,4.0,4.5,211700
2011-09-30,4.4,4.5,3.88,4.106,294600,4.4,4.5,3.88,4.106,294600
2011-10-31,4.05,4.1,3.75,4.056,332700,4.05,4.1,3.75,4.056,332700
2011-11-30,4.0,4.12,3.2,3.6499,220100,4.0,4.12,3.2,3.6499,220100
2011-12-30,3.6,3.7,2.94,3.05,180200,3.6,3.7,2.94,3.05,180200
2012-01-31,3.1,3.25,2.95,3.01,136600,3.1,3.25,2.95,3.01,136600
2012-02-29,3.01,3.35,2.75,3.024,373200,3.01,3.35,2.75,3.024,373200
2012-03-30,3.03,3.16,2.77,3.05,1454000,3.03,3.16,2.77,3.05,1454000
2012-04-30,3.07,4.28,3.02,4.05,473500,3.07,4.28,3.02,4.05,473500
2012-05-31,3.93,4.01,3.1,3.39,241700,3.93,4.01,3.1,3.39,241700
2012-06-29,3.37,4.05,3.35,3.95,745272,3.37,4.05,3.35,3.95,745272
2012-07-31,3.95,4.039,3.35,3.73,486945,3.95,4.039,3.35,3.73,486945
2012-08-31,3.76,3.8,3.22,3.4,385100,3.76,3.8,3.22,3.4,385100
2012-09-28,3.42,3.74,3.22,3.3,1009300,3.42,3.74,3.22,3.3,1009300
2012-10-31,3.3137,3.35,2.96,3.02,328200,3.3137,3.35,2.96,3.02,328200
2012-11-30,3.02,3.07,2.76,3.0078,359600,3.02,3.07,2.76,3.0078,359600
2012-12-31,3.0,3.03,2.71,3.0,300400,3.0,3.03,2.71,3.0,300400
2013-01-31,3.01,3.47,2.9312,3.4,423100,3.01,3.47,2.9312,3.4,423100
2013-02-28,3.38,3.53,3.0,3.42,557900,3.38,3.53,3.0,3.42,557900
2013-03-29,3.42,4.15,3.42,3.7,2355700,3.42,4.15,3.42,3.7,2355700
2013-04-30,3.74,5.75,3.57,5.0,3020800,3.74,5.75,3.57,5.0,3020800
2013-05-31,5.0,5.49,4.6,5.4,1912100,5.0,5.49,4.6,5.4,1912100
2013-06-28,5.44,7.7,5.061,7.58,2831400,5.44,7.7,5.061,7.58,2831400
2013-07-31,7.6,8.51,7.3034,7.92,1597400,7.6,8.51,7.3034,7.92,1597400
2013-08-30,7.8,7.8,6.06,7.4,1383900,7.8,7.8,6.06,7.4,1383900
2013-09-30,7.39,10.75,7.39,8.73,2418300,7.39,10.75,7.39,8.73,2418300
2013-10-31,8.6,11.61,8.275,9.33,1598300,8.6,11.61,8.275,9.33,1598300
2013-11-29,9.25,9.94,8.76,9.26,895800,9.25,9.94,8.76,9.26,895800
2013-12-31,9.21,10.6339,7.95,10.16,1617600,9.21,10.6339,7.95,10.16,1617600
2014-01-31,10.0,10.35,8.52,8.79,1211500,10.0,10.35,8.52,8.79,1211500
2014-02-28,8.84,9.66,6.88,9.45,3196300,8.84,9.66,6.88,9.45,3196300
2014-03-31,9.5,10.88,8.81,9.07,1291900,9.5,10.88,8.81,9.07,1291900
2014-04-30,9.09,10.45,9.0,10.11,885500,9.09,10.45,9.0,10.11,885500
2014-05-30,10.0,12.41,9.99,12.16,1549171,10.0,12.41,9.99,12.16,1549171
2014-06-30,12.25,13.9745,10.5,10.89,3966300,12.25,13.9745,10.5,10.89,3966300
2014-07-31,10.84,11.48,9.9,10.51,1394600,10.84,11.48,9.9,10.51,1394600
2014-08-29,10.5,10.9,9.84,10.45,551647,10.5,10.9,9.84,10.45,551647
2014-09-30,10.52,11.22,9.31,9.86,1259373,10.52,11.22,9.31,9.86,1259373
2014-10-31,9.8,9.8,6.75,8.42,2107473,9.8,9.8,6.75,8.42,2107473
2014-11-28,8.5,9.51,8.5,9.16,844869,8.5,9.51,8.5,9.16,844869
2014-12-31,9.27,10.14,8.65,9.02,748263,9.27,10.14,8.65,9.02,748263
