date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,2.16,2.87,2.07,2.48,677090,2.16,2.87,2.07,2.48,677090
2011-03-31,2.41,2.52,2.2003,2.3,120281,2.41,2.52,2.2003,2.3,120281
2011-04-29,2.2701,2.45,2.22,2.4,65852,2.2701,2.45,2.22,2.4,65852
2011-05-31,2.36,4.0291,2.31,3.086,1450087,2.36,4.0291,2.31,3.086,1450087
2011-06-30,3.12,3.2,1.99,2.08,374899,3.12,3.2,1.99,2.08,374899
2011-07-29,2.08,2.08,1.69,2.02,404622,2.08,2.08,1.69,2.02,404622
2011-08-31,2.03,2.05,1.64,1.79,91565,2.03,2.05,1.64,1.79,91565
2011-09-30,1.7101,2.59,1.7101,2.0,201440,1.7101,2.59,1.7101,2.0,201440
2011-10-31,2.0,2.29,1.963,2.12,105062,2.0,2.29,1.963,2.12,105062
2011-11-30,2.1,2.5,1.81,2.47,346785,2.1,2.5,1.81,2.47,346785
2011-12-30,2.45,2.57,1.98,2.4607,195829,2.45,2.57,1.98,2.4607,195829
2012-01-31,2.43,3.9,2.3608,2.62,180899,2.43,3.9,2.3608,2.62,180899
2012-02-29,2.62,3.05,1.92,2.2399,378142,2.62,3.05,1.92,2.2399,378142
2012-03-30,2.25,3.02,2.1001,2.45,149096,2.25,3.02,2.1001,2.45,149096
2012-04-30,2.41,2.43,2.1,2.26,107954,2.41,2.43,2.1,2.26,107954
2012-05-31,2.18,2.41,1.8,2.02,219193,2.18,2.41,1.8,2.02,219193
2012-06-29,1.99,2.1899,1.85,2.03,154140,1.99,2.1899,1.85,2.03,154140
2012-07-31,2.0,2.0599,1.7,1.7511,130880,2.0,2.0599,1.7,1.7511,130880
2012-08-31,1.8,2.18,1.43,1.97,257765,1.8,2.18,1.43,1.97,257765
2012-09-28,1.97,2.1,1.18,1.72,200694,1.97,2.1,1.18,1.72,200694
2012-10-31,1.71,2.1,1.71,2.02,267128,1.71,2.1,1.71,2.02,267128
2012-11-30,2.1,2.2,1.89,1.99,97938,2.1,2.2,1.89,1.99,97938
2012-12-31,1.99,2.14,1.81,2.0499,93539,1.99,2.14,1.81,2.0499,93539
2013-01-31,2.0499,2.37,1.877,2.18,134140,2.0499,2.37,1.877,2.18,134140
2013-02-28,2.16,2.27,2.0401,2.06,89191,2.16,2.27,2.0401,2.06,89191
2013-03-29,2.03,2.25,1.99,2.09,82636,2.03,2.25,1.99,2.09,82636
2013-04-30,2.01,2.1,1.98,2.0,91909,2.01,2.1,1.98,2.0,91909
2013-05-31,2.0,2.06,1.9,1.9,277661,2.0,2.06,1.9,1.9,277661
2013-06-28,1.9,1.95,1.9,1.9,81575,1.9,1.95,1.9,1.9,81575
2013-07-31,1.9,2.01,1.9,1.933,113021,1.9,2.01,1.9,1.933,113021
2013-08-30,1.933,2.0,1.82,1.92,87777,1.933,2.0,1.82,1.92,87777
2013-09-30,1.9501,2.19,1.9,2.0,226197,1.9501,2.19,1.9,2.0,226197
