date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,84.82,90.69,83.47,88.65,6894100,67.6780163354794,72.3616989090383,66.6008491337239,70.7339795819411,6894100
2011-03-31,88.98,89.14,80.32,88.18,10409500,70.997287120148,71.1249513810968,64.4427602242712,70.7490363119552,10409500
2011-04-29,88.43,94.14,88.35,91.12,9678700,70.949617612454,75.5308945158478,70.8854315962944,73.1078724058217,9678700
2011-05-31,91.51,91.93,86.61,88.97,6421900,73.4207792345999,73.7577558194379,69.4893857448224,71.7667811111263,6421900
2011-06-30,88.78,90.03,79.25,81.75,7974300,71.6135194677509,72.6218197531157,63.9262380921295,65.9428386628591,7974300
2011-07-29,81.64,84.73,79.77,82.12,6184400,65.854108237747,68.3466265431689,64.3456910108413,66.2412955473271,6184400
2011-08-31,82.92,83.74,73.35,80.7,11637400,66.8866077299606,67.5480527171599,59.1670607452076,65.481572087677,11637400
2011-09-30,80.62,81.81,75.15,79.38,9499900,65.4166585093993,66.3822479862807,60.9781925946583,64.4104980460942,9499900
2011-10-31,78.92,91.5,76.23,89.92,9838500,64.0372449709971,74.2449051551728,61.8545259014079,72.9628619841873,9838500
2011-11-30,88.62,93.31,80.83,87.73,9087900,71.9080163371739,75.7135748637068,65.5870566523783,71.5884117954909,9087900
2011-12-30,87.73,87.73,78.38,84.09,10092600,71.5884117954909,71.5884117954909,63.9587338029246,68.6181414326095,10092600
2012-01-31,85.39,87.0,82.16,85.4,5978000,69.6789522764957,70.9927257062317,67.0432453336092,69.6871123599102,5978000
2012-02-29,85.92,90.73,84.75,87.85,7905600,70.1114366974647,74.0364368198437,69.1567069379671,71.686332796465,7905600
2012-03-30,88.58,93.97,87.65,92.52,6348400,72.2820188857242,77.0879067901774,71.5231311281749,75.8984051955647,6348400
2012-04-30,92.58,100.3,91.97,99.1,8039200,75.9476259512039,82.2806965101075,75.4472149355392,81.2962813973245,8039200
2012-05-31,99.78,104.13,97.76,102.12,12396500,81.8541166279015,85.4226214117397,80.1970178547169,84.1725299114448,12396500
2012-06-29,101.05,106.44,100.53,103.49,9711000,83.2905811550284,87.7332949840794,82.8619705444335,85.3017540201275,9711000
2012-07-31,104.17,106.68,99.75,101.7,6934900,85.8622448185978,87.9311152658924,82.2190546285411,83.826344418272,6934900
2012-08-31,102.08,106.12,100.87,103.66,5307600,84.139559864476,87.4695346083287,83.1422159436686,85.8401297866074,5307600
2012-09-28,103.86,111.55,103.63,106.96,5885700,86.0057484047564,92.373784272584,85.8152869938851,88.5728369860653,5885700
2012-10-31,107.51,114.6,107.35,111.05,6423300,89.0282881859749,94.8994681993557,88.8957932914558,91.9597377272116,6423300
2012-11-30,111.38,112.5,101.66,108.47,7305800,92.2330084471574,93.1604727087916,84.1839436051178,90.2345440514729,7305800
2012-12-31,108.23,111.01,105.72,109.95,6537300,90.0348916999254,92.3475314386836,87.9468608566582,91.4657335526823,6537300
2013-01-31,110.5,116.42,110.31,115.81,5560100,91.9232701916452,96.8480281964827,91.7652120800035,96.3405784696329,5560100
2013-02-28,116.38,126.26,116.23,124.61,7795600,96.8147528045581,105.033774609929,96.6899700848409,103.66116469304,7795600
2013-03-29,124.27,131.38,123.56,129.86,6942000,103.378323861681,109.711939188896,102.995656854548,108.442627668367,6942000
2013-04-30,129.44,135.01,123.22,134.99,8185300,108.091896853484,112.743255517528,102.89774049974,112.726554050153,8185300
2013-05-31,134.4,136.4,125.33,129.61,10990600,112.233860762579,113.904007500118,104.659745307843,108.233859326175,10990600
2013-06-28,130.5,131.13,122.89,128.26,6323900,109.382570716005,109.910624505668,103.004016209118,107.505046130535,6323900
2013-07-31,128.9,137.5,125.311,133.53,8802000,108.041481726383,115.249835045599,105.033251486539,111.922257990101,8802000
2013-08-30,134.64,140.81,132.1825,136.95,6669200,112.852638476651,118.024212892879,110.792809606654,115.186832246435,6669200
2013-09-30,137.05,146.87,134.1,145.41,8594300,115.270940922774,123.530412939277,112.78973497077,122.302426264725,8594300
2013-10-31,145.8,155.65,144.3,153.74,7984400,122.630450102448,130.915154721852,121.368819957361,129.308679003775,7984400
2013-11-29,153.93,159.86,151.802,156.83,5519400,129.468485488819,134.456129995729,127.678652856322,131.907637102654,5519400
2013-12-31,153.98,156.7496,147.12,155.87,6366000,130.13728459967,132.478031602056,124.339507145756,131.734631449218,6366000
2014-01-31,155.05,155.3899,142.68,144.76,7980900,131.041602657351,131.328871543151,120.587009784914,122.344936476479,7980900
2014-02-28,145.01,150.64,136.35,149.24,10572600,122.556225742293,127.314460008406,115.237165574523,126.131240119852,10572600
2014-03-31,148.14,153.1,146.69,153.05,7765700,125.201567350274,130.041940583166,123.976089608557,129.999470974876,7765700
2014-04-30,152.98,161.52,149.96,158.03,7845400,129.940013523271,137.193822619157,127.374849182571,134.229443960534,7845400
2014-05-30,158.6,162.18,155.76,160.02,6836500,134.713597495037,137.754421448582,132.30132374418,135.919734370465,6836500
2014-06-30,159.73,163.07,157.2101,160.49,6046800,136.312937120807,139.163279636199,134.16246463442,136.961518052453,6046800
2014-07-31,161.54,165.65,155.4901,155.91,7566915,137.85758381328,141.365041219945,132.694623578589,133.052964543324,7566915
