date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,2.58,2.64,2.35,2.59,4699886,159.833357743585,163.550412574831,145.584647557141,160.452866882126,62655
2011-03-31,2.59,2.65,2.35,2.4,3204489,160.452866882126,164.230657903425,148.439248489634,151.597530372392,42714
2011-04-29,2.4,2.45,2.27,2.35,3568883,151.597530372392,154.75581225515,143.385997477221,148.439248489634,47576
2011-05-31,2.35,2.44,1.9801,2.12,4889198,148.439248489634,154.124155878599,127.904013942731,136.940815897475,65179
2011-06-30,2.12,2.19,1.95,2.07,2337030,136.940815897475,141.46244661107,125.959712735885,133.711079673478,31149
2011-07-29,2.07,2.1,1.46,1.56,23887281,133.711079673478,135.648921407876,94.3082977407137,100.767770188708,318487
2011-08-31,1.56,1.59,1.0,1.42,10023682,100.767770188708,102.705611923106,64.5947244799409,94.8874228567407,133638
2011-09-30,1.43,1.47,1.22,1.29,3298181,95.5556441444642,98.2285292953583,81.5229971022702,86.2005461163349,43963
2011-10-31,1.27,1.465,1.05,1.39,3768519,84.8641035408878,97.8944186514966,70.1632352109703,92.8827589935701,50238
2011-11-30,1.35,1.39,1.1,1.17,4293744,90.209873842676,92.8827589935701,76.5168146680136,81.3860665105236,57240
2011-12-30,1.19,1.19,0.86,0.8902,7905772,82.7772813226693,82.7772813226693,59.8222369222652,61.9229712886052,105402
2012-01-31,0.9,1.23,0.88,1.14,7473213,62.6046665465566,85.5597109469607,61.2134517344109,79.299244292305,99634
2012-02-29,1.13,1.26,0.9102,0.972,19507483,78.6036368862322,87.6465331651792,63.3141861007509,68.6617376244474,260089
2012-03-30,1.0,1.04,0.8775,0.8999,6477461,70.6396477617772,73.4652336722483,61.9862909109595,63.5686190208233,86354
2012-04-30,0.9,1.0,0.8596,0.999,4288557,63.5756829855995,70.6396477617772,60.7218412160237,70.5690081140154,57172
2012-05-31,1.0,1.0,0.7125,0.794,3554790,70.6396477617772,70.6396477617772,50.3307490302662,56.0878803228511,47388
2012-06-29,0.73,0.7801,0.71,0.7201,2130970,51.5669428660973,55.1059892189624,50.9382500010175,51.9273522356152,28402
2012-07-31,0.73,0.78,0.5214,0.5214,3192114,52.6412541758077,56.2468195303151,37.5988355168029,37.5988355168029,42553
2012-08-31,0.546,0.58,0.5,0.52,2605614,39.3727736712205,41.8245581122856,36.0556535450738,37.4978796868767,34732
2012-09-28,0.5392,0.6666,0.5026,0.6023,5076937,38.8824167830075,49.4832031094186,36.8488779230654,44.7100708562899,67684
2012-10-31,0.6,8.69,0.5425,7.65,2351149,44.5393367321499,49.4832031094186,37.6109954627044,37.8584362223275,71647
2012-11-30,7.6,8.4279,6.1,6.83,493524,37.6109954627044,41.708119560543,30.1877726740128,33.8004077645094,98698
2012-12-31,6.82,7.44,5.88,6.18,475231,33.7509196125848,36.8191850319106,29.0990333316713,30.5836778894096,95037
2013-01-31,6.29,7.389,6.06,6.78,278917,31.1280475605804,36.5667954570951,29.9898200663143,33.5529670048863,55776
2013-02-28,6.631,6.7499,5.72,5.75,166139,32.8155935412096,33.4040076675932,28.3072229008775,28.4556873566514,33221
2013-03-29,5.71,7.36,5.71,7.12,353689,28.2577347489529,36.4232798165137,28.2577347489529,35.2355641703231,70731
2013-04-30,7.04,7.4,5.92,6.372,255643,34.8396589549262,36.6212324242122,29.2969859393698,31.5338504063622,51118
2013-05-31,6.26,7.75,5.64,5.89,1482299,30.9795831048065,38.3533177415736,27.9113176854806,29.1485214835959,296454
2013-06-28,5.88,5.905,5.28,5.47,473521,29.0990333316713,29.2227537114828,26.1297442161946,27.0700191027623,94696
2013-07-31,5.45,6.48,5.37,6.35,1144591,26.971042798913,32.068322447148,26.5751375835161,31.424976472128,228909
2013-08-30,6.35,8.969,6.0475,8.17,1153425,31.424976472128,44.3859234611837,29.9279598764085,40.4318201224072,230678
2013-09-30,8.58,11.53,8.11,10.13,3224677,42.4608343513163,57.0598391690766,40.1348912108596,50.131497899631,644926
2013-10-31,10.28,10.53,7.72,7.9,8838222,50.8738201785002,52.1110239766155,38.2048532857997,39.0956400204428,1767636
2013-11-29,8.0,9.7,7.8,9.52,3637798,39.5905215396889,48.0035073668727,38.6007585011966,47.1127206322297,727551
2013-12-31,9.52,13.83,8.75,13.33,5387189,47.1127206322297,68.4421141117371,43.3021329340347,65.9677065155066,1077428
2014-01-31,13.2,14.08,11.38,11.85,5463674,65.3243605404866,69.6793179098524,56.3175168902074,58.6434600306641,1092727
2014-02-28,11.83,12.4,10.76,12.35,3292683,58.5444837268149,61.3653083865177,53.2492514708815,61.1178676268947,658531
2014-03-31,12.15,15.88,11.401,14.27,6511612,60.1281045884025,78.5871852562824,56.4214420092491,70.61959279642,1302315
2014-04-30,14.3,14.95,11.3949,11.88,3860826,70.7680572521938,73.9847871272935,56.3912542365751,58.791924486438,772159
2014-05-30,11.86,12.47,10.5,10.67,2768448,58.6929481825887,61.71172544999,51.9625595208416,52.80385810356,553682
2014-06-30,10.65,14.14,10.0,12.97,4747442,52.7048817997108,69.9762468214001,49.4881519246111,64.1861330462206,949479
2014-07-31,13.15,13.635,10.2899,10.71,2183433,65.0769197808636,67.4770951492072,50.9228134489055,53.0018107112585,436678
2014-08-29,10.78,14.44,10.21,14.08,5001328,53.3482277747307,71.4608913791384,50.5274031150279,69.6793179098524,1000260
2014-09-30,14.13,15.62,10.87,11.02,8076232,69.9267586694754,77.3004933062425,53.7936211420522,54.5359434209214,1615240
2014-10-31,11.02,11.4,8.28,10.32,11409491,54.5359434209214,56.4164931940566,40.976189793578,51.0717727861986,2281887
2014-11-28,10.42,10.49,7.9,8.31,6163746,51.5666543054447,51.913071368917,39.0956400204428,41.1246542493518,1232742
2014-12-31,8.32,8.32,5.41,6.56,7692618,41.1741424012764,41.1741424012764,26.7730901912146,32.4642276625449,1538516
2015-01-30,6.62,6.66,3.665,4.01,26293776,32.7611565740925,32.959109181791,18.13740768037,19.844748921769,5258748
2015-02-27,4.05,4.8,4.01,4.62,10470076,20.0427015294675,23.7543129238133,19.844748921769,22.8635261891703,2094009
2015-03-31,4.38,4.54,3.05,3.63,10459419,21.6758105429796,22.4676209737734,15.0938863370064,17.9641991486338,2091874
2015-04-30,3.63,4.13,3.47,3.95,6943425,17.9641991486338,20.4386067448644,17.17238871784,19.5478200102214,1388677
2015-05-29,3.94,3.94,2.9,3.035,15677721,19.4983318582968,19.4983318582968,14.3515640581372,15.0196541091195,3135534
2015-06-30,3.25,3.38,2.841,2.94,20281689,16.0836493754986,16.7269953505185,14.059583961782,14.5495166658357,4056328
2015-07-31,3.0,3.42,2.56,3.02,13706211,14.8464455773833,16.924947958217,12.6689668927004,14.9454218812325,2741233
2015-08-31,3.03,3.21,2.0,2.45,10952793,14.9949100331572,15.8856967678002,9.89763038492221,12.1245972215297,2190549
2015-09-30,2.43,2.58,2.0,2.05,5061726,12.0256209176805,12.7679431965497,9.89763038492221,10.1450711445453,1012338
2015-10-30,2.05,2.4,1.539,1.58,10086245,10.1450711445453,11.8771564619067,7.61622658119764,7.81912800408855,2017242
2015-11-30,1.63,1.69,0.9,0.9601,9885263,8.0665687637116,8.36349767525927,4.453933673215,4.75135746628191,1977044
2015-12-31,0.93,0.978,0.5424,0.6051,10844489,4.60239812898883,4.83994125822696,2.6842373603909,2.99452807295822,2168889
2016-01-29,0.6139,0.6657,0.3135,0.4197,8839805,3.03807764665187,3.29442627362136,1.55145356283656,2.07701773627593,1767953
2016-02-29,0.438,0.63,0.3902,0.6184,5804057,2.16758105429796,3.1177535712505,1.93102768809832,3.06034731501795,1160803
2016-03-31,0.62,1.02,0.5601,0.75,9702019,3.06826541932589,5.04779149631033,2.77183138929747,3.71161139434583,1940393
2016-04-29,0.75,1.22,0.7352,1.06,14134670,3.71161139434583,6.03755453480255,3.63836892949741,5.24574410400877,2826926
2016-05-31,1.07,1.09,0.6704,0.8092,6910375,5.29523225593339,5.39420855978261,3.31768570502593,4.00458125373953,1382067
2016-06-30,0.799,3.73,0.65,2.96,4067444,3.95410333877642,4.30546921744116,2.58377641198394,2.92969859393698,1594503
2016-07-29,3.0,4.6199,2.92,4.45,2082318,2.96928911547666,4.57260626153021,2.89010807239729,4.40444552129039,2082318
2016-08-31,4.31,4.5,3.95,4.19,1637165,4.26587869590147,4.453933673215,3.90956400204428,4.14710713128241,1637165
2016-09-30,4.19,5.54,4.03,4.54,5113306,4.14710713128241,5.48328723324691,3.98874504512365,4.49352419475469,5113306
2016-10-31,4.56,5.05,4.42,4.56,3021649,4.51331945552453,4.99830334438572,4.37475263013562,4.51331945552453,3021649
2016-11-30,4.61,5.932,4.04,5.17,12260435,4.56280760744914,5.87127434433586,3.99864267550857,5.11707490900478,12260435
2016-12-30,5.2,6.1,4.63,5.11,7243030,5.14676780015955,6.03755453480255,4.58260286821899,5.05768912669525,7243030
2017-01-31,5.24,9.5,5.21,8.69,13181067,5.18635832169924,9.4027488656761,5.15666543054447,8.6010408044974,13181067
2017-02-28,8.7,9.817,7.8,9.37,9642979,8.61093843488233,9.71650374887814,7.72015170023933,9.27407967067211,9642979
2017-03-31,9.52,12.25,8.82,11.88,14673769,9.42254412644595,12.1245972215297,8.72970999950139,11.7583848972876,14673769
2017-04-28,11.9,13.4,9.27,9.46,14675635,11.7781801580574,13.2628247157958,9.17510336682289,9.36315834413642,14675635
2017-05-31,9.47,9.88,7.57,7.94,14588286,9.37305597452134,9.77885882030315,7.49250620138612,7.85871852562824,14588286
2017-06-30,8.01,10.0,7.61,9.83,8614350,7.92800193832269,9.89763038492221,7.53209672292581,9.72937066837854,8614350
2017-07-31,9.74,10.77,8.86,10.04,7316990,9.64029199491424,10.6597479245612,8.76930052104108,9.9372209064619,7316990
2017-08-31,10.08,12.25,9.7,11.41,18960427,9.97681142800159,12.1245972215297,9.60070147337455,11.2931962691962,18960427
2017-09-29,11.5,12.0,9.41,9.71,10111201,11.3822749426605,11.8771564619067,9.3136701922118,9.61059910375947,10111201
2017-10-31,9.65,10.87,9.55,10.8,9846578,9.55121332144994,10.7587242284104,9.45223701760072,10.689440815716,9846578
2017-11-30,10.85,11.0,8.62,10.07,12113245,10.7389289676406,10.8873934234144,8.53175739180295,9.96691379761667,12113245
2017-12-29,10.3,12.14,10.3,11.26,9518242,10.1945592964699,12.0157232872956,10.1945592964699,11.1447318134224,9518242
2018-01-31,11.26,12.74,10.8,11.15,8982530,11.1447318134224,12.6095811103909,10.689440815716,11.0358578791883,8982530
2018-02-28,11.17,13.29,10.2,12.67,9230791,11.0556531399581,13.1539507815616,10.0955829926207,12.5402976976964,9230791
2018-03-30,12.71,13.2775,11.161,11.63,7238844,12.5798882192361,13.1415787435805,11.0467452726117,11.5109441376645,7238844
2018-04-30,11.53,12.939,10.5,12.1,6203758,11.4119678338153,12.8065439550509,10.3925119041683,11.9761327657559,6203758
2018-05-31,12.1,14.25,11.96,13.19,6207439,11.9761327657559,14.1041232985142,11.837565940367,13.0549744777124,6207439
2018-06-29,13.17,14.599,12.61,12.86,12843608,13.0351792169426,14.4495505989479,12.4809119153869,12.72835267501,12843608
2018-07-31,12.74,13.65,12.31,13.39,8183192,12.6095811103909,13.5102654754188,12.1839830038392,13.2529270854108,8183192
2018-08-31,13.31,14.27,12.33,12.63,7129930,13.1737460423315,14.123918559284,12.2037782646091,12.5007071761568,7129930
2018-09-28,12.62,14.53,11.9642,14.45,8664444,12.4908095457718,14.381256949292,11.8417229451286,14.3020759062126,8664444
2018-10-31,14.5,15.38,11.33,12.15,14802034,14.3515640581372,15.2225555320104,11.2140152261169,12.0256209176805,14802034
2018-11-30,12.23,12.66,7.995,9.57,18991881,12.1048019607599,12.5304000673115,7.91315549274531,9.47203227837056,18991881
2018-12-31,9.76,10.14,8.0887,9.14,10726747,9.66008725568408,10.0361972103111,8.00589628945203,9.04643417181891,10726747
2019-01-31,9.0,10.67,6.9,7.41,13843636,8.90786734642999,10.560771620712,6.82936496559633,7.33414411522736,13843636
2019-02-28,7.53,8.48,7.16,7.39,10108689,7.45291567984643,8.39319056641404,7.08670335560431,7.31434885445752,10108689
2019-03-29,7.43,8.15,6.16,6.58,11933357,7.35393937599721,8.06656876371161,6.09694031711208,6.51264079327882,11933357
2019-04-30,6.67,9.04,6.6,8.69,12903942,6.60171946674312,8.94745786796968,6.53243605404866,8.6010408044974,12903942
2019-05-31,8.72,9.05,6.6213,7.65,11605172,8.63073369565217,8.95735549835461,6.55351800676855,7.57168724446549,11605172
2019-06-28,7.71,9.65,7.14,9.65,7920561,7.63107302677503,9.55121332144994,7.06690809483446,9.55121332144994,7920561
2019-07-31,9.75,11.56,9.49,9.88,13254663,9.65018962529916,11.4416607249701,9.39285123529118,9.77885882030315,13254663
2019-08-30,9.84,10.67,8.36,10.47,14699364,9.73926829876346,10.560771620712,8.27441900179497,10.3628190130136,14699364
2019-09-30,10.43,11.5,9.81,10.07,11343806,10.3232284914739,11.3822749426605,9.70957540760869,9.96691379761667,11343806
2019-10-31,10.07,11.81,9.84,10.65,15500895,9.96691379761667,11.6891014845931,9.73926829876346,10.5409763599422,15500895
2019-11-29,10.77,11.2,9.56,10.99,11519696,10.6597479245612,11.0860665137615,9.46213464798564,10.9269839449541,11519696
2019-12-31,10.99,12.09,10.24,11.81,12037158,10.9269839449541,12.0206766055046,10.1812844036697,11.7422821100917,12037158
2020-01-31,11.78,11.81,8.01,8.1,16409647,11.7124541284404,11.7422821100917,7.96407110091743,8.05355504587156,16409647
2020-02-28,8.11,9.87,7.6,8.67,12396835,8.06349770642202,9.81340596330275,7.55642201834862,8.67,12396835
2020-03-31,8.73,8.77,4.76,5.64,15146510,8.73,8.77,4.76,5.64,15146510
2020-04-30,5.6,6.35,4.88,5.67,10526351,5.6,6.35,4.88,5.67,10526351
2020-05-29,5.58,5.63,3.86,5.09,12991740,5.58,5.63,3.86,5.09,12991740
2020-06-30,5.11,8.0,4.98,6.6,17608943,5.11,8.0,4.98,6.6,17608943
2020-07-31,6.6,7.28,5.87,6.97,10600170,6.6,7.28,5.87,6.97,10600170
2020-08-31,7.01,7.6,6.61,7.1,8386664,7.01,7.6,6.61,7.1,8386664
2020-09-30,7.05,7.22,6.21,6.89,7120413,7.05,7.22,6.21,6.89,7120413
2020-10-30,7.0,7.84,6.12,6.24,8967039,7.0,7.84,6.12,6.24,8967039
2020-11-30,6.32,8.9,6.12,8.21,12935940,6.32,8.9,6.12,8.21,12935940
2020-12-31,8.93,9.32,7.55,8.83,19522095,8.93,9.32,7.55,8.83,19522095
2021-01-29,9.0,12.22,8.66,10.61,21291770,9.0,12.22,8.66,10.61,21291770
2021-02-26,10.12,14.99,9.55,14.08,26809308,10.12,14.99,9.55,14.08,26809308
2021-03-31,14.29,17.88,12.74,14.68,32839700,14.29,17.88,12.74,14.68,32839700
2021-04-30,14.69,16.35,13.88,15.99,9287362,14.69,16.35,13.88,15.99,9287362
