date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,8.06,8.82,7.9,8.59,41233,5.00462836617024,5.96953998770613,4.96737306815904,5.86708792842055,52622
2011-03-31,8.59,8.6,7.34,7.99,28179,5.86708792842055,5.87391806570626,5.01332076770743,5.45727969127826,34083
2011-04-29,7.76,8.0,7.66,7.97,23492,5.30018653370704,5.46410982856396,5.23188516084999,5.44361941670685,28414
2011-05-31,7.97,8.15,7.61,8.08,12915,5.44361941670685,5.56656188784953,5.19773447442147,5.5187509268496,15620
2011-06-30,8.08,8.5,7.29,8.5,45567,5.5187509268496,5.80561669284921,4.97917008127891,5.80561669284921,55124
2011-07-29,8.47,10.5,8.16,9.8,98711,5.78512628099209,7.1716441499902,5.57339202513524,6.69353453999085,119430
2011-08-31,9.92,10.02,7.34,7.66,109946,6.77549618741931,6.84379756027636,5.01332076770743,5.23188516084999,133020
2011-09-30,7.75,7.75,6.5,6.9,26336,5.29335639642134,5.29335639642134,4.43958923570822,4.71279472713642,31852
2011-10-31,6.84,7.77,6.06,7.76,17684,4.67181390342219,5.30701667099275,4.1390631951372,5.30018653370704,21388
2011-11-30,8.0,8.0,6.54,7.25,19905,5.46410982856396,5.46410982856396,4.46690978485104,4.95184953213609,24077
2011-12-30,7.32,7.32,6.55,7.15,25417,4.99966049313602,4.99966049313602,4.47373992213674,4.88354815927904,30740
2012-01-31,7.19,7.62,6.538,7.3,66382,4.91086870842186,5.20456461170717,4.4655437573939,4.98600021856461,80313
2012-02-29,6.68,8.87,6.45,7.0,73841,5.52066226115709,7.33057997851248,5.33057957851246,5.78512512396701,81212
2012-03-30,6.7,7.39,6.65,6.85,51363,5.53719119008271,6.1074392380166,5.49586886776865,5.66115815702485,56487
2012-04-30,6.81,9.1,6.75,8.6,79198,5.62810029917361,7.52066266115711,5.57851351239676,7.10743943801661,87103
2012-05-31,8.26,9.0,8.25,8.55,45563,6.82644764628107,7.43801801652901,6.81818318181826,7.06611711570256,50105
2012-06-29,8.54,8.55,7.8,8.5,22146,7.05785265123975,7.06611711570256,6.44628228099181,7.02479479338851,24350
2012-07-31,8.5,8.6999,8.0,8.06,35708,7.02479479338851,7.19000143800008,6.61157157024801,6.66115835702487,39266
2012-08-31,8.12,8.95,8.08,8.61,129790,6.71074514380173,7.39669569421496,6.67768728595049,7.11570390247942,142752
2012-09-28,8.52,9.61,8.46,8.96,44128,7.04132372231413,7.94215034876042,6.99173693553727,7.40496015867777,48530
2012-10-31,8.8,9.989,8.76,9.9,73027,7.27272872727281,8.25537355190092,7.23967086942157,8.18181981818191,80316
2012-11-30,9.4,9.8,9.25,9.25,93237,7.76859659504141,8.09917517355381,7.64462962809926,7.64462962809926,102550
2012-12-31,9.25,10.44,8.83,9.3,69297,7.64462962809926,8.62810089917365,7.29752212066124,7.68595195041331,76215
2013-01-31,9.25,10.44,9.15,9.61,138393,7.64462962809926,9.74,7.56198498347116,9.61,148071
2013-02-28,9.65,10.87,9.5,10.25,55053,9.65,10.87,9.5,10.25,55053
2013-03-29,10.3,11.26,10.2,10.45,145400,10.3,11.26,10.2,10.45,145400
2013-04-30,10.55,11.0,10.28,10.85,54264,10.55,11.0,10.28,10.85,54264
2013-05-31,10.81,11.35,10.81,10.9001,62658,10.81,11.35,10.81,10.9001,62658
2013-06-28,10.91,11.3,10.6001,10.81,34963,10.91,11.3,10.6001,10.81,34963
2013-07-31,10.98,13.25,10.8,13.25,166790,10.98,13.25,10.8,13.25,166790
2013-08-30,13.25,13.75,12.95,13.3,105758,13.25,13.75,12.95,13.3,105758
