date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,16.15,16.5,15.59,16.25,112300,15.5642247316927,15.9015299116365,15.0245364437826,15.6605976402481,112300
2011-03-31,15.71,18.0,15.71,17.65,71600,15.1401839340491,17.3471235399671,15.1401839340491,17.0098183600233,71600
2011-04-29,17.8,18.0,15.4,16.454,63300,17.1543777228563,17.3471235399671,14.8414279175274,15.857198373701,63300
2011-05-31,16.46,17.31,15.5,16.6,58500,15.8629807482143,16.682150470935,14.9378008260828,15.9979028201919,58500
2011-06-30,16.31,16.92,15.76,16.35,41700,15.7184213853813,16.3062961275691,15.1883703883267,15.7569705488034,41700
2011-07-29,16.15,18.49,15.787,18.49,97900,15.5642247316927,17.8193507918884,15.2143910736367,17.8193507918884,97900
2011-08-31,18.25,19.96,16.49,16.5,182200,17.5880558113555,19.2360325476524,15.891892620781,15.9015299116365,182200
2011-09-30,16.69,18.7,16.04,18.34,74600,16.0846384378917,18.0217338998547,15.4582145322818,17.6747914290554,74600
2011-10-31,18.1,19.53,17.3,19.45,119800,17.4434964485225,18.8216290408643,16.6725131800795,18.74453071402,119800
2011-11-30,19.5,20.05,18.813,19.0145,18300,18.7927171682977,19.5209504029456,18.3108526255208,18.5127736377461,18300
2011-12-30,19.05,19.96,18.57,19.91,53100,18.5473369165144,19.4333251891668,18.0800024430274,19.3846445148452,53100
2012-01-31,19.76,22.0,19.12,22.0,87100,19.2386024918805,21.4194967014864,18.6154898605646,21.4194967014864,87100
2012-02-29,21.99,22.55,19.0,19.39,110100,21.4097605666221,21.9549841190236,18.4986562421928,18.878365501901,110100
2012-03-30,19.25,19.85,17.55,18.72,40800,18.7420596138006,19.3262277056593,17.0869166868676,18.2260444659921,40800
2012-04-30,18.87,20.0,18.5,19.92,31900,18.3720864889568,19.472269728624,18.0118494989772,19.3943806497095,31900
2012-05-31,19.6,19.85,17.16,18.99,115000,19.0828243340515,19.3262277056593,16.7072074271594,18.4889201073285,115000
2012-06-29,19.08,23.13,18.25,22.98,583000,18.5765453211073,22.5196799411537,17.7684461273694,22.373637918189,583000
2012-07-31,22.6,23.75,19.13,19.25,102400,22.0036647933451,23.123320302741,18.6252259954289,18.7420596138006,102400
2012-08-31,19.38,21.52,18.5,18.84,106200,18.8686293670367,20.9521622279994,18.0118494989772,18.3428780843638,106200
2012-09-28,18.98,21.06,18.2,18.2,104600,18.4791839724642,20.5043000242411,17.7197654530479,17.7197654530479,104600
2012-10-31,18.39,18.68,16.5668,16.75,145500,17.9047520154698,18.1870999265348,16.1296599070084,16.5027485950089,145500
2012-11-30,16.75,17.07,14.15,15.31,74400,16.5027485950089,16.8180249860777,13.9411279175746,15.0840048351991,74400
2012-12-31,15.5,16.95,14.48,15.75,149900,15.2712001923963,16.6997963394269,14.2662566958644,15.5175098729188,149900
2013-01-31,15.7,17.1,14.29,15.48,96700,15.4682479368143,16.8475821477404,14.0790613386673,15.2514954179545,96700
2013-02-28,15.5,17.4364,14.7801,16.04,124900,15.2712001923963,17.1790164538515,14.5619268363636,15.8032291023249,124900
2013-03-29,16.52,19.24,16.05,18.41,88800,16.2761436889281,18.9559930130132,15.8130814895458,18.1382448736784,88800
2013-04-30,18.51,18.73,16.38,17.08,101200,18.2367687458874,18.4535212647472,16.1382102678355,16.8278773732986,101200
2013-05-31,17.21,17.32,14.75,15.37,289900,16.9559584071703,17.0643346666002,14.5322711508287,15.1431191585245,289900
2013-06-28,15.87,16.32,15.06,16.18,315400,15.6357385195696,16.0790959445101,14.8376951546766,15.9411625234175,315400
