date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,11.49,14.34,10.66,13.4,8686400,11.49,14.34,10.66,13.4,8686400
2011-03-31,13.5,15.66,11.65,12.1,13633000,13.5,15.66,11.65,12.1,13633000
2011-04-29,12.15,14.1,12.01,13.73,6328900,12.15,14.1,12.01,13.73,6328900
2011-05-31,13.75,15.4,12.1972,13.94,15597700,13.75,15.4,12.1972,13.94,15597700
2011-06-30,14.0,14.0,9.53,9.74,16590100,14.0,14.0,9.53,9.74,16590100
2011-07-29,9.75,9.95,7.27,7.61,11584500,9.75,9.95,7.27,7.61,11584500
2011-08-31,7.7,7.71,4.77,5.74,19538300,7.7,7.71,4.77,5.74,19538300
2011-09-30,5.78,5.8999,2.61,3.27,25376900,5.78,5.8999,2.61,3.27,25376900
2011-10-31,3.25,3.58,2.88,3.24,10608800,3.25,3.58,2.88,3.24,10608800
2011-11-30,3.14,3.28,1.88,2.1,10114300,3.14,3.28,1.88,2.1,10114300
2011-12-30,2.06,2.74,1.78,2.52,13425700,2.06,2.74,1.78,2.52,13425700
2012-01-31,2.58,3.48,2.51,3.31,12116400,2.58,3.48,2.51,3.31,12116400
2012-02-29,3.34,3.89,2.85,2.85,9587000,3.34,3.89,2.85,2.85,9587000
2012-03-30,2.88,3.7,2.52,3.36,12994600,2.88,3.7,2.52,3.36,12994600
2012-04-30,3.35,3.59,2.78,3.3,8860600,3.35,3.59,2.78,3.3,8860600
2012-05-31,3.3,3.35,2.2,2.31,6281200,3.3,3.35,2.2,2.31,6281200
2012-06-29,2.22,2.98,2.2,2.86,5000000,2.22,2.98,2.2,2.86,5000000
2012-07-31,2.87,3.42,2.8,2.91,5455000,2.87,3.42,2.8,2.91,5455000
2012-08-31,2.96,3.1,2.72,2.96,3030900,2.96,3.1,2.72,2.96,3030900
2012-09-28,2.98,3.57,2.96,3.2,3000800,2.98,3.57,2.96,3.2,3000800
2012-10-31,3.22,3.38,2.67,2.9,2173800,3.22,3.38,2.67,2.9,2173800
2012-11-30,2.89,3.0,2.33,2.7,3318800,2.89,3.0,2.33,2.7,3318800
2012-12-31,2.74,2.791,2.49,2.62,2836700,2.74,2.791,2.49,2.62,2836700
2013-01-31,2.74,3.17,2.71,2.92,4439000,2.74,3.17,2.71,2.92,4439000
2013-02-28,2.94,4.31,2.85,4.28,6328400,2.94,4.31,2.85,4.28,6328400
2013-03-29,4.23,4.6,3.52,3.58,7257800,4.23,4.6,3.52,3.58,7257800
2013-04-30,3.58,3.62,3.0818,3.3,4721400,3.58,3.62,3.0818,3.3,4721400
