date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,20.2,21.73,18.5,20.09,533814,19.3332232519538,20.7975713497503,17.7061698099577,19.2279433233541,533814
2011-03-31,20.09,20.43,17.75,20.05,562674,19.2279433233541,19.6513604778683,17.1574839391128,19.3807072100964,562674
2011-04-29,20.37,21.48,18.0,19.61,522828,19.6900252304072,20.7629721133602,17.3991386424806,18.9553949321691,522828
2011-05-31,19.73,19.73,16.74,18.25,382517,19.0713891897857,19.0713891897857,16.1811989375069,17.6407933458484,382517
2011-06-30,18.25,18.25,13.89,17.5,581642,17.6407933458484,17.6407933458484,13.5068933310289,17.0173242111595,581642
2011-07-29,17.48,17.95,12.57,13.53,660627,16.9978758406324,17.4549125480179,12.2233008762443,13.1568226615422,660627
2011-08-31,13.8,14.94,8.79,10.92,1287631,13.4193756636572,14.5279327836984,8.54755884663381,10.6188103077635,1287631
2011-09-30,11.0,11.0,8.41,9.55,681155,10.6966037898717,10.6966037898717,8.25576140985088,9.37485391962853,681155
2011-10-31,9.5,10.82,6.22,6.76,771296,9.32577091481372,10.6215622419247,6.10592579896224,6.63602225096218,771296
2011-11-30,6.42,7.09,4.96,5.77,594045,6.30225781822148,6.95997008273992,4.86903407762906,5.66417875562896,594045
2011-12-30,5.69,7.02,4.02,4.35,3490383,5.58564594792527,6.89125387599919,3.94627358711065,4.27022141888839,3490383
2012-01-31,4.46,7.05,4.37,6.21,2091638,4.37820402948097,6.92070367888808,4.28985462081431,6.09610919799928,2091638
2012-02-29,6.31,8.34,6.07,8.05,1313835,6.1942752076289,8.18704520311015,5.95867678451782,7.90236377518426,1313835
2012-03-30,8.14,8.16,6.75,7.65,839172,7.99071318385091,8.01034638577684,6.62620564999922,7.50969973666578,839172
2012-04-30,7.67,7.79,5.41,5.49,654590,7.52933293859171,7.64713215014725,5.31078112096234,5.38931392866603,654590
2012-05-31,5.46,5.738,4.5,4.54,644420,5.35986412577715,5.63276563254749,4.41747043333281,4.45673683718466,644420
2012-06-29,4.45,5.25,4.14,5.09,1516349,4.36838742851801,5.15371550555495,4.06407279866619,4.99664989014756,1516349
2012-07-31,4.99,5.5,4.73,4.91,371760,4.89848388051794,5.399130529629,4.64325225548094,4.81995107281425,371760
2012-08-31,5.02,5.02,4.15,4.73,431589,4.92793368340683,4.92793368340683,4.07388939962915,4.64325225548094,431589
2012-09-28,4.77,5.479,4.38,5.479,441047,4.68251865933278,5.37851566760678,4.29967122177727,5.37851566760678,441047
2012-10-31,5.5,5.81,4.27,4.6,447527,5.399130529629,5.70344515948081,4.19168861118469,4.51563644296243,447527
2012-11-30,4.65,4.67,3.86,4.1,386780,4.56471944777724,4.58435264970317,3.78920797170326,4.02480639481434,386780
2012-12-31,4.06,4.586,3.6,4.06,649185,3.98553999096249,4.50189320161429,3.53397634666625,3.98553999096249,649185
