date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,23.97,25.45,23.82,24.5,3581800,9.49005847111596,10.076011184393,9.43067137179733,9.69989288870842,3581800
2011-03-31,24.5,25.2,21.87,23.88,4048600,9.69989288870842,9.97703268552867,8.88027659978464,9.69643370840682,4048600
2011-04-29,24.07,25.61,23.92,25.38,3107500,9.77358288782882,10.3988972894597,9.71267564091671,10.3055061775278,3107500
2011-05-31,25.93,25.93,24.2,24.75,3000200,10.5288327495389,10.5288327495389,9.82636916848597,10.049695740497,3000200
2011-06-30,24.78,25.48,24.0,24.69,12166000,10.0618771898794,10.4378926334586,9.7451595059365,10.2673931920356,12166000
2011-07-29,24.69,25.16,22.75,23.04,4856700,10.2673931920356,10.4628437712278,9.46063973749733,9.58123690338192,4856700
2011-08-31,23.33,24.17,19.17,23.12,8908000,9.7018340692665,10.0511499980356,7.97188851726699,9.61450508707422,8908000
2011-09-30,23.08,23.3,19.7,20.13,6068200,9.59787099522806,9.68935850038189,8.41440384202499,8.59806849441436,6068200
2011-10-31,20.05,22.84,18.9,22.2,4407200,8.56389832652797,9.75558293156602,8.07270216316103,9.48222158847486,4407200
2011-11-30,21.5,23.6599,20.35,23.02,10895800,9.18323261946889,10.1057844396917,8.69203645610195,9.83246580931042,10895800
2011-12-30,22.99,23.5,21.1,22.09,6913300,9.81965199635302,10.0374868166288,9.25750549118932,9.69186238390389,6913300
2012-01-31,22.39,23.1,21.91,22.85,4184000,9.82348568472649,10.13499416334,9.61288840341033,10.0253080793211,4184000
2012-02-29,22.88,23.89,22.52,23.0,5241500,10.0384704094034,10.4816021888395,9.88052244841628,10.0911197297324,5241500
2012-03-30,23.19,23.25,21.9,22.07,7622200,10.1744811535867,10.2248471330549,9.75767403431519,9.94107384257801,7622200
2012-04-30,22.06,22.47,20.05,20.76,5311100,9.93656950463393,10.1212473603411,9.03119757787445,9.35100557190392,5311100
2012-05-31,20.65,22.22,20.65,21.77,4880000,9.30145785451907,10.0086389117392,9.30145785451907,9.8059437042557,4880000
2012-06-29,21.5,22.6,21.255,22.26,4745700,9.68432657976562,10.4652188121266,9.63928320032485,10.3077774671654,4745700
2012-07-31,22.26,23.35,22.13,22.77,3737500,10.3077774671654,10.8125158965999,10.2475793058567,10.5439394846072,3737500
2012-08-31,22.76,23.3,22.12,23.13,4777600,10.5393088568143,10.789362757635,10.2429486780638,10.7106420851544,4777600
2012-09-28,23.15,23.72,22.46,22.92,5278400,10.7199033407403,11.0691215153956,10.5809845069511,10.8885950700802,5278400
2012-10-31,22.95,23.07,22.21,22.7894,3126800,10.9028471578682,10.9598555090205,10.551295659096,10.8265509812428,3126800
2012-11-30,22.78,23.08,21.25,22.9,5418700,10.8220853270692,10.9646062049498,10.095228849878,10.8790936782214,5418700
2012-12-31,23.0,23.96,22.5,23.91,4306300,10.926600637515,11.6726717128918,10.6890658410473,11.6483130490502,4306300
