date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,14.15,16.08,13.88,14.95,5729300,14.15,16.08,13.88,14.95,5729300
2011-03-31,15.1,16.19,13.34,16.04,3593800,15.1,16.19,13.34,16.04,3593800
2011-04-29,16.19,19.3,15.01,17.06,4362600,16.19,19.3,15.01,17.06,4362600
2011-05-31,16.95,17.299,15.5701,16.78,4544600,16.95,17.299,15.5701,16.78,4544600
2011-06-30,16.64,16.85,14.96,16.09,3935800,16.64,16.85,14.96,16.09,3935800
2011-07-29,16.11,16.43,13.7901,14.09,3982700,16.11,16.43,13.7901,14.09,3982700
2011-08-31,14.23,14.72,12.16,13.715,6741300,14.23,14.72,12.16,13.715,6741300
2011-09-30,13.79,14.318,11.96,12.53,3155300,13.79,14.318,11.96,12.53,3155300
2011-10-31,12.37,16.77,11.42,16.0,3901800,12.37,16.77,11.42,16.0,3901800
2011-11-30,15.33,16.13,12.91,13.59,3007400,15.33,16.13,12.91,13.59,3007400
2011-12-30,13.57,16.23,13.47,15.68,3317600,13.57,16.23,13.47,15.68,3317600
2012-01-31,16.07,17.7,14.5108,16.87,3810800,16.07,17.7,14.5108,16.87,3810800
2012-02-29,16.96,17.8,16.5374,16.54,3177800,16.96,17.8,16.5374,16.54,3177800
2012-03-30,16.73,17.85,16.0,17.46,2136000,16.73,17.85,16.0,17.46,2136000
2012-04-30,17.45,18.87,16.67,17.65,3293500,17.45,18.87,16.67,17.65,3293500
2012-05-31,17.63,18.08,15.65,15.94,3085100,17.63,18.08,15.65,15.94,3085100
2012-06-29,15.59,16.57,14.55,15.86,4025600,15.59,16.57,14.55,15.86,4025600
2012-07-31,15.89,16.43,12.08,12.41,5023100,15.89,16.43,12.08,12.41,5023100
2012-08-31,12.47,12.88,11.64,12.33,5377400,12.47,12.88,11.64,12.33,5377400
2012-09-28,12.41,13.75,11.85,12.03,4405000,12.41,13.75,11.85,12.03,4405000
2012-10-31,12.13,12.39,7.88,7.9006,7491000,12.13,12.39,7.88,7.9006,7491000
2012-11-30,7.94,9.46,7.85,9.33,4387800,7.94,9.46,7.85,9.33,4387800
2012-12-31,9.39,10.29,8.5,10.2,3069300,9.39,10.29,8.5,10.2,3069300
2013-01-31,10.49,13.15,9.76,12.38,5860800,10.49,13.15,9.76,12.38,5860800
2013-02-28,12.5,12.82,11.57,11.7,3851300,12.5,12.82,11.57,11.7,3851300
2013-03-29,11.61,12.27,11.17,11.29,2624100,11.61,12.27,11.17,11.29,2624100
2013-04-30,11.32,11.36,9.2,9.62,4096400,11.32,11.36,9.2,9.62,4096400
2013-05-31,9.56,10.94,9.38,10.31,2968500,9.56,10.94,9.38,10.31,2968500
2013-06-28,10.33,11.5,10.16,10.64,3578200,10.33,11.5,10.16,10.64,3578200
2013-07-31,10.73,12.4499,10.69,11.59,1841300,10.73,12.4499,10.69,11.59,1841300
2013-08-30,11.77,13.6499,11.24,12.84,3238500,11.77,13.6499,11.24,12.84,3238500
2013-09-30,13.09,13.81,12.646,13.54,2999100,13.09,13.81,12.646,13.54,2999100
2013-10-31,13.57,14.5,12.78,13.92,3516200,13.57,14.5,12.78,13.92,3516200
2013-11-29,13.86,16.0,13.735,15.88,3384500,13.86,16.0,13.735,15.88,3384500
2013-12-31,15.92,17.23,15.73,17.16,4235300,15.92,17.23,15.73,17.16,4235300
2014-01-31,17.04,23.54,16.29,20.56,12518600,17.04,23.54,16.29,20.56,12518600
2014-02-28,20.56,22.85,19.54,20.19,9935900,20.56,22.85,19.54,20.19,9935900
2014-03-31,19.91,21.405,17.0817,17.37,7723800,19.91,21.405,17.0817,17.37,7723800
2014-04-30,17.48,21.97,16.4,20.36,11297800,17.48,21.97,16.4,20.36,11297800
2014-05-30,20.3,21.84,17.26,21.5,9711800,20.3,21.84,17.26,21.5,9711800
2014-06-30,21.5,26.8,20.8248,25.27,10408300,21.5,26.8,20.8248,25.27,10408300
2014-07-31,25.34,27.28,23.61,26.17,8212900,25.34,27.28,23.61,26.17,8212900
2014-08-29,26.28,26.978,23.3501,24.49,8379000,26.28,26.978,23.3501,24.49,8379000
2014-09-30,24.9,30.11,24.9,29.42,8919115,24.9,30.11,24.9,29.42,8919115
2014-10-31,29.42,32.43,21.5,31.96,16209520,29.42,32.43,21.5,31.96,16209520
2014-11-28,31.92,34.95,31.7,33.28,7270159,31.92,34.95,31.7,33.28,7270159
2014-12-31,33.12,37.0,30.3,34.88,7693249,33.12,37.0,30.3,34.88,7693249
2015-01-30,35.23,39.8,32.21,36.57,12067698,35.23,39.8,32.21,36.57,12067698
2015-02-27,37.0,42.0,35.3126,40.18,10255940,37.0,42.0,35.3126,40.18,10255940
2015-03-31,40.21,40.56,32.09,33.21,11574395,40.21,40.56,32.09,33.21,11574395
2015-04-30,33.13,37.99,28.34,28.77,16228198,33.13,37.99,28.34,28.77,16228198
2015-05-29,28.83,34.46,28.8,33.46,12630523,28.83,34.46,28.8,33.46,12630523
2015-06-30,34.74,35.51,29.32,29.58,12915750,34.74,35.51,29.32,29.58,12915750
2015-07-31,29.8,30.47,24.59,26.67,13654627,29.8,30.47,24.59,26.67,13654627
2015-08-31,26.5,28.97,23.44,27.35,13553512,26.5,28.97,23.44,27.35,13553512
2015-09-30,26.5,29.93,23.421,27.26,15716132,26.5,29.93,23.421,27.26,15716132
2015-10-30,27.21,32.09,25.11,28.21,16197505,27.21,32.09,25.11,28.21,16197505
2015-11-30,28.19,30.84,23.12,24.56,10306678,28.19,30.84,23.12,24.56,10306678
2015-12-31,24.69,27.04,22.31,24.51,11415240,24.69,27.04,22.31,24.51,11415240
2016-01-29,23.88,31.6,21.25,29.78,18602825,23.88,31.6,21.25,29.78,18602825
2016-02-29,29.62,33.285,29.11,32.47,12879391,29.62,33.285,29.11,32.47,12879391
2016-03-31,32.7,34.47,30.58,34.08,6878293,32.7,34.47,30.58,34.08,6878293
2016-04-29,33.63,34.69,26.1,26.91,10923443,33.63,34.69,26.1,26.91,10923443
2016-05-31,26.92,27.2,24.39,26.24,9203149,26.92,27.2,24.39,26.24,9203149
2016-06-30,26.26,27.055,23.43,24.85,9393250,26.26,27.055,23.43,24.85,9393250
2016-07-29,24.77,26.56,18.6,21.55,17620772,24.77,26.56,18.6,21.55,17620772
2016-08-31,21.49,22.3,19.32,21.63,8680300,21.49,22.3,19.32,21.63,8680300
2016-09-30,21.74,23.8,20.77,23.37,7169639,21.74,23.8,20.77,23.37,7169639
2016-10-31,23.37,24.9,21.26,23.7,7355974,23.37,24.9,21.26,23.7,7355974
2016-11-30,23.6,27.7,21.975,27.35,7553364,23.6,27.7,21.975,27.35,7553364
2016-12-30,27.3,29.575,25.95,28.05,6038172,27.3,29.575,25.95,28.05,6038172
2017-01-31,28.25,31.745,24.85,26.45,8446774,28.25,31.745,24.85,26.45,8446774
2017-02-28,26.75,27.45,25.3,26.0,7026181,26.75,27.45,25.3,26.0,7026181
2017-03-31,26.15,26.8,24.35,25.35,7018965,26.15,26.8,24.35,25.35,7018965
2017-04-28,25.4,25.75,22.3,24.4,8777791,25.4,25.75,22.3,24.4,8777791
2017-05-31,24.45,25.05,23.15,24.6,9352918,24.45,25.05,23.15,24.6,9352918
2017-06-30,24.7,25.45,23.45,24.65,7578937,24.7,25.45,23.45,24.65,7578937
2017-07-31,24.8,27.6,23.85,26.85,8089776,24.8,27.6,23.85,26.85,8089776
2017-08-31,26.9,27.9,25.0,26.63,10725515,26.9,27.9,25.0,26.63,10725515
2017-09-29,26.8,27.0,20.42,22.1,13383908,26.8,27.0,20.42,22.1,13383908
2017-10-31,22.35,23.5,17.7,19.9,11558594,22.35,23.5,17.7,19.9,11558594
2017-11-30,20.1,22.35,19.21,22.05,8309141,20.1,22.35,19.21,22.05,8309141
2017-12-29,22.1,22.35,20.4,20.925,7467414,22.1,22.35,20.4,20.925,7467414
2018-01-31,20.9,24.795,20.85,22.825,10761333,20.9,24.795,20.85,22.825,10761333
2018-02-28,22.65,22.65,18.05,18.1,10491158,22.65,22.65,18.05,18.1,10491158
2018-03-30,18.15,19.95,16.1,17.0,9885663,18.15,19.95,16.1,17.0,9885663
2018-04-30,17.0,18.4,16.25,17.7,6010962,17.0,18.4,16.25,17.7,6010962
2018-05-31,17.6,24.45,17.55,24.1,10817233,17.6,24.45,17.55,24.1,10817233
2018-06-29,24.3,27.145,23.625,23.65,7892349,24.3,27.145,23.625,23.65,7892349
2018-07-31,23.6,24.95,21.675,22.1,5440987,23.6,24.95,21.675,22.1,5440987
2018-08-31,22.1,22.4,14.2,20.51,61878554,22.1,22.4,14.2,20.51,61878554
2018-09-28,20.3,21.52,19.12,20.61,7104442,20.3,21.52,19.12,20.61,7104442
2018-10-31,20.7,21.6,8.5,13.1,32126038,20.7,21.6,8.5,13.1,32126038
2018-11-30,13.24,14.98,11.2,14.9,8462085,13.24,14.98,11.2,14.9,8462085
2018-12-31,14.77,17.0,13.5,13.8,5482231,14.77,17.0,13.5,13.8,5482231
2019-01-31,13.79,15.85,13.79,15.1,3715497,13.79,15.85,13.79,15.1,3715497
2019-02-28,15.09,20.48,15.09,19.12,3431379,15.09,20.48,15.09,19.12,3431379
2019-03-29,19.2,21.15,19.1,21.1275,3046800,19.2,21.15,19.1,21.1275,3046800
2019-04-30,21.05,22.43,21.05,22.42,2894004,21.05,22.43,21.05,22.42,2894004
2019-05-31,22.48,23.04,18.21,19.0,3799369,22.48,23.04,18.21,19.0,3799369
2019-06-28,18.99,19.73,17.13,19.35,1796485,18.99,19.73,17.13,19.35,1796485
2019-07-31,19.325,20.0,18.3,18.31,915424,19.325,20.0,18.3,18.31,915424
2019-08-30,18.23,20.09,16.0,18.9,2731385,18.23,20.09,16.0,18.9,2731385
2019-09-30,18.75,19.89,18.1,19.2,1696713,18.75,19.89,18.1,19.2,1696713
2019-10-31,19.2,21.442,18.55,20.68,2263329,19.2,21.442,18.55,20.68,2263329
2019-11-29,20.5,22.49,20.01,21.3,1487645,20.5,22.49,20.01,21.3,1487645
2019-12-31,21.3,25.26,20.61,24.02,3635411,21.3,25.26,20.61,24.02,3635411
2020-01-31,23.85,30.0,23.0,27.96,6201217,23.85,30.0,23.0,27.96,6201217
2020-02-28,27.96,29.68,24.5,25.38,6317201,27.96,29.68,24.5,25.38,6317201
2020-03-31,25.61,27.23,15.76,21.28,10025775,25.61,27.23,15.76,21.28,10025775
2020-04-30,20.46,23.9279,19.4787,22.9,4334004,20.46,23.9279,19.4787,22.9,4334004
2020-05-29,22.26,26.89,21.86,25.96,6592894,22.26,26.89,21.86,25.96,6592894
2020-06-30,26.37,33.3,26.175,28.39,27128407,26.37,33.3,26.175,28.39,27128407
2020-07-31,28.38,30.31,26.59,30.305,7715076,28.38,30.31,26.59,30.305,7715076
2020-08-31,31.0,31.18,25.26,27.39,11221294,31.0,31.18,25.26,27.39,11221294
2020-09-30,27.36,27.5,24.54,26.4,6083285,27.36,27.5,24.54,26.4,6083285
2020-10-30,26.59,28.19,21.95,22.72,4038632,26.59,28.19,21.95,22.72,4038632
2020-11-30,23.0,30.0,22.69,28.21,8546397,23.0,30.0,22.69,28.21,8546397
2020-12-31,28.51,31.75,28.26,31.66,6552544,28.51,31.75,28.26,31.66,6552544
2021-01-29,31.8,35.08,30.52,31.0,5162338,31.8,35.08,30.52,31.0,5162338
2021-02-26,31.33,34.74,30.59,32.63,5954292,31.33,34.74,30.59,32.63,5954292
2021-03-31,33.47,39.37,32.26,39.06,8149407,33.47,39.37,32.26,39.06,8149407
2021-04-30,39.33,40.7098,38.84,39.28,2908270,39.33,40.7098,38.84,39.28,2908270
