date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,2.69,2.76,2.5,2.69,4853700,2.69,2.76,2.5,2.69,4853700
2011-03-31,2.69,2.95,2.55,2.86,5278900,2.69,2.95,2.55,2.86,5278900
2011-04-29,2.89,3.06,2.7,2.9,2854500,2.89,3.06,2.7,2.9,2854500
2011-05-31,2.9,3.07,2.54,3.05,6945400,2.9,3.07,2.54,3.05,6945400
2011-06-30,3.05,3.18,2.54,2.71,10399200,3.05,3.18,2.54,2.71,10399200
2011-07-29,2.8,3.37,2.72,3.29,10512900,2.8,3.37,2.72,3.29,10512900
2011-08-31,3.36,3.82,2.98,3.36,13632300,3.36,3.82,2.98,3.36,13632300
2011-09-30,3.36,3.68,3.04,3.29,7573900,3.36,3.68,3.04,3.29,7573900
2011-10-31,3.29,4.5699,2.82,4.49,8649700,3.29,4.5699,2.82,4.49,8649700
2011-11-30,4.35,4.73,3.88,4.27,12938100,4.35,4.73,3.88,4.27,12938100
2011-12-30,4.25,4.79,4.19,4.44,6432100,4.25,4.79,4.19,4.44,6432100
2012-01-31,4.54,4.55,3.29,3.45,6732200,4.54,4.55,3.29,3.45,6732200
2012-02-29,3.48,4.18,3.45,3.7,5898200,3.48,4.18,3.45,3.7,5898200
2012-03-30,3.71,3.86,3.5875,3.7,3865700,3.71,3.86,3.5875,3.7,3865700
2012-04-30,3.68,3.77,3.42,3.5,3721500,3.68,3.77,3.42,3.5,3721500
2012-05-31,3.5,3.93,3.44,3.59,3476900,3.5,3.93,3.44,3.59,3476900
2012-06-29,3.53,3.84,3.39,3.76,3290600,3.53,3.84,3.39,3.76,3290600
2012-07-31,3.75,3.76,3.35,3.56,2878700,3.75,3.76,3.35,3.56,2878700
2012-08-31,3.75,4.02,3.58,3.82,2992700,3.75,4.02,3.58,3.82,2992700
2012-09-28,3.83,4.36,3.69,4.18,3228700,3.83,4.36,3.69,4.18,3228700
2012-10-31,4.2,4.66,3.975,4.06,3326500,4.2,4.66,3.975,4.06,3326500
2012-11-30,4.06,4.65,4.04,4.47,2605100,4.06,4.65,4.04,4.47,2605100
2012-12-31,4.49,4.51,4.08,4.27,2908100,4.49,4.51,4.08,4.27,2908100
2013-01-31,4.36,5.11,4.02,4.92,4877700,4.36,5.11,4.02,4.92,4877700
2013-02-28,4.98,4.98,3.53,3.63,5931800,4.98,4.98,3.53,3.63,5931800
2013-03-29,3.6,4.33,3.55,3.93,5686000,3.6,4.33,3.55,3.93,5686000
2013-04-30,4.025,4.05,3.6,3.98,6123800,4.025,4.05,3.6,3.98,6123800
2013-05-31,3.97,4.4201,3.85,4.05,5052300,3.97,4.4201,3.85,4.05,5052300
2013-06-28,4.05,4.53,3.76,3.76,4985600,4.05,4.53,3.76,3.76,4985600
2013-07-31,3.95,4.295,3.73,3.92,3344800,3.95,4.295,3.73,3.92,3344800
2013-08-30,3.94,4.14,3.32,3.33,6839900,3.94,4.14,3.32,3.33,6839900
2013-09-30,3.34,4.01,3.34,3.74,5682300,3.34,4.01,3.34,3.74,5682300
2013-10-31,3.76,4.02,2.77,2.79,9166600,3.76,4.02,2.77,2.79,9166600
2013-11-29,2.78,3.12,2.77,3.08,5707300,2.78,3.12,2.77,3.08,5707300
2013-12-31,3.08,3.64,2.88,3.54,4562400,3.08,3.64,2.88,3.54,4562400
2014-01-31,3.51,3.61,3.07,3.1,4522200,3.51,3.61,3.07,3.1,4522200
2014-02-28,3.12,3.92,3.0,3.76,5438100,3.12,3.92,3.0,3.76,5438100
2014-03-31,3.72,4.46,3.72,4.08,5221300,3.72,4.46,3.72,4.08,5221300
2014-04-30,4.1,4.39,3.61,4.3,5453400,4.1,4.39,3.61,4.3,5453400
2014-05-30,4.4,5.0,3.92,4.35,8455300,4.4,5.0,3.92,4.35,8455300
2014-06-30,4.35,4.68,4.01,4.35,3473400,4.35,4.68,4.01,4.35,3473400
2014-07-31,4.34,4.79,4.09,4.57,2552000,4.34,4.79,4.09,4.57,2552000
2014-08-29,4.59,5.45,4.42,5.31,3193400,4.59,5.45,4.42,5.31,3193400
2014-09-30,5.37,5.577,4.78,4.78,3137096,5.37,5.577,4.78,4.78,3137096
2014-10-31,4.75,5.09,3.5001,5.09,6516175,4.75,5.09,3.5001,5.09,6516175
2014-11-28,5.1,5.25,4.78,4.9,2472319,5.1,5.25,4.78,4.9,2472319
2014-12-31,4.87,5.669,4.83,5.2,2868569,4.87,5.669,4.83,5.2,2868569
2015-01-30,5.27,5.33,4.41,4.46,2170561,5.27,5.33,4.41,4.46,2170561
2015-02-27,4.49,5.74,4.3604,5.32,2840628,4.49,5.74,4.3604,5.32,2840628
2015-03-31,5.3,5.482,4.79,4.94,3510561,5.3,5.482,4.79,4.94,3510561
2015-04-30,4.9,6.08,4.9,5.6,6695750,4.9,6.08,4.9,5.6,6695750
2015-05-29,5.66,6.6,5.653,6.47,6053906,5.66,6.6,5.653,6.47,6053906
2015-06-30,6.45,7.11,6.23,6.46,6300079,6.45,7.11,6.23,6.46,6300079
2015-07-31,6.51,7.48,5.81,7.28,6798553,6.51,7.48,5.81,7.28,6798553
2015-08-31,7.15,7.27,5.87,6.38,6492691,7.15,7.27,5.87,6.38,6492691
2015-09-30,6.23,6.39,5.3,5.68,3383139,6.23,6.39,5.3,5.68,3383139
2015-10-30,5.68,5.74,3.86,4.205,8651478,5.68,5.74,3.86,4.205,8651478
2015-11-30,4.18,4.18,3.65,3.92,6006501,4.18,4.18,3.65,3.92,6006501
2015-12-31,3.91,4.35,3.56,3.97,5314965,3.91,4.35,3.56,3.97,5314965
2016-01-29,3.93,4.16,2.88,3.21,5927320,3.93,4.16,2.88,3.21,5927320
2016-02-29,3.2,3.64,2.81,3.5,3963679,3.2,3.64,2.81,3.5,3963679
2016-03-31,3.51,4.09,3.42,4.0,3615553,3.51,4.09,3.42,4.0,3615553
2016-04-29,3.96,4.65,3.86,3.99,3646741,3.96,4.65,3.86,3.99,3646741
2016-05-31,4.02,4.1,3.59,3.77,2565963,4.02,4.1,3.59,3.77,2565963
2016-06-30,3.76,3.95,3.5,3.59,4326813,3.76,3.95,3.5,3.59,4326813
2016-07-29,3.6,3.91,3.0,3.25,3636294,3.6,3.91,3.0,3.25,3636294
2016-08-31,3.28,3.3999,3.0,3.21,2797271,3.28,3.3999,3.0,3.21,2797271
2016-09-30,3.23,3.48,2.98,3.13,2549712,3.23,3.48,2.98,3.13,2549712
2016-10-31,3.13,3.3,2.5,2.55,2799450,3.13,3.3,2.5,2.55,2799450
2016-11-30,2.6,3.2,2.5,2.9,3301917,2.6,3.2,2.5,2.9,3301917
2016-12-30,2.9,3.5,2.81,3.25,4678412,2.9,3.5,2.81,3.25,4678412
2017-01-31,3.25,3.4,3.05,3.25,2271294,3.25,3.4,3.05,3.25,2271294
2017-02-28,3.3,3.89,3.01,3.75,3692915,3.3,3.89,3.01,3.75,3692915
2017-03-31,3.7,4.1,3.58,4.0,3212315,3.7,4.1,3.58,4.0,3212315
2017-04-28,4.0,4.35,3.8,4.05,2415114,4.0,4.35,3.8,4.05,2415114
2017-05-31,4.1,5.3,4.05,5.15,5756449,4.1,5.3,4.05,5.15,5756449
2017-06-30,5.2,5.95,5.05,5.85,6557716,5.2,5.95,5.05,5.85,6557716
2017-07-31,5.9,6.0,5.35,5.7,4797707,5.9,6.0,5.35,5.7,4797707
2017-08-31,5.7,5.8,4.25,4.5,4375795,5.7,5.8,4.25,4.5,4375795
2017-09-29,4.55,4.86,4.25,4.55,2749702,4.55,4.86,4.25,4.55,2749702
2017-10-31,4.6,4.9,4.4,4.5,3101755,4.6,4.9,4.4,4.5,3101755
2017-11-30,4.55,5.075,3.85,4.8,2601788,4.55,5.075,3.85,4.8,2601788
2017-12-29,4.75,4.85,3.9,4.1,3781352,4.75,4.85,3.9,4.1,3781352
2018-01-31,4.15,4.65,4.05,4.5,2431152,4.15,4.65,4.05,4.5,2431152
2018-02-28,4.45,4.8,4.2,4.25,3111605,4.45,4.8,4.2,4.25,3111605
2018-03-30,4.2,5.1,4.2,4.6,3170209,4.2,5.1,4.2,4.6,3170209
2018-04-30,4.6,4.95,4.35,4.4,1773446,4.6,4.95,4.35,4.4,1773446
2018-05-31,4.4,4.7,4.2,4.55,2071430,4.4,4.7,4.2,4.55,2071430
2018-06-29,4.6,4.9,4.325,4.6,3587766,4.6,4.9,4.325,4.6,3587766
2018-07-31,4.6,4.95,4.55,4.6,1908712,4.6,4.95,4.55,4.6,1908712
2018-08-31,4.55,4.75,4.35,4.475,2502202,4.55,4.75,4.35,4.475,2502202
2018-09-28,4.5,4.75,4.25,4.5,2896821,4.5,4.75,4.25,4.5,2896821
2018-10-31,4.52,4.89,4.41,4.58,2588359,4.52,4.89,4.41,4.58,2588359
2018-11-30,4.85,4.86,4.09,4.17,2321081,4.85,4.86,4.09,4.17,2321081
2018-12-31,4.2,4.65,3.53,3.7,3150532,4.2,4.65,3.53,3.7,3150532
2019-01-31,3.65,4.5073,3.511,4.39,2283471,3.65,4.5073,3.511,4.39,2283471
2019-02-28,4.37,5.35,4.27,4.98,2304714,4.37,5.35,4.27,4.98,2304714
2019-03-29,5.09,6.13,5.09,6.01,7052254,5.09,6.13,5.09,6.01,7052254
2019-04-30,6.05,6.15,4.72,5.41,5138358,6.05,6.15,4.72,5.41,5138358
2019-05-31,5.39,5.67,3.96,4.23,4629602,5.39,5.67,3.96,4.23,4629602
2019-06-28,4.23,4.6,4.07,4.25,4312164,4.23,4.6,4.07,4.25,4312164
2019-07-31,4.33,4.6292,4.05,4.26,2402720,4.33,4.6292,4.05,4.26,2402720
2019-08-30,4.5,4.5,2.95,3.18,3102747,4.5,4.5,2.95,3.18,3102747
2019-09-30,3.15,3.54,2.85,2.85,2615715,3.15,3.54,2.85,2.85,2615715
2019-10-31,2.9,3.027,2.07,2.2,3251746,2.9,3.027,2.07,2.2,3251746
2019-11-29,2.2,2.23,1.77,1.85,5116824,2.2,2.23,1.77,1.85,5116824
2019-12-31,1.88,2.85,1.77,2.74,5800938,1.88,2.85,1.77,2.74,5800938
2020-01-31,2.75,5.4,2.52,4.16,18600188,2.75,5.4,2.52,4.16,18600188
2020-02-28,4.19,5.01,3.65,3.7,6721395,4.19,5.01,3.65,3.7,6721395
2020-03-31,3.71,4.02,1.64,1.71,10863878,3.71,4.02,1.64,1.71,10863878
2020-04-30,1.66,3.4,1.46,2.705,17318554,1.66,3.4,1.46,2.705,17318554
2020-05-29,2.59,2.75,2.0671,2.72,8241428,2.59,2.75,2.0671,2.72,8241428
2020-06-30,2.71,3.6,2.595,3.18,11699462,2.71,3.6,2.595,3.18,11699462
2020-07-31,3.16,3.97,2.7,2.81,17564293,3.16,3.97,2.7,2.81,17564293
2020-08-31,2.88,3.08,2.1117,2.22,10364734,2.88,3.08,2.1117,2.22,10364734
2020-09-30,2.2,2.25,1.76,1.81,10828013,2.2,2.25,1.76,1.81,10828013
2020-10-30,1.8,2.3,1.65,1.74,6760939,1.8,2.3,1.65,1.74,6760939
2020-11-30,1.75,2.34,1.7,2.26,7033050,1.75,2.34,1.7,2.26,7033050
2020-12-31,2.3,2.78,2.03,2.19,9033113,2.3,2.78,2.03,2.19,9033113
2021-01-29,2.2,2.25,1.49,1.68,28047760,2.2,2.25,1.49,1.68,28047760
2021-02-26,1.74,3.27,1.69,2.44,63772282,1.74,3.27,1.69,2.44,63772282
2021-03-31,2.51,2.77,2.02,2.18,31103068,2.51,2.77,2.02,2.18,31103068
2021-04-30,2.19,2.25,1.82,1.87,11287799,2.19,2.25,1.82,1.87,11287799
