date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,7.61,7.84,6.26,7.35,2418584,68.4900000000001,70.5600000000001,56.3400000000001,66.1500000000001,268721
2011-03-31,7.33,8.15,6.9,8.0,1987167,65.9700000000001,73.3500000000001,62.1000000000001,72.0000000000001,220781
2011-04-29,7.92,9.48,7.711,8.84,1837141,71.2800000000001,85.3200000000001,69.3990000000001,79.5600000000001,204117
2011-05-31,8.84,9.38,8.21,8.27,1211541,79.5600000000001,84.4200000000001,73.8900000000001,74.4300000000001,134605
2011-06-30,8.28,8.75,7.87,8.12,1574642,74.5200000000001,78.7500000000001,70.8300000000001,73.0800000000001,174947
2011-07-29,8.16,8.9,8.08,8.61,1261973,73.4400000000001,80.1000000000001,72.7200000000001,77.4900000000001,140208
2011-08-31,8.72,8.7784,6.0,6.99,2166853,78.4800000000001,79.0056000000001,54.0000000000001,62.9100000000001,240747
2011-09-30,7.02,7.74,6.31,6.6,1737509,63.1800000000001,69.6600000000001,56.7900000000001,59.4000000000001,193048
2011-10-31,6.52,8.33,6.06,7.83,1215162,58.6800000000001,74.9700000000001,54.5400000000001,70.4700000000001,135007
2011-11-30,7.46,7.63,6.42,6.86,1081369,67.1400000000001,68.6700000000001,57.7800000000001,61.7400000000001,120139
2011-12-30,6.8,7.58,6.66,7.04,1040416,61.2000000000001,68.2200000000001,59.9400000000001,63.3600000000001,115591
2012-01-31,7.21,7.21,4.75,5.36,2481758,64.8900000000001,64.8900000000001,42.75,48.2400000000001,275737
2012-02-29,5.4,6.27,4.57,5.99,1867666,48.6000000000001,56.4300000000001,41.13,53.9100000000001,207507
2012-03-30,6.03,6.335,5.52,6.0,1568601,54.2700000000001,57.0150000000001,49.68,54.0000000000001,174279
2012-04-30,5.95,6.06,5.0,5.35,735650,53.5500000000001,54.5400000000001,45.0,48.15,81726
2012-05-31,5.35,5.61,2.89,3.04,4084228,48.15,50.4900000000001,26.01,27.36,453788
2012-06-29,3.0,3.39,2.71,3.28,3898373,27.0,30.51,24.39,29.52,433142
2012-07-31,3.26,3.31,2.96,3.17,746129,29.34,29.79,26.64,28.53,82891
2012-08-31,3.19,3.3,2.29,2.66,895496,28.71,29.7,20.61,23.94,99488
2012-09-28,2.66,2.78,1.71,1.83,1873078,23.94,25.02,15.39,16.47,208106
2012-10-31,1.85,1.8677,1.36,1.54,2743195,16.65,16.8093,12.24,13.86,304788
2012-11-30,1.58,1.84,1.21,1.75,3230161,14.22,16.56,10.89,15.75,358894
2012-12-31,1.8,2.389,1.69,1.74,3012062,16.2,21.501,15.21,15.66,334663
2013-01-31,1.76,2.12,1.68,1.76,1117316,15.84,19.08,15.12,15.84,124132
2013-02-28,1.75,2.09,1.671,2.03,2201659,15.75,18.81,15.039,18.27,244619
2013-03-29,2.05,2.79,2.0299,2.62,3980987,18.45,25.11,18.2691,23.58,442321
2013-04-30,2.62,3.06,2.4008,2.85,1931246,23.58,27.54,21.6072,25.65,214570
2013-05-31,2.81,3.73,2.22,3.27,3021682,25.29,33.57,19.98,29.43,335728
2013-06-28,3.31,3.44,2.83,3.06,1252941,29.79,30.96,25.47,27.54,139205
2013-07-31,3.04,3.6,3.03,3.3,1064054,27.36,32.4,27.27,29.7,118216
2013-08-30,3.3,3.49,2.66,3.24,1101675,29.7,31.41,23.94,29.16,122396
2013-09-30,3.26,3.41,2.69,2.77,1712268,29.34,30.69,24.21,24.93,190240
2013-10-31,2.8,3.0499,2.3215,2.84,1538708,25.2,27.4491,20.8935,25.56,170953
2013-11-29,2.85,3.0,1.9,2.14,2881446,25.65,27.0,17.1,19.26,320149
2013-12-31,2.12,2.24,1.71,1.81,2375738,19.08,20.16,15.39,16.29,263960
2014-01-31,1.81,2.37,1.45,2.27,2583095,16.29,21.33,13.05,20.43,286999
2014-02-28,2.18,2.31,1.75,1.85,1033176,19.62,20.79,15.75,16.65,114789
2014-03-31,1.8,2.3,1.7601,2.09,1541082,16.2,20.7,15.8409,18.81,171218
2014-04-30,2.1,2.28,1.87,1.9,1016946,18.9,20.52,16.83,17.1,112984
2014-05-30,1.8118,3.5,1.599,2.86,12557065,16.3062,31.5,14.391,25.74,1395217
2014-06-30,2.81,3.28,2.7,2.88,4466656,25.29,29.52,24.3,25.92,496286
2014-07-31,2.88,4.41,2.71,4.16,6030776,25.92,39.69,24.39,37.44,670073
2014-08-29,4.2,4.7668,3.25,4.25,3584865,37.8,42.9012,29.25,38.25,398306
2014-09-30,4.23,4.54,3.44,3.5,1434480,38.07,40.86,30.96,31.5,159374
2014-10-31,3.47,3.64,3.03,3.39,789071,31.23,32.76,27.27,30.51,87658
2014-11-28,3.36,3.42,1.74,2.79,5369420,30.24,30.78,15.66,25.11,596591
2014-12-31,2.76,3.64,2.63,3.26,1135359,24.84,32.76,23.67,29.34,126139
2015-01-30,3.3,3.54,3.0,3.08,1026040,29.7,31.86,27.0,27.72,113992
2015-02-27,3.08,3.18,2.61,2.72,690041,27.72,28.62,23.49,24.48,76659
2015-03-31,2.72,3.1599,2.51,2.7,893560,24.48,28.4391,22.59,24.3,99272
2015-04-30,2.7,3.24,2.61,3.08,468325,24.3,29.16,23.49,27.72,52023
2015-05-29,3.06,3.16,2.22,2.49,1978087,27.54,28.44,19.98,22.41,219775
2015-06-30,2.38,2.4799,2.0,2.02,1054733,21.42,22.3191,18.0,18.18,117179
2015-07-31,2.07,2.36,2.0,2.0,427653,18.63,21.24,18.0,18.0,47506
2015-08-31,2.0,2.11,1.2,1.7,1733191,18.0,18.99,10.8,15.3,192566
2015-09-30,1.7,1.76,1.28,1.72,964410,15.3,15.84,11.52,15.48,107144
2015-10-30,1.74,1.87,1.66,1.73,523851,15.66,16.83,14.94,15.57,58194
2015-11-30,1.73,2.25,1.56,1.97,1327689,15.57,20.25,14.04,17.73,147510
2015-12-31,1.95,2.25,1.7001,2.23,584381,17.55,20.25,15.3009,20.07,64920
2016-01-29,2.14,2.25,1.88,1.95,183307,19.26,20.25,16.92,17.55,20356
2016-02-29,1.95,2.01,1.43,1.94,356439,17.55,18.09,12.87,17.46,39594
2016-03-31,1.87,1.92,1.54,1.75,336633,16.83,17.28,13.86,15.75,37392
2016-04-29,1.67,1.83,1.38,1.43,301458,15.03,16.47,12.42,12.87,33484
2016-05-31,1.413,1.7,1.22,1.46,1041461,12.717,15.3,10.98,13.14,115705
2016-06-30,1.46,1.95,1.38,1.66,591647,13.14,17.55,12.42,14.94,65724
2016-07-29,1.72,1.97,1.62,1.95,193404,15.48,17.73,14.58,17.55,21479
2016-08-31,1.95,2.44,1.61,2.34,1131404,17.55,21.96,14.49,21.06,125698
2016-09-30,2.3,2.37,1.95,2.16,616427,20.7,21.33,17.55,19.44,68479
2016-10-31,2.16,2.2,2.01,2.12,106010,19.44,19.8,18.09,19.08,11766
2016-11-30,2.12,2.32,1.65,2.27,1572128,19.08,20.88,14.85,20.43,174669
2016-12-30,2.26,2.31,1.96,2.0,241574,20.34,20.79,17.64,18.0,26831
2017-01-31,2.1052,2.24,1.73,1.84,529778,18.9468,20.16,15.57,16.56,58853
2017-02-28,1.82,2.17,1.75,1.82,1016339,16.38,19.53,15.75,16.38,112916
2017-03-31,1.87,2.06,1.78,1.9,478919,16.83,18.54,16.02,17.1,53200
2017-04-28,1.9101,1.94,1.7,1.85,376470,17.1909,17.46,15.3,16.65,41820
2017-05-31,1.86,1.9,1.65,1.8,2346099,16.74,17.1,14.85,16.2,260663
2017-06-30,1.8,2.0596,1.71,1.7699,1593994,16.2,18.5364,15.39,15.9291,177099
2017-07-31,1.78,1.8,1.66,1.76,749423,16.02,16.2,14.94,15.84,83257
2017-08-31,1.67,2.25,1.67,2.04,1125772,15.03,20.25,15.03,18.36,125072
2017-09-29,2.05,2.15,1.8,1.89,864639,18.45,19.35,16.2,17.01,96060
2017-10-31,1.87,1.96,1.61,1.61,675495,16.83,17.64,14.49,14.49,75042
2017-11-30,1.61,1.6987,1.4573,1.5,621262,14.49,15.2883,13.1157,13.5,69016
2017-12-29,1.5,1.525,1.32,1.5,999401,13.5,13.725,11.88,13.5,111033
2018-01-31,1.52,1.5656,1.25,1.26,529473,13.68,14.0904,11.25,11.34,58817
2018-02-28,1.3,1.3,0.9,1.07,699426,11.7,11.7,8.10000000000001,9.63000000000001,77704
2018-03-30,1.06,1.42,1.031,1.15,679245,9.54000000000001,12.78,9.27900000000001,10.35,75460
2018-04-30,1.2,1.22,0.7984,0.82,601696,10.8,10.98,7.18560000000001,7.38000000000001,66844
2018-05-31,0.8498,1.54,0.722,1.25,4313016,7.64820000000001,13.86,6.49800000000001,11.25,479213
2018-06-29,1.28,1.43,1.21,1.39,1521130,11.52,12.87,10.89,12.51,169003
2018-07-31,1.38,1.46,1.3,1.35,726543,12.42,13.14,11.7,12.15,80714
2018-08-31,1.35,1.98,1.34,1.92,3646028,12.15,17.82,12.06,17.28,405102
2018-09-28,1.92,1.97,1.51,1.58,1657725,17.28,17.73,13.59,14.22,184179
2018-10-31,1.6,1.6199,1.16,1.26,1412955,14.4,14.5791,10.44,11.34,156980
2018-11-30,1.15,1.4,0.91,1.01,1311021,10.35,12.6,8.19000000000001,9.09000000000001,145657
2018-12-31,1.01,1.05,0.75,1.05,1361651,9.09000000000001,9.45000000000001,6.75000000000001,9.45000000000001,151286
2019-01-31,1.05,1.21,0.9011,1.05,743383,9.45000000000001,10.89,8.10990000000001,9.45000000000001,82587
2019-02-28,1.0686,1.117,0.7626,0.7699,1591862,9.61740000000001,10.053,6.86340000000001,6.92910000000001,176863
2019-03-29,0.76,0.8159,0.68,0.72,1227907,6.84000000000001,7.34310000000001,6.12000000000001,6.48000000000001,136425
2019-04-30,0.71,0.816,0.6557,0.7154,289485,6.39000000000001,7.34400000000001,5.90130000000001,6.43860000000001,32152
2019-05-31,0.720597,0.75,0.5011,0.502,501442,6.48537300000001,6.75000000000001,4.5099,4.51800000000001,55704
2019-06-28,0.5314,0.5752,0.4407,0.5,650976,4.7826,5.17680000000001,3.9663,4.5,72320
2019-07-31,0.51,0.525,0.3393,0.4117,333208,4.59000000000001,4.725,3.0537,3.7053,37012
2019-08-30,0.4287,0.597,0.2103,0.5,684378,3.8583,5.37300000000001,1.8927,4.5,76031
2019-09-30,0.4875,0.52,0.30005,0.35,651936,4.3875,4.68000000000001,2.70045,3.15,72424
2019-10-31,0.359,0.389,0.31,0.3103,461246,3.231,3.501,2.79,2.7927,51235
2019-11-29,0.31,0.374,0.2701,0.32,1008843,2.79,3.366,2.4309,2.88,112084
2019-12-31,0.33,0.35,0.1615,0.2547,1782846,2.97,3.15,1.4535,2.2923,198084
2020-01-31,0.2699,0.415,0.2601,0.2803,1330375,2.4291,3.735,2.3409,2.5227,147807
2020-02-28,0.2899,1.24,0.2625,0.442299,19331666,2.6091,11.16,2.3625,3.980691,2147952
2020-03-31,0.4644,3.1399,0.404,2.0909,965097,4.1796,6.61410000000001,1.61,2.0909,297119
2020-04-30,1.9853,4.75,1.9,3.76,693529,1.9853,4.75,1.9,3.76,693529
2020-05-29,4.12,6.43,3.12,6.2477,559289,4.12,6.43,3.12,6.2477,559289
2020-06-30,6.54,8.14,5.4001,8.02,548973,6.54,8.14,5.4001,8.02,548973
2020-07-31,8.18,11.31,7.86,9.7,263243,8.18,11.31,7.86,9.7,263243
2020-08-31,9.7,19.9355,9.7,17.99,545287,9.7,19.9355,9.7,17.99,545287
2020-09-30,17.62,22.2999,14.74,17.29,190628,17.62,22.2999,14.74,17.29,190628
2020-10-30,17.2,24.0,15.4933,18.45,214862,17.2,24.0,15.4933,18.45,214862
2020-11-30,18.46,23.5329,16.0,16.6,222157,18.46,23.5329,16.0,16.6,222157
2020-12-31,16.69,17.13,15.2,15.35,158886,16.69,17.13,15.2,15.35,158886
2021-01-29,14.9604,17.893,14.03,16.99,113821,14.9604,17.893,14.03,16.99,113821
2021-02-26,17.03,22.8137,16.01,16.15,315453,17.03,22.8137,16.01,16.15,315453
2021-03-31,16.211,23.92,11.288,13.27,2747249,16.211,23.92,11.288,13.27,2747249
2021-04-30,13.22,14.25,10.855,11.01,217180,13.22,14.25,10.855,11.01,217180
