date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,46.2,50.89,45.17,49.15,14342900,23.1,25.445,22.585,24.575,28685800
2011-03-31,49.24,50.83,45.15,50.54,11906100,24.62,25.415,22.575,25.27,23812200
2011-04-29,50.6,52.3,46.11,46.84,14036100,25.3,26.15,23.055,23.42,28072200
2011-05-31,47.02,47.09,39.86,43.69,23056800,23.51,23.545,19.93,21.845,46113600
2011-06-30,43.44,43.91,36.5,39.64,17417000,21.72,21.955,18.25,19.82,34834000
2011-07-29,39.84,41.96,35.03,35.58,9856300,19.92,20.98,17.515,17.79,19712600
2011-08-31,36.03,40.13,32.42,37.14,16370500,18.015,20.065,16.21,18.57,32741000
2011-09-30,38.69,39.56,32.86,33.55,11871300,19.345,19.78,16.43,16.775,23742600
2011-10-31,33.62,42.1498,31.88,40.41,8930800,16.81,21.0749,15.94,20.205,17861600
2011-11-30,39.03,43.66,37.8,43.08,11515700,19.515,21.83,18.9,21.54,23031400
2011-12-30,43.0,45.04,42.21,43.4,10549700,21.5,22.52,21.105,21.7,21099400
2012-01-31,42.83,47.48,39.81,46.83,15254200,21.415,23.74,19.905,23.415,30508400
2012-02-29,47.02,52.5,46.79,50.29,12900600,23.51,26.25,23.395,25.145,25801200
2012-03-30,50.6,55.57,47.8842,54.42,12100200,25.3,27.785,23.9421,27.21,24200400
2012-04-30,54.15,55.95,51.07,54.14,11885500,27.075,27.975,25.535,27.07,23771000
2012-05-31,54.0,55.42,45.32,47.165,34763700,27.0,27.71,22.66,23.5825,69527400
2012-06-29,45.58,49.78,44.24,46.01,19724300,22.79,24.89,22.12,23.005,39448600
2012-07-31,46.31,48.55,40.02,44.26,16367800,23.155,24.275,20.01,22.13,32735600
2012-08-31,44.41,49.84,43.2,49.03,18556800,22.205,24.92,21.6,24.515,37113600
2012-09-28,48.89,53.99,47.02,47.66,14878700,24.445,26.995,23.51,23.83,29757400
2012-10-31,47.86,49.31,45.16,47.17,9967600,23.93,24.655,22.58,23.585,19935200
2012-11-30,47.1,56.0,46.74,55.64,15475600,23.55,28.0,23.37,27.82,30951200
