date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,4.63,6.08,4.41,5.83,396900,3.80463216629083,4.99614763953526,3.62385050828133,4.79071393725173,396900
2011-03-31,5.81,5.98,5.25,5.61,137300,4.77427924106905,4.91397415862185,4.31410774795396,4.60993227924223,137300
2011-04-29,5.9,6.24,5.44,6.2,90100,4.84823537389112,5.12762520899671,4.47023736168944,5.09475581663135,90100
2011-05-31,6.11,6.5,5.51,5.53,136400,5.02079968380928,5.34127625937157,4.52775879832882,4.54419349451151,136400
2011-06-30,5.6,6.0,4.59,5.91,182200,4.60171493115089,4.93040885480453,3.77176277392546,4.85645272198246,182200
2011-07-29,5.99,6.29,5.4,5.54,319000,4.92219150671319,5.16871194945341,4.43736796932408,4.55241084260285,319000
2011-08-31,5.59,5.59,4.5,5.1,141940,4.59349758305955,4.59349758305955,3.6978066411034,4.19084752658385,141940
2011-09-30,5.1,5.1,3.53,4.04,90200,4.19084752658385,4.19084752658385,2.90072387624333,3.31980862890172,90200
2011-10-31,4.04,4.38,3.68,4.35,92803,3.31980862890172,3.59919846400731,3.02398409761344,3.57454641973328,92803
2011-11-30,4.31,4.6,3.26,3.97,57475,3.54167702736792,3.7799801220168,2.67885547777713,3.26228719226233,57475
2011-12-30,3.77,4.0,3.6,3.95,85000,3.09794023043551,3.28693923653635,2.95824531288272,3.24585249607965,85000
2012-01-31,3.95,4.79,3.86,4.3,106700,3.24585249607965,3.93610973575228,3.17189636325758,3.53345967927658,106700
2012-02-29,4.1,4.57,4.0505,4.3,208100,3.36911271744976,3.75532807774278,3.32843684439762,3.53345967927658,208100
2012-03-30,4.32,4.75,4.02,4.66,134400,3.54989437545926,3.90324034338692,3.30337393271903,3.82928421056485,134400
2012-04-30,4.74,5.31,4.69,5.09,126000,3.89502299529558,4.36341183650201,3.85393625483887,4.18263017849251,126000
2012-05-31,5.09,5.09,4.55,4.96,69300,4.18263017849251,4.18263017849251,3.7388933815601,4.07580465330508,69300
2012-06-29,4.81,5.05,4.55,5.05,76777,3.95254443193496,4.14976078612714,3.7388933815601,4.14976078612714,76777
2012-07-31,4.99,5.35,4.75,5.18,52400,4.1004566975791,4.39628122886737,3.90324034338692,4.25658631131458,52400
2012-08-31,5.23,5.9883,5.15,5.81,114500,4.29767305177128,4.92079455753766,4.23193426704055,4.77427924106905,114500
2012-09-28,5.8899,6.11,5.76,6.0,103600,4.83993585231886,5.02079968380928,4.73319250061235,4.93040885480453,103600
2012-10-31,6.0,6.25,5.75,6.2,54300,4.93040885480453,5.13584255708805,4.72497515252101,5.09475581663135,54300
2012-11-30,6.14,6.3,5.77,6.28,70500,5.0454517280833,5.17692929754475,4.74140984870369,5.16049460136207,70500
2012-12-31,6.24,6.94,5.79,6.94,148500,5.12762520899671,5.70283957539057,4.75784454488637,5.70283957539057,148500
2013-01-31,6.94,8.4,6.7,8.22,395900,5.70283957539057,6.90257239672634,5.50562322119839,6.7546601310822,395900
2013-02-28,8.07,9.0,7.54,8.26,260400,6.63139990971209,7.42240898250464,6.21832930312056,6.81212202172093,260400
2013-03-29,8.13,8.85,8.03,8.21,219000,6.7049094475292,7.29870216612957,6.62243823661248,6.77088641626257,219000
2013-04-30,8.2,8.4,7.85,8.25,163200,6.7626392951709,6.92758171700433,6.47399005696238,6.80387490062926,163200
2013-05-31,8.19,8.28,7.36,8.19,200100,6.75439217407922,6.85350793922834,6.06988112347046,6.77901328771499,200100
2013-06-28,8.0,8.55,8.0,8.42,109100,6.62174680118681,7.0769918937684,6.62174680118681,6.96938850824911,109100
2013-07-31,8.46,8.99,8.111,8.75,107500,7.00249724225505,7.44118796783367,6.71362353805327,7.24253556379807,107500
2013-08-30,8.74,8.99,8.29,8.97,106300,7.23425838029659,7.46687676404023,6.8854736789648,7.45026524732379,106300
2013-09-30,8.97,9.29,8.35,9.0,77904,7.45026524732379,7.71604951478685,6.93530822911412,7.47518252239845,77904
2013-10-31,9.03,9.16,8.851,8.87,47893,7.50009979747311,7.60807465612998,7.35142672286097,7.36720766374159,47893
2013-11-29,8.88,8.9999,8.199,8.86,74831,7.37551342209981,7.47509946481487,6.80989127790499,7.38439463715721,74831
2013-12-31,8.94,10.0,8.65,9.62,367100,7.45107088670265,8.3345311931797,7.20936948210044,8.01781900783887,367100
2014-01-31,9.6,11.11,9.51,10.96,217900,8.00114994545251,9.25966415562264,7.92613916471389,9.13464618772495,217900
2014-02-28,11.0,11.83,10.36,10.69,194800,9.16798431249767,9.89531307205108,8.66571795658911,8.94174951312139,194800
2014-03-31,10.92,11.67,10.48,10.7,99232,9.13413514343177,9.76147959009604,8.7660930680554,8.95011410574358,99232
2014-04-30,10.82,11.14,10.56,10.7,127800,9.05048921720986,9.31815618111995,8.83300980903292,8.95011410574358,127800
2014-05-30,10.53,10.9,10.38,10.7385,118700,8.80791603116635,9.15125247682567,8.71467896416977,9.01566281856811,118700
2014-06-30,10.64,10.96,10.32,10.54,71549,8.93296572049772,9.20162634367058,8.66430509732485,8.8490092757562,71549
2014-07-31,10.21,10.98,10.176,10.27,157500,8.57195300810918,9.21841763261888,8.54340781689706,8.62232687495409,157500
2014-08-29,10.32,10.75,10.2,10.74,188600,8.66430509732485,9.06780988979679,8.56355736363503,9.05937471780628,188600
2014-09-30,10.46,10.75,10.41,10.54,86339,8.82318990207204,9.06780988979679,8.78101404211949,8.8906712779961,86339
2014-10-31,10.49,10.75,10.3,10.58,87824,8.84849541804356,9.06780988979679,8.6882271502239,8.92441196595814,87824
2014-11-28,10.58,10.75,10.35,10.57,176666,8.92441196595814,9.08572858211314,8.73040301017644,8.9585961859082,176666
2014-12-31,10.618,10.73,10.3,10.6,113956,8.99927855269378,9.09420407519347,8.72975787273931,8.98402266514919,113956
2015-01-30,10.6,10.62,9.02,10.5,140031,8.98402266514919,9.00097365130985,7.64489475845714,8.8992677343459,140031
