date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,12.64,13.62,9.9,10.57,6827300,12.64,13.62,9.9,10.57,6827300
2011-03-31,10.57,10.7,8.58,10.34,4167600,10.57,10.7,8.58,10.34,4167600
2011-04-29,10.48,12.54,9.27,11.49,3221400,10.48,12.54,9.27,11.49,3221400
2011-05-31,11.53,11.78,9.68,10.16,2120200,11.53,11.78,9.68,10.16,2120200
2011-06-30,10.07,10.105,8.06,9.08,3165000,10.07,10.105,8.06,9.08,3165000
2011-07-29,9.1,10.02,6.88,6.94,4324400,9.1,10.02,6.88,6.94,4324400
2011-08-31,7.08,7.08,4.77,5.63,3941000,7.08,7.08,4.77,5.63,3941000
2011-09-30,5.6,5.79,3.85,4.29,3935700,5.6,5.79,3.85,4.29,3935700
2011-10-31,4.25,5.93,3.77,5.48,3509800,4.25,5.93,3.77,5.48,3509800
2011-11-30,5.19,5.74,4.51,5.65,2515200,5.19,5.74,4.51,5.65,2515200
2011-12-30,5.65,6.61,5.49,6.11,2004000,5.65,6.61,5.49,6.11,2004000
2012-01-31,6.31,7.95,5.7,7.35,3357200,6.31,7.95,5.7,7.35,3357200
2012-02-29,7.43,9.35,7.37,8.17,3746700,7.43,9.35,7.37,8.17,3746700
2012-03-30,8.19,8.53,7.41,7.54,2375900,8.19,8.53,7.41,7.54,2375900
2012-04-30,7.53,8.04,6.47,6.85,3677600,7.53,8.04,6.47,6.85,3677600
2012-05-31,6.83,7.14,5.26,5.96,2579900,6.83,7.14,5.26,5.96,2579900
2012-06-29,5.78,6.97,5.6,6.43,2975500,5.78,6.97,5.6,6.43,2975500
2012-07-31,6.43,6.8,5.85,6.04,1553900,6.43,6.8,5.85,6.04,1553900
2012-08-31,6.11,7.15,5.56,5.88,1616800,6.11,7.15,5.56,5.88,1616800
2012-09-28,5.85,6.105,5.55,5.71,1564600,5.85,6.105,5.55,5.71,1564600
2012-10-31,5.7,5.84,4.34,4.63,1983500,5.7,5.84,4.34,4.63,1983500
2012-11-30,4.61,4.9999,4.5,4.82,2131200,4.61,4.9999,4.5,4.82,2131200
2012-12-31,4.87,4.99,4.33,4.91,2424300,4.87,4.99,4.33,4.91,2424300
2013-01-31,5.03,5.7,4.65,5.61,1242600,5.03,5.7,4.65,5.61,1242600
2013-02-28,5.67,6.34,5.54,5.9,1961900,5.67,6.34,5.54,5.9,1961900
