date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,11.03,12.25,10.91,11.44,15709300,7.39573069668436,8.21375349359777,7.31526943797156,7.6706399972864,15709300
2011-03-31,11.44,11.65,10.4071,11.44,20298800,7.6706399972864,7.8114472000338,6.97806971291603,7.70534877555467,20298800
2011-04-29,11.54,12.095,10.83,11.62,14548900,7.77270322289343,8.14652040562358,7.29448664678821,7.82658678076444,14548900
2011-05-31,11.64,12.0,11.17,11.98,14529100,7.8400576702322,8.08253368065175,7.52349176774,8.069062791184,14529100
2011-06-30,11.95,11.95,10.89,11.57,16239800,8.04885645698237,8.04885645698237,7.33489931519146,7.82760639394767,16239800
2011-07-29,11.61,12.07,11.2,11.36,15506200,7.85466812737532,8.16587806179329,7.57728535974191,7.68553229345251,15506200
2011-08-31,11.51,11.555,8.63,9.77,25880400,7.78701379380619,7.8174582439123,5.83856898701542,6.60982838970343,25880400
2011-09-30,9.81,9.97,8.1,8.79,28833700,6.63689012313108,6.74513705684168,5.52059361924053,5.99814478810589,28833700
2011-10-31,8.69,11.93,8.35,11.45,26726800,5.92990650837773,8.14082677157034,5.69789635730196,7.81328302887514,26726800
2011-11-30,11.01,12.504,10.91,12.5,21589000,7.51303459807121,8.53251449721002,7.44479631834304,8.5297849660209,21589000
2011-12-30,12.43,12.83,11.861,12.39,20546500,8.48201817021118,8.75497128912385,8.09374235855791,8.50276105637855,20546500
2012-01-31,12.73,13.38,11.92,12.17,18868900,8.73608944694907,9.18215842892211,8.18021886941342,8.35178386247998,18868900
2012-02-29,12.26,13.19,12.26,12.32,14265200,8.41354725998394,9.05176903419153,8.41354725998394,8.45472285831991,14265200
2012-03-30,12.42,13.8605,11.72,13.56,16882600,8.52334885554654,9.56036583935089,8.04296687496018,9.35309410061672,16882600
2012-04-30,13.55,13.72,12.65,13.24,13625600,9.34619653859562,9.46345509295438,8.72541595669628,9.1323721159414,13625600
2012-05-31,13.22,13.57,12.33,12.83,14461900,9.11857699189919,9.35999166263783,8.50469397202096,8.84957207307615,14461900
2012-06-29,12.53,13.17,11.84,13.16,13473500,8.64264521244303,9.14791182241518,8.16671343298687,9.14096579977097,13473500
2012-07-31,13.14,13.88,12.46,12.48,12023100,9.12707375448257,9.64107943015358,8.65474421467677,8.66863625996518,12023100
2012-08-31,12.51,12.8,11.84,12.64,9821200,8.68947432789779,8.89090898457967,8.22409081073619,8.77977262227243,9821200
2012-09-28,12.66,13.62,12.49,12.9001,9733400,8.79366466756083,9.46048284140431,8.67558228260938,9.02280831397145,9733400
2012-10-31,12.96,13.03,11.82,12.0998,11944800,9.06470459524112,9.11366519104875,8.26734632065972,8.46304881647365,11944800
2012-11-30,12.12,12.5,11.17,11.66,9847900,8.47717744554956,8.7429635370767,7.81271221673174,8.15543638738514,9847900
2012-12-31,11.75,12.32,11.43,11.79,11358100,8.21838572485209,8.68262156861725,8.05538673127396,8.3090996991881,11358100
2013-01-31,12.08,12.91,12.0,12.64,11112500,8.51347959000782,9.09842893269876,8.45709893047135,8.90814420676315,11112500
2013-02-28,12.7,13.19,12.35,12.55,9819000,8.95042970141551,9.29576124107642,8.70376431594343,8.84471596478462,9819000
2013-03-29,12.4,13.54,12.29,13.26,8835300,8.73900222815373,9.5424266265485,8.66147882129107,9.41530539494147,8835300
2013-04-30,13.21,13.26,11.45,12.0,17112000,9.37980273508121,9.41530539494147,8.13010910799999,8.52063836646287,17112000
2013-05-31,11.92,14.02,11.56,13.52,14018900,8.46383411068645,9.95494582481745,8.20821495969256,9.63518711462855,14018900
2013-06-28,13.6,15.29,13.28,15.01,18417800,9.69220005613523,11.0077882255196,9.46414829010852,10.8062067537638,18417800
2013-07-31,15.08,17.23,15.08,16.84,17709300,10.8566021217027,12.4044598512558,10.8566021217027,12.1236856584532,17709300
2013-08-30,16.94,17.48,16.23,16.24,10289700,12.1956790412231,12.5844433081806,11.6845260235567,11.6917253618337,10289700
2013-09-30,16.48,17.46,15.7,16.22,43778900,11.8645094804815,12.5700446316266,11.3029610948762,11.7865286181221,43778900
2013-10-31,16.27,16.95,16.09,16.37,34928200,11.8228619369203,12.3169950725752,11.6920619892469,11.8955285745166,34928200
2013-11-29,16.31,18.47,16.16,18.41,16808700,11.8519285919588,13.4215279640392,11.7429286355643,13.3779279814814,16808700
2013-12-31,18.46,19.65,18.035,19.14,30954200,13.4142613002796,14.2789942876757,13.1054280904952,14.0171103903582,30954200
2014-01-31,19.11,19.21,17.5,17.56,25347800,13.9951399978968,14.0683746394347,12.8160622691362,12.860003054059,25347800
2014-02-28,17.38,18.07,16.5,17.77,21277600,12.7281806992907,13.2334997259024,12.083715853757,13.0137958012886,21277600
2014-03-31,17.59,19.6,17.43,18.64,23010600,12.8819734465204,14.3539897414326,12.7647980200597,13.7648215306886,23010600
2014-04-30,18.66,19.36,16.28,16.63,69094700,13.7795906525026,14.2965099159942,12.0220651566315,12.2805247883772,69094700
2014-05-30,16.67,16.87,15.56,16.57,33155000,12.3100630320053,12.4577542501457,11.4903767713259,12.2362174229351,33155000
2014-06-30,16.6,18.04,16.53,17.92,34970500,12.2583711056561,13.3899611931203,12.206679179307,13.3452783415303,34970500
2014-07-31,17.93,18.39,16.69,16.92,24939400,13.352725483462,13.6952940123182,12.4292798839365,12.6005641483646,24939400
2014-08-29,16.93,17.79,16.3,17.47,37647700,12.6080112902962,13.2484654964188,12.1388413486018,13.0101569546057,37647700
2014-09-30,17.53,17.84,16.215,16.47,28660009,13.0548398061957,13.2857012060771,12.1854515096783,12.3770821069628,28660009
2014-10-31,16.48,17.61,14.935,17.6,36516053,12.3845970323465,13.2337836007052,11.223541060564,13.2262686753215,36516053
2014-11-28,17.59,17.98,16.945,16.99,53692262,13.2187537499378,13.5118358399023,12.7340410626888,12.7678582269155,53692262
2014-12-31,16.95,17.64,16.47,17.01,38629709,12.7377985253807,13.3716007975247,12.3770821069628,12.8940436261845,38629709
2015-01-30,17.19,17.33,14.695,15.51,38703757,13.0304885322817,13.136612348135,11.1392105283234,11.7570027420412,38703757
2015-02-27,15.66,16.92,15.66,16.54,21512567,11.8707068304556,12.8258211731359,11.8707068304556,12.5377708158196,21512567
2015-03-31,16.58,17.5,16.37,17.18,37159705,12.5680919060634,13.2654769816713,12.4089061822834,13.1386331553936,37159705
2015-04-30,17.18,17.78,16.91,17.01,33893554,13.1386331553936,13.597491123568,12.9321470697151,13.0086233977442,33893554
2015-05-29,17.12,17.76,16.82,17.59,23140143,13.0927473585762,13.5821958579622,12.863318374489,13.4521861003128,23140143
