date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,1.378,1.4893,1.378,1.4805,5364800,1.378,1.4893,1.378,1.4805,5364800
2011-03-31,1.4805,1.4805,1.4805,1.4805,0,1.4805,1.4805,1.4805,1.4805,0
2011-04-29,1.4805,1.4805,1.2555,1.2555,1100,1.4805,1.4805,1.2555,1.2555,1100
2011-05-31,1.2555,1.27,1.2555,1.27,500,1.2555,1.27,1.2555,1.27,500
2011-06-30,1.27,1.3609,1.27,1.3609,37800,1.27,1.3609,1.27,1.3609,37800
2011-07-29,1.3609,1.3609,1.3609,1.3609,0,1.3609,1.3609,1.3609,1.3609,0
2011-08-31,1.3609,1.3609,1.1908,1.1908,500,1.3609,1.3609,1.1908,1.1908,500
2011-09-30,1.3359,1.3359,1.144,1.144,16800,1.3359,1.3359,1.144,1.144,16800
2011-10-31,1.2,1.2193,1.121,1.121,2500,1.2,1.2193,1.121,1.121,2500
2011-11-30,1.121,1.325,1.121,1.2654,63300,1.121,1.325,1.121,1.2654,63300
2011-12-30,1.2654,1.2654,1.2025,1.2255,4300,1.2654,1.2654,1.2025,1.2255,4300
2012-01-31,1.2255,1.2255,1.2255,1.2255,0,1.2255,1.2255,1.2255,1.2255,0
2012-02-29,1.2255,1.28,1.2255,1.28,4000,1.2255,1.28,1.2255,1.28,4000
2012-03-30,1.28,1.28,1.28,1.28,0,1.28,1.28,1.28,1.28,0
2012-04-30,1.284,1.288,1.261,1.285,3500,1.284,1.288,1.261,1.285,3500
2012-05-31,1.288,1.288,0.9689,1.0355,7700,1.288,1.288,0.9689,1.0355,7700
2012-06-29,1.035,1.0355,0.819,0.819,39500,1.035,1.0355,0.819,0.819,39500
2012-07-31,0.819,0.845,0.785,0.793,42000,0.819,0.845,0.785,0.793,42000
2012-08-31,0.792,0.793,0.664,0.715,217900,0.792,0.793,0.664,0.715,217900
2012-09-28,0.664,0.715,0.664,0.715,0,0.664,0.715,0.664,0.715,0
2012-10-31,0.664,0.715,0.664,0.715,0,0.664,0.715,0.664,0.715,0
2012-11-30,0.664,0.715,0.664,0.715,0,0.664,0.715,0.664,0.715,0
2012-12-31,0.664,0.715,0.664,0.715,0,0.664,0.715,0.664,0.715,0
