date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,8.04,8.33,6.9509,7.36,4173400,8.04,8.33,6.9509,7.36,4173400
2011-03-31,7.41,7.74,6.61,7.29,2969200,7.41,7.74,6.61,7.29,2969200
2011-04-29,7.34,8.15,6.85,8.05,4441300,7.34,8.15,6.85,8.05,4441300
2011-05-31,8.1,8.45,6.85,7.46,3589000,8.1,8.45,6.85,7.46,3589000
2011-06-30,7.45,7.45,6.75,7.14,2852500,7.45,7.45,6.75,7.14,2852500
2011-07-29,7.16,7.8,6.95,7.18,3058200,7.16,7.8,6.95,7.18,3058200
2011-08-31,7.27,7.28,5.26,6.06,4297800,7.27,7.28,5.26,6.06,4297800
2011-09-30,6.08,6.17,4.89,4.95,3639400,6.08,6.17,4.89,4.95,3639400
2011-10-31,4.89,6.03,4.8,5.81,2957800,4.89,6.03,4.8,5.81,2957800
2011-11-30,5.7,6.06,4.74,4.99,2658000,5.7,6.06,4.74,4.99,2658000
2011-12-30,4.96,5.02,4.33,4.76,7090800,4.96,5.02,4.33,4.76,7090800
2012-01-31,4.83,5.2,4.52,4.95,2703100,4.83,5.2,4.52,4.95,2703100
2012-02-29,4.99,5.47,4.47,4.64,3228900,4.99,5.47,4.47,4.64,3228900
2012-03-30,4.65,5.23,4.4,4.79,7051700,4.65,5.23,4.4,4.79,7051700
2012-04-30,4.81,4.82,4.18,4.43,4652100,4.81,4.82,4.18,4.43,4652100
2012-05-31,4.42,4.54,3.98,4.25,3038200,4.42,4.54,3.98,4.25,3038200
2012-06-29,4.18,4.43,3.93,4.4,2032300,4.18,4.43,3.93,4.4,2032300
2012-07-31,4.37,4.6391,4.0,4.03,1752500,4.37,4.6391,4.0,4.03,1752500
2012-08-31,4.04,4.48,3.9,4.39,2851200,4.04,4.48,3.9,4.39,2851200
2012-09-28,4.38,4.43,3.98,4.03,1942800,4.38,4.43,3.98,4.03,1942800
2012-10-31,4.05,4.25,3.34,3.39,4452300,4.05,4.25,3.34,3.39,4452300
2012-11-30,3.38,3.51,2.92,3.48,2193900,3.38,3.51,2.92,3.48,2193900
2012-12-31,3.49,4.42,3.0,3.7,9939100,3.49,4.42,3.0,3.7,9939100
2013-01-31,3.78,4.41,3.6,4.02,5250000,3.78,4.41,3.6,4.02,5250000
2013-02-28,4.05,4.11,3.74,3.76,3070200,4.05,4.11,3.74,3.76,3070200
2013-03-29,3.73,4.05,3.57,3.92,5233400,3.73,4.05,3.57,3.92,5233400
2013-04-30,3.91,4.92,3.865,4.86,5498200,3.91,4.92,3.865,4.86,5498200
2013-05-31,4.82,9.75,4.651,9.13,18048800,4.82,9.75,4.651,9.13,18048800
2013-06-28,9.19,13.3,7.44,8.08,40476300,9.19,13.3,7.44,8.08,40476300
2013-07-31,8.05,12.12,7.99,11.67,20995300,8.05,12.12,7.99,11.67,20995300
2013-08-30,11.8,12.66,10.22,11.43,20246200,11.8,12.66,10.22,11.43,20246200
2013-09-30,11.52,13.47,10.91,10.95,11976200,11.52,13.47,10.91,10.95,11976200
2013-10-31,11.05,11.49,6.0582,7.16,17767100,11.05,11.49,6.0582,7.16,17767100
2013-11-29,7.14,15.65,5.7,11.74,67689909,7.14,15.65,5.7,11.74,67689909
2013-12-31,11.77,12.78,9.22,12.41,20122700,11.77,12.78,9.22,12.41,20122700
2014-01-31,12.61,15.59,11.77,13.23,26064400,12.61,15.59,11.77,13.23,26064400
2014-02-28,12.64,16.55,10.0,15.13,24949100,12.64,16.55,10.0,15.13,24949100
2014-03-31,14.75,19.25,14.43,16.25,26336100,14.75,19.25,14.43,16.25,26336100
2014-04-30,16.31,17.69,12.09,13.93,23697600,16.31,17.69,12.09,13.93,23697600
2014-05-30,13.91,14.97,9.27,10.29,20280600,13.91,14.97,9.27,10.29,20280600
2014-06-30,10.3,16.5,9.8303,16.18,21526100,10.3,16.5,9.8303,16.18,21526100
2014-07-31,16.19,16.476,12.77,14.7,10197600,16.19,16.476,12.77,14.7,10197600
2014-08-29,14.57,15.33,11.77,12.94,13595700,14.57,15.33,11.77,12.94,13595700
2014-09-30,13.09,13.47,10.33,10.38,9365633,13.09,13.47,10.33,10.38,9365633
2014-10-31,10.42,12.7,8.335,12.01,20161501,10.42,12.7,8.335,12.01,20161501
2014-11-28,12.01,13.5,11.21,13.03,9533828,12.01,13.5,11.21,13.03,9533828
2014-12-31,13.0,15.51,11.4001,14.32,18419809,13.0,15.51,11.4001,14.32,18419809
2015-01-30,14.42,15.0,10.7,11.13,14277700,14.42,15.0,10.7,11.13,14277700
2015-02-27,11.15,13.31,10.38,10.76,15957119,11.15,13.31,10.38,10.76,15957119
2015-03-31,10.73,11.306,8.8,9.3,21748101,10.73,11.306,8.8,9.3,21748101
2015-04-30,9.27,10.3,8.955,9.15,10070547,9.27,10.3,8.955,9.15,10070547
2015-05-29,9.21,10.58,8.92,10.09,15308591,9.21,10.58,8.92,10.09,15308591
2015-06-30,10.13,13.92,9.94,12.69,26141362,10.13,13.92,9.94,12.69,26141362
2015-07-31,12.77,12.92,10.61,12.24,14925320,12.77,12.92,10.61,12.24,14925320
2015-08-31,12.3,12.88,10.57,11.79,14703038,12.3,12.88,10.57,11.79,14703038
2015-09-30,11.52,14.5,11.1,11.28,19474628,11.52,14.5,11.1,11.28,19474628
2015-10-30,11.34,12.28,9.98,10.74,18597384,11.34,12.28,9.98,10.74,18597384
2015-11-30,10.85,11.14,9.08,9.86,12271541,10.85,11.14,9.08,9.86,12271541
2015-12-31,9.91,9.975,8.0,9.31,17680602,9.91,9.975,8.0,9.31,17680602
2016-01-29,9.09,9.58,8.065,8.53,13631008,9.09,9.58,8.065,8.53,13631008
2016-02-29,8.49,9.11,6.9099,7.85,11397663,8.49,9.11,6.9099,7.85,11397663
