date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,0.4,0.684,0.4,0.5,77900,0.4,0.684,0.4,0.5,77900
2011-03-31,0.6,0.884,0.506,0.88,159700,0.6,0.884,0.506,0.88,159700
2011-04-29,0.82,1.33,0.711,1.21,220300,0.82,1.33,0.711,1.21,220300
2011-05-31,1.29,2.15,1.14,1.95,236361,1.29,2.15,1.14,1.95,236361
2011-06-30,1.95,4.0,1.95,2.75,350400,1.95,4.0,1.95,2.75,350400
2011-07-29,2.77,3.9,2.55,3.4,147300,2.77,3.9,2.55,3.4,147300
2011-08-31,3.5,3.5,2.8,3.35,169800,3.5,3.5,2.8,3.35,169800
2011-09-30,3.1,3.4,2.65,2.7,91500,3.1,3.4,2.65,2.7,91500
2011-10-31,2.71,2.85,2.1,2.8,134900,2.71,2.85,2.1,2.8,134900
2011-11-30,2.84,2.9,2.25,2.35,117700,2.84,2.9,2.25,2.35,117700
2011-12-30,2.4,2.55,1.92,2.05,116100,2.4,2.55,1.92,2.05,116100
2012-01-31,2.05,2.49,2.05,2.3,119600,2.05,2.49,2.05,2.3,119600
2012-02-29,2.15,2.45,2.1,2.3,223300,2.15,2.45,2.1,2.3,223300
2012-03-30,2.3,2.4,1.8,2.1,369900,2.3,2.4,1.8,2.1,369900
2012-04-30,2.1,2.35,1.95,2.0,273500,2.1,2.35,1.95,2.0,273500
2012-05-31,1.97,2.0,1.36,1.7,503600,1.97,2.0,1.36,1.7,503600
2012-06-29,1.75,1.75,1.3,1.4,175800,1.75,1.75,1.3,1.4,175800
2012-07-31,1.36,1.78,1.25,1.72,1165000,1.36,1.78,1.25,1.72,1165000
2012-08-31,1.73,2.52,1.72,2.2,1316600,1.73,2.52,1.72,2.2,1316600
2012-09-28,2.25,2.35,1.9,2.18,424800,2.25,2.35,1.9,2.18,424800
2012-10-31,2.15,2.39,2.02,2.2,343400,2.15,2.39,2.02,2.2,343400
2012-11-30,2.14,3.51,2.01,3.4,472900,2.14,3.51,2.01,3.4,472900
2012-12-31,3.5,3.6,2.96,3.16,294500,3.5,3.6,2.96,3.16,294500
2013-01-31,3.2,3.99,3.18,3.5,320600,3.2,3.99,3.18,3.5,320600
2013-02-28,3.5,4.2,3.45,3.722,292400,3.5,4.2,3.45,3.722,292400
2013-03-29,3.7,4.09,2.87,3.21,731100,3.7,4.09,2.87,3.21,731100
2013-04-30,3.2,3.46,2.8,2.99,511300,3.2,3.46,2.8,2.99,511300
2013-05-31,2.98,3.14,2.8,2.99,234039,2.98,3.14,2.8,2.99,234039
2013-06-28,3.0,3.01,2.75,2.99,236888,3.0,3.01,2.75,2.99,236888
2013-07-31,2.95,3.02,2.64,2.84,170200,2.95,3.02,2.64,2.84,170200
2013-08-30,2.75,3.5001,2.35,3.0999,566600,2.75,3.5001,2.35,3.0999,566600
2013-09-30,3.05,3.45,2.85,3.019,329900,3.05,3.45,2.85,3.019,329900
2013-10-31,3.0283,3.35,2.86,3.0499,460500,3.0283,3.35,2.86,3.0499,460500
2013-11-29,3.03,3.45,2.79,2.8,2398300,3.03,3.45,2.79,2.8,2398300
2013-12-31,2.95,3.4,2.87,3.35,882283,2.95,3.4,2.87,3.35,882283
2014-01-31,3.39,3.78,3.2,3.36,835400,3.39,3.78,3.2,3.36,835400
2014-02-28,3.36,3.89,3.3,3.79,549000,3.36,3.89,3.3,3.79,549000
2014-03-31,3.8,7.34,3.58,6.45,4263200,3.8,7.34,3.58,6.45,4263200
2014-04-30,6.45,9.19,6.35,8.13,11296200,6.45,9.19,6.35,8.13,11296200
2014-05-30,8.22,10.48,6.91,9.81,9442800,8.22,10.48,6.91,9.81,9442800
2014-06-30,9.94,11.25,8.99,9.71,13216000,9.94,11.25,8.99,9.71,13216000
2014-07-31,9.7,10.17,7.96,8.22,5336600,9.7,10.17,7.96,8.22,5336600
