date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,47.66,54.35,47.29,51.0,3438200,47.66,54.35,47.29,51.0,3438200
2011-03-31,51.1,53.05,47.44,51.84,4762000,51.1,53.05,47.44,51.84,4762000
2011-04-29,51.94,56.5,50.0,56.33,3674400,51.94,56.5,50.0,56.33,3674400
2011-05-31,56.52,57.13,50.72,53.96,4758100,56.52,57.13,50.72,53.96,4758100
2011-06-30,53.73,54.13,47.03,52.07,5033500,53.73,54.13,47.03,52.07,5033500
2011-07-29,52.18,54.77,48.15,49.2,3255000,52.18,54.77,48.15,49.2,3255000
2011-08-31,50.03,50.08,37.8,42.14,10272000,50.03,50.08,37.8,42.14,10272000
2011-09-30,42.32,43.19,36.79,38.04,6007300,42.32,43.19,36.79,38.04,6007300
2011-10-31,37.71,49.1,35.74,46.88,5338900,37.71,49.1,35.74,46.88,5338900
2011-11-30,44.76,52.48,44.11,52.48,4556100,44.76,52.48,44.11,52.48,4556100
2011-12-30,52.43,56.3,51.56,54.28,5191200,52.43,56.3,51.56,54.28,5191200
2012-01-31,55.69,57.02,51.59,54.72,3899200,55.69,57.02,51.59,54.72,3899200
2012-02-29,55.24,63.96,55.24,61.88,4054400,55.24,63.96,55.24,61.88,4054400
2012-03-30,62.25,66.23,58.19,64.73,10937800,62.25,66.23,58.19,64.73,10937800
2012-04-30,64.43,65.68,60.4909,63.82,5143900,64.43,65.68,60.4909,63.82,5143900
2012-05-31,63.53,65.35,53.32,56.06,6574200,63.53,65.35,53.32,56.06,6574200
2012-06-29,54.9,62.57,53.14,61.72,8191200,54.9,62.57,53.14,61.72,8191200
2012-07-31,61.72,67.99,60.47,64.38,5269600,61.72,67.99,60.47,64.38,5269600
2012-08-31,63.85,68.11,58.58,65.84,6898300,63.85,68.11,58.58,65.84,6898300
2012-09-28,66.02,75.1,65.84,69.72,6542700,66.02,75.1,65.84,69.72,6542700
2012-10-31,69.94,74.64,69.04,73.78,3464300,69.94,74.64,69.04,73.78,3464300
