date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2011-02-28,23.19,25.6,23.1,25.48,199800,16.6997521929433,18.4352589969533,16.6349407355321,18.3488437204051,199800
2011-03-31,25.36,25.5,22.75,24.46,244677,18.2624284438569,18.3632462664965,16.4963707845015,17.7363177753365,244677
2011-04-29,24.46,25.0,23.0,24.25,209000,17.7363177753365,18.1278799829687,16.6776495843312,17.5840435834796,209000
2011-05-31,24.93,24.93,22.42,24.08,162100,18.0771219190164,18.0771219190164,16.2570827687263,17.5810376173283,162100
2011-06-30,23.9,24.6,22.25,24.6,318000,17.4496179009197,17.9606945758421,16.2449371671742,17.9606945758421,318000
2011-07-29,24.54,25.89,23.0,23.16,205200,17.9168880037059,18.9025358767704,16.7925193188767,16.9093368445733,205200
2011-08-31,23.52,24.88,21.69,22.75,313000,17.1721762773905,18.165125245811,15.8360758272364,16.7221742359297,313000
2011-09-30,22.51,23.84,20.816,22.3,271600,16.5457644857485,17.5233685180028,15.3006056657192,16.3914059543399,271600
2011-10-31,22.21,24.48,20.97,23.7,314300,16.3252522980219,17.9937945184861,15.4138019220855,17.4204628303971,314300
2011-11-30,23.02,24.88,21.7,24.66,233500,16.9206352048836,18.2878107687882,15.9503815788868,18.1261018311221,233500
2011-12-30,24.41,25.08,22.73,24.55,184300,18.0609197278823,18.5566516499504,16.8178904307565,18.1645055026428,184300
2012-01-31,24.9,25.89,23.05,25.26,132100,18.423469939544,19.1559693467789,17.0546579159233,18.6898333603567,132100
2012-02-29,25.48,27.25,23.18,23.34,158000,18.8526110064089,20.162231158738,17.1508447067723,17.2692284493557,158000
2012-03-30,23.73,25.08,22.49,23.7,174400,17.5577888219028,18.6792389440871,16.6403148168813,17.6514339304173,174400
2012-04-30,23.74,24.49,22.01,24.39,224400,17.6812253800889,18.2398150614312,16.3927451817926,18.1653364372522,224400
2012-05-31,24.19,24.19,22.03,23.36,246100,18.0163791888942,18.0163791888942,16.4076409066284,17.5275895969837,246100
2012-06-29,22.97,24.71,22.3825,23.18,393300,17.2349628871026,18.5405282081108,16.794147010038,17.3925311155001,393300
2012-07-31,22.86,24.3,22.86,23.8,239000,17.1524271484181,18.232895000287,17.1524271484181,17.8577325517214,239000
2012-08-31,23.95,24.0,22.53,22.94,212700,17.9702812862911,18.0077975311476,16.9048199323648,17.3372342503734,212700
2012-09-28,22.91,24.9,22.57,24.35,358200,17.3145613197931,18.8185323816171,17.0576014398835,18.4028619876457,358200
2012-10-31,24.46,25.71,23.23,23.48,307400,18.4859960664399,19.4307015072842,17.5564059126492,17.7453470008181,307400
2012-11-30,23.53,23.83,22.62,23.53,315600,17.7831352184518,18.0707056300433,17.0953896575172,17.9108552432569,315600
2012-12-31,23.62,23.88,22.68,23.36,284300,17.9793625518797,18.1772725545676,17.263841772931,17.9096479238043,284300
2013-01-31,23.55,23.99,22.63,22.78,299600,18.0553171492119,18.3926564080507,17.3499714261854,17.464973446244,299600
2013-02-28,22.94,23.49,22.65,23.06,154400,17.58764226764,18.0093163411884,17.3653050288599,17.6796438836869,154400
2013-03-29,23.0,24.61,23.0,24.51,166800,17.6336430756634,18.8679980909599,17.6336430756634,18.7913300775874,166800
2013-04-30,24.5,24.67,22.8,24.0,198000,18.7836632762502,18.9139988989833,17.4803070489185,18.4003232093879,198000
2013-05-31,23.98,24.55,22.855,24.05,247400,18.3849896067134,18.9162903464565,17.5224744562734,18.5764304953973,247400
2013-06-28,24.01,25.309,23.7401,25.2,305900,18.545534145301,19.5488931146781,18.3370610230262,19.4647005606657,305900
2013-07-31,25.2001,29.83,24.49,27.33,269200,19.464777801541,23.0409530843119,18.9162903464565,21.1099312032934,269200
2013-08-30,27.42,29.27,24.46,24.95,265200,21.1794479910101,22.6084041829637,18.8931180838843,19.4119255451796,265200
2013-09-30,24.62,29.05,24.34,28.32,241100,19.1551746261452,22.6018612059106,18.9373253615099,22.0338970516829,241100
2013-10-31,27.75,29.51,26.15,28.73,331300,21.5904181915325,22.9597564263828,20.3455652507594,22.352890617756,331300
2013-11-29,28.65,29.5,26.552,29.35,280200,22.2906479707173,22.951976095503,20.6583345521287,22.8352711323055,280200
2013-12-31,29.3399,29.5,26.96,29.43,369700,22.8274129981169,23.0978572994998,21.1090926371022,23.0430488245519,369700
2014-01-31,29.22,29.76,26.11,26.42,337000,22.878623399708,23.3014316350208,20.4435611555912,20.6862844017893,337000
2014-02-28,26.55,27.3,24.4402,26.38,257600,20.7880715695498,21.3753052297066,19.1361441346182,20.6549652732476,257600
2014-03-31,26.04,28.64,25.55,27.02,218000,20.3887526806432,22.5685506142422,20.0050933560075,21.2919775697215,218000
2014-04-30,27.02,27.3,24.89,25.09,232500,21.2919775697215,21.51261982433,19.6135204185924,19.7711220290271,232500
2014-05-30,25.17,27.94,24.73,27.33,294100,19.834162673201,22.1617939815844,19.4874391302447,21.6857081817652,294100
2014-06-30,26.8,28.24,26.07,27.41,246700,21.2651657252582,22.4077716448243,20.6859280021448,21.7491862884077,246700
2014-07-31,27.6,28.02,25.0,25.96,281400,21.8999467916838,22.2332068515573,19.8369083258006,20.5986456055113,281400
2014-08-29,26.12,27.45,25.67,26.97,208665,20.7256018187964,21.780925341729,20.368537468932,21.5510972209433,208665
2014-09-30,27.08,28.07,25.02,25.11,445833,21.6389956523228,22.4300815347378,19.9928977555804,20.0648146539817,445833
2014-10-31,25.17,31.31,24.78,31.15,374797,20.112759252916,25.0190898771871,19.8011193598434,24.8912376133624,374797
2014-11-28,31.03,31.03,27.32,27.51,239456,24.795348415494,24.795348415494,21.8307740480598,21.9825986113516,239456
2014-12-31,27.53,30.03,26.25,29.67,210054,21.9985801443296,24.163095463467,20.9757620337324,23.8734279853835,210054
2015-01-30,29.55,29.6,26.26,27.02,207099,23.7768721593556,23.8171037535339,21.1296332624257,21.7411534939353,207099
2015-02-27,27.27,28.04,26.27,26.94,160287,21.9423114648267,22.561878015172,21.1376795812613,21.6767829432501,160287
2015-03-31,26.94,30.569,26.62,29.9,385246,21.6767829432501,24.5967920487087,21.4193007405092,24.2170473848725,385246
2015-04-30,29.92,30.37,28.4,28.5,210317,24.2332460787754,24.5977166915912,23.0021453421531,23.0831388116678,210317
2015-05-29,28.5,29.46,27.2,28.01,265494,23.0831388116678,23.8606761190081,22.1274158713952,22.8459770469563,265494
2015-06-30,27.71,31.01,27.4,29.82,369410,22.6012861110732,25.2928864057878,22.3484388106606,24.3222790267846,369410
2015-07-31,30.19,30.441,28.34,28.86,226803,24.6240645143738,24.8287892640627,23.1151370764278,23.5392680319586,226803
2015-08-31,28.68,28.92,25.52,26.95,250331,23.3924534704287,23.5882062191352,20.8150422791262,22.145810801801,250331
2015-09-30,26.52,28.1,25.28,27.04,309071,21.7924639133121,23.0908082942711,20.7735100953443,22.2197671272986,309071
2015-10-30,27.23,29.18,26.16,28.39,206731,22.3758971477937,23.9782842002431,21.4966386113215,23.3291120097636,206731
2015-11-30,28.95,29.0,26.68,27.41,152254,23.7892847017491,23.8303715492478,21.923941825308,22.523809798789,152254
2015-12-31,27.61,27.96,26.2,26.76,238993,22.6881571887839,23.1472260550156,21.5705949368191,22.1537828766888,238993
2016-01-29,26.46,27.35,22.94,26.8,342765,21.9054220821071,22.6422257726995,18.9913220923483,22.1868976492997,342765
2016-02-29,26.41,27.39,23.39,27.22,175425,21.8640286163435,22.6753405453104,19.3638632842209,22.5346027617141,175425
2016-03-31,27.5,28.23,24.37,26.62,296996,22.7664061699903,23.3707507701392,20.2662408378678,22.2147502028279,296996
2016-04-29,26.41,28.3149,25.84,28.04,234541,22.0395023612579,23.6291671870042,21.563829648425,23.3997594172538,234541
2016-05-31,28.05,28.08,25.909,27.56,215162,23.4081045525666,23.5877720217201,21.6214110820837,23.1757218152801,215162
2016-06-30,27.5076,28.46,26.92,27.78,296244,23.1316576707547,23.9325487250679,22.6375337905421,23.3607239487838,296244
